Date,Open,High,Low,Close,Volume,OpenInt
20030121,2.8,3.05,2.8,2.85,11400,0
20030122,2.9,2.95,2.7,2.88,14600,0
20030123,2.82,2.88,2.7,2.8,14900,0
20030124,2.71,2.8,2.55,2.6,32900,0
20030127,2.5,2.62,2.45,2.6,13100,0
20030128,2.53,2.74,2.53,2.6,8500,0
20030129,2.6,2.7,2.57,2.57,5600,0
20030130,2.61,2.7,2.6,2.61,6000,0
20030131,2.5,2.69,2.5,2.55,11500,0
20030203,2.66,2.72,2.63,2.7,4500,0
20030204,2.66,2.7,2.61,2.69,5000,0
20030205,2.62,2.7,2.56,2.6,3200,0
20030206,2.69,2.69,2.52,2.56,3300,0
20030207,2.6,2.69,2.53,2.55,5500,0
20030210,2.64,2.64,2.51,2.64,7500,0
20030211,2.65,2.74,2.63,2.74,10700,0
20030212,2.67,2.72,2.65,2.7,4700,0
20030213,2.56,2.75,2.56,2.58,8300,0
20030214,2.76,2.86,2.66,2.83,30800,0
20030217,2.83,2.84,2.6,2.75,19800,0
20030218,2.83,2.83,2.63,2.63,6100,0
20030219,2.68,2.8,2.63,2.64,5900,0
20030220,2.64,2.65,2.6,2.63,5800,0
20030221,2.62,2.66,2.61,2.64,4200,0
20030224,2.67,2.67,2.52,2.54,3500,0
20030225,2.52,2.55,2.45,2.45,8200,0
20030226,2.46,2.65,2.45,2.5,5400,0
20030227,2.46,2.55,2.45,2.45,6000,0
20030228,2.45,2.6,2.45,2.6,1900,0
20030303,2.47,2.6,2.45,2.6,8900,0
20030304,2.61,2.7,2.53,2.53,2500,0
20030305,2.5,2.5,2.35,2.4,28800,0
20030306,2.37,2.5,2.37,2.4,7700,0
20030307,2.39,2.48,2.36,2.37,7400,0
20030310,2.38,2.39,2.31,2.36,11000,0
20030311,2.36,2.4,2.35,2.4,5400,0
20030312,2.4,2.4,2.35,2.36,4000,0
20030313,2.36,2.39,2.35,2.39,4900,0
20030314,2.4,2.5,2.35,2.4,3800,0
20030317,2.4,2.45,2.35,2.36,6000,0
20030318,2.4,2.47,2.35,2.37,21800,0
20030319,2.45,2.45,2.2,2.26,11400,0
20030320,2.31,2.36,2.16,2.16,18300,0
20030321,2.25,2.28,2.11,2.18,41600,0
20030324,2.34,2.34,2.14,2.15,15600,0
20030325,2.14,2.23,2.02,2.11,25600,0
20030326,2.1,2.16,2.08,2.16,4100,0
20030327,2.07,2.09,1.9,2.03,55900,0
20030328,2,2,1.88,1.95,17500,0
20030331,1.9,1.91,1.76,1.88,8100,0
20030401,1.85,1.85,1.6,1.65,23400,0
20030402,1.65,1.7,1.6,1.69,23700,0
20030403,1.7,1.72,1.61,1.7,21200,0
20030404,1.65,1.81,1.65,1.77,28500,0
20030407,1.79,2.2,1.79,2.05,45500,0
20030408,1.96,2.1,1.96,1.99,19400,0
20030409,2.12,2.12,1.97,2.04,9700,0
20030410,2,2.1,2,2.03,14800,0
20030411,2,2.03,2,2.03,2500,0
20030414,2,2.04,1.99,2,6200,0
20030415,2.06,2.07,1.96,1.97,13000,0
20030416,2.03,2.03,1.92,1.92,8300,0
20030417,1.92,1.98,1.86,1.9,3700,0
20030422,1.87,1.93,1.77,1.82,22600,0
20030423,1.83,1.83,1.8,1.82,15900,0
20030424,1.8,1.83,1.79,1.8,10900,0
20030425,1.83,1.83,1.79,1.8,4200,0
20030428,1.86,1.86,1.74,1.78,18000,0
20030429,1.8,1.8,1.74,1.8,21600,0
20030430,1.73,1.75,1.71,1.71,12800,0
20030502,1.69,1.69,1.55,1.63,27400,0
20030505,1.63,1.69,1.6,1.68,18800,0
20030506,1.68,1.68,1.61,1.64,13400,0
20030507,1.67,1.67,1.55,1.59,20700,0
20030508,1.59,1.59,1.56,1.57,2900,0
20030509,1.56,1.58,1.55,1.55,5800,0
20030512,1.58,1.58,1.52,1.54,14100,0
20030513,1.51,1.52,1.5,1.5,11600,0
20030514,1.55,1.55,1.49,1.52,6100,0
20030515,1.5,1.54,1.49,1.54,7800,0
20030516,1.52,1.55,1.51,1.55,28700,0
20030519,1.52,1.55,1.5,1.52,45500,0
20030520,1.5,1.54,1.45,1.54,44700,0
20030521,1.54,1.56,1.47,1.48,14700,0
20030522,1.49,1.51,1.46,1.48,18600,0
20030523,1.55,1.55,1.47,1.5,9800,0
20030526,1.5,1.51,1.48,1.5,7200,0
20030527,1.5,1.5,1.47,1.48,12000,0
20030528,1.48,1.48,1.4,1.43,25200,0
20030529,1.4,1.45,1.38,1.44,6400,0
20030530,1.41,1.42,1.34,1.39,34000,0
20030602,1.4,1.62,1.35,1.51,90000,0
20030603,1.55,1.82,1.48,1.79,242500,0
20030604,1.79,2.08,1.79,1.91,183800,0
20030605,1.92,2.01,1.66,1.68,118500,0
20030606,1.75,1.81,1.63,1.65,54300,0
20030609,1.7,1.7,1.6,1.68,23200,0
20030610,1.7,1.7,1.63,1.68,15000,0
20030611,1.7,1.7,1.63,1.66,30300,0
20030612,1.7,1.7,1.65,1.68,16700,0
20030613,1.69,1.69,1.52,1.56,42100,0
20030616,1.58,1.75,1.58,1.74,91800,0
20030617,1.79,1.79,1.65,1.65,26000,0
20030618,1.7,1.74,1.63,1.69,59100,0
20030619,1.75,2.25,1.75,2.25,483400,0
20030620,2.22,2.34,1.96,2.09,429400,0
20030623,2.2,2.2,1.82,1.92,132300,0
20030624,1.86,1.92,1.8,1.89,71500,0
20030625,1.85,2.05,1.85,1.93,98200,0
20030626,1.97,2.03,1.87,1.9,51300,0
20030627,1.97,1.99,1.92,1.92,37400,0
20030630,1.98,1.98,1.86,1.86,42900,0
20030701,1.85,1.87,1.79,1.8,32300,0
20030702,1.88,1.9,1.81,1.89,42500,0
20030703,1.35,1.64,1.3,1.55,676900,0
20030704,1.55,1.56,1.43,1.51,205000,0
20030707,1.49,1.49,1.41,1.49,137100,0
20030708,1.49,1.49,1.46,1.46,11500,0
20030709,1.5,1.58,1.46,1.57,117700,0
20030710,1.55,1.57,1.5,1.57,21900,0
20030711,1.56,1.58,1.5,1.53,20400,0
20030714,1.69,2.01,1.69,1.95,667700,0
20030715,1.98,1.98,1.67,1.72,201700,0
20030716,1.8,1.84,1.74,1.79,63700,0
20030717,1.83,1.83,1.64,1.78,49200,0
20030718,1.7,1.78,1.67,1.69,17700,0
20030721,1.7,1.7,1.66,1.67,20000,0
