Date,Open,High,Low,Close,Volume,OpenInt
20000114,95.26,95.7,90.27,92.88,5300,0
20000117,91.65,95.7,89.47,93.65,10300,0
20000118,94.05,94.05,89.15,91.61,4100,0
20000119,90.3,92.43,86.47,89.97,4600,0
20000120,91.99,91.99,85.88,89.15,8100,0
20000121,89.15,89.56,81.79,88.25,8000,0
20000124,86.47,86.47,81.79,83.43,7700,0
20000125,77.7,83.43,76.89,82.46,10600,0
20000126,80.96,83.3,77.29,78.11,6700,0
20000127,76.8,78.93,76.15,78.93,5100,0
20000128,78.52,79.94,76.07,79.75,7000,0
20000131,78.52,80.97,75.25,76.89,14500,0
20000201,77.31,79.52,75.25,76.48,9400,0
20000202,78.52,88.34,78.52,82.86,16100,0
20000203,84.29,87.52,79.42,81.79,5100,0
20000204,82.96,85.88,74.6,76.27,14400,0
20000207,78.52,79.75,74.44,75.86,7200,0
20000208,81.79,85.06,80.16,81.79,42400,0
20000209,82.2,82.2,79.09,80.65,10900,0
20000210,77.38,77.43,73.63,76.07,8000,0
20000211,76.07,76.07,71.82,71.98,11900,0
20000214,71.54,74.06,65.27,67.48,19000,0
20000215,66.25,68.71,65.27,65.27,9600,0
20000216,67.68,73.2,67.07,68.59,19300,0
20000217,73.61,74.49,65.43,67.89,15800,0
20000218,70.26,75.25,70.18,74.43,23100,0
20000221,76.07,78.69,73.61,78.69,10000,0
20000222,77.89,78.82,71.16,76.07,11100,0
20000223,77.7,78.6,74.19,75.58,24600,0
20000224,74.84,75.91,70.34,71.35,10600,0
20000225,73.12,76.07,69.52,69.61,15800,0
20000228,72.55,76.07,68.83,74.43,18900,0
20000229,75.67,79.01,74.18,78.23,14500,0
20000301,78.93,85.88,78.52,85.06,21700,0
20000302,83.43,88.16,83.43,85.88,22100,0
20000303,86.7,86.7,79.34,81.38,9300,0
20000306,89.15,89.15,82.64,83.43,13300,0
20000307,83.43,89.97,81.79,84.25,45600,0
20000308,82.65,83.43,79.01,81.37,6500,0
20000309,82.66,82.66,79.34,80.97,5200,0
20000310,80.97,80.97,76.07,79.83,10700,0
20000314,71.65,73.43,69.52,71.35,17200,0
20000315,69.52,69.52,65.43,67.48,17500,0
20000316,68.05,68.86,65.19,65.43,10500,0
20000317,69.03,71.08,66.02,66.02,14400,0
20000320,69.52,77.91,68.3,73.59,25100,0
20000321,72.89,79.09,69.4,76.07,46000,0
20000322,77.74,78.85,72.3,76.89,24900,0
20000323,76.07,76.89,74.01,74.84,11200,0
20000324,76.59,77.7,75.17,77.38,8500,0
20000327,78.52,85.47,78.11,83.84,34300,0
20000328,84.66,89.15,83.43,83.43,54600,0
20000329,85.02,86.28,81.43,85.88,34700,0
20000330,85.06,85.47,77.91,82.2,36400,0
20000331,80.97,84.98,73.61,84.98,19600,0
20000403,84.24,84.66,77.29,77.29,15500,0
20000404,78.52,82.96,76.97,80.16,14400,0
20000405,81.71,81.71,74.43,75.91,7200,0
20000406,77,84.25,77,82.6,17700,0
20000407,85.06,85.8,76.84,81.78,27900,0
20000410,82.2,85.47,81.79,83.84,12600,0
20000411,80.16,85.47,80.16,83.35,11900,0
20000412,81.81,83.43,81.43,81.87,10400,0
20000413,81.24,84.63,79.43,81.47,8800,0
20000417,74,81.79,67.99,81.79,10900,0
20000418,82.2,82.69,78.68,82.61,20500,0
20000419,82.61,82.61,80.97,81.38,9500,0
20000420,81.38,82.2,80.97,81.6,3600,0
20000425,79.15,82.37,78.61,81.42,3900,0
20000426,83.4,83.4,80.97,80.97,10100,0
20000427,80.97,82.93,80.16,82.61,6800,0
20000428,83.43,86.05,83.43,86.05,15600,0
20000502,84.66,87.86,82.49,85.47,2900,0
20000503,84.16,85.47,80.54,85.2,4200,0
20000504,84.25,84.25,79.74,80.96,3700,0
20000505,80.97,80.97,73.61,78.52,11600,0
20000508,78.93,80.73,71.43,73.33,11600,0
20000510,71.98,79.75,71.98,74.51,27600,0
20000511,75.66,78.52,75.41,76.19,16100,0
20000512,78.52,80.36,77.29,80.16,29800,0
20000515,83.51,85.88,81.79,81.79,33300,0
20000516,85.06,87.52,83.84,84.82,26600,0
20000517,86.98,91.69,86.29,88.09,26000,0
20000518,89.97,91.61,84.66,86.7,23100,0
20000519,85.06,85.47,79.75,80.16,17300,0
20000522,80.97,80.97,76.48,76.48,25700,0
20000523,78.28,78.93,72.8,74.43,16700,0
20000524,68.71,77.95,68.28,72.3,12700,0
20000525,78.28,82.61,76.07,79.99,15800,0
20000526,77.29,77.7,74.43,76.47,4900,0
20000529,75.66,75.66,73.2,74.6,4100,0
20000530,75.25,77.7,74.23,77.38,4200,0
20000531,77.7,78.93,74.43,74.43,2300,0
20000601,76.57,81.38,75.49,80.97,3200,0
20000602,83.32,83.32,80.16,80.81,7500,0
20000605,83.43,84.62,80.16,80.16,4400,0
20000606,81.3,81.38,79.17,80.3,1300,0
20000607,79.75,79.76,76.64,79.09,1900,0
20000608,82.28,83.35,81.47,81.79,3600,0
20000609,83.45,84.42,79.34,81.79,9100,0
20000612,83.37,83.37,80.4,80.57,1200,0
20000613,81.71,82.44,80.57,81.78,1100,0
20000614,81.79,82.3,80.57,81.38,1900,0
20000615,80.48,80.97,74.19,75.66,25200,0
20000616,75.67,76.48,73.81,73.81,3400,0
20000619,76.07,76.07,73.7,74.02,4200,0
20000620,75.09,76.33,73.94,74.59,1100,0
20000621,75.82,75.82,72.8,72.8,4600,0
20000622,72.8,73.61,68.71,70.34,6300,0
20000623,69.93,69.93,67.15,68.5,7000,0
20000626,68.71,69.11,68.3,69.03,6100,0
20000627,69.52,69.52,63.45,65.03,15100,0
20000628,65.43,65.43,61.34,64.62,7800,0
20000629,62.47,63.8,58.08,59.63,12800,0
20000630,58.97,59.73,54.82,57.7,17600,0
20000703,58.07,59.55,56.94,58.69,7300,0
20000704,59.42,60.28,58.44,59.71,5200,0
20000705,61.11,61.11,58.07,59.19,7900,0
20000706,58.07,58.79,56.18,57.26,6800,0
20000710,56.03,56.03,51.12,53.15,31500,0
20000711,52.27,52.27,46.01,48.34,25800,0
20000712,47.44,48.22,44.18,47.77,44300,0
20000714,55.5,55.62,50.31,51.28,46200,0
20000717,51.02,51.02,45.72,47.44,117700,0
20000718,47.44,51.53,46.21,51.51,174500,0
20000719,51.16,53.16,50.1,51.2,59100,0
20000720,50.71,53.86,50.32,53.57,57900,0
20000721,53.98,53.98,52.1,53.57,16200,0
20000724,53.81,55.05,53.74,55.04,20400,0
20000725,58.97,60.44,55.1,56.6,97000,0
20000726,56.44,56.76,53.66,55.21,26400,0
20000727,56.03,56.03,50.71,54.26,22300,0
20000728,53.17,53.93,51.53,52.84,13500,0
20000731,53.33,54.39,52.51,53.57,14700,0
20000801,54.38,54.68,51.53,51.6,12700,0
20000802,52.18,53.08,51.73,52.84,25600,0
20000803,52.67,52.76,48.98,51.04,29700,0
20000804,51.04,51.49,49.85,49.85,7500,0
20000807,51.52,53.12,51.2,52.11,56600,0
20000808,52.96,52.96,50.79,52.26,27900,0
20000809,51.6,53.08,51.52,52.8,32500,0
20000810,53.12,53.12,51.95,53.12,3900,0
20000811,52.96,53.17,52.08,53.17,11200,0
20000814,53.41,53.41,51.94,52.55,7800,0
20000815,52.76,52.84,51.53,51.86,13300,0
20000816,52.31,52.31,51.16,51.94,9400,0
20000817,51.42,52.75,51.42,52.67,12200,0
20000818,52.76,52.76,50.83,51.53,15600,0
20000821,51.53,51.53,49.89,51.22,17900,0
20000822,51.24,51.69,50.3,51.53,5500,0
20000823,51.72,51.72,50.1,51.12,6900,0
20000824,51.55,51.55,50.34,50.96,7000,0
20000825,50.79,51.69,50.7,51.53,7800,0
20000828,51.94,54.79,51.61,54.74,25700,0
20000829,54.79,55.21,52.76,53.98,17200,0
20000830,55.13,56.02,53.74,55.91,22600,0
20000831,55.82,55.82,54.19,55.76,13500,0
20000901,55.3,58.06,54.19,56.51,23100,0
20000904,56.44,59.71,56.4,59.63,63400,0
20000905,60.11,61.32,58.05,58.29,29000,0
20000906,58.28,60.2,58.24,58.24,13700,0
20000907,58.86,59.3,56.85,58.48,11400,0
20000908,58.89,58.97,56.85,56.85,7000,0
20000911,56.44,56.44,53.98,54.8,14900,0
20000912,54.8,55.59,53.41,54.78,12800,0
20000914,55.17,55.17,53.98,54.96,5000,0
20000915,54.96,56.85,54.8,56.85,8800,0
20000918,55.23,55.23,53.17,53.98,11000,0
20000919,53.99,54.39,52.02,52.35,11700,0
20000920,53.17,53.37,50.88,51.53,4300,0
20000921,51.53,52.35,49.48,51.12,7700,0
20000922,50.38,50.38,47.85,50.06,16000,0
20000925,50.71,51.53,50.51,51.37,11100,0
20000926,51.53,51.53,49.81,50.88,8100,0
20000927,50.71,51.12,50.02,50.3,5200,0
20000928,49.61,50.26,48.3,50.26,14000,0
20000929,49.89,49.89,46.46,47.44,18500,0
20001002,46.76,48.14,46.7,47.03,12700,0
20001004,46.62,46.62,45.45,46.62,12800,0
20001005,46.22,46.61,45.64,45.8,9700,0
20001006,45.8,45.97,43.35,43.94,23800,0
20001009,44.17,44.17,40.17,40.9,17700,0
20001010,40.94,41.31,35.99,39.27,49700,0
20001011,38.28,38.28,32.72,37.5,71400,0
20001012,36.4,40,36,39.1,77000,0
20001013,36.81,38.31,35.95,38.2,34100,0
20001016,38.93,39.26,35.58,36.4,23300,0
20001017,36.32,36.32,32.31,33.27,59900,0
20001018,33.04,33.04,27.81,31.38,82600,0
20001019,31.86,32.71,30.44,32.71,47300,0
20001020,33.13,36.56,32.43,34.99,53000,0
20001023,34.89,34.89,32.65,32.88,23200,0
20001025,32.8,33.94,32.31,33.94,11600,0
20001026,33.37,35.31,32.71,33.18,26600,0
20001027,33.01,34.2,32.72,33.13,17000,0
20001030,34.31,34.97,33.81,33.94,19300,0
20001101,33.51,33.94,31.57,33.54,44800,0
20001102,32.52,33.7,32.52,33.05,18200,0
20001103,33.52,33.86,32.55,33.13,22900,0
20001106,33.13,33.49,32.55,33.04,18200,0
