Date,Open,High,Low,Close,Volume,OpenInt
20090407,20,20,19,19,100,0
20090408,18.5,18.5,17,18,900,0
20090414,18.5,18.5,17.5,17.5,801,0
20090415,18.5,18.5,17.2,17.2,100,0
20090416,18.5,18.5,17,17.4,100,0
20090417,18.5,18.5,17,17,560,0
20090420,18.5,18.5,17,17.2,60,0
20090421,18.5,18.5,16,16,200,0
20090422,16,18.5,16,16,1000,0
20090424,18.5,18.5,15.99,15.99,64,0
20090428,18.5,18.5,15,15,895,0
20090429,18.5,18.5,14.7,14.7,600,0
20090430,18.5,18.5,14.3,14.3,750,0
20090504,18.5,18.5,14.32,16.5,200,0
20090505,18.5,18.5,14.32,16.5,70,0
20090506,18.5,18.5,14.32,14.7,591,0
20090507,18.5,18.5,14.65,15,156,0
20090508,18.5,18.5,14.9,17,150,0
20090511,18.5,18.5,16,17,70,0
20090512,18.5,18.5,15.5,15.5,165,0
20090514,18.5,18.5,15,15,70,0
20090520,15,18.5,15,15,350,0
20090525,18.5,20.02,15,20,2004,0
20090602,18.5,19.5,14.75,18,162,0
20090611,18.5,19,15,18,65,0
20090612,18.5,18.5,18,18,200,0
20090615,18.5,18.5,15,15,300,0
20090629,18.5,18.5,16,16,500,0
20090701,18.5,18.5,16,16.1,55,0
20090706,18.5,18.5,16,16.5,400,0
20090709,18.5,18.5,16.2,16.7,70,0
20090715,18.5,18.5,16.5,16.5,150,0
20090716,18.5,18.5,17,17,30,0
20090717,18.5,18.5,16.9,17.2,166,0
20090721,18.5,18.5,16.85,17.2,300,0
20090804,18.5,19,17.8,18,501,0
20090805,18.5,19,17,18,1072,0
20090807,18.5,19.2,17.8,19.1,100,0
20090811,18.5,18.7,18.5,18.51,9,0
20090812,18.7,19.8,18.06,19.8,710,0
20090814,18.06,19.7,18.06,19.7,250,0
20090818,18.06,19.5,18,18.9,600,0
20090819,18.06,19.8,17.8,17.8,350,0
20090820,18.06,19.8,17.85,17.85,110,0
20090824,18.06,19,17.85,19,555,0
20090825,18.06,20.5,18.06,20.5,90,0
20090827,18.06,22.5,18.06,20,129,0
20090828,18.06,21,18.06,20,828,0
20090902,18.06,19,18.06,19,100,0
20090904,18.06,19.5,18.06,19.49,80,0
20090908,18.06,19.5,18.06,18.5,225,0
20090909,18.06,19,18.06,19,717,0
20090910,18.06,19,18.06,18.8,100,0
20090911,18.06,18.98,18.06,18.81,204,0
20090917,18.06,19.3,18.06,19.3,2500,0
20090918,18.06,19,18.06,18.5,150,0
20090921,19,19.1,18.75,19.01,240,0
20091001,18.87,19,17.74,18.2,790,0
20091006,19.29,20,18.3,19.99,458,0
20091008,20.3,20.3,19.3,20,200,0
20091013,19.7,19.9,19.4,19.9,10,0
20091014,19.9,20,19.4,20,185,0
20091015,20.3,20.3,19.5,19.5,30,0
20091027,19.5,19.5,18.9,18.9,100,0
20091029,18.3,18.9,18.3,18.89,10,0
20091102,19.18,19.18,18.09,18.1,300,0
20091103,18.37,18.47,18.1,18.47,720,0
20091104,18.19,18.41,18.1,18.1,1025,0
20091105,18.37,18.47,17.8,18.47,1000,0
20091106,18.62,18.62,18.4,18.45,200,0
20091113,18.17,18.8,18.17,18.8,226,0
20091119,18.5,19,18.5,18.95,113,0
20091123,18.67,18.67,18.1,18.1,113,0
20091127,18,18.75,18,18.75,120,0
20091201,18.22,19,18.22,19,200,0
20091208,18,18,18,18,1,0
20091209,18,18,18,18,121,0
20091210,17.73,18,17.73,18,1,0
20091216,18,18.5,18,18.5,200,0
20091217,17.58,18.32,17.58,18.32,100,0
20091222,17.58,18.51,17.58,18.51,1,0
20100104,17.58,19,17.58,19,20,0
20100105,18.05,19.7,18.05,19.2,200,0
20100107,18.24,19.505,18.24,19.505,30,0
20100112,18.53,19.5,18.53,19.5,550,0
20100128,18.05,19,18.05,19,20,0
20100202,17.77,18.7,17.6,17.6,219,0
20100204,16.63,18.05,16.63,18.05,100,0
20100212,17.5,19,17.5,19,200,0
20100218,18,18,17.8,17.8,225,0
20100222,17.5,19,17.5,19,200,0
20100223,18.05,18.5,17.8,18.5,11,0
20100304,16.91,19.5,16.91,19.5,103,0
20100305,18.05,22,18.05,21.9,2000,0
20100308,21.5,22,21.5,22,320,0
20100309,20.9,21,20.9,21,60,0
20100319,19,20.45,19,20.45,100,0
20100322,19.43,20.15,19.43,19.5,500,0
20100323,18.53,19.5,18.53,19.5,80,0
20100329,20,20.6,20,20,300,0
20100407,19,21,19,19.95,40,0
20100408,19.95,20,19.95,20,50,0
20100413,18.62,20.2,18.62,20.2,260,0
20100420,19.2,21.5,19.2,20.8,202,0
20100421,19.76,21,19.76,21,100,0
20100422,19.95,21,19.95,21,1000,0
20100427,19.48,22,19.48,22,590,0
20100428,20.9,21.5,19.95,21,606,0
20100429,19.95,21.01,19.95,21,120,0
20100430,19.96,24,19.96,23,5351,0
20100503,22.33,23.3,21.99,23.3,267,0
20100504,22.14,24.7,22.14,24.615,1445,0
20100505,24.61,25,24.3,24.3,1250,0
20100506,23.75,24.57,23.75,24.57,120,0
20100512,22.42,24.685,22.42,24.2,20,0
20100514,22.99,24.5,22.99,24.5,1000,0
20100524,22.99,24.2,22.99,24.2,1,0
20100526,22.99,24.4,22.99,24.4,500,0
