Date,Open,High,Low,Close,Volume,OpenInt
20010724,4.0362,4.238,3.9554,4.1169,75072,0
20010725,4.1327,4.1327,3.6253,4.028,39970,0
20010726,4.0362,4.1169,4.0362,4.1169,11273,0
20010727,4.1169,4.1169,4.02,4.1169,3593,0
20010730,4.1488,4.1488,4.028,4.028,3476,0
20010731,4.0289,4.0289,3.9885,3.9885,6702,0
20010801,3.9104,3.9507,3.87,3.87,33984,0
20010802,3.9026,4.1525,3.9026,4.0477,28649,0
20010803,3.9877,4.0441,3.9475,4.028,9185,0
20010806,4.0924,4.0924,3.9877,4.028,5958,0
20010807,4.0699,4.0699,3.949,3.949,1985,0
20010808,4.0739,4.1465,4.0335,4.1465,5455,0
20010809,4.0675,4.0675,4.0675,4.0675,1366,0
20010810,4.116,4.1564,4.0756,4.1564,3221,0
20010813,4.1572,4.1572,4.1169,4.1169,1487,0
20010814,4.1564,4.1564,4.1564,4.1564,247,0
20010815,4.1481,4.1481,4.0675,4.0675,6456,0
20010816,4.1137,4.1137,3.7104,3.7911,24176,0
20010817,3.7516,3.7516,3.7516,3.7516,124,0
20010820,3.8012,4.0675,3.8012,4.0675,19453,0
20010821,4.1102,4.1506,3.949,3.949,24692,0
20010822,4.1086,4.1086,4.028,4.028,5835,0
20010823,4.1086,4.1086,4.028,4.028,4965,0
20010827,4.0296,4.0296,3.949,3.949,372,0
20010828,4.0699,4.0699,3.949,3.949,1240,0
20010829,3.9553,4.0764,3.8343,4.028,10406,0
20010830,3.9139,3.9139,3.7121,3.7121,36804,0
20010831,3.7525,3.7525,3.7121,3.7121,3346,0
20010903,3.657,3.6731,3.5443,3.5443,11919,0
20010904,3.5055,3.5055,2.8205,3.0705,31891,0
20010905,3.1008,3.294,3.0605,3.0605,25081,0
20010906,3.1023,3.1427,2.9815,2.9815,6081,0
20010907,3.1899,3.2381,3.1899,3.2381,1490,0
20010910,3.2786,3.2786,3.1494,3.1494,6810,0
20010911,3.2677,3.2677,2.3399,2.3399,1736,0
20010912,2.4171,2.4978,2.4171,2.4978,5461,0
20010913,2.4194,2.9033,2.4194,2.8631,14384,0
20010914,2.9807,3.021,2.739,3.021,10179,0
20010917,2.8203,2.9815,2.8203,2.9815,6949,0
20010918,3.0557,3.0557,2.9026,2.9026,1365,0
20010919,3.0605,3.0605,3.0605,3.0605,372,0
20010920,3.1,3.1,2.9793,3.1,8321,0
20010921,3.1346,3.1346,2.9815,2.9815,7942,0
20010925,3.2301,3.2301,3.1494,3.1494,8173,0
20010926,3.2234,3.4653,3.2234,3.4653,3474,0
20010927,3.4653,3.4653,3.4653,3.4653,1240,0
20010928,3.4637,3.5443,3.4637,3.5443,1862,0
20011001,3.5443,3.5443,3.5443,3.5443,2483,0
20011002,3.7075,4.1508,3.5866,4.0379,27297,0
20011004,4.115,4.115,3.8326,4.1069,7560,0
20011005,4.0361,4.1005,4.028,4.028,6206,0
20011008,4.02,4.028,4.02,4.028,248,0
20011010,3.9877,4.1005,3.9877,4.028,2483,0
20011011,4.1086,4.1086,4.028,4.028,7572,0
20011015,4.0683,4.0683,4.028,4.028,6951,0
20011017,3.7112,3.792,3.7112,3.7516,1363,0
20011018,3.9716,4.2057,3.9151,4.2057,15857,0
20011019,4.1975,4.3187,3.9958,4.1169,21927,0
20011022,4.1536,4.1536,4.0972,4.0972,620,0
20011023,4.0362,4.1169,4.0362,4.1169,2602,0
20011024,4.1169,4.1169,4.1169,4.1169,124,0
