Date,Open,High,Low,Close,Volume,OpenInt
20000103,3.2023,3.3077,3.2023,3.2293,13635,0
20000104,3.2173,3.2773,3.1423,3.1877,24279,0
20000105,3.1423,3.2353,3.037,3.232,98109,0
20000106,3.1877,3.2473,3.1877,3.2473,16959,0
20000107,3.2473,3.3977,3.232,3.3977,24942,0
20000110,3.3497,3.3977,3.3227,3.3707,45564,0
20000111,3.353,3.353,3.2173,3.2447,65184,0
20000112,3.2773,3.2773,3.2173,3.2473,15630,0
20000113,3.2473,3.2837,3.172,3.1877,23943,0
20000114,3.232,3.2807,3.172,3.172,46563,0
20000117,3.2173,3.2173,3.037,3.037,38913,0
20000118,3.0821,3.1877,3.0821,3.1093,28935,0
20000119,3.097,3.1272,3.037,3.0821,38577,0
20000120,3.037,3.037,3.0068,3.037,14304,0
20000121,3.0821,3.0821,3.037,3.0821,16959,0
20000124,3.097,3.1423,3.0159,3.1423,117732,0
20000125,3.1272,3.1272,3.0068,3.0068,41571,0
20000126,3.0068,3.0217,2.8566,2.8566,59865,0
20000127,2.9437,2.9948,2.8866,2.9618,40908,0
20000128,2.9166,2.9798,2.8566,2.8566,52548,0
20000131,2.8866,2.9166,2.6521,2.7062,87468,0
20000201,2.7062,2.7363,2.646,2.7092,108417,0
20000202,2.7212,2.7272,2.7062,2.7062,13302,0
20000203,2.7363,2.8295,2.7363,2.8264,25938,0
20000204,2.8505,2.9016,2.8264,2.9016,35589,0
20000207,2.8866,2.9317,2.8866,2.8896,15966,0
20000208,2.9467,3.1093,2.9437,3.1093,104097,0
20000209,3.1213,3.2023,3.097,3.1272,72501,0
20000210,3.172,3.172,3.097,3.1693,25278,0
20000211,3.1243,3.1243,2.9016,3.0068,207189,0
20000214,2.9768,2.9768,2.7062,2.7212,144999,0
20000215,2.7603,2.8385,2.7062,2.7062,105090,0
20000216,2.7453,2.7814,2.7062,2.7513,326919,0
20000217,2.7122,2.7513,2.7062,2.7062,46563,0
20000218,2.7062,2.7212,2.6731,2.7062,23943,0
20000221,2.7062,2.7363,2.6821,2.7062,60858,0
20000222,2.7001,2.7062,2.6791,2.7062,18624,0
20000223,2.7212,2.7212,2.622,2.622,21282,0
20000224,2.6611,2.6611,2.631,2.646,10641,0
20000225,2.6851,2.9166,2.6851,2.8625,50553,0
20000228,2.8205,2.8205,2.7332,2.7723,18624,0
20000229,2.8114,2.8926,2.8114,2.8926,17628,0
20000301,2.8836,2.8956,2.8264,2.8956,11973,0
20000302,2.8655,2.8866,2.7663,2.7663,54540,0
20000303,2.7663,2.7663,2.7062,2.7062,32589,0
20000306,2.7363,2.7422,2.6761,2.7062,82146,0
20000307,2.6671,2.6761,2.6581,2.6581,10974,0
20000308,2.631,2.7212,2.631,2.6912,55872,0
20000309,2.7242,2.7242,2.6671,2.7062,43233,0
20000310,2.7092,2.8956,2.7062,2.8595,194886,0
20000313,2.8174,2.8234,2.7062,2.7363,37584,0
20000314,2.7062,2.7062,2.5558,2.5588,115731,0
20000315,2.5859,2.6791,2.5859,2.649,125712,0
20000316,2.6821,2.7723,2.6821,2.7363,41571,0
20000317,2.7212,2.7573,2.7062,2.7062,30264,0
20000320,2.7543,2.7693,2.7182,2.7212,13968,0
20000321,2.7422,2.7994,2.7422,2.7994,27936,0
20000322,2.7994,2.8385,2.7814,2.7964,33924,0
20000323,2.8324,2.8324,2.7062,2.7062,55209,0
20000324,2.7062,2.7062,2.6912,2.7062,56865,0
20000327,2.7393,2.7964,2.7212,2.7964,55209,0
20000328,2.7964,2.8415,2.7964,2.8264,21618,0
20000329,2.8415,2.8776,2.8415,2.8415,44895,0
20000330,2.8566,2.8625,2.7964,2.8566,15300,0
20000331,2.8505,2.8625,2.7814,2.7814,14964,0
20000403,2.8144,2.9166,2.8144,2.8866,38244,0
20000404,2.8956,2.9858,2.8595,2.9287,94782,0
20000405,2.9016,2.9317,2.8836,2.8836,8313,0
20000406,2.8566,2.9106,2.7513,2.7663,107085,0
20000407,2.7964,2.8024,2.7122,2.7663,71169,0
20000410,2.7814,2.7964,2.7363,2.7363,3990,0
20000411,2.7663,2.7663,2.7212,2.7212,6981,0
20000412,2.7843,2.7843,2.7272,2.7814,6318,0
20000413,2.7663,2.8566,2.7663,2.7663,46563,0
20000414,2.8144,2.8144,2.646,2.7122,68175,0
20000417,2.6971,2.7814,2.6971,2.7603,4323,0
20000418,2.7363,2.7693,2.7062,2.7693,32589,0
20000419,2.7843,2.8415,2.7723,2.8415,18957,0
20000420,2.8475,2.8655,2.7873,2.8415,18291,0
20000425,2.8566,2.8716,2.7513,2.7513,32589,0
20000426,2.8385,2.8385,2.7212,2.7663,40908,0
20000427,2.7964,2.7964,2.7663,2.7663,2325,0
20000428,2.7964,2.7964,2.6881,2.7513,56205,0
20000502,2.6912,2.7994,2.6912,2.7994,40575,0
20000503,2.7994,2.8174,2.7543,2.8174,64188,0
20000504,2.8205,2.8625,2.7663,2.8505,202869,0
20000505,2.8415,2.8716,2.7663,2.8144,121392,0
20000508,2.8114,2.8114,2.8114,2.8114,8313,0
20000510,2.8114,2.8174,2.7663,2.8174,15300,0
20000511,2.8205,2.8205,2.6761,2.7062,54540,0
20000512,2.7543,2.7543,2.646,2.7363,73830,0
20000515,2.6912,2.7152,2.6611,2.7152,19293,0
20000516,2.7393,2.7393,2.6521,2.6761,26607,0
20000517,2.6791,2.6912,2.646,2.6791,34917,0
20000518,2.7062,2.7062,2.649,2.649,20949,0
20000519,2.6912,2.7032,2.6912,2.7032,3990,0
20000522,2.7032,2.7363,2.6912,2.7363,17628,0
20000523,2.7212,2.7212,2.6761,2.6761,51549,0
20000524,2.6641,2.7182,2.649,2.6581,18957,0
20000525,2.6581,2.6701,2.5859,2.5859,50220,0
20000526,2.643,2.643,2.5859,2.5859,11973,0
20000529,2.631,2.631,2.616,2.631,21282,0
20000530,2.616,2.7363,2.616,2.7001,95448,0
20000531,2.646,2.646,2.625,2.625,14634,0
