Date,Open,High,Low,Close,Volume,OpenInt
20070308,21.6938,22.6799,21.5952,22.67,79202,0
20070309,22.4337,22.7789,21.497,21.99,32755,0
20070312,21.7493,21.9959,21.6507,21.7,4562,0
20070313,22.0944,22.193,21.69,21.69,1926,0
20070314,21.2,21.2,20.6577,21.2,4057,0
20070315,21.7,21.7,21.5027,21.7,2230,0
20070316,21.6966,21.6966,21.45,21.45,304,0
20070319,22.04,22.04,22.04,22.04,203,0
20070320,22.0421,22.19,22.0421,22.19,608,0
20070321,21.89,21.89,21.89,21.89,608,0
20070322,22.1858,22.3239,21.4463,21.89,1116,0
20070323,22.1805,22.93,22.1805,22.93,3954,0
20070326,24.0485,24.65,24.0485,24.65,10751,0
20070327,24.9517,24.9517,24.36,24.36,2028,0
20070328,24.8472,24.8472,24.4528,24.65,406,0
20070329,23.89,23.89,23.89,23.89,304,0
20070403,24.65,24.65,24.65,24.65,811,0
20070404,24.65,24.65,24.65,24.65,507,0
20070405,24.641,24.641,23.3,23.3,6186,0
20070410,22.7878,22.7878,22.63,22.63,406,0
20070411,23.1118,23.94,23.1118,23.94,609,0
20070412,24.4572,24.6545,24.2501,24.26,9836,0
20070417,23.67,23.67,23.67,23.67,101,0
20070418,23.67,23.67,23.67,23.67,304,0
20070419,23.37,23.37,23.37,23.37,101,0
20070420,23.42,23.42,23.42,23.42,101,0
20070424,23.67,23.67,23.67,23.67,507,0
20070426,23.5517,23.67,23.5221,23.67,1622,0
20070427,23.6718,23.6718,23.08,23.08,1318,0
20070430,23.9067,23.9363,23.67,23.67,1724,0
20070502,23.1473,23.67,23.1473,23.67,5272,0
20070503,23.6714,23.77,23.6714,23.77,8010,0
20070504,23.672,23.82,23.672,23.82,2332,0
20070509,23.6732,23.6732,23.18,23.18,101,0
20070510,23.668,23.668,22.81,22.81,1622,0
20070511,23.1006,23.1006,21.7,21.7,1419,0
20070514,21.7677,22.1721,21.4718,21.6,2129,0
20070515,21.3225,22.7131,20.4053,21.5,6793,0
20070516,21.6986,21.6986,21.6,21.6,2028,0
20070517,21.5451,21.5451,21.2,21.2,3245,0
20070518,21.1993,21.6923,21.15,21.15,2840,0
20070521,21.2067,21.6999,21.2067,21.69,1825,0
20070522,21.5,21.6972,21.5,21.5,3752,0
20070523,21.4965,21.96,21.4965,21.96,1014,0
20070529,21.698,22.27,21.698,22.27,710,0
20070601,21.99,21.99,21.99,21.99,1014,0
20070605,22.02,22.3454,22.02,22.02,1217,0
20070606,21.9943,22.3,21.9943,22.3,406,0
20070611,22.1486,22.1881,21.7443,22.05,2941,0
20070612,22.1943,23.23,22.1943,23.23,2230,0
20070613,23.17,23.17,23.17,23.17,101,0
20070614,23.67,23.67,23.67,23.67,101,0
20070618,23.2755,23.67,23.1276,23.67,2028,0
20070619,23.2528,23.45,23.1542,23.45,3549,0
20070620,23.1769,23.67,23.0684,23.67,3954,0
20070621,23.18,23.18,22.8249,23.18,3041,0
20070622,23.12,23.12,23.12,23.12,101,0
20070625,23.6733,23.9199,23.6733,23.91,1521,0
20070627,23.77,23.77,23.77,23.77,101,0
20070628,23.87,23.87,23.87,23.87,1217,0
20070629,23.9202,23.9202,23.21,23.21,1521,0
20070702,23.5224,23.917,22.98,22.98,1521,0
20070703,22.746,23.1899,22.6868,23.18,17133,0
20070705,23.67,23.67,23.67,23.67,406,0
20070706,23.9107,23.96,23.7628,23.96,6694,0
20070709,25.01,25.01,25.01,25.01,507,0
20070710,25.1599,25.3473,25.15,25.15,1115,0
20070712,26.13,26.13,26.13,26.13,101,0
20070713,26.1331,26.991,25.64,25.64,3853,0
20070716,25.641,26.43,25.641,26.43,2028,0
20070717,26.63,26.63,26.63,26.63,304,0
20070718,26.3755,26.3755,24.4627,24.65,31846,0
20070719,25.4724,25.64,25.4724,25.64,1622,0
20070720,26.1355,26.5399,26.1355,26.53,608,0
20070724,26.632,26.78,26.632,26.78,406,0
20070726,27.6124,27.6124,27.07,27.07,710,0
20070730,25.5421,26.0549,24.98,24.98,1927,0
20070731,24.7486,24.7486,24.5415,24.65,609,0
20070802,23.87,23.87,23.87,23.87,710,0
20070806,23.8517,23.8517,21.15,21.15,11866,0
20070807,21.6928,21.89,21.4857,21.89,5172,0
20070808,21.14,21.14,21.14,21.14,101,0
20070809,21.3499,21.7345,20.63,20.63,2130,0
20070810,20.0394,20.71,20.0197,20.71,101,0
20070813,20.7096,20.8674,20.4137,20.68,2535,0
20070814,20.6606,20.7,20.6606,20.7,608,0
20070815,19.4411,19.52,19.4411,19.52,1318,0
20070816,19.197,19.197,16.3165,16.79,18044,0
20070817,16.7652,17.85,16.7652,17.85,3448,0
20070820,18.1598,19.6986,17.9625,18.87,1723,0
20070821,18.5393,19.0324,18.49,18.49,1724,0
20070822,18.9811,19.129,18.35,18.35,16125,0
20070823,19.1286,19.1286,19.0201,19.03,913,0
20070824,18.98,18.98,18.98,18.98,101,0
20070827,19.23,19.23,19.23,19.23,507,0
20070828,19.2303,19.3092,18.54,18.54,1420,0
20070829,18.73,18.73,18.73,18.73,101,0
20070830,19.08,19.1687,19.08,19.08,203,0
20070831,19.1807,19.23,19.1807,19.23,1115,0
20070904,19.15,19.15,19.15,19.15,1014,0
20070905,19.1114,19.21,19.1114,19.21,507,0
20070906,19.23,19.23,18.8848,19.23,1115,0
20070911,18.5351,19.63,18.5351,19.63,1318,0
20070913,19.43,19.43,19.2327,19.43,1115,0
20070917,19.7739,20.2671,19.34,19.34,2636,0
20070919,19.859,21.2197,19.859,21.2,1318,0
20070920,20.8338,21.4057,20.8338,21.1,913,0
20070921,21.4548,21.8,21.4548,21.8,101,0
20070924,21.4637,21.4637,21.01,21.01,2230,0
20070926,21.01,21.01,21.01,21.01,811,0
20071001,21.1,21.1,21.1,21.1,101,0
20071002,21.1095,21.4251,21.07,21.07,5272,0
20071003,21.07,21.07,21.07,21.07,507,0
20071004,20.71,20.71,20.71,20.71,101,0
20071011,20.706,21.83,20.706,21.83,710,0
20071012,21.1899,21.1899,21.0814,21.18,1521,0
20071016,21.42,21.42,21.42,21.42,101,0
20071019,20.7692,20.7692,20.71,20.71,1217,0
20071022,20.71,20.71,20.5128,20.71,5374,0
20071023,20.9217,20.9217,20.32,20.32,608,0
20071024,20.0083,20.0083,18.6869,19.18,2434,0
20071025,18.5916,18.5916,16.9347,17.99,11153,0
20071026,17.95,17.95,17.95,17.95,710,0
20071029,17.75,17.75,17.75,17.75,507,0
20071031,17.5673,17.5673,16.6894,17.37,6083,0
20071101,17.855,17.855,17.3322,17.49,1318,0
20071102,17.6,17.6493,17.6,17.6,203,0
20071105,17.65,17.65,17.65,17.65,101,0
20071106,17.303,17.51,17.2537,17.51,811,0
20071107,17.5094,17.5094,16.74,16.74,2027,0
20071108,16.2442,16.2442,15.83,15.83,1521,0
20071109,15.9144,15.9144,15.3327,15.52,1826,0
20071112,15.2576,15.7015,14.37,14.37,1014,0
20071113,14.0637,14.0637,13.3339,13.61,2535,0
20071114,13.5141,13.81,13.3858,13.81,4562,0
20071115,13.4382,13.4382,13.0635,13.31,2637,0
20071116,13.3087,13.3087,13.22,13.22,913,0
20071119,13.359,13.359,12.2252,12.59,1014,0
20071120,12.383,12.383,11.89,11.89,4970,0
20071121,11.6909,12.0954,11.543,11.76,4663,0
20071122,11.7314,11.83,11.5343,11.83,1420,0
20071126,12.1335,12.5971,11.66,11.66,13077,0
20071127,11.457,12.088,11.1711,11.95,6795,0
20071128,11.9538,12.23,11.9538,12.23,3346,0
20071129,12.4351,12.8,12.4351,12.8,608,0
20071130,12.5862,12.5862,11.7872,12.31,4258,0
20071203,12.2736,12.3032,11.83,11.83,3145,0
20071204,11.9345,12.3291,10.7608,10.82,11254,0
20071205,10.7479,10.9648,10.3535,10.6,13894,0
20071206,10.6532,10.7716,10.1107,10.16,2636,0
20071207,10.4501,10.8444,9.6121,9.76,16838,0
20071210,9.7141,10.01,9.7141,10.01,13385,0
20071211,9.8166,11.0795,9.8166,11.04,36084,0
20071212,11.0464,12.23,10.6618,11.51,21900,0
20071213,11.309,11.309,11.0428,11.24,8722,0
20071214,11.0901,11.5042,11.0409,11.1,32360,0
20071217,11.1391,11.1391,10.9124,11.08,1927,0
20071218,11.0599,11.0599,11.05,11.05,1926,0
20071219,11.3426,11.53,10.8494,11.53,11660,0
20071220,11.6985,11.6985,11.2053,11.59,2940,0
20071221,11.7813,11.87,11.5052,11.87,913,0
20071227,11.8,11.8,11.8,11.8,101,0
20071228,10.8447,11.17,10.4207,11.17,1521,0
20080103,10.9261,10.9656,10.65,10.65,6997,0
20080104,10.8105,10.85,10.7514,10.85,710,0
20080107,11.03,11.03,11.03,11.03,101,0
20080108,10.8401,10.85,10.8401,10.85,1217,0
20080109,10.6543,10.97,10.6543,10.97,203,0
20080110,11.045,11.045,10.69,10.69,1217,0
20080111,10.48,10.48,10.48,10.48,913,0
20080114,10.31,10.31,10.31,10.31,101,0
20080115,10.513,10.513,10.01,10.01,1420,0
20080116,9.86,9.86,9.86,9.86,406,0
20080122,9.64,9.64,9.64,9.64,101,0
20080123,9.9968,9.9968,9.77,9.77,913,0
