Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.302,0.34,0.251,0.3,43682,0
20090407,0.302,0.34,0.205,0.309,2000,0
20090408,0.248,0.32,0.205,0.293,3000,0
20090409,0.254,0.32,0.21,0.296,350,0
20090414,0.25,0.34,0.21,0.31,62430,0
20090415,0.25,0.31,0.21,0.25,23600,0
20090416,0.26,0.34,0.255,0.298,17237,0
20090417,0.26,0.298,0.256,0.284,9965,0
20090420,0.26,0.294,0.25,0.294,5035,0
20090421,0.26,0.294,0.212,0.271,30579,0
20090422,0.23,0.31,0.22,0.3,8871,0
20090423,0.3,0.31,0.231,0.265,15250,0
20090424,0.23,0.299,0.212,0.28,10020,0
20090428,0.228,0.299,0.228,0.23,450,0
20090429,0.231,0.298,0.22,0.25,4400,0
20090430,0.26,0.3,0.22,0.25,31830,0
20090504,0.244,0.29,0.22,0.29,25988,0
20090505,0.24,0.35,0.23,0.309,6861,0
20090506,0.249,0.35,0.249,0.3,13102,0
20090507,0.26,0.35,0.251,0.281,50844,0
20090508,0.252,0.35,0.251,0.26,15600,0
20090514,0.251,0.287,0.25,0.255,10600,0
20090515,0.23,0.295,0.221,0.246,33900,0
20090518,0.22,0.25,0.17,0.2,25783,0
20090519,0.223,0.3,0.18,0.265,46451,0
20090520,0.229,0.38,0.229,0.38,55169,0
20090521,0.33,0.38,0.23,0.28,721,0
20090522,0.312,0.38,0.23,0.38,6200,0
20090525,0.35,0.435,0.3,0.434,20810,0
20090526,0.43,0.475,0.28,0.416,17363,0
20090527,0.361,0.416,0.28,0.35,6000,0
20090528,0.32,0.42,0.28,0.42,3477,0
20090529,0.42,0.42,0.3,0.401,4515,0
20090601,0.38,0.42,0.35,0.392,5193,0
20090602,0.351,0.42,0.25,0.391,10981,0
20090603,0.362,0.45,0.27,0.35,17755,0
20090604,0.303,0.391,0.25,0.261,27007,0
20090605,0.262,0.391,0.25,0.3,8380,0
20090608,0.3,0.34,0.245,0.29,3710,0
20090609,0.272,0.34,0.25,0.27,3343,0
20090610,0.272,0.34,0.25,0.27,20406,0
20090611,0.273,0.34,0.15,0.18,42720,0
20090612,0.18,0.25,0.14,0.14,19626,0
20090615,0.144,0.188,0.124,0.188,26399,0
20090616,0.13,0.2,0.13,0.141,24100,0
20090617,0.142,0.198,0.1,0.15,11985,0
20090618,0.145,0.16,0.1,0.14,12150,0
20090619,0.14,0.14,0.1,0.14,1130,0
20090622,0.136,0.16,0.1,0.133,33472,0
20090623,0.125,0.198,0.1,0.158,26824,0
20090624,0.129,0.188,0.128,0.164,26206,0
20090625,0.14,0.19,0.12,0.18,12700,0
20090626,0.142,0.18,0.12,0.14,35670,0
20090629,0.139,0.198,0.125,0.132,2415,0
20090702,0.124,0.188,0.1,0.137,2080,0
20090706,0.123,0.188,0.123,0.135,3445,0
20090707,0.125,0.188,0.125,0.125,1040,0
20090708,0.124,0.125,0.115,0.125,500,0
20090709,0.126,0.13,0.125,0.13,1600,0
20090710,0.129,0.188,0.129,0.135,8400,0
20090714,0.13,0.188,0.12,0.13,6000,0
20090715,0.131,0.188,0.12,0.12,7855,0
20090717,0.16,0.16,0.1,0.1,4162,0
20090720,0.101,0.101,0.07,0.07,4167,0
20090721,0.08,0.11,0.076,0.11,6076,0
20090722,0.075,0.075,0.065,0.075,500,0
20090723,0.075,0.15,0.075,0.15,400,0
20090724,0.084,0.168,0.084,0.168,58253,0
20090727,0.17,0.25,0.13,0.18,148884,0
20090728,0.171,0.225,0.13,0.209,26600,0
20090729,0.17,0.26,0.17,0.201,14549,0
20090730,0.202,0.259,0.18,0.219,9605,0
20090731,0.2,0.32,0.2,0.305,64652,0
20090803,0.252,0.388,0.2,0.37,146802,0
20090804,0.33,0.5,0.3,0.481,35546,0
20090805,0.33,0.65,0.33,0.6,34880,0
20090806,0.48,0.58,0.4,0.45,45866,0
20090807,0.412,0.58,0.412,0.5,250,0
20090810,0.412,0.58,0.41,0.43,280,0
20090811,0.403,0.6,0.25,0.348,45649,0
20090812,0.272,0.33,0.262,0.33,16680,0
20090813,0.265,0.35,0.26,0.3,4525,0
20090814,0.265,0.4,0.22,0.35,36028,0
20090817,0.27,0.418,0.263,0.39,12000,0
20090818,0.283,0.4,0.27,0.335,2889,0
20090819,0.272,0.418,0.272,0.418,6674,0
20090821,0.35,0.42,0.3,0.35,203,0
20090824,0.353,0.48,0.3,0.382,9300,0
20090825,0.36,0.41,0.3,0.41,5930,0
20090826,0.36,0.42,0.3,0.34,8974,0
20090827,0.26,0.4,0.26,0.3,250,0
20090901,0.3,0.365,0.26,0.32,1050,0
20090902,0.32,0.42,0.26,0.42,385,0
20090903,0.331,0.365,0.26,0.35,3198,0
20090904,0.331,0.365,0.26,0.35,12466,0
20090907,0.26,0.365,0.26,0.3,200,0
20090908,0.331,0.365,0.25,0.331,7000,0
20090909,0.281,0.4,0.28,0.3,2800,0
20090910,0.283,0.35,0.25,0.25,473,0
20090911,0.29,0.35,0.29,0.29,50,0
20090914,0.29,0.35,0.26,0.26,250,0
20090915,0.293,0.35,0.29,0.293,1750,0
20090916,0.292,0.38,0.29,0.38,13697,0
20090917,0.292,0.32,0.292,0.32,10525,0
20090918,0.321,0.35,0.29,0.295,1468,0
20090921,0.29,0.35,0.29,0.315,410,0
20090922,0.292,0.315,0.29,0.315,100,0
20090923,0.29,0.34,0.29,0.315,7500,0
20090924,0.29,0.315,0.29,0.301,550,0
20090925,0.302,0.34,0.292,0.292,12223,0
20090930,0.292,0.346,0.25,0.346,400,0
20091001,0.29,0.346,0.29,0.292,1500,0
20091002,0.34,0.34,0.292,0.321,1977,0
20091005,0.302,0.339,0.293,0.32,3700,0
20091006,0.3,0.339,0.29,0.339,1000,0
20091007,0.301,0.34,0.291,0.34,680,0
20091008,0.304,0.38,0.2,0.38,4832,0
20091012,0.253,0.38,0.2,0.292,400,0
20091013,0.252,0.38,0.2,0.291,7000,0
20091014,0.34,0.38,0.3,0.355,7310,0
20091015,0.3,0.409,0.28,0.28,14701,0
20091016,0.301,0.355,0.3,0.35,3000,0
20091019,0.3,0.36,0.26,0.335,2350,0
20091026,0.302,0.379,0.3,0.34,5200,0
20091028,0.3,0.34,0.26,0.32,1700,0
20091029,0.26,0.32,0.2,0.3,5572,0
20091103,0.261,0.32,0.261,0.3,550,0
20091105,0.3,0.3,0.26,0.26,2639,0
