Date,Open,High,Low,Close,Volume,OpenInt
20010801,11.788,11.788,11.788,11.788,1959,0
20010802,12.095,12.095,12.095,12.095,981,0
20010808,12.095,12.095,12.095,12.095,981,0
20010809,11.942,11.942,11.634,11.637,41153,0
20010810,11.341,11.482,11.328,11.482,11758,0
20010813,11.482,11.482,11.482,11.482,24495,0
20010816,11.681,11.681,11.681,11.681,9798,0
20010817,11.497,11.497,11.497,11.497,1959,0
20010822,11.485,11.485,11.485,11.485,4900,0
20010823,11.634,11.634,11.634,11.634,7838,0
20010824,11.788,11.788,11.634,11.788,15677,0
20010831,11.328,11.328,11.268,11.268,2941,0
20010904,11.268,11.268,11.268,11.268,981,0
20010905,11.175,11.175,11.175,11.175,654,0
20010906,11.175,11.482,11.024,11.482,17635,0
20010907,10.716,11.024,10.564,10.564,3919,0
20010910,10.41,10.41,10.41,10.41,7185,0
20010917,10.104,10.104,10.104,10.104,4573,0
20010918,10.135,10.135,10.104,10.135,18617,0
20010920,10.35,10.35,10.101,10.135,37231,0
20010921,9.951,9.951,9.1852,9.4307,20576,0
20010925,9.645,9.645,9.4918,9.4918,7838,0
20010926,9.829,10.35,9.829,10.35,2941,0
20010927,10.26,10.26,10.26,10.26,2614,0
20010928,10.716,11.004,10.716,11.004,4900,0
20011002,11.145,11.145,11.145,11.145,981,0
20011004,11.308,11.308,11.305,11.305,981,0
20011008,11.299,11.308,11.024,11.024,3919,0
20011009,11.024,11.024,11.024,11.024,981,0
20011015,11.024,11.024,10.41,10.426,13717,0
20011017,10.716,10.716,10.716,10.716,981,0
20011018,10.41,10.714,10.41,10.714,2941,0
20011019,10.716,11.175,10.716,11.175,6860,0
20011023,10.763,10.778,10.716,10.716,20576,0
20011024,10.716,10.806,10.716,10.716,6860,0
20011025,10.716,10.716,10.471,10.716,1959,0
20011026,11.328,11.328,11.145,11.225,5225,0
20011029,11.782,11.782,11.782,11.782,327,0
20011031,10.796,10.796,10.796,10.796,327,0
20011102,11.452,11.788,11.452,11.788,5878,0
20011106,11.766,11.942,11.752,11.942,7838,0
20011107,11.942,11.942,11.942,11.942,6532,0
20011108,12.174,12.523,12.174,12.523,2941,0
20011109,12.217,12.551,11.852,12.551,5878,0
20011112,12.553,12.553,12.553,12.553,1633,0
20011113,12.553,12.553,12.523,12.553,22536,0
20011114,12.311,12.311,12.311,12.311,1959,0
20011115,13.007,13.007,12.553,12.585,31680,0
