Date,Open,High,Low,Close,Volume,OpenInt
20081202,262.93,263.75,262.93,263.75,242,0
20081203,272,272,267.88,267.88,121,0
20081208,272,274.46,272,274.46,121,0
20081209,272.01,277.61,272.01,272.01,121,0
20081210,272.01,276.54,272.01,272.01,364,0
20081212,272,276.12,272,274.38,485,0
20081216,272.01,273.92,272.01,272.01,971,0
20081218,274.46,274.46,267.87,274.46,242,0
20081223,280.24,283.75,277.77,281.07,364,0
20081229,286.83,307.44,286.02,307.44,242,0
20081230,304.96,304.96,291.77,296.72,850,0
20090105,307.45,325.56,307.45,311.58,121,0
20090108,306.21,306.21,294.25,306.2,121,0
20090109,307.44,309.25,307.44,309.25,485,0
20090112,309.18,312.39,307.44,311.56,121,0
20090113,307.44,307.44,286.01,288.48,242,0
20090116,267.87,267.87,257.16,263.75,121,0
20090119,257.16,267.88,257.16,267.88,121,0
20090121,259.64,260.46,259.64,260.46,121,0
20090128,237.38,250.57,237.38,247.28,728,0
20090130,250.98,263.75,250.98,255.51,242,0
20090202,255.51,255.51,255.51,255.51,242,0
20090205,255.51,261.28,255.51,261.28,242,0
20090206,263.76,272.01,259.82,272.01,364,0
20090211,277.6,279.26,269.53,269.53,121,0
20090213,267.88,272.01,265.4,272.01,121,0
20090224,259.64,259.64,247.28,247.28,121,0
20090227,239.03,239.03,234.89,234.89,121,0
20090302,234.91,234.91,226.83,226.83,121,0
20090303,226.83,234.92,225.02,225.02,121,0
20090304,220.51,220.51,214.3,216.77,121,0
20090306,205.14,206.88,201.94,201.94,121,0
20090310,189.74,200.29,189.74,200.29,121,0
20090311,197.81,206.06,192.23,206.06,607,0
20090312,204.41,211.81,201.93,211.81,364,0
20090319,204.42,215.12,204.42,210.2,242,0
20090320,204.41,209.35,204.41,204.42,121,0
20090327,214.31,215.95,211.01,213.48,121,0
20090330,214.3,217.6,210.18,212.66,607,0
20090331,217.51,217.59,215.12,215.12,121,0
20090401,215.54,218.01,214.3,218.01,121,0
20090403,226.66,240.67,226.66,240.67,121,0
20090406,232.45,249.74,232.45,249.74,121,0
20090407,255.51,257.16,248.1,255.51,121,0
20090408,255.52,272.01,255.52,272.01,485,0
20090409,273.65,301.67,273.65,292.61,485,0
20090414,292.6,300.84,290.96,290.96,121,0
20090415,296.73,296.73,290.59,290.59,121,0
20090416,286.43,286.43,263.75,263.75,242,0
