Date,Open,High,Low,Close,Volume,OpenInt
20090406,201.84,229.11,201.84,221.37,1589,0
20090407,220.6,229.12,216.61,219.49,877,0
20090408,221.42,221.42,216.61,221.21,982,0
20090409,220.45,240.61,217.61,230.18,2029,0
20090414,230.18,232.97,229.21,230.08,1722,0
20090415,230.08,230.08,224.07,224.07,689,0
20090416,225.25,225.51,221.13,223.59,1752,0
20090417,223.09,238.74,223.09,235.97,1102,0
20090420,235.97,235.97,222.38,223.59,1296,0
20090421,223.34,225.43,206.97,218.73,1944,0
20090422,218.73,231.05,216.61,224.29,506,0
20090423,224.29,230.08,222.38,227.32,747,0
20090424,228.16,234.89,228.16,232.68,1306,0
20090427,234.38,244.04,228.98,241.63,1874,0
20090428,241.63,248.37,230.08,235.62,3692,0
20090429,234.46,248.37,228.16,246.45,2741,0
20090430,246.45,252.17,240.67,241.97,2260,0
20090504,241.97,258.97,241.97,257.4,1573,0
20090505,258.43,259.93,250.32,256.5,525,0
20090506,255.11,265.7,255.11,263,960,0
20090507,261.33,270.56,257.03,267.14,3865,0
20090508,267.14,277.74,267.14,272.89,1434,0
20090511,272.89,277.74,269.55,270.98,1002,0
20090512,272.44,283.03,269.55,275.71,2613,0
20090513,275.33,283.03,275.33,281.59,4691,0
20090514,278.64,280.15,269.55,278.22,6474,0
20090515,278.22,278.22,269.61,271.01,1023,0
20090518,274.36,278.22,269.75,272.88,1475,0
20090519,274.9,282.07,272.44,278.31,628,0
20090520,278.31,283.94,271.01,281.52,1151,0
20090521,283.02,283.02,274.38,279.72,270,0
20090522,279.72,281.1,270.74,279.58,1132,0
20090525,279.58,283.99,274.37,275.76,2606,0
20090526,275.71,277.26,271.47,276.81,1159,0
20090527,276.81,279.17,270.48,277.8,1319,0
20090528,276.38,279.29,272.44,273.91,1894,0
20090529,273.4,283.99,272.68,274.19,1456,0
20090601,274.19,278.65,267.63,269.55,804,0
20090602,269.55,296.03,260.5,294.43,3269,0
20090603,296.03,307.82,285.91,290.73,6084,0
20090604,290.73,296.51,286.89,294.92,6381,0
20090605,296.51,304.89,293.62,303.25,1435,0
20090608,303.23,310.95,293.73,299.18,1833,0
20090609,299.18,307.96,298.45,305.64,1648,0
20090610,305.63,329.13,305.63,322.6,1258,0
20090611,322.61,325.39,309.99,321.13,871,0
20090612,321.13,324.42,309.99,314.87,8261,0
20090615,314.87,321.53,286.5,298.91,2459,0
20090616,298.91,307.1,289.79,297.32,1037,0
20090617,297.32,301.32,293.67,299.39,783,0
20090618,299.39,299.39,285.91,290.37,903,0
20090619,288.8,298.42,288.8,293.95,217,0
20090622,292.66,293.95,285.91,286.9,630,0
20090623,285.91,293.6,285.91,288.57,795,0
20090624,288.57,295.55,288.57,295.55,511,0
20090625,293.92,298.42,287.84,293.84,435,0
20090626,292.27,298.43,289.4,296.82,440,0
20090629,303.23,310.83,299.22,303.53,753,0
20090630,305.18,315.28,304.42,309.28,524,0
20090701,309.28,322.09,308.06,322.09,962,0
20090702,322.09,328.71,317.67,324.64,1072,0
20090703,324.64,330.1,323.47,325.75,511,0
20090706,325.75,329.72,320.6,328.16,1385,0
20090707,328.16,338.86,323.47,332.48,1931,0
20090708,332.48,332.48,315.83,318.18,1213,0
20090709,318.18,322.5,311.39,314.35,994,0
20090710,314.35,314.35,308.06,313.83,599,0
20090713,313.83,313.83,302.78,312.41,660,0
20090714,308.09,326.35,303.24,317.68,856,0
20090715,316.29,322.09,309.99,322.09,621,0
20090716,322.09,332.12,316.72,324.03,1154,0
20090717,324.03,332.11,322.5,322.5,638,0
20090720,322.9,327.31,319.61,320.48,694,0
20090721,318.64,327.31,317.66,317.66,256,0
20090722,317.66,324.16,311.71,317.88,787,0
20090723,317.88,324.02,312.87,319.06,802,0
