Date,Open,High,Low,Close,Volume,OpenInt
20160811,101.65,103.8,101.65,102.9,38791,0
20160812,102.3,104.1,101.15,102.35,24812,0
20160815,102.4,103.3,102.15,103.1,12846,0
20160816,101,103.7,101,102,23511,0
20160817,101.6,104.3,101.5,102.85,33446,0
20160818,104.45,104.45,101.7,101.7,17702,0
20160819,101.5,103.05,101.35,102.25,7728,0
20160822,101.25,103,100.45,101.55,13069,0
20160823,102.5,103,100.85,100.85,12716,0
20160824,100.1,101.4,98.55,100.05,21530,0
20160825,98.8,103,98.8,100.65,19603,0
20160826,101,101,98,100,31352,0
20160829,99,102.55,98.6,101.95,20887,0
20160830,100.3,103.45,100.3,103,36163,0
20160831,103.5,104.45,101,101.95,26228,0
20160901,103,103.1,98.35,98.72,29055,0
20160902,99.9,99.9,97.37,97.5,18424,0
20160905,98,98,94.38,94.75,13723,0
20160906,95.5,95.5,91.78,92.6,47355,0
20160907,92.39,93.24,89.03,90.7,28245,0
20160908,90.1,91,88.29,88.44,35096,0
20160909,88.27,88.92,85.55,86.57,31471,0
20160912,85.4,86.2,81.85,83.63,122359,0
20160913,82.7,86.2,82.7,85.19,42833,0
20160914,84.71,86.74,83.1,84.01,27328,0
20160915,84.98,84.98,82.73,82.93,13970,0
20160916,82.13,83.4,81.2,82.81,31304,0
20160919,82.79,87.3,82.51,86.87,26098,0
20160920,87.8,90.16,87.27,87.85,24959,0
20160921,88.1,88.3,85.51,86,9790,0
20160922,86.5,87.75,86.13,87.3,12561,0
20160923,88.4,89,87.8,88,7501,0
20160926,89.51,89.78,86.16,86.2,6613,0
20160927,87.8,87.88,86.09,86.29,8080,0
20160928,87.78,87.78,84.73,85.57,11571,0
20160929,87.04,87.48,85.43,85.65,7315,0
20160930,86.8,89,85.09,87.37,14854,0
20161004,87.3,88.81,86.2,86.6,19344,0
20161005,87.9,88.7,86.5,87.17,7015,0
20161006,87,88.2,85.18,85.18,15377,0
20161007,85.3,85.5,84.32,85.14,9709,0
20161010,85.55,85.84,84.52,85.65,8086,0
20161011,86,86.8,82.5,82.5,15664,0
20161012,82.68,83.3,82.32,82.81,8526,0
20161013,83.01,83.25,79.76,81.01,32484,0
20161014,81.4,81.93,80.7,81.5,8462,0
20161017,81.12,82.56,80.84,81.18,5035,0
20161018,82.5,82.5,81.07,81.4,3518,0
20161019,82.24,82.71,81.2,81.64,6536,0
20161020,81.05,81.51,80.5,80.96,10312,0
20161021,81.07,81.9,80.5,81,11478,0
20161024,80.6,81.18,80.6,80.81,9677,0
20161025,81.01,81.47,80.5,80.51,8828,0
20161026,80.5,81.2,79.94,79.94,8445,0
20161027,80.06,80.4,78.6,78.95,15092,0
20161028,79.2,79.2,75.91,75.91,9930,0
20161031,75.5,75.84,72.11,72.83,17501,0
20161101,73,74,71.5,71.55,15009,0
20161102,74.3,78,72.78,76.02,29716,0
20161103,76.8,78,76.16,76.22,11169,0
20161104,76.15,76.75,75.7,76.3,7488,0
20161107,77.6,77.79,76.39,76.76,7547,0
20161108,79.5,79.5,77.28,77.77,7665,0
20161109,75.45,77.5,75,76.64,12218,0
20161110,76.51,78.8,76.51,78.25,9677,0
20161111,78.99,81.92,78.36,81,45662,0
20161114,82.45,83.85,81.78,82.3,10855,0
20161115,83,84.7,83,83.67,7538,0
20161116,84.2,84.4,83.32,83.95,6743,0
20161117,84.4,87.41,84.19,87.28,10500,0
20161118,87.08,91,87.08,90,16334,0
20161121,90,93.5,89.5,91.8,17909,0
20161122,92.1,92.8,91.3,91.9,9880,0
20161123,91.37,92.39,91.37,91.75,7392,0
20161124,91.99,92,89.1,91.27,10149,0
20161125,90.44,91.42,90.18,91.42,3242,0
20161128,91.99,92,89.95,90,5034,0
20161129,89.23,89.6,87,88.12,12559,0
20161130,87.32,88.18,87.1,88.18,11026,0
20161201,88.18,88.44,86.89,87.57,7373,0
20161202,88.36,89.05,87.32,87.4,5856,0
20161205,88.19,89.44,85,86.07,9279,0
20161206,86.8,89.48,86.79,88.89,5768,0
20161207,89.23,90.44,87.04,90.44,10799,0
20161208,91.26,92,89.85,89.92,10150,0
20161209,90.5,91,87.81,88.46,10745,0
20161212,88.02,88.81,86.35,86.46,11118,0
20161213,86.1,87.19,83.31,83.31,13595,0
20161214,83.33,83.35,81.07,81.41,9800,0
20161215,81.32,86.21,79.5,83.7,19019,0
20161216,83.67,85.35,83,83.7,14911,0
20161219,83.67,84.69,83.5,83.73,10123,0
20161220,84.1,85,83.51,84.93,5668,0
20161221,84.18,88.69,84.18,87.24,17249,0
20161222,87.58,88.71,86.1,87,8177,0
20161223,87.4,89.45,86.22,87,11766,0
20161227,87.31,87.47,86.8,87.04,2058,0
20161228,86.61,89.45,86.4,87.81,9382,0
20161229,87.11,89.26,86.37,87.09,4555,0
20161230,87.88,89,86.35,88.55,5345,0
20170102,88.6,91,88.6,90.78,5306,0
20170103,91,93,89,92.49,16894,0
20170104,93.5,93.5,90.1,90.1,75256,0
20170105,89.28,90.75,87.26,90.09,31890,0
20170106,90,91.9,90,90.48,20535,0
20170109,91.5,91.5,90.1,90.1,8416,0
20170110,90.92,91.07,90.01,90.43,8325,0
20170111,91.14,91.24,90.1,90.14,4011,0
20170112,90.1,90.91,89.5,89.8,7439,0
20170113,90.1,90.32,89.77,90,4974,0
20170116,90.81,90.81,89.75,89.81,4056,0
20170117,90.2,90.2,89.41,89.9,14576,0
20170118,90.78,91.2,90.2,90.87,7984,0
20170119,91.4,91.4,90.51,90.51,3250,0
20170120,90.1,91.21,89.95,90.09,10357,0
20170123,89.9,90.89,89.9,90.35,3953,0
20170124,90.32,90.99,89.98,89.98,9099,0
20170125,90.64,90.64,89.37,89.37,8553,0
20170126,89.92,90.63,87.52,88.21,6162,0
20170127,88.35,89.63,88.3,88.77,5658,0
20170130,89,89.25,88.47,88.67,4863,0
20170131,88.95,89.89,88.25,88.33,15499,0
20170201,89,89.53,87.34,87.75,7641,0
20170202,87.84,88.11,87.49,88,3965,0
20170203,88,88.02,86.9,87.5,15079,0
20170206,87.14,88.62,87.04,87.47,5498,0
20170207,87.1,88.9,87,88.34,7070,0
20170208,88.9,88.9,87.38,87.38,4736,0
20170209,87.27,88.99,87.04,88.6,11658,0
20170210,89.4,89.92,89.21,89.3,5822,0
20170213,90.11,90.9,89.52,90.4,4163,0
20170214,90.18,93.2,90.1,93.1,22954,0
20170215,93.94,93.94,92.33,93.25,23739,0
20170216,93.11,94,92.85,93.8,13521,0
20170217,94.51,97.1,94.1,97,20706,0
20170220,97,100,96.9,99.8,21582,0
20170221,99.99,101.2,99.5,100.1,16342,0
20170222,100,100.35,98.5,99.9,13001,0
20170223,99.51,100.25,98.5,99.3,8218,0
20170224,99.05,99.79,97.9,98.84,9052,0
20170227,99.1,101,97.26,100.5,7631,0
20170228,100,101.35,99.3,99.5,12159,0
20170301,99.68,101.55,99.68,100.65,15156,0
20170302,100.8,101.45,98.5,100.4,12901,0
20170303,99.65,100.8,96.02,96.99,15497,0
20170306,97.87,98.21,93.74,95,21017,0
20170307,95.4,95.6,92,94.79,12801,0
20170308,94.28,98.52,93.67,98.09,10082,0
20170309,97.22,99.87,97.17,99,11516,0
20170310,99.64,101,97.62,98.23,10361,0
20170313,98.05,99,97.77,98.98,6950,0
20170314,98.29,99.5,98.29,98.97,3519,0
20170315,98.72,99.99,98.72,99.64,4145,0
20170316,99.44,101,99,100.1,11189,0
20170317,100.1,101.6,100.05,101,5891,0
20170320,102,106.05,101.35,103.5,25379,0
20170321,104.45,105,100.85,100.85,19313,0
20170322,99.53,101.5,95.5,99.15,14545,0
20170323,99.15,101.8,98.57,99,7476,0
