Date,Open,High,Low,Close,Volume,OpenInt
20090407,4.226,4.226,4.226,4.226,4547,0
20090709,4.266,4.398,4.266,4.398,1171,0
20090715,4.266,4.31,4.266,4.31,318,0
20090731,4.266,4.398,4.266,4.398,1193,0
20090806,4.266,4.398,4.266,4.398,341,0
20090811,4.266,4.442,4.266,4.442,4547,0
20090819,4.266,4.266,4.2,4.2,1227,0
20090911,4.244,4.244,4.244,4.244,795,0
20090914,4.244,4.31,4.244,4.31,2728,0
20091005,4.508,4.508,4.442,4.464,56,0
20091006,4.53,4.53,4.442,4.442,568,0
20091201,4.182,4.244,4.182,4.244,1819,0
20091221,4.121,4.182,4.121,4.182,1421,0
20100107,4.124,4.187,4.124,4.134,1403,0
20100108,4.145,4.288,4.145,4.288,682,0
20100211,4.31,4.354,4.31,4.354,568,0
20100212,4.31,5.057,4.31,5.057,3676,0
20100219,5.009,5.497,4.727,5.497,909,0
20100222,5.444,5.497,5.444,5.497,1898,0
20100225,4.934,5.708,4.727,5.708,2112,0
20100301,5.651,5.708,5.651,5.708,125,0
20100304,5.708,5.708,4.402,4.402,2273,0
20100305,5.629,5.761,4.402,5.761,2119,0
20100308,5.761,5.761,5.717,5.717,109,0
20100309,5.704,5.761,5.704,5.761,1937,0
20100315,5.704,5.761,5.704,5.717,1769,0
20100319,5.66,5.717,5.66,5.717,682,0
20100323,5.66,5.717,5.66,5.717,3774,0
20100324,5.66,5.66,4.398,4.398,1364,0
20100325,4.398,4.398,4.398,4.398,523,0
20100326,4.354,4.398,4.266,4.266,1614,0
20100331,4.134,5.717,3.078,5.585,31903,0
20100401,4.749,6.157,4.749,5.884,40343,0
20100406,5.884,6.651,5.884,6.552,22558,0
20100407,6.588,7.828,6.447,7.036,32181,0
20100408,6.43,6.816,6.324,6.324,4646,0
20100409,6.368,7.036,6.368,7.036,16173,0
20100412,6.306,6.905,6.306,6.532,9891,0
20100413,6.799,6.799,5.849,6.357,40670,0
20100414,6.297,6.297,5.937,5.937,26257,0
20100415,5.99,6.06,5.233,5.506,79354,0
20100416,5.664,5.937,5.497,5.937,32742,0
20100419,5.567,5.717,5.497,5.638,48187,0
20100420,5.444,5.647,5.295,5.409,69466,0
20100421,5.488,5.585,5.427,5.427,5045,0
20100422,5.4,5.453,5.383,5.383,62371,0
20100423,5.356,5.559,5.356,5.559,34447,0
20100426,5.479,5.761,5.479,5.761,7664,0
20100427,5.488,6.157,5.488,5.699,26247,0
20100428,5.576,5.805,5.418,5.805,27203,0
20100429,5.365,6.016,5.365,5.849,12374,0
