Date,Open,High,Low,Close,Volume,OpenInt
20000103,20.824,20.824,20.824,20.824,285,0
20000104,21.516,21.516,21.516,21.516,142,0
20000110,21.384,21.384,21.384,21.384,711,0
20000111,21.099,21.099,21.099,21.099,5687,0
20000112,21.029,21.029,20.748,20.748,4265,0
20000113,20.89,20.89,20.89,20.89,142,0
20000114,21.146,21.146,21.146,21.146,427,0
20000120,20.399,20.399,20.189,20.189,711,0
20000124,20.046,20.046,20.046,20.046,142,0
20000125,20.492,20.492,20.492,20.492,570,0
20000126,21.08,21.08,21.08,21.08,570,0
20000127,20.748,20.748,20.748,20.748,285,0
20000128,21.099,21.099,21.099,21.099,142,0
20000202,20.957,20.957,20.957,20.957,142,0
20000204,20.894,20.894,20.824,20.824,1137,0
20000207,20.606,20.606,20.606,20.606,142,0
20000210,21.15,21.804,21.15,21.241,3697,0
20000214,21.803,21.803,21.099,21.099,1707,0
20000215,21.099,21.099,21.099,21.099,1991,0
20000217,21.099,21.099,21.099,21.099,285,0
20000218,21.514,21.592,21.514,21.592,711,0
20000224,22.161,22.161,22.161,22.161,285,0
20000225,22.512,22.512,22.512,22.512,568,0
20000228,21.877,21.877,21.877,21.877,142,0
20000303,22.085,22.085,22.085,22.085,142,0
20000306,22.026,22.026,21.45,21.45,1137,0
20000308,21.512,21.948,21.512,21.801,1564,0
20000309,21.033,21.033,21.033,21.033,427,0
20000314,21.105,21.886,21.105,21.886,1279,0
20000315,22.433,22.433,21.801,21.801,142,0
20000320,21.804,22.028,21.804,22.028,1137,0
20000322,21.59,21.59,21.45,21.45,4408,0
20000328,20.502,20.502,20.502,20.502,285,0
20000329,20.682,20.682,20.682,20.682,711,0
20000404,20.824,20.824,20.824,20.824,142,0
20000405,21.593,21.953,21.593,21.953,1137,0
20000406,22.512,22.512,22.512,22.512,285,0
20000407,23.337,23.337,23.337,23.337,142,0
20000410,23.524,23.524,22.862,22.862,568,0
20000412,22.265,22.265,22.265,22.265,142,0
20000413,22.862,22.862,22.862,22.862,568,0
20000417,22.436,22.436,22.436,22.436,427,0
20000419,22.834,22.834,22.834,22.834,142,0
20000425,23.214,23.214,23.214,23.214,142,0
20000426,23.21,24.968,23.21,24.968,285,0
20000427,23.916,23.916,23.916,23.916,852,0
20000428,23.916,23.916,23.916,23.916,1422,0
20000503,24.437,24.437,24.437,24.437,142,0
20000504,24.617,24.617,24.617,24.617,142,0
20000505,24.755,24.798,24.263,24.798,995,0
20000510,24.617,24.617,24.617,24.617,3270,0
20000517,24.968,24.968,24.968,24.968,142,0
20000519,24.968,24.968,24.968,24.968,427,0
20000523,23.916,23.916,23.916,23.916,285,0
20000524,24.801,24.801,23.916,23.916,6682,0
20000526,23.034,23.034,23.034,23.034,142,0
20000531,23.337,23.337,23.337,23.337,285,0
20000605,22.645,22.645,22.645,22.645,142,0
20000609,22.512,22.984,22.512,22.568,285,0
20000614,22.512,22.512,22.512,22.512,285,0
20000626,22.512,22.512,22.512,22.512,285,0
20000627,22.645,22.645,22.645,22.645,427,0
20000630,22.856,22.856,22.645,22.645,427,0
20000704,22.862,22.862,22.862,22.862,711,0
20000705,22.862,23.214,22.862,23.214,995,0
20000712,22.862,22.862,22.862,22.862,711,0
20000717,22.862,22.862,22.862,22.862,142,0
20000719,22.862,22.862,22.862,22.862,285,0
20000720,23.144,23.144,22.862,22.862,427,0
20000728,22.862,22.862,22.862,22.862,568,0
20000807,22.862,22.862,22.862,22.862,568,0
