Date,Open,High,Low,Close,Volume,OpenInt
20150511,21.95,22.949,21.353,21.691,241766,0
20150512,21.794,21.892,21.26,21.402,61057,0
20150513,21.421,21.843,21.098,21.25,102527,0
20150514,21.079,21.255,20.961,21.162,14833,0
20150515,21.255,21.549,21.177,21.338,56814,0
20150518,22.029,22.029,21.098,21.465,56221,0
20150519,21.549,21.843,21.157,21.25,51980,0
20150520,21.255,21.255,20.667,20.883,69773,0
20150521,21.01,21.255,20.902,21.191,16136,0
20150522,21.157,21.255,20.667,20.765,95935,0
20150526,20.912,20.912,20.515,20.515,35898,0
20150527,20.569,20.765,20.329,20.52,86514,0
20150528,20.471,20.53,20.226,20.422,24305,0
20150529,20.422,20.422,20.236,20.422,26779,0
20150601,20.236,20.569,20.231,20.3,45769,0
20150602,20.138,20.187,19.252,20.031,109136,0
20150603,19.928,20.079,19.604,19.604,33972,0
20150604,19.541,19.541,19.002,19.257,19528,0
20150605,19.198,19.443,18.664,19.1,96287,0
20150608,19.09,19.1,18.762,18.953,42066,0
20150609,18.953,18.997,18.811,18.885,15912,0
20150610,18.836,19.717,18.772,19.59,50767,0
20150611,19.6,19.82,19.247,19.394,57600,0
20150612,19.394,19.536,19.12,19.394,40619,0
20150615,19.193,19.198,18.708,18.708,23790,0
20150616,18.708,18.806,18.121,18.61,62890,0
20150617,18.61,18.953,18.468,18.468,9565,0
20150618,18.365,18.806,18.199,18.463,16076,0
20150619,18.316,18.512,17.337,18.218,75531,0
20150622,18.463,18.855,18.316,18.61,28199,0
20150623,19.198,19.947,18.566,18.61,68329,0
20150624,18.855,19.1,18.414,18.61,82437,0
20150625,18.61,19.061,18.61,18.855,29873,0
20150626,18.718,19.002,18.718,18.806,16292,0
20150629,18.61,18.801,18.365,18.61,38869,0
20150630,18.61,18.635,18.375,18.561,18198,0
20150701,18.733,19.198,18.61,18.728,21017,0
20150702,18.826,18.88,18.488,18.591,13683,0
20150703,18.615,18.899,18.61,18.801,13720,0
20150706,18.757,19.1,18.63,18.855,32889,0
20150707,19.1,19.1,18.86,18.86,12979,0
20150708,18.904,19.031,18.806,19.002,64139,0
20150709,18.997,19.095,18.855,19.09,11658,0
20150710,19.149,19.982,19.149,19.59,81502,0
20150713,19.786,20.031,19.59,19.884,56736,0
20150714,20.031,20.031,19.551,19.639,25325,0
20150715,19.776,19.781,19.1,19.1,16955,0
20150716,19.198,19.688,19.11,19.678,33824,0
20150717,19.732,19.732,19.281,19.492,14439,0
20150720,19.58,20.031,19.394,19.688,30215,0
20150721,19.884,19.884,19.394,19.394,40408,0
20150722,19.296,19.795,19.198,19.59,35282,0
20150723,19.805,19.805,19.394,19.394,17544,0
20150724,19.59,19.737,19.443,19.688,21935,0
20150727,19.737,19.737,19.247,19.247,16835,0
20150728,19.374,19.394,19.247,19.394,14939,0
20150729,19.394,19.394,18.826,19.149,21162,0
20150730,19.1,19.208,18.958,18.958,6678,0
20150731,18.992,19.002,18.434,18.566,28745,0
20150803,18.708,19.34,18.664,19.1,21823,0
20150804,19.325,19.364,18.772,18.855,39885,0
20150805,19.198,19.247,18.86,19.056,24993,0
20150806,19.198,19.394,19.105,19.296,29344,0
20150807,19.345,19.688,18.855,19.1,90149,0
20150810,19.443,19.443,18.708,19.149,22812,0
20150811,19.443,19.688,18.708,19.1,42521,0
20150812,18.821,19.1,18.61,18.669,15277,0
20150813,18.938,19.071,18.806,18.875,12168,0
20150814,18.875,19.59,18.855,18.875,12751,0
20150817,19.198,19.536,19.002,19.492,31368,0
20150818,19.541,19.541,19.002,19.296,21472,0
20150819,19.1,19.105,18.169,18.218,57926,0
20150820,18.512,18.561,17.298,17.435,68758,0
20150821,17.337,17.445,17.028,17.141,70246,0
20150824,16.162,17.288,15.868,16.651,125129,0
20150825,17.014,17.508,16.896,17.435,82195,0
20150826,17.435,18.184,17.435,17.827,69037,0
20150827,18.121,18.218,17.778,17.827,48026,0
20150828,18.14,18.463,18.14,18.414,8623,0
20150831,18.414,18.414,18.243,18.414,5181,0
20150901,18.243,18.253,17.925,18.14,4045,0
20150902,18.277,18.414,18.267,18.326,2588,0
20150903,18.498,19.051,18.498,18.933,26104,0
20150904,19.335,19.335,18.522,18.522,17216,0
20150907,18.855,18.855,18.081,18.081,8795,0
20150908,18.228,18.806,18.228,18.674,23969,0
20150909,18.992,19.051,18.429,18.61,13858,0
20150910,18.6,18.61,18.326,18.326,12455,0
20150911,18.414,18.61,18.316,18.346,12268,0
20150914,18.507,18.507,18.321,18.409,618,0
20150915,18.321,18.454,17.533,18.454,50503,0
20150916,18.488,18.87,18.409,18.87,15027,0
20150917,18.904,18.904,18.238,18.238,12155,0
20150918,18.072,18.757,18.072,18.454,42725,0
20150921,18.405,18.532,17.827,18.532,12643,0
20150922,18.478,18.532,17.974,18.228,19656,0
20150923,18.194,18.512,18.121,18.512,9064,0
20150924,18.537,18.566,17.523,17.523,13381,0
20150925,17.494,17.9,16.749,16.837,42118,0
20150928,16.661,16.965,16.661,16.847,45764,0
20150929,16.651,17.019,16.465,16.847,49230,0
20150930,17.327,18.003,17.19,18.003,8940,0
20151001,17.876,17.876,17.396,17.396,15781,0
20151002,17.396,17.631,17.396,17.577,16523,0
20151005,17.778,18.072,17.572,18.072,9136,0
20151006,18.072,18.855,17.739,18.463,19112,0
20151007,18.708,18.997,18.365,18.625,11540,0
20151008,18.532,18.532,18.116,18.145,7832,0
20151009,18.316,18.904,18.238,18.816,16592,0
20151012,18.88,18.904,18.032,18.356,22764,0
20151013,18.478,18.478,18.023,18.067,3929,0
20151014,18.272,18.272,17.606,17.606,13381,0
20151015,17.787,18.14,17.729,18.14,5207,0
20151016,18.121,18.179,17.827,17.827,8208,0
20151019,18.199,18.199,17.856,17.856,12488,0
20151020,17.993,18.018,17.596,17.596,10956,0
20151021,17.817,17.969,17.464,17.528,11653,0
20151022,17.626,17.631,17.298,17.533,27550,0
20151023,17.631,17.885,17.366,17.366,25337,0
20151026,17.298,17.528,16.651,16.651,29506,0
20151027,16.994,17.582,16.842,16.896,51524,0
20151028,17.019,17.425,16.896,16.896,37544,0
20151029,16.95,17.778,16.95,17.631,29171,0
20151030,17.807,18.169,17.65,17.885,17776,0
20151102,18.111,18.297,17.479,18.062,15358,0
20151103,17.876,18.307,17.876,18.302,3271,0
20151104,18.209,18.463,18.14,18.179,8857,0
20151105,18.375,18.503,17.836,17.836,14401,0
20151106,18.214,18.503,18.013,18.204,9432,0
20151109,18.13,18.312,17.993,18.121,5993,0
20151110,18.008,18.008,17.641,17.729,10492,0
20151111,17.861,17.925,17.405,17.435,21298,0
20151112,17.386,17.405,17.244,17.337,11655,0
20151113,17.474,17.915,17.366,17.915,21675,0
20151116,17.67,17.944,17.631,17.631,8865,0
20151117,17.729,18.023,17.68,17.68,11308,0
20151118,18.307,18.454,17.783,17.827,35992,0
20151119,18.121,18.39,18.116,18.121,28243,0
20151120,18.316,18.375,17.895,18.218,32234,0
20151123,18.493,18.493,17.983,18.13,25425,0
20151124,18.267,18.292,17.876,18.199,13873,0
20151125,18.111,18.414,17.974,18.316,50206,0
20151126,18.307,18.356,18.14,18.316,20699,0
20151127,18.267,18.316,18.072,18.316,30229,0
20151130,18.316,19.031,18.218,18.708,202265,0
20151201,18.845,19.051,18.757,18.948,12539,0
20151202,18.933,19.071,18.885,19.051,8550,0
20151203,19.051,19.051,18.566,18.61,18399,0
20151204,18.61,18.924,18.228,18.321,15731,0
20151207,18.512,18.742,18.218,18.742,11654,0
20151208,18.61,18.929,18.121,18.316,15935,0
20151209,18.277,18.694,18.174,18.449,11996,0
20151210,18.13,18.409,18.13,18.38,3953,0
20151211,18.561,18.708,17.846,18.463,26813,0
20151214,18.6,18.6,17.778,17.925,10710,0
20151215,17.925,18.38,17.812,18.38,12674,0
20151216,18.596,18.61,18.302,18.61,17092,0
20151217,18.13,18.698,18.13,18.551,16850,0
20151218,18.507,18.6,18.341,18.512,16366,0
20151221,18.512,18.512,18.321,18.414,8306,0
20151222,18.36,18.517,18.179,18.321,9039,0
20151223,18.169,18.581,18.13,18.581,11424,0
20151228,18.581,18.581,18.018,18.018,4218,0
20151229,18.032,18.414,18.032,18.414,7271,0
20151230,18.414,18.414,18.15,18.414,21142,0
20160104,18.365,18.61,18.13,18.169,9954,0
20160105,18.101,18.791,18.101,18.449,18943,0
20160106,18.169,18.194,17.616,17.616,16639,0
