Date,Open,High,Low,Close,Volume,OpenInt
20120703,2.85,3.505,2.755,3.505,689052,0
20120704,3.638,3.648,3.297,3.467,123900,0
20120705,3.301,3.553,3.251,3.38,54809,0
20120706,3.544,3.8,3.372,3.496,235992,0
20120709,3.42,3.591,3.363,3.42,125342,0
20120710,3.256,3.534,3.256,3.401,57905,0
20120711,3.484,3.484,3.182,3.316,202471,0
20120712,3.235,3.372,3.037,3.037,174301,0
20120713,3.096,3.278,2.945,3.002,190774,0
20120716,3.002,3.325,2.888,2.897,93140,0
20120717,2.913,3.116,2.913,3.116,60362,0
20120718,2.945,3.089,2.945,3.089,116965,0
20120719,2.897,2.993,2.897,2.993,78312,0
20120720,2.919,2.969,2.889,2.897,85861,0
20120723,2.907,2.907,2.707,2.798,141877,0
20120724,2.798,2.945,2.729,2.872,29260,0
20120725,2.872,2.892,2.812,2.812,43511,0
20120726,2.803,2.945,2.784,2.916,40702,0
20120727,2.844,2.945,2.831,2.935,10400,0
20120730,2.864,3.135,2.832,2.938,118855,0
20120731,3.092,3.092,2.845,2.983,108457,0
20120801,2.91,2.983,2.784,2.794,15154,0
20120802,2.793,2.866,2.737,2.866,23742,0
20120803,2.796,2.928,2.738,2.826,36451,0
20120806,2.757,2.859,2.708,2.801,28969,0
20120807,2.732,2.831,2.718,2.755,27435,0
20120808,2.688,2.813,2.688,2.688,40694,0
20120809,2.688,2.784,2.688,2.707,23369,0
20120810,2.641,2.868,2.641,2.822,79690,0
20120813,3.012,3.079,2.945,2.946,46977,0
20120814,2.945,3.087,2.85,3.087,56651,0
20120815,2.897,2.989,2.85,2.986,28891,0
20120816,2.907,3.135,2.845,3.106,43050,0
20120817,3.182,3.236,2.902,3.136,49150,0
20120820,3.213,3.22,2.902,3.218,12546,0
20120821,3.201,3.278,3.078,3.182,62525,0
20120822,3.078,3.211,3.05,3.095,10711,0
20120823,3.125,3.182,3.054,3.18,7218,0
20120824,3.078,3.208,3.06,3.201,12386,0
20120827,3.135,3.37,3.125,3.353,15537,0
20120828,3.218,3.372,3.135,3.211,3720,0
20120829,3.353,3.41,3.173,3.401,20268,0
20120830,3.289,3.34,3.182,3.211,10122,0
20120831,3.183,3.372,2.955,3.165,33582,0
20120903,2.985,3.211,2.985,3.154,15607,0
20120904,3.029,3.102,3.029,3.087,5066,0
20120905,3.012,3.276,2.954,3.182,16248,0
20120906,3.104,3.762,3.069,3.144,38753,0
20120907,3.165,3.268,3.135,3.154,9180,0
20120910,3.144,3.256,3.087,3.163,7028,0
20120911,3.087,3.249,3.087,3.163,1628,0
20120912,3.256,3.256,3.135,3.165,16176,0
20120913,3.088,3.248,3.087,3.193,2922,0
20120914,3.093,3.221,3.04,3.18,27061,0
20120917,3.092,3.165,3.04,3.069,5773,0
20120918,2.993,3.23,2.945,3.144,35776,0
20120919,2.993,3.136,2.993,2.993,15403,0
20120920,3.059,3.117,3.041,3.05,5525,0
20120921,3.135,3.135,3.045,3.06,10750,0
20120924,3.06,3.134,3.041,3.06,26755,0
20120925,3.278,3.648,3.251,3.372,149813,0
20120926,3.278,3.415,3.23,3.325,75985,0
20120927,3.325,3.41,3.23,3.41,29303,0
20120928,3.278,3.405,3.182,3.401,13728,0
20121001,3.287,3.419,3.249,3.278,17373,0
20121002,3.183,3.345,3.183,3.345,5670,0
20121003,3.344,3.344,3.23,3.325,2770,0
20121004,3.244,3.609,3.23,3.525,187589,0
20121005,3.753,3.753,3.373,3.499,147565,0
