Date,Open,High,Low,Close,Volume,OpenInt
20090406,1.3417,1.3812,1.3318,1.3812,53,0
20090407,1.3417,1.3812,1.3318,1.3614,316,0
20090408,1.3121,1.4108,1.3121,1.3713,189,0
20090414,1.322,1.3812,1.322,1.3812,50,0
20090416,1.3417,1.391,1.3318,1.391,50,0
20090417,1.3417,1.4502,1.3318,1.4502,608,0
20090420,1.3812,1.4502,1.3812,1.4009,212,0
20090421,1.3516,1.4009,1.3318,1.3614,1646,0
20090422,1.322,1.4009,1.322,1.4009,955,0
20090423,1.3417,1.4009,1.3318,1.3318,1209,0
20090427,1.3318,1.391,1.2826,1.2826,901,0
20090428,1.2726,1.3812,1.2332,1.3318,1709,0
20090430,1.2924,1.3318,1.2332,1.3318,202,0
20090504,1.3022,1.3318,1.2826,1.3318,1166,0
20090505,1.2826,1.391,1.2826,1.391,1207,0
20090511,1.3417,1.4305,1.3417,1.4305,1521,0
20090515,1.391,1.4502,1.3614,1.3614,1618,0
20090518,1.3022,1.3614,1.3022,1.3614,1140,0
20090520,1.3417,1.3812,1.3318,1.3614,354,0
20090522,1.3318,1.3713,1.3318,1.3614,202,0
20090525,1.3318,1.3812,1.2332,1.3417,2570,0
20090526,1.2826,1.391,1.2826,1.391,4156,0
20090529,1.3516,1.391,1.2924,1.3417,1900,0
20090602,1.2826,1.3812,1.243,1.3812,5592,0
20090605,1.3417,1.3812,1.3318,1.3318,50,0
20090609,1.3022,1.3318,1.2726,1.3318,132,0
20090610,1.2924,1.3318,1.2332,1.3318,1696,0
20090611,1.2924,1.3318,1.2826,1.3318,102,0
20090615,1.2924,1.3417,1.2924,1.3022,223,0
20090616,1.253,1.3022,1.243,1.3022,62,0
20090617,1.2628,1.3022,1.243,1.2826,344,0
20090622,1.243,1.2826,1.2332,1.2826,62,0
20090623,1.2332,1.2826,1.2332,1.2826,1068,0
20090625,1.243,1.4798,1.2332,1.3812,1985,0
20090629,1.322,1.4798,1.3121,1.4305,3711,0
20090701,1.4305,1.4305,1.3713,1.3713,553,0
20090706,1.3318,1.4502,1.3318,1.4009,951,0
20090710,1.3417,1.4502,1.3417,1.4502,1901,0
20090713,1.391,1.4601,1.3614,1.3614,102,0
