Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.15,0.17,0.12,0.17,1000,0
20090407,0.145,0.147,0.12,0.13,3000,0
20090409,0.147,0.15,0.12,0.13,13000,0
20090414,0.15,0.17,0.13,0.136,3500,0
20090415,0.17,0.17,0.136,0.14,2575,0
20090416,0.16,0.16,0.126,0.14,29900,0
20090417,0.15,0.16,0.14,0.143,30188,0
20090420,0.16,0.184,0.13,0.184,45301,0
20090421,0.185,0.185,0.14,0.18,15300,0
20090422,0.155,0.16,0.155,0.156,4900,0
20090423,0.16,0.179,0.15,0.179,20944,0
20090424,0.15,0.173,0.15,0.173,11280,0
20090427,0.17,0.175,0.155,0.156,10101,0
20090428,0.16,0.18,0.15,0.18,32800,0
20090429,0.18,0.18,0.15,0.157,10000,0
20090504,0.16,0.16,0.15,0.151,25500,0
20090505,0.15,0.178,0.15,0.178,4250,0
20090506,0.154,0.17,0.154,0.17,21200,0
20090507,0.17,0.17,0.154,0.169,33900,0
20090508,0.17,0.17,0.11,0.11,100,0
20090511,0.17,0.17,0.153,0.155,400,0
20090512,0.16,0.18,0.153,0.18,3000,0
20090514,0.15,0.169,0.13,0.169,3000,0
20090515,0.17,0.17,0.13,0.17,9780,0
20090518,0.17,0.17,0.13,0.14,2200,0
20090519,0.17,0.17,0.13,0.155,27340,0
20090520,0.16,0.179,0.16,0.165,42435,0
20090521,0.17,0.171,0.17,0.171,25150,0
20090522,0.17,0.179,0.17,0.179,3925,0
20090526,0.17,0.175,0.144,0.156,1030,0
20090528,0.16,0.19,0.14,0.154,38425,0
20090529,0.15,0.19,0.15,0.171,5700,0
20090601,0.17,0.171,0.15,0.159,5100,0
20090602,0.16,0.195,0.135,0.135,43850,0
20090603,0.14,0.15,0.135,0.15,1900,0
20090604,0.15,0.15,0.14,0.15,235,0
20090608,0.15,0.16,0.14,0.16,2000,0
20090609,0.16,0.16,0.14,0.141,3400,0
20090610,0.14,0.17,0.14,0.17,12000,0
20090615,0.17,0.17,0.143,0.15,1700,0
20090616,0.17,0.17,0.145,0.15,1000,0
20090618,0.15,0.15,0.14,0.15,6400,0
20090624,0.15,0.165,0.14,0.145,9760,0
20090626,0.14,0.156,0.14,0.14,18050,0
20090630,0.14,0.141,0.14,0.141,12500,0
20090701,0.14,0.143,0.14,0.143,30100,0
20090702,0.14,0.169,0.14,0.169,5550,0
20090710,0.14,0.17,0.122,0.122,30733,0
20090713,0.12,0.13,0.116,0.13,10000,0
20090715,0.14,0.14,0.127,0.13,1700,0
20090716,0.14,0.14,0.127,0.131,700,0
20090717,0.13,0.165,0.117,0.165,2900,0
20090720,0.17,0.17,0.135,0.17,300,0
20090721,0.14,0.145,0.127,0.127,32605,0
20090722,0.13,0.13,0.127,0.127,5000,0
20090723,0.13,0.167,0.126,0.167,5000,0
20090724,0.13,0.177,0.13,0.177,19750,0
