Date,Open,High,Low,Close,Volume,OpenInt
20050131,14.737,14.737,12.753,13.886,21399782,0
20050201,14.083,14.784,13.867,14.11,8403939,0
20050202,14.288,14.457,13.755,14.083,3619231,0
20050203,13.988,14.194,13.922,14.035,1477766,0
20050204,14.091,14.194,13.829,13.988,1680083,0
20050207,14.035,14.672,13.765,14.55,2633200,0
20050208,14.512,15.373,14.512,15.204,2668146,0
20050209,15.346,15.597,14.989,15.083,1932096,0
20050210,14.971,15.12,14.802,14.971,1248947,0
20050211,14.98,15.616,14.971,15.57,2508581,0
20050214,15.626,16.646,15.551,16.468,2402454,0
20050215,16.701,16.75,16.066,16.589,1671212,0
20050216,16.561,16.561,15.645,15.906,1624828,0
20050217,15.916,15.981,15.252,15.365,1740040,0
20050218,15.346,15.784,15.074,15.579,1436834,0
20050221,15.672,16.066,14.989,15.776,1153828,0
20050222,15.738,15.86,15.626,15.71,1025364,0
20050223,15.626,15.86,15.346,15.748,532561,0
20050224,15.719,16.048,15.607,15.906,436266,0
20050225,15.981,16.16,15.906,16.14,757746,0
20050228,16.048,16.421,15.934,15.934,740220,0
20050301,16.187,16.244,15.504,16.018,1273208,0
20050302,15.926,16.627,15.906,16.468,748235,0
20050303,16.374,16.561,16.244,16.309,1110222,0
20050304,16.14,16.356,15.728,15.832,956964,0
20050307,15.916,16.421,15.738,16.338,573387,0
20050308,16.421,16.524,16.272,16.346,502101,0
20050309,16.234,16.279,15.916,15.926,398753,0
20050310,15.926,16.122,15.813,15.954,262487,0
20050311,15.963,16.187,15.719,15.766,690842,0
20050314,15.672,15.851,15.288,15.439,566014,0
20050315,15.654,15.878,15.026,15.766,1421870,0
20050316,15.906,16.187,15.728,15.766,729960,0
20050317,15.766,15.832,15.159,15.645,1062983,0
20050318,15.542,15.616,15.298,15.391,379407,0
20050321,15.298,15.532,15.046,15.111,198895,0
20050322,15.065,15.252,14.895,15.074,463412,0
20050323,14.971,15.252,14.569,15.204,649909,0
20050324,15.252,15.382,15.036,15.186,822300,0
20050329,15.391,15.391,14.971,15.204,337300,0
20050330,15.065,15.159,14.895,14.962,1103169,0
20050331,14.998,15.065,14.708,14.877,874670,0
20050401,14.886,15.159,14.886,15.065,250943,0
20050404,14.971,15.159,14.971,15.046,232668,0
20050405,15.065,15.111,14.746,14.877,399929,0
20050406,14.859,15.204,14.614,15.12,623725,0
20050407,15.111,15.476,15.065,15.252,839507,0
20050408,15.252,15.485,15.252,15.391,324153,0
20050411,15.346,15.373,15.065,15.316,267401,0
20050412,15.672,16.486,15.672,16.272,2742745,0
20050413,16.299,16.374,16.093,16.112,501139,0
20050414,16.009,16.075,15.682,16.048,675880,0
20050415,15.86,15.869,15.111,15.391,1443566,0
20050418,15.204,15.57,14.83,15.261,517170,0
20050419,15.298,16.066,15.204,15.616,663269,0
20050420,15.813,16.279,15.719,15.926,511720,0
20050421,15.926,15.926,15.719,15.813,470251,0
20050422,15.719,15.784,15.439,15.579,876806,0
20050425,15.579,15.579,15.252,15.391,311543,0
20050426,15.065,15.42,14.943,15.298,838759,0
20050427,15.307,15.43,14.634,14.971,1214105,0
20050428,15.083,15.43,14.971,14.971,937084,0
20050429,14.84,15.326,14.69,14.971,747807,0
20050502,15.101,15.326,14.971,15.252,169717,0
20050503,15.232,15.439,14.971,15.382,285464,0
20050504,15.42,15.504,15.14,15.232,382294,0
20050505,15.365,15.504,15.316,15.458,317955,0
20050506,15.401,15.851,15.336,15.626,424936,0
20050509,15.607,15.86,15.485,15.86,287068,0
20050510,15.766,16.374,15.504,15.719,1030173,0
20050511,15.672,15.851,15.672,15.766,241859,0
20050512,15.793,15.934,15.719,15.906,287709,0
20050513,15.878,15.878,15.522,15.597,372674,0
20050516,15.458,15.579,15.28,15.28,275845,0
20050517,15.336,15.401,15.091,15.111,403775,0
20050518,15.204,16.15,15.204,16.048,959207,0
20050519,16.048,16.177,15.869,16.14,324687,0
20050520,15.999,16.028,15.86,15.954,177733,0
20050523,15.972,15.972,15.672,15.842,237051,0
20050524,15.757,15.86,15.532,15.719,219094,0
20050525,15.728,15.851,15.41,15.728,218346,0
20050526,15.626,15.999,15.579,15.954,229249,0
20050527,15.906,16.253,15.906,16.048,283326,0
20050530,16.234,16.234,16.066,16.168,303526,0
20050531,16.272,16.374,15.999,16.234,661773,0
20050601,16.328,17.451,16.309,17.075,971926,0
20050602,17.075,17.31,17.011,17.085,833415,0
20050603,17.123,18.143,16.964,17.806,1311361,0
20050606,17.993,17.993,17.553,17.693,801032,0
20050607,17.403,17.955,17.236,17.591,2145097,0
20050608,17.535,17.843,17.497,17.656,452297,0
20050609,17.722,17.732,17.385,17.591,266333,0
20050610,17.468,17.656,17.217,17.32,437013,0
20050613,17.217,17.375,17.132,17.31,288564,0
20050614,17.31,17.497,17.31,17.451,265373,0
20050615,17.581,17.806,17.32,17.403,618915,0
20050616,17.451,18.236,17.451,17.964,756465,0
20050617,17.889,18.489,17.889,18.218,1387351,0
20050620,18.311,18.311,17.647,17.741,818132,0
20050621,18.021,18.021,17.571,17.768,367973,0
20050622,17.656,17.759,17.544,17.544,403134,0
20050623,17.451,17.983,17.403,17.703,240469,0
20050624,17.628,17.665,17.272,17.497,337727,0
20050627,17.497,17.638,17.393,17.497,371073,0
20050628,17.535,17.535,17.104,17.357,399822,0
20050629,17.507,17.591,16.946,17.468,401103,0
20050630,17.31,17.422,17.16,17.329,380903,0
20050701,17.31,17.938,17.263,17.571,409012,0
20050704,17.487,17.834,17.403,17.665,50766,0
20050705,17.497,17.741,17.357,17.741,174314,0
20050706,17.834,17.919,17.684,17.919,411684,0
20050707,17.871,17.974,17.544,17.562,1262627,0
20050708,17.693,18.293,17.544,18.254,331527,0
20050711,18.301,18.573,18.227,18.33,715530,0
20050712,18.349,18.46,17.974,18.311,432632,0
20050713,18.301,18.47,18.17,18.434,280761,0
