Date,Open,High,Low,Close,Volume,OpenInt
20071116,47.485,51.159,46.526,48.301,74054,0
20071119,48.415,48.415,46.621,47.371,6953,0
20071120,47.323,49.364,47.323,47.94,7690,0
20071121,48.225,49.355,47.465,48.035,6637,0
20071122,47.465,47.465,46.516,47.086,11166,0
20071123,47.457,47.457,45.757,46.508,9480,0
20071126,45.567,46.327,45.567,45.567,4108,0
20071127,45.092,45.092,41.247,43.194,15590,0
20071128,42.624,42.719,41.133,41.77,1686,0
20071129,41.295,44.617,41.295,44.38,7796,0
20071130,43.668,47.465,41.77,47.465,25808,0
20071203,46.991,48.415,45.89,47.323,5794,0
20071204,45.966,47.181,45.966,47.143,2739,0
20071205,47.465,47.465,46.042,46.753,1790,0
20071206,46.763,46.763,45.766,46.516,3055,0
20071207,46.801,46.801,45.567,45.567,5267,0
20071210,46.042,46.488,46.042,46.488,3898,0
20071212,45.567,46.279,45.567,45.567,211,0
20071214,45.852,45.852,44.741,45.804,211,0
20071217,45.092,45.378,45.092,45.378,105,0
20071219,45.168,46.421,45.168,46.421,317,0
20071220,45.577,45.899,45.567,45.567,211,0
20071221,45.852,46.421,44.997,46.042,1581,0
20071227,45.567,46.042,44.997,46.042,317,0
20071228,45.567,47.371,45.092,47.371,19488,0
20080103,45.567,46.042,45.492,46.042,842,0
20080104,46.421,46.421,45.567,46.042,527,0
20080107,46.042,46.042,45.092,45.092,2422,0
20080109,44.617,44.617,43.241,43.668,1053,0
20080110,43.658,44.143,41.77,42.719,2422,0
20080111,41.77,42.719,41.77,42.245,421,0
20080115,41.77,41.77,41.77,41.77,317,0
20080116,40.821,40.821,37.024,37.973,3266,0
20080117,36.606,37.213,36.026,36.026,842,0
20080118,36.026,36.263,35.599,36.263,317,0
20080121,34.697,35.125,33.748,34.27,842,0
20080122,33.225,35.657,33.225,34.697,2634,0
20080123,35.314,37.024,35.163,37.024,1475,0
20080124,35.856,37.024,34.174,37.024,3159,0
20080125,37.498,37.498,35.884,35.884,1053,0
20080128,36.814,36.814,36.549,36.549,317,0
20080129,36.075,36.549,35.75,36.549,632,0
20080130,36.075,36.075,34.649,35.125,1686,0
20080131,35.03,35.03,33.919,35.03,317,0
20080201,34.649,34.649,33.037,34.213,737,0
20080204,34.174,35.125,34.174,35.125,317,0
20080205,35.125,35.125,35.077,35.077,421,0
20080206,35.077,37.973,35.077,37.45,6742,0
20080207,36.833,38.827,36.766,38.732,4529,0
20080208,37.308,37.982,36.833,37.545,6004,0
20080212,37.024,37.024,37.024,37.024,211,0
20080213,37.736,37.736,37.736,37.736,317,0
20080215,36.692,36.692,35.552,35.629,421,0
20080218,33.881,33.881,33.225,33.7,842,0
20080219,33.7,33.7,28.954,28.954,3687,0
20080220,28.479,28.479,25.166,26.799,3055,0
20080221,26.581,26.95,26.39,26.581,527,0
20080222,26.438,26.438,25.632,25.679,1264,0
20080225,25.632,26.011,25.632,26.011,527,0
20080226,25.546,25.632,24.254,24.492,1686,0
20080227,24.113,24.683,24.113,24.683,3371,0
20080228,24.683,24.777,24.683,24.777,1053,0
20080229,24.777,25.109,24.777,25.109,3266,0
20080303,24.683,24.871,24.208,24.871,949,0
20080304,24.587,24.587,23.733,24.303,2527,0
20080305,24.113,24.683,24.113,24.208,2739,0
20080306,24.113,24.113,23.543,23.543,2739,0
20080307,23.258,23.543,23.069,23.448,1369,0
20080310,23.448,23.448,22.043,22.403,2001,0
20080311,22.024,22.024,20.316,20.885,6530,0
20080312,20.742,21.169,20.742,21.075,1686,0
20080313,21.075,21.121,21.075,21.121,527,0
