Date,Open,High,Low,Close,Volume,OpenInt
20060922,19,19.36,19,19.2,48900,0
20060925,19.22,19.27,19,19.27,3500,0
20060926,19.19,19.19,19.01,19.15,2100,0
20060927,19.15,19.4,19.01,19.18,900,0
20060928,19.01,19.15,19.01,19.15,1800,0
20060929,19.01,19.39,19.01,19.39,2500,0
20061002,19.27,19.39,19.25,19.39,1600,0
20061003,19.25,19.25,19,19,900,0
20061004,19.35,19.35,19,19.3,200,0
20061005,19,19.44,19,19.44,4300,0
20061006,19.24,19.24,19,19.1,1300,0
20061009,19.09,19.17,18.7,19.17,3600,0
20061011,19.08,19.09,18.92,19.07,1200,0
20061012,19.08,19.08,18.9,19.08,1200,0
20061013,19.09,19.09,19.09,19.09,300,0
20061016,19.25,19.25,18.7,19.09,1700,0
20061017,19.19,19.41,19.19,19.39,7400,0
20061018,19.39,19.4,18.9,19.4,1500,0
20061019,18.81,19.07,18.51,18.95,4800,0
20061020,18.73,19.42,18.73,19,900,0
20061023,19.15,19.15,18.8,19,900,0
20061024,18.8,19.19,18.8,19.19,100,0
20061025,19,19.09,18.7,18.85,1200,0
20061026,18.8,19.42,18.8,19,2400,0
20061027,19.1,19.3,18.9,18.9,900,0
20061030,19.43,19.43,19.3,19.3,100,0
20061031,19.3,19.48,19.3,19.48,300,0
20061101,19.6,19.6,19.3,19.5,100,0
20061102,19.55,19.55,19.25,19.38,1100,0
20061103,19.55,19.55,19.2,19.3,900,0
20061106,19.3,19.3,19,19.3,400,0
20061108,19.29,19.29,19.29,19.29,300,0
20061109,19.45,19.45,18.8,18.88,800,0
20061113,19.25,19.25,18.8,19,1200,0
20061114,19.25,19.6,19.25,19.6,3600,0
20061115,19.39,19.39,19.39,19.39,600,0
20061116,19.25,19.25,19,19,700,0
20061117,19.2,19.24,19.2,19.24,200,0
20061120,19.25,19.25,18.8,19.25,400,0
20061121,19.25,19.25,19.25,19.25,600,0
20061122,19.4,19.4,19.15,19.15,700,0
20061123,19.2,19.2,19.2,19.2,300,0
20061124,19.2,19.2,19.05,19.05,500,0
20061128,19.35,19.6,19.17,19.35,2500,0
20061129,19.6,20.25,19.5,20.11,4700,0
20061130,20.3,21.2,20.3,21,3200,0
20061201,21.25,22,21.25,21.5,5200,0
20061204,21.75,22.2,21.5,22,1400,0
20061205,22,22,21.5,21.5,900,0
20061206,21.9,22,21.75,21.9,2000,0
20061207,21.75,21.75,21.4,21.5,1200,0
20061208,21.5,21.5,21.4,21.49,300,0
20061211,21.75,22,21.75,22,600,0
20061212,22.2,22.2,21.6,21.6,1500,0
20061213,21.6,22,21.6,22,1100,0
20061214,22,22,21.97,22,1900,0
20061215,22,22,21.8,22,3500,0
20061218,22,22.2,21.8,21.8,6800,0
20061219,21.8,22,21.7,22,2800,0
20061220,22,22,21.89,22,1900,0
20061221,22.02,22.02,22,22,1000,0
20061222,22,22.1,22,22.1,5700,0
20061227,22.1,22.22,22.1,22.22,6500,0
20061228,22.22,22.5,22.2,22.5,6800,0
20061229,22.9,24.5,22.9,24,6000,0
20070102,24.1,25,23.85,24.29,9100,0
20070103,24.29,24.3,24.19,24.2,4200,0
20070104,24.3,24.37,24.3,24.37,2700,0
20070105,24.6,24.61,24.6,24.61,1900,0
20070108,24.6,24.6,24.4,24.5,3600,0
20070109,24.55,24.55,24.5,24.5,1600,0
20070110,24.55,24.57,24,24.57,2100,0
20070111,24.6,24.75,24.31,24.75,1400,0
20070112,24.75,24.75,24.68,24.7,3600,0
20070115,24.75,25.1,24.75,25,2300,0
20070116,25,25.99,25,25.99,1400,0
20070117,26,27.2,26,26.89,5500,0
20070118,26.5,26.72,25.65,26,8200,0
20070119,26.19,26.35,26.1,26.1,1200,0
20070122,26.3,27.1,26.3,27.1,3300,0
20070123,27.2,27.2,25.8,26.5,4600,0
20070124,26.6,27,26.6,27,3000,0
20070125,27.1,27.1,26.8,26.8,900,0
20070126,27,27.2,26.8,27.2,1500,0
20070129,27.2,27.6,27.1,27.6,6800,0
20070130,27.9,28.2,27.45,27.45,6800,0
20070131,27.5,27.58,27.5,27.5,11400,0
20070201,27.51,27.54,27.5,27.53,1900,0
20070202,27.55,27.6,27.22,27.45,3100,0
20070205,28,28.44,27.89,27.92,6900,0
20070206,28,28.4,28,28.4,7000,0
20070207,29,29.3,28.38,29,8800,0
20070208,29.4,29.66,28.9,29,900,0
20070209,29.85,29.85,28.7,28.7,2200,0
20070212,28.95,28.95,28.4,28.7,6500,0
20070213,29.3,29.8,29,29.5,8000,0
20070214,29.5,32.5,29.5,31.1,4800,0
20070215,32.15,34.95,32.15,34.62,5200,0
20070216,35.3,35.85,34.6,35.2,6300,0
20070219,35.5,36,35.4,35.5,6400,0
20070220,36,36,35.75,35.99,3800,0
20070221,35.99,35.99,30.6,31.8,13200,0
20070222,31.6,32.5,30.6,32.5,8200,0
20070223,33,33.83,32.75,33.25,4500,0
20070226,35,35.99,34.4,35.99,6300,0
20070227,35,35,33,34,6100,0
20070228,33,33.18,32,32.4,5100,0
20070301,32.6,32.6,31.6,31.65,18500,0
20070302,32,33,32,33,3400,0
20070305,33,33,31.55,31.85,5500,0
20070306,31.85,33,31.85,32.8,4400,0
20070307,33.22,34.55,33.2,34,10300,0
20070308,34.6,35,34.6,34.8,4200,0
20070309,35,36,34.5,36,7800,0
20070312,37.5,38,36.15,37.3,9100,0
20070313,37.39,37.85,37,37.6,4300,0
20070314,36.85,36.85,35.5,36.1,2000,0
20070315,36.8,37.69,36.6,36.6,2100,0
20070316,37.15,37.5,37,37.49,1900,0
20070319,37.5,37.5,36.85,37.5,1400,0
20070320,37.5,38,37.25,38,7700,0
20070321,38.1,39.5,38.1,39,4400,0
20070322,39,40,39,39.5,2200,0
20070323,39.75,40,39.31,40,800,0
20070326,40,40,39,39.5,2300,0
