Date,Open,High,Low,Close,Volume,OpenInt
20080428,1.05,1.05,1.05,1.05,700,0
20080430,1.18,1.18,1.18,1.18,200,0
20080509,1.05,1.05,1.05,1.05,100,0
20080520,1.02,1.02,1.02,1.02,3400,0
20080521,0.93,0.93,0.93,0.93,1100,0
20080523,0.93,0.93,0.93,0.93,2000,0
20080526,1.02,1.02,1.02,1.02,500,0
20080618,1.12,1.12,1.12,1.12,700,0
20080707,1.16,1.16,1.16,1.16,600,0
20080725,1.02,1.02,1.02,1.02,300,0
20080728,1.1,1.1,1.1,1.1,100,0
20080818,1.15,1.15,1.15,1.15,100,0
20080918,1.05,1.05,1.05,1.05,1900,0
20080919,1.05,1.05,1.05,1.05,400,0
20080922,1.05,1.05,1.05,1.05,500,0
20081006,1.06,1.06,1.06,1.06,5000,0
20081013,0.99,0.99,0.99,0.99,100,0
20081015,0.98,0.98,0.98,0.98,400,0
20081023,0.9,0.9,0.9,0.9,300,0
20081024,0.85,0.85,0.85,0.85,100,0
20081027,0.68,0.68,0.68,0.68,3000,0
20081028,0.63,0.63,0.63,0.63,5300,0
20081030,0.7,0.7,0.7,0.7,100,0
20081031,0.71,0.71,0.71,0.71,1000,0
20081103,0.67,0.67,0.67,0.67,2000,0
20081104,0.67,0.67,0.67,0.67,1000,0
20081105,0.67,0.67,0.65,0.67,7000,0
20081106,0.64,0.64,0.64,0.64,2000,0
20081110,0.65,0.69,0.65,0.69,4400,0
20081113,0.71,0.71,0.7,0.7,600,0
20081114,0.65,0.65,0.65,0.65,500,0
20081120,0.65,0.65,0.65,0.65,5000,0
20081121,0.65,0.65,0.65,0.65,300,0
20081124,0.6,0.64,0.54,0.64,4600,0
20081125,0.65,0.65,0.61,0.61,7000,0
20081128,0.6,0.6,0.6,0.6,400,0
20081201,0.62,0.62,0.62,0.62,400,0
20081204,0.55,0.59,0.55,0.59,100,0
20081211,0.6,0.6,0.5,0.52,19100,0
20081212,0.5,0.51,0.48,0.51,7200,0
20081216,0.52,0.52,0.52,0.52,500,0
20081217,0.49,0.49,0.42,0.48,11300,0
20081218,0.48,0.48,0.41,0.48,8500,0
20081219,0.48,0.59,0.48,0.59,12100,0
20081222,0.59,0.78,0.59,0.69,15400,0
20081223,0.64,0.85,0.64,0.77,4600,0
20081229,0.82,0.82,0.74,0.74,8500,0
20081230,0.74,0.8,0.74,0.8,3000,0
20090106,0.85,0.85,0.77,0.77,2000,0
20090109,0.79,0.83,0.79,0.83,1600,0
20090112,0.78,0.8,0.78,0.8,2000,0
20090114,0.79,0.79,0.79,0.79,600,0
20090115,0.71,0.71,0.71,0.71,4000,0
20090120,0.69,0.7,0.65,0.7,3200,0
20090123,0.67,0.67,0.67,0.67,1000,0
20090126,0.62,0.62,0.62,0.62,2000,0
20090127,0.6,0.6,0.58,0.58,4500,0
20090128,0.6,0.64,0.6,0.64,2000,0
20090129,0.6,0.6,0.6,0.6,2000,0
20090202,0.58,0.58,0.58,0.58,800,0
20090203,0.6,0.6,0.6,0.6,100,0
20090204,0.6,0.6,0.6,0.6,100,0
20090205,0.6,0.6,0.6,0.6,100,0
20090206,0.6,0.6,0.6,0.6,1300,0
20090210,0.51,0.53,0.51,0.53,400,0
20090212,0.51,0.51,0.51,0.51,2000,0
20090213,0.55,0.55,0.5,0.5,11000,0
20090216,0.49,0.49,0.49,0.49,2000,0
20090218,0.54,0.54,0.54,0.54,200,0
20090226,0.49,0.5,0.49,0.5,300,0
20090227,0.53,0.53,0.53,0.53,900,0
20090305,0.5,0.5,0.5,0.5,2300,0
20090306,0.45,0.48,0.45,0.48,1700,0
20090310,0.42,0.42,0.4,0.4,4500,0
20090311,0.44,0.44,0.44,0.44,1400,0
20090316,0.44,0.44,0.44,0.44,1500,0
20090317,0.42,0.42,0.42,0.42,1400,0
20090323,0.42,0.42,0.4,0.4,2500,0
20090324,0.44,0.44,0.44,0.44,2000,0
20090325,0.44,0.46,0.44,0.46,2200,0
20090326,0.48,0.48,0.48,0.48,500,0
20090327,0.48,0.49,0.48,0.49,2500,0
20090401,0.49,0.49,0.49,0.49,200,0
20090402,0.5,0.5,0.5,0.5,500,0
20090403,0.51,0.51,0.51,0.51,1000,0
20090406,0.52,0.52,0.52,0.52,500,0
20090407,0.53,0.53,0.51,0.51,4000,0
20090408,0.52,0.52,0.52,0.52,1000,0
20090409,0.52,0.52,0.51,0.51,2100,0
20090414,0.54,0.54,0.54,0.54,1200,0
20090422,0.5,0.5,0.48,0.48,3000,0
20090424,0.54,0.54,0.54,0.54,2000,0
20090428,0.5,0.54,0.49,0.54,1200,0
20090429,0.54,0.65,0.54,0.6,24600,0
20090430,0.6,0.65,0.6,0.65,4100,0
20090504,0.64,0.75,0.64,0.71,9300,0
20090505,0.74,0.74,0.74,0.74,1000,0
20090514,0.72,0.72,0.72,0.72,100,0
20090515,0.72,0.74,0.72,0.74,3600,0
20090519,0.73,0.73,0.73,0.73,800,0
20090521,0.75,0.79,0.75,0.79,3800,0
20090522,0.8,0.82,0.8,0.82,4500,0
20090526,0.8,0.8,0.76,0.76,600,0
20090527,0.81,0.81,0.81,0.81,1500,0
20090528,0.76,0.76,0.75,0.75,2000,0
20090529,0.81,0.81,0.81,0.81,1500,0
20090601,0.87,0.87,0.87,0.87,2000,0
20090602,0.8,0.83,0.8,0.83,2000,0
20090604,0.78,0.82,0.77,0.82,6000,0
20090605,0.82,0.82,0.82,0.82,700,0
20090612,0.8,0.8,0.8,0.8,100,0
20090615,0.83,0.83,0.76,0.76,1500,0
20090618,0.77,0.77,0.76,0.76,6500,0
20090619,0.75,0.78,0.75,0.78,5200,0
20090624,0.72,0.72,0.72,0.72,100,0
20090626,0.72,0.72,0.72,0.72,800,0
20090629,0.71,0.71,0.71,0.71,2000,0
20090710,0.74,0.74,0.72,0.72,5000,0
20090713,0.67,0.71,0.67,0.71,5000,0
20090715,0.73,0.73,0.73,0.73,200,0
20090716,0.73,0.73,0.73,0.73,2000,0
20090717,0.73,0.73,0.73,0.73,2000,0
20090720,0.72,0.72,0.72,0.72,200,0
20090721,0.72,0.72,0.67,0.67,700,0
20090723,0.74,0.74,0.67,0.67,1100,0
20090724,0.67,0.67,0.67,0.67,100,0
20090729,0.74,0.74,0.74,0.74,200,0
20090731,0.75,0.75,0.75,0.75,3000,0
20090804,0.75,0.75,0.75,0.75,1000,0
20090811,0.74,0.82,0.74,0.82,2500,0
20090814,0.82,0.9,0.81,0.81,9400,0
20090817,0.77,0.77,0.77,0.77,1500,0
20090819,0.78,0.78,0.78,0.78,2000,0
20090824,0.77,0.77,0.68,0.68,4000,0
20090828,0.68,0.68,0.68,0.68,500,0
20090831,0.68,0.68,0.68,0.68,300,0
20090903,0.68,0.68,0.67,0.67,9800,0
20090904,0.7,0.7,0.7,0.7,1700,0
20090907,0.7,0.7,0.7,0.7,200,0
20090911,0.7,0.7,0.7,0.7,200,0
20090918,0.66,0.66,0.66,0.66,2000,0
20091012,0.7,0.7,0.7,0.7,1500,0
20091013,0.71,0.71,0.66,0.66,3400,0
20091015,0.63,0.63,0.63,0.63,1000,0
20091019,0.68,0.68,0.68,0.68,1500,0
20091020,0.7,0.72,0.7,0.72,4600,0
20091021,0.74,0.74,0.74,0.74,1900,0
20091023,0.73,0.74,0.73,0.74,10000,0
20091027,0.74,0.74,0.74,0.74,2000,0
20091028,0.72,0.72,0.72,0.72,3000,0
20091029,0.75,0.75,0.75,0.75,1000,0
20091030,0.72,0.72,0.72,0.72,100,0
