Date,Open,High,Low,Close,Volume,OpenInt
19910405,16.786,16.786,16.786,16.786,5838,0
19910408,16.7,16.7,16.7,16.7,5838,0
19910409,16.615,16.615,16.615,16.615,5838,0
19910410,16.486,16.786,16.486,16.786,35029,0
19910411,16.829,16.829,16.829,16.829,11677,0
19910412,16.898,17.205,16.898,17.129,128441,0
19910415,17.171,17.171,16.975,17.129,35029,0
19910416,17.111,17.257,17.086,17.189,64221,0
19910417,17.342,17.514,17.342,17.471,70059,0
19910418,17.214,17.214,17.146,17.214,35029,0
19910419,17.069,17.069,16.898,16.898,23353,0
19910423,16.615,16.915,16.615,16.915,40867,0
19910424,16.871,16.871,16.76,16.76,29192,0
19910425,16.931,16.931,16.931,16.931,5838,0
19910426,16.975,16.975,16.871,16.871,11677,0
19910429,17,17.129,16.871,16.871,35029,0
19910430,16.871,16.871,16.657,16.657,11677,0
19910502,16.744,16.786,16.744,16.786,11677,0
19910503,16.786,16.786,16.786,16.786,11677,0
19910506,16.657,16.657,16.657,16.657,5838,0
19910508,16.545,16.545,16.444,16.444,11677,0
19910515,16.058,16.058,16.058,16.058,5838,0
19910522,16.144,16.186,15.973,16.015,29192,0
19910523,16.1,16.315,16.1,16.315,29192,0
19910524,16.272,16.486,16.272,16.486,17515,0
19910527,16.529,16.7,16.529,16.7,11677,0
19910528,16.615,16.615,16.444,16.529,40867,0
19910531,16.486,16.744,16.486,16.657,64221,0
19910603,16.7,16.786,16.7,16.786,29192,0
19910604,16.786,16.871,16.786,16.871,40867,0
19910605,16.915,17.171,16.915,17.171,52544,0
19910606,17.171,17.171,17.086,17.086,17515,0
19910607,16.957,17.086,16.957,17.086,58383,0
19910611,17.025,17.042,17.025,17.042,11677,0
19910612,16.957,16.957,16.529,16.572,64221,0
19910613,16.572,16.572,16.572,16.572,11677,0
19910617,16.898,16.898,16.898,16.898,5838,0
19910618,16.76,17.086,16.76,17.086,99250,0
19910619,17,17.342,17,17.257,122604,0
19910620,17.3,17.428,17.3,17.386,286076,0
19910621,17.488,17.771,17.488,17.771,169310,0
