Date,Open,High,Low,Close,Volume,OpenInt
20090406,39.786,42.052,37.464,39.318,3448,0
20090407,40.244,40.244,37.642,37.914,56,0
20090408,39.776,40.02,34.665,37.399,2181,0
20090409,36.509,38.84,36.041,37.446,1012,0
20090414,37.446,39.299,35.667,37.446,3419,0
20090415,37.446,39.215,35.583,37.352,257,0
20090416,38.382,38.475,35.573,37.82,870,0
20090417,37.914,39.29,37.464,38.11,1445,0
20090420,38.11,39.505,35.685,37.071,2844,0
20090421,37.071,37.914,35.592,36.509,374,0
20090422,36.509,41.892,35.592,39.318,4434,0
20090423,39.318,42.81,35.62,40.91,4445,0
20090424,40.91,43.746,39.364,42.126,3099,0
20090427,42.126,43.989,39.598,42.314,3942,0
20090428,41.846,42.838,38.391,41.892,2083,0
20090429,41.19,42.866,41.19,41.752,2091,0
20090430,41.752,44.466,41.658,41.658,4852,0
20090504,41.658,47.088,41.658,45.216,2754,0
20090505,45.216,48.015,44.466,44.841,2964,0
20090506,44.841,45.665,43.081,44.466,1217,0
20090507,44.466,46.807,42.22,42.22,981,0
20090508,42.22,44.841,42.088,44.466,998,0
20090511,43.998,45.403,40.722,40.722,985,0
20090512,40.722,42.126,38.438,39.412,1527,0
20090513,39.412,40.722,37.455,38.194,184,0
20090514,38.194,40.722,35.583,39.505,54,0
20090515,38.756,40.244,37.305,38.944,936,0
20090518,38.944,42.116,37.446,37.914,3543,0
20090519,37.914,40.704,37.914,38.85,3445,0
20090520,38.85,40.628,37.464,38.944,1473,0
20090521,37.726,40.666,37.165,38.382,358,0
20090522,38.007,40.619,37.661,37.914,587,0
20090525,37.914,39.308,36.977,36.977,978,0
20090526,36.977,38.634,36.977,38.101,401,0
20090527,37.165,38.382,37.165,37.492,481,0
20090528,37.492,37.492,36.509,36.509,112,0
20090529,36.509,38.288,36.509,36.977,176,0
20090601,36.977,42.126,35.62,39.037,294,0
20090602,38.784,39.318,37.174,37.446,2033,0
20090603,37.446,38.794,36.987,37.446,334,0
20090604,36.977,38.269,36.977,37.464,139,0
20090605,37.464,38.035,36.79,37.165,3215,0
20090608,37.165,37.633,36.537,36.79,422,0
20090609,36.79,37.914,35.667,35.667,676,0
20090610,35.573,37.895,35.386,35.667,625,0
20090611,35.105,37.633,35.105,36.556,240,0
20090612,36.556,37.848,35.667,35.667,418,0
20090615,36.556,37.848,35.761,35.761,412,0
20090616,35.761,37.23,35.761,37.165,646,0
20090617,35.807,37.23,35.629,35.629,198,0
20090618,35.199,37.867,34.319,36.509,772,0
20090619,35.199,37.652,35.199,37.548,151,0
20090622,35.761,37.436,35.761,36.977,12,0
20090623,34.637,36.977,34.169,35.011,1063,0
20090624,34.075,35.573,33.747,35.283,1330,0
20090625,33.795,36.041,33.795,35.948,459,0
20090626,34.637,36.416,34.169,36.416,118,0
20090629,34.263,36.369,34.169,34.169,118,0
20090701,34.263,36.041,34.169,35.573,64,0
20090702,34.263,35.573,34.169,35.105,368,0
20090703,34.169,36.341,33.336,34.637,134,0
20090706,33.42,36.416,33.149,35.096,107,0
20090707,33.701,35.433,33.139,33.233,185,0
20090708,33.701,35.433,33.139,35.386,2030,0
20090709,33.607,35.48,33.139,33.186,479,0
20090710,33.42,35.105,33.327,33.336,1079,0
20090713,33.701,35.105,33.139,33.158,91,0
20090714,34.169,35.245,33.149,34.179,5098,0
20090715,34.169,37.717,33.158,37.446,828,0
20090716,35.573,38.475,35.48,37.82,1549,0
20090717,36.987,38.475,35.629,36.041,1495,0
20090720,35.854,37.867,35.583,37.258,2526,0
20090721,36.229,37.576,35.845,37.436,3215,0
20090722,37.492,38.382,37.071,38.204,3955,0
20090723,36.977,39.178,36.753,38.382,971,0
20090724,37.633,39.046,37.446,37.923,940,0
20090727,38.382,38.382,37.474,38.101,1894,0
20090728,37.82,37.82,36.144,36.603,3501,0
20090729,36.416,38.382,36.135,37.82,2686,0
20090730,36.743,37.446,35.817,36.556,2129,0
20090731,37.427,37.427,35.91,36.088,152,0
20090803,36.509,37.436,35.208,36.088,1941,0
20090804,36.041,37.773,36.041,36.509,1619,0
20090805,36.041,36.509,35.339,35.527,2884,0
20090806,35.293,36.509,35.208,35.245,1121,0
20090807,35.152,37.633,35.152,35.573,2570,0
20090810,35.592,36.509,35.105,36.041,4818,0
20090811,35.573,36.509,35.133,36.5,2013,0
20090812,36.453,37.914,35.133,36.865,475,0
20090813,35.573,37.539,35.217,37.53,881,0
20090814,37.633,38.382,35.152,37.446,1700,0
20090817,37.212,38.063,36.051,36.088,431,0
20090818,36.088,37.96,35.648,36.509,1153,0
20090819,36.509,37.446,35.573,37.399,1556,0
20090820,37.352,37.82,36.509,37.277,595,0
20090821,37.352,38.063,36.509,37.446,740,0
20090824,37.539,39.692,37.352,38.288,23305,0
20090825,37.633,39.318,37.352,38.11,22225,0
20090826,37.68,39.318,37.68,39.318,5286,0
20090827,37.548,38.85,37.277,37.446,29163,0
20090828,37.446,38.279,36.977,38.279,15428,0
20090831,38.279,38.335,37.286,37.455,2084,0
20090901,37.024,37.96,36.977,37.174,492,0
20090902,37.127,37.96,36.528,37.446,124,0
20090903,36.041,37.848,36.041,36.519,427,0
20090904,36.556,37.848,35.667,37.427,526,0
20090907,36.612,38.382,36.509,36.977,851,0
20090908,36.977,37.914,36.977,37.08,238,0
20090909,36.977,37.998,36.977,37.361,14144,0
20090910,37.258,37.858,36.509,36.697,5020,0
