Date,Open,High,Low,Close,Volume,OpenInt
20090406,45,46.29,45,46.29,2253,0
20090407,46.29,46.29,45.5,45.75,3454,0
20090408,45.35,45.7,45.2,45.6,823,0
20090409,45.6,46.8,45.25,45.51,16304,0
20090414,45.51,46.9,45.51,46.9,3053,0
20090415,46.9,48.5,46.5,47.4,960,0
20090416,47.99,49,47.4,48.1,1743,0
20090417,48.4,49.74,48.4,49.2,2382,0
20090420,49.74,49.9,48.2,49,2736,0
20090421,49.7,50,49,49.4,1758,0
20090422,50,50.5,49.5,50.3,1925,0
20090423,50.05,53.5,49.8,50.3,8304,0
20090424,46.5,50.5,46.5,50.48,2462,0
20090427,50.48,51,50,51,4409,0
20090428,51,51,48.7,48.7,1311,0
20090429,49.79,49.79,48.6,48.6,701,0
20090430,49.2,49.6,48.5,49.41,988,0
20090504,49.41,49.41,45.7,48.5,6626,0
20090505,49,49.25,47.81,49.2,4041,0
20090506,49.25,49.9,48,49,2876,0
20090507,49,52.1,48.5,51,5138,0
20090508,51,51,48.9,49.9,4202,0
20090511,49.9,50,48.9,49.2,1803,0
20090512,49.2,50.2,49,50,3130,0
20090513,50,50.6,48.5,48.8,2548,0
20090514,49,49.3,48.2,49,2812,0
20090515,49,49,48,48,3049,0
20090518,48,48.5,46.6,47.9,5568,0
20090519,47.5,49,47.5,47.95,3317,0
20090520,47.95,49,47.5,49,1585,0
20090521,48.2,48.2,47.1,47.4,1115,0
20090522,47.1,48.7,47.1,48.59,3013,0
20090525,48.59,50.6,48.1,50.5,2561,0
20090526,50.6,50.7,49.9,50.3,1599,0
20090527,50.3,51.1,50,50.55,1447,0
20090528,50.55,51.48,49.4,49.4,2434,0
20090529,49.6,49.78,48.98,48.98,929,0
20090601,48.98,48.98,48,48.7,1247,0
20090602,48.7,49.58,47.89,49.58,953,0
20090603,49.58,49.8,48,49.2,3542,0
20090604,49.2,49.45,48.3,49.45,1206,0
20090605,49.45,50.31,48.5,50.31,2400,0
20090608,50.31,50.88,49.5,50.05,1778,0
20090609,50.05,50.9,49.8,50.65,1536,0
20090610,50.65,54.08,50.65,52.85,3957,0
20090611,52.85,56,52.85,56,2459,0
20090612,56,60.3,56,60.3,7076,0
20090615,60,62,58.2,59.51,6434,0
20090616,59.3,61.8,58,60.8,2797,0
20090617,60.4,61.38,59.5,60.8,4584,0
20090618,60.6,63.5,60.2,62.5,3500,0
20090619,62.5,62.5,60.5,60.9,2630,0
20090622,60.9,60.9,57.2,57.2,6110,0
20090623,57.2,58.3,56.1,56.9,2338,0
20090624,56.9,58.8,56.9,57.2,2824,0
20090625,57.2,58.1,56,57.9,4621,0
20090626,57.9,58.4,57.2,58.3,1662,0
20090629,58.99,59,58.3,58.8,1329,0
20090630,58.3,58.99,58.1,58.5,4521,0
20090701,58.5,58.7,56.4,58.35,2776,0
20090702,58.49,59.3,58.4,58.6,2169,0
20090703,58.6,59.2,57.8,58.5,5249,0
20090706,58.5,59,57,57,3729,0
20090707,58.8,58.8,56.8,57,5636,0
20090708,57,57.4,56,56.7,5065,0
20090709,56.7,56.7,53.3,55.5,4144,0
20090710,55.5,55.5,45.1,48.48,7775,0
20090713,48.5,49.9,48.05,48.5,2762,0
20090714,48,49,48,48.9,1659,0
20090715,48.9,48.95,48.1,48.7,1991,0
20090716,48.5,49.8,48.3,49.2,1308,0
20090717,49,49.89,49,49.7,1090,0
20090720,49.4,50.5,48.7,50.5,3893,0
20090721,49.5,50.6,49.4,49.4,5847,0
20090722,49.58,49.58,48,48.45,994,0
20090723,48.45,48.7,47.96,48.7,1535,0
20090724,48.29,48.5,48,48.25,1348,0
20090727,48.25,50.05,48.1,50,1797,0
20090728,50,51.1,49.7,51.05,1109,0
20090729,51.05,51.8,51,51.31,1081,0
20090730,51.7,52.7,51.7,52.7,1087,0
20090731,52.7,53.5,51,52.5,1172,0
20090803,52.5,52.8,51.3,52.2,3610,0
20090804,52.5,52.5,51.2,51.5,630,0
20090805,51.5,53,49.8,51.36,3170,0
20090806,51.36,51.36,50.35,51,1100,0
20090807,51,51,48,50.2,1080,0
20090810,51,51,49,50.05,815,0
20090811,50.5,50.5,49.35,49.8,1202,0
20090812,49,50,49,50,389,0
20090813,50,50.4,49.5,50.4,931,0
20090814,50.4,50.6,50,50.2,354,0
20090817,50.2,50.9,50.1,50.9,2438,0
20090818,50.42,50.89,50.1,50.2,659,0
20090819,50.2,50.6,50,50.1,464,0
20090820,50.1,50.4,49.05,49.8,2961,0
20090821,49.8,50.5,49.5,50.15,1635,0
20090824,50.15,50.5,50,50.3,706,0
20090825,50.05,50.9,50,50.81,638,0
20090826,50.1,51,50.1,50.8,2863,0
20090827,50.8,51.8,50.5,51.3,782,0
20090828,51.3,53,51.3,52.2,2605,0
20090831,52,52.3,51.4,51.4,1152,0
20090901,51.4,53,51.2,52.05,930,0
20090902,52.05,52.05,50.1,52,880,0
20090903,52,53,51,52,2201,0
