Date,Open,High,Low,Close,Volume,OpenInt
20000630,220,274.36,216,268.12,59400,0
20000703,279.2,279.2,248,258.24,23375,0
20000704,253.4,256,232.44,254.8,11275,0
20000705,248.4,259.56,240.04,249.2,7175,0
20000706,241.04,251.4,231.96,238.8,8900,0
20000710,233.96,233.96,218,220.6,7125,0
20000711,219.96,248.4,206.04,242.36,12125,0
20000712,238,258.8,218.16,236,8875,0
20000714,230,244,229.6,236.8,3125,0
20000717,241.04,243.4,226,229.6,2400,0
20000718,230.44,248,228,238,2825,0
20000719,239.2,242.04,231,241.56,3375,0
20000720,239.2,245,234,242.2,1525,0
20000721,246,246,235.84,239.48,2075,0
20000724,243.8,264.88,239.68,243.96,5350,0
20000725,245.2,247.8,240,246.72,1425,0
20000726,250.4,265,244.6,260,4525,0
20000727,259.2,259.2,240,240,2450,0
20000728,241.88,251.64,236,237.2,2400,0
20000731,236.4,254,236.4,249.96,1100,0
20000801,252,252,240,243.6,575,0
20000802,243.2,243.92,236.8,242,1950,0
20000803,238.8,238.8,204,220.68,4350,0
20000804,224.84,228,209.2,209.2,1375,0
20000807,212,216.4,209,214.32,1500,0
20000808,218,218,206,208,1275,0
20000809,208,226,208,220,2000,0
20000810,223.96,223.96,211.24,215.64,1175,0
20000811,212.44,220,210,214,1650,0
20000814,215.6,232,214.04,224,1225,0
20000815,226.8,242,223.2,236,1925,0
20000816,239.8,249.6,236,243,1225,0
20000817,243.2,246,231,242,925,0
20000818,238.44,239.16,226.4,234,1150,0
20000821,234,255.2,224,252,2500,0
20000822,255.2,255.36,240.2,251.56,2250,0
20000823,251.6,251.6,240,246,1650,0
20000824,248,257.2,240.4,243.6,1950,0
20000825,246.4,246.4,238.4,239,1375,0
20000828,244,246,237.64,240,1175,0
20000829,240,245.16,226.6,230,2100,0
20000830,234,254,230.4,254,1800,0
20000831,258,324,250.24,324,7700,0
20000901,324.08,340,296.4,307.6,4575,0
20000904,314.64,360,312,352.8,4000,0
20000905,356,384,336.08,352,5275,0
20000906,352,395.08,346.72,381.48,4125,0
20000907,378,427.6,357.6,413.96,3850,0
20000908,412,437.96,380,394,5375,0
20000911,388.16,391.08,368.4,378,1375,0
20000912,372.4,378,362,366,2275,0
20000914,341.8,396.56,341.8,390.64,3275,0
20000915,392,419,384,406,3525,0
20000918,388,405.84,364.12,368.48,2200,0
20000919,369.04,393.44,352,393.44,1825,0
20000920,400,417.08,348,360,3300,0
20000921,376.04,380,356,378,2200,0
20000922,359.96,400,350.72,396,3050,0
20000925,404.84,447.96,388,416,3175,0
20000926,409.84,432.8,400,408,2350,0
20000927,401.96,431.96,396,420,1925,0
20000928,428,456,408,456,2100,0
20000929,448.48,478,436.4,466,2725,0
20001002,467.6,532,461.08,494.6,3650,0
20001004,480.76,502.6,420,456,4575,0
20001005,466,466,426.08,430,1675,0
20001006,432,432,380.04,392,4225,0
20001009,380,406,364,400,3275,0
20001010,420,454,408,436,3275,0
20001011,431.6,439.48,404.84,430.28,3050,0
20001012,424.4,444.8,396,404,3350,0
20001013,396,448,390.16,444.04,3775,0
20001016,468,473.8,434.4,464,3625,0
20001017,465.76,467,444,448,1275,0
20001018,442.04,454,408.4,448.44,2075,0
20001019,460,484,443.4,476.4,1475,0
20001020,481.96,481.96,449.28,465.6,1350,0
20001023,460,460,437.44,450,725,0
20001025,463.96,476.8,452,456.8,700,0
20001026,463.56,482,440,451.96,1250,0
20001027,462.04,466,438.04,450,975,0
20001030,449.6,468,420,442,1850,0
20001101,444,448,422,430.68,600,0
20001102,423.6,435.8,420,432,500,0
20001103,432,432,381.24,404,3425,0
20001106,398.04,398.04,356,360,3000,0
20001107,352,352.8,320.04,346.16,6200,0
20001108,355.6,371.88,354,359.6,2525,0
20001109,359.88,374,341.68,358,1700,0
20001110,363.32,373.08,340.8,346.96,1300,0
20001113,340,340,301.6,320,3150,0
20001115,383.2,384,344.4,363.92,2450,0
20001116,363.96,363.96,334.4,341.2,675,0
20001117,340,356,332.4,346.72,1200,0
20001120,348,348,311.32,322,1075,0
20001121,316,328,290,302.4,2375,0
20001122,297.2,297.2,256.96,291.88,3775,0
20001123,293.56,321.2,255.2,316,2325,0
20001124,315.96,356,300,347.24,1825,0
20001127,356,373.96,342.4,352,2825,0
20001128,353.4,353.4,322,331.6,950,0
20001129,320,344,304,322.04,1600,0
20001130,323.96,323.96,304,305.6,975,0
20001201,331.04,351.2,314,336.44,1775,0
20001204,335.84,335.84,314.8,322.4,700,0
20001205,328.36,359.56,323.96,359.56,1275,0
20001206,370.8,386,356,360,1650,0
20001207,359.28,374.4,346,354,625,0
20001208,359.24,378,348,368.04,1025,0
20001211,368,390,364.4,386.4,1450,0
20001212,389.76,399.96,382.4,388,1200,0
20001213,398.08,416,376,376.8,1400,0
20001214,372,381.56,362,380,975,0
20001215,372,384.76,362,370,2100,0
20001218,372,380,367.2,376,1625,0
20001219,372,376,344,359.8,1725,0
20001220,324,336,302,304,2125,0
20001221,299.52,329.6,294,316.2,2175,0
20001222,324,331.6,310,322,575,0
20001227,326.76,327.64,292.8,294,1250,0
20001228,298.8,303.64,292,297.6,725,0
20001229,300,312,288.48,294.6,1250,0
20010102,286.56,286.56,244.8,245.2,1925,0
20010103,240,276,191,266,6350,0
20010104,292,309.2,252.4,272,9100,0
20010108,228,231.32,184,184.4,3925,0
20010109,198,210.4,185.24,199.8,4100,0
20010110,200.4,220,184.8,202,5075,0
20010111,202,224,202,224,6425,0
20010112,226.8,227.96,200.6,210.8,6275,0
20010115,211.16,212.4,194,199.4,2100,0
20010116,198.8,203.16,192,200.8,1075,0
20010117,208,221.6,206,216.6,3425,0
20010118,213.6,214.4,200,207,1675,0
20010119,214.4,226,205.6,211.6,2175,0
20010122,212,212,202.8,209.96,975,0
20010123,212,215.8,203.6,214,1600,0
20010124,219.56,241,212.84,238,7275,0
20010125,239.8,240.88,218.6,219.6,4150,0
20010126,200,217.2,199.2,217.2,2250,0
20010129,215.96,215.96,200.8,206.4,1400,0
20010130,211.36,211.8,202,202.04,850,0
20010131,200.4,210,189.16,202.8,2200,0
20010201,198,240.88,193.04,222.84,11325,0
20010202,232,234,216.4,220,2450,0
20010205,214,216,207.24,212,1125,0
20010206,212.44,214,200.8,208,2400,0
20010207,204.84,207.84,194.6,194.6,2275,0
20010208,199.96,205.56,194,195.96,1225,0
20010209,195.2,198.8,189.16,197.8,925,0
20010212,190.12,199.8,190.12,190.84,850,0
20010213,194,199.6,179.96,188,1375,0
20010214,177.2,178,156,172,4000,0
20010216,169.92,169.92,153.68,156.76,2025,0
20010219,154,158,136.84,141.6,3225,0
20010220,145.6,160,144,160,2475,0
20010221,146.4,164,142.16,160,2825,0
20010222,161.44,167.4,143.56,151,2225,0
20010223,153.76,153.76,132,138,2500,0
20010226,147.52,155.4,142,151,1500,0
20010227,154,158,146.8,147.6,1075,0
20010228,144,151.6,138.4,147.8,1250,0
20010301,140.36,140.36,124.04,125.88,2025,0
20010302,131.2,135.84,114.8,128,3475,0
20010305,121.92,125.96,116,121.4,1300,0
20010306,122.72,141.36,122.72,137.96,2625,0
20010307,133.6,153.92,131.68,152,2800,0
20010308,156,166,146.4,154.04,3825,0
20010309,150,155.56,147.56,147.8,1475,0
20010312,143.96,143.96,128.08,128.08,2325,0
20010313,126,136,122.08,131.48,2550,0
20010315,126,132.04,104.48,104.8,6250,0
20010316,106.72,106.72,92.84,103,3600,0
20010319,96.16,96.16,73.48,75.2,7750,0
20010320,82.4,85.2,74.8,80,4550,0
20010321,72.16,81.48,71.2,76.4,4175,0
20010322,75.4,76,65.2,66.8,4625,0
20010323,69.04,71,61.08,61.08,4825,0
20010326,64.68,75.56,64.44,73.6,7700,0
20010327,72.52,88.84,68.32,88,6475,0
20010328,88,103.12,82.2,92.36,8525,0
20010329,86.6,96.4,80,88.28,6100,0
20010330,89.56,99.44,86,90,3300,0
20010402,92.72,97.96,84.4,84.4,3225,0
20010403,83,83,69,74.4,6300,0
20010404,70.16,85.24,68.8,77.28,6050,0
20010405,88,109.4,86.68,106.76,6500,0
20010406,111.8,112,94,98.84,11450,0
20010409,89.6,103.96,84,95.8,6825,0
20010410,99.6,106.2,98.04,103.2,4400,0
20010411,103.64,114,100.48,104.72,4375,0
20010412,106.28,110,100.36,106.2,3550,0
20010417,101.4,106.48,92.4,102.8,4125,0
20010418,108,114,106.28,107.6,4475,0
20010419,111.2,111.2,103.2,105.4,3475,0
20010420,104.4,104.8,100,100.6,1475,0
20010423,101.16,101.16,96.04,96.8,925,0
20010424,95.16,107.96,94,103.4,3225,0
20010425,103.6,105.4,100.12,102.6,1750,0
20010426,107.12,111.56,102.6,109.64,2850,0
20010427,109,115.2,104.2,112.4,1900,0
20010430,113.76,129.96,113.76,126,2450,0
20010502,132,138.6,126.44,132,3675,0
20010503,132,132,116.8,117,2650,0
20010504,121.4,133.16,121.4,131.28,3875,0
20010508,133.8,134.4,124.16,126.36,3150,0
20010509,125.64,128,120,120,2350,0
20010510,120,127.56,118.12,118.12,2475,0
20010511,119.88,125.2,116.8,117.24,950,0
20010514,119.04,119.04,102.8,104.8,2475,0
20010515,105.56,111.2,105.2,108.4,1125,0
20010516,109.6,110.2,100.4,108,3500,0
20010517,112.6,116.4,111.2,113.8,2675,0
20010518,112.12,114.36,109,113.2,1250,0
20010521,110,113.4,97,105.6,6825,0
20010522,105.8,108,97.24,101.32,3900,0
20010523,102,102,96.4,98,1500,0
20010524,96.6,98,94.8,98,300,0
20010525,99.08,100.28,97.2,99.2,825,0
20010528,99.2,104,98.72,103.72,2850,0
20010529,103.96,106.8,101.6,101.6,1600,0
20010530,101.4,104,95.8,95.8,1350,0
20010531,95.6,103.6,94.24,100,1375,0
20010601,98.56,101.72,90.4,95.76,3225,0
20010604,96,96,94,94.4,800,0
20010605,95.24,100.08,88.72,100.08,1500,0
20010606,100.64,103.2,94.64,96,3050,0
20010607,94.6,95.16,85.88,88,3800,0
20010608,89.72,92,85.4,89.4,4150,0
20010611,86.56,86.56,80,80,1600,0
20010612,78.8,78.8,67.4,74.8,3625,0
20010613,75.6,77.96,75,76,3325,0
20010614,76,76,72.6,74.8,1275,0
20010618,73.6,73.6,68.8,69.92,1225,0
20010619,68.76,74.4,68.76,71.6,1725,0
20010620,71.12,71.2,64.8,66.04,2325,0
20010621,70,76,68.4,76,2725,0
20010622,75.56,75.56,70,72,2300,0
20010625,72,76,70.2,72.48,1625,0
20010626,70.32,70.72,68.8,70.72,1600,0
20010627,70,75.64,69.56,74.52,1450,0
20010628,72.8,87.16,72.8,86,2500,0
20010629,83.24,86,78.92,84,4575,0
20010702,83.88,87.48,83.88,85.16,2675,0
20010703,86.4,86.4,81.4,83.92,2000,0
20010704,83.68,84,79.2,83.24,1300,0
20010705,81.96,82,72.4,76.32,2150,0
20010706,70.4,72.76,67.88,69.2,2500,0
20010709,69.2,72.88,68.4,72.6,2650,0
20010710,73.6,75.48,66.4,66.6,3075,0
20010711,64,65.2,61,63.96,2500,0
20010712,68,79.2,65.8,73.6,6650,0
20010716,74.68,74.68,70,70.2,925,0
20010717,69.2,72.32,68.2,72.32,675,0
20010718,71.4,73.2,70,70,750,0
20010719,71.08,78.76,69,76.32,2875,0
20010720,74.72,74.72,69.6,71,1875,0
20010723,70,75.96,70,70,1225,0
20010724,71.44,73.56,70.04,71.28,425,0
20010725,71.6,73.2,70,71.56,500,0
20010726,70.36,72.92,69.08,70.4,1475,0
20010727,71.44,76,71.24,76,1675,0
20010730,76.64,78.4,73.8,74,3225,0
20010731,74.4,74.4,69.2,72.4,1950,0
20010801,72.8,72.8,70,70,775,0
20010802,71.04,72.8,66.84,66.84,3200,0
20010803,67.76,68.24,65.2,65.6,2600,0
20010806,66,66.36,63.64,64,1125,0
20010807,63.64,67.2,63.4,66.4,2150,0
20010808,67.4,67.4,62,62.96,1175,0
20010809,61.56,62.4,60,62.4,1600,0
20010810,62.4,63.48,60.04,61.32,1700,0
20010813,61.4,62.4,60,61.2,825,0
20010814,61.2,62.16,60,61.2,1050,0
20010815,60.32,60.88,60,60.2,550,0
20010816,60,60,54,54,2025,0
20010817,55.96,56,50.4,51.2,3425,0
20010820,50,51.2,46.64,47.84,2225,0
20010821,48.56,49.36,47.2,48.04,1350,0
20010822,47.36,48.8,46.4,48.2,1675,0
20010823,47.44,49.2,42.84,46.84,3475,0
20010824,45.96,47.88,42.8,47.88,3525,0
20010827,48.04,52.36,48.04,50.44,2125,0
20010828,50.04,51.32,46.8,47.6,1450,0
20010829,47.2,49.12,44.96,48,1375,0
20010830,47.32,48,44.2,45.4,1375,0
20010831,44.4,47.56,44.4,46.12,1325,0
20010903,46.96,46.96,43.96,44.4,300,0
20010904,45.08,47.96,44.4,47.96,1325,0
20010905,45.96,46,44,44,725,0
20010906,44.68,44.88,40.2,41.6,3325,0
20010907,42.24,42.52,39.2,39.2,3025,0
20010910,39.76,40.44,37.6,40.24,3025,0
20010911,40.76,42.8,34,36.8,3700,0
20010912,35.48,41.76,34.96,39,2300,0
20010913,38.48,42.84,38,42.8,3250,0
20010914,43.56,45.92,39.68,40.4,2850,0
20010917,39.84,44.16,38.2,41.72,1775,0
