Date,Open,High,Low,Close,Volume,OpenInt
20000114,61.658,65.56,60.877,64.624,13709,0
20000117,65.176,69.157,65.176,68.299,20626,0
20000118,68.918,68.918,64.781,65.186,14350,0
20000119,65.567,66.348,63.225,64.162,18576,0
20000120,65.17,65.411,64.007,65.178,8071,0
20000121,64.781,65.952,64.39,64.781,9354,0
20000124,65.487,65.73,62.443,65.565,10378,0
20000125,61.666,64.788,61.47,63.617,9096,0
20000126,63.226,64.787,62.766,63.866,9096,0
20000127,64.003,65.563,63.846,64.392,4484,0
20000128,64.719,69.074,60.098,69.074,27546,0
20000131,64.313,64.313,62.049,63.22,7176,0
20000201,62.522,63.615,61.664,62.444,23830,0
20000202,63.575,64.707,61.663,64.707,15631,0
20000203,63.847,67.126,63.418,67.126,23189,0
20000204,67.907,68.687,65.332,65.565,35232,0
20000207,65.56,69.463,65.17,66.341,35876,0
20000208,66.267,72.355,64.784,69.545,20755,0
20000209,71.024,80.39,70.244,78.049,62910,0
20000210,77.261,78.439,72.313,76.488,15503,0
20000211,78.832,88.199,78.053,85.389,42665,0
20000214,82.736,85.468,79.224,84.688,31901,0
20000215,85.856,88.978,80.392,85.075,91222,0
20000216,85.705,86.641,83.519,84.299,17424,0
20000217,84.3,84.691,80.788,82.74,17423,0
20000218,84.452,85.857,80.081,81.954,16912,0
20000221,82.895,86.642,82.037,83.294,19089,0
20000222,87.495,93.427,81.174,83.515,48046,0
20000223,84.691,85.081,79.617,82.74,24085,0
20000224,81.179,85.082,79.618,81.179,32669,0
20000225,82.741,84.302,79.619,79.619,26904,0
20000228,81.957,82.737,74.932,80.708,58037,0
20000229,80.394,81.955,76.491,80.394,41254,0
20000301,83.518,85.468,79.029,83.127,48173,0
20000302,84.689,85.07,83.518,83.986,39332,0
20000303,83.553,89.757,83.514,86.636,47918,0
20000306,91.326,91.326,83.825,85.472,34462,0
20000307,84.294,98.347,84.294,94.909,96733,0
20000308,93.042,96.395,89.764,94.447,74946,0
20000309,95.222,99.126,90.539,95.222,44330,0
20000310,96.011,97.568,92.495,96.011,15246,0
20000314,87.351,92.885,85.876,87.578,25367,0
20000315,85.85,87.419,80.472,86.248,28955,0
20000316,85.081,85.862,81.967,82.74,17807,0
20000317,85.857,87.417,81.954,83.515,24343,0
20000320,83.515,85.076,80.393,83.515,14221,0
20000321,84.686,84.686,79.612,83.515,11532,0
20000322,83.515,85.465,78.051,81.142,21140,0
20000323,80.392,84.294,79.611,80.782,15247,0
20000324,81.953,82.734,74.929,80.385,24856,0
20000327,79.614,83.899,78.053,83.829,9736,0
20000328,85.076,92.1,83.515,91.335,29852,0
20000329,92.491,94.278,88.979,93.505,43305,0
20000330,88.982,92.885,81.84,83.487,17040,0
20000331,78.055,87.421,76.181,81.567,44200,0
20000403,85.956,86.642,80.398,80.773,13836,0
20000404,80.394,86.637,78.052,81.954,20499,0
20000405,79.61,85.854,77.19,78.049,18449,0
20000406,80.318,87.42,80.318,87.42,27161,0
20000407,84.142,88.982,81.645,82.73,29595,0
20000410,84.294,88.969,83.514,86.636,13582,0
20000411,83.122,88.593,82.497,83.903,19860,0
20000412,81.96,84.301,79.235,80.929,27032,0
20000413,80.394,80.784,78.833,80.394,14349,0
20000414,80.317,82.346,78.833,78.833,28059,0
20000417,77.117,78.281,69.077,77.273,34976,0
20000418,80.17,81.957,76.485,79.148,19473,0
20000419,82.031,82.344,77.27,79.222,21909,0
20000420,80.002,81.158,77.661,77.661,11275,0
20000425,79.391,81.179,78.056,81.179,11146,0
20000426,81.956,84.219,78.443,78.833,23574,0
20000427,78.829,80.858,77.658,78.049,18834,0
20000428,79.611,83.904,75.709,80.782,62267,0
20000502,79.775,80.781,77.667,79.619,17423,0
20000503,78.096,79.462,78.057,78.759,28440,0
20000504,78.834,79.615,78.061,78.131,15246,0
20000505,78.836,79.617,77.275,77.688,21651,0
20000508,80.278,81.175,77.273,77.273,31004,0
20000510,76.489,77.932,74.225,74.928,10378,0
20000511,74.539,75.32,71.894,73.377,21525,0
20000512,76.112,78.447,75.949,76.885,9097,0
20000515,77.427,78.051,76.489,76.498,5381,0
20000516,77.893,79.61,77.268,78.049,13069,0
20000517,78.44,79.064,77.659,79.064,48559,0
20000518,78.829,79.61,76.878,78.049,41256,0
20000519,78.056,78.056,74.933,75.87,13196,0
20000522,76.489,77.659,74.928,74.928,27290,0
20000523,75.4,76.492,74.151,74.244,14349,0
20000524,73.219,81.797,73.219,81.797,76616,0
20000525,81.17,81.193,77.977,79.453,17936,0
20000526,78.053,79.224,76.883,77.975,16015,0
20000529,79.458,79.458,74.932,75.556,13453,0
20000530,75.946,79.615,75.556,77.273,15886,0
20000531,79.616,80.396,76.571,76.571,17295,0
20000601,78.225,79.591,78.053,79.591,1153,0
20000602,79.617,83.519,79.617,82.74,18064,0
20000605,83.518,85.079,79.639,82.73,8327,0
20000606,82.813,82.813,80.393,81.096,3971,0
20000607,81.959,83.13,80.399,81.179,12042,0
20000608,81.959,85.862,81.959,82.74,19601,0
20000609,84.097,84.691,80.866,82.74,14349,0
20000612,83.519,83.519,81.88,81.88,640,0
20000613,83.129,83.129,81.569,82.74,8840,0
20000614,83.28,85.856,83.124,85.075,14734,0
20000615,86.249,91.323,85.859,88.981,19474,0
20000616,89.762,97.568,89.762,97.568,30236,0
20000619,95.991,95.991,89.861,93.662,11659,0
20000620,94.832,96.001,92.319,95.222,10121,0
20000621,93.664,95.224,86.451,90.541,17936,0
20000622,91.324,92.104,90.543,91.714,4099,0
20000623,91.714,92.104,88.982,91.714,12171,0
20000626,89.765,90.546,82.74,86.479,25366,0
20000627,85.863,89.765,81.554,85.472,18448,0
20000628,85.079,89.918,83.518,88.178,12299,0
20000629,88.436,88.982,83.596,85.86,4741,0
20000630,86.744,86.744,81.952,83.506,7815,0
20000703,85.081,88.516,83.52,87.033,10506,0
20000704,85.94,86.643,83.325,83.755,13836,0
20000705,84.3,85.862,83.519,83.598,6149,0
20000706,82.738,85.86,81.176,85.86,5509,0
20000710,84.529,88.197,82.734,85.075,12940,0
20000711,85.314,85.314,82.114,84.299,6277,0
20000712,81.954,84.296,81.174,81.954,4613,0
20000714,83.748,85.075,82.734,85.075,7815,0
20000717,83.517,87.42,83.517,86.608,19602,0
20000718,86.64,87.42,84.298,87.42,7302,0
20000719,85.938,88.982,85.08,85.86,12042,0
20000720,87.416,92.879,87.081,91.326,57527,0
20000721,91.713,92.494,87.716,88.981,18577,0
20000724,87.615,91.05,85.859,91.05,7175,0
20000725,89.761,93.274,89.761,91.354,12043,0
20000726,92.491,92.881,88.081,91.335,9354,0
20000727,91.084,92.879,87.806,88.196,2819,0
20000728,87.42,89.761,86.249,88.981,12684,0
20000731,88.197,92.49,87.494,92.49,8200,0
20000801,91.17,91.318,87.798,88.196,7687,0
20000802,88.196,91.318,87.415,89.756,10250,0
20000803,88.977,89.367,85.074,87.337,14991,0
20000804,87.807,87.807,86.636,86.636,21654,0
20000807,86.637,87.808,86.637,87.808,2050,0
20000808,87.421,87.421,85.47,85.86,4613,0
20000809,86.643,89.687,86.331,88.907,7430,0
20000810,88.977,88.977,87.025,88.196,4100,0
20000811,86.483,87.029,84.453,85.546,5894,0
20000814,85.937,86.638,82.893,84.688,5252,0
20000815,84.691,85.073,84.3,84.457,5380,0
20000816,85.782,85.86,83.128,85.86,11146,0
20000817,86.402,86.402,83.593,85.075,13453,0
20000818,86.405,88.942,85.897,86.405,9225,0
20000821,87.027,88.393,86.949,87.652,12171,0
20000822,88.203,88.983,86.173,88.593,4356,0
20000823,88.943,88.982,87.031,87.929,7302,0
20000824,88.591,88.591,87.42,87.42,2691,0
20000825,87.806,88.977,87.142,88.196,8712,0
20000828,89.289,91.31,87.705,90.163,25240,0
20000829,90.54,90.54,87.028,87.808,19474,0
20000830,87.814,89.18,87.455,88.048,12811,0
20000831,88.204,92.653,87.735,91.326,51245,0
20000901,91.675,92.87,88.592,90.153,19730,0
20000904,89.682,92.493,88.981,90.541,28570,0
20000905,90.933,92.885,90.543,91.714,31773,0
20000906,91.363,101.47,91.34,96.011,31132,0
20000907,96.001,96.001,92.343,93.662,17424,0
20000908,93.666,96.241,93.275,93.284,9480,0
20000911,93.273,96.588,93.273,94.835,14477,0
20000912,93.083,96.78,93.083,96.78,7943,0
20000914,99.52,99.91,96.395,97.568,18321,0
20000915,99.126,104.98,92.49,92.49,94555,0
20000918,97.722,98.347,94.447,97.376,19857,0
20000919,96.078,97.174,93.662,95.222,17553,0
20000920,95.222,95.613,90.539,90.929,10122,0
20000921,91.329,92.493,88.2,90.541,20626,0
20000922,88.982,91.714,80.552,91.714,45096,0
20000925,92.888,97.386,91.717,93.902,21779,0
20000926,93.584,95.223,92.492,93.662,18705,0
20000927,93.9,94.759,93.432,94.447,1409,0
20000928,95.228,95.228,92.847,92.887,13580,0
20000929,93.504,94.441,92.49,92.49,23318,0
20001002,92.102,101.39,91.322,101.39,25624,0
20001004,95.617,95.617,92.441,94.447,8712,0
20001005,95.227,95.227,86.797,90.153,19089,0
20001006,90.539,90.539,86.636,89.369,7176,0
