Date,Open,High,Low,Close,Volume,OpenInt
20001207,10.5565,10.95,10.5565,10.95,9065,0
20001208,11.0367,11.2286,10.5568,10.72,6669,0
20001211,10.5616,10.7632,10.5616,10.6,8957,0
20001212,10.56,10.56,10.56,10.56,3125,0
20001213,10.56,10.5696,10.56,10.56,1146,0
20001215,10.7505,11.48,10.7505,11.48,3438,0
20001218,11.7008,11.7008,11.2304,11.48,74177,0
20001219,11.52,11.52,11.328,11.52,43229,0
20001220,11.522,11.522,11.138,11.33,4999,0
20001221,11.3706,11.4186,10.7469,10.91,21677,0
20001222,10.9536,12.0864,10.9536,12,15208,0
20001227,11.8019,12.4639,11.8019,12.32,2397,0
20001228,12.096,12.48,12.096,12.48,833,0
20001229,12.5731,13.84,12.5731,13.84,6043,0
20010102,13.9664,14.5712,13.9664,14.36,4584,0
20010103,14.4022,14.4022,13.25,13.25,4374,0
20010104,13.4416,13.4416,13.1824,13.24,312,0
20010108,12.6547,13.442,12.6547,13.25,11977,0
20010109,13.4016,13.44,13.2,13.44,10000,0
20010110,13.2404,13.442,13.058,13.25,2812,0
20010112,13.2343,13.2343,12.6681,12.86,4376,0
20010115,12.9542,13.4339,12.9542,13.29,8754,0
20010116,13.15,13.15,12.958,13.15,3959,0
20010117,13.296,13.44,13.296,13.44,938,0
20010119,13.4421,13.4421,12.77,12.77,1666,0
20010122,12.91,13.15,12.91,13.15,1563,0
20010123,13.15,13.15,13.15,13.15,3855,0
20010124,13.15,13.15,12.958,13.15,11043,0
20010126,13.1754,13.1754,12.59,12.59,2501,0
20010129,12.6069,12.6069,12.29,12.29,3229,0
20010130,12.29,12.4148,12.29,12.29,6561,0
20010131,12.0603,12.0603,11.83,11.83,1459,0
20010201,11.6607,11.6607,11.44,11.44,729,0
20010202,11.5964,11.7404,11.03,11.03,4688,0
20010205,11.1338,12.18,11.0378,12.18,7814,0
20010206,12.0979,12.6644,12.0979,12.53,1666,0
20010207,12.72,13.4496,12.72,13.2,8333,0
20010208,13.2409,13.5,13.2409,13.5,521,0
20010214,13.64,13.64,13.64,13.64,625,0
20010216,13.466,13.8691,13.466,13.61,5418,0
20010219,13.45,13.45,13.45,13.45,937,0
20010220,13.1904,13.1904,12.96,12.96,1875,0
20010221,12.958,13.15,12.958,13.15,3855,0
20010222,12.958,12.958,12.67,12.67,313,0
20010223,12.4738,12.4738,11.994,12.09,5524,0
20010226,12,12,12,12,2083,0
20010227,12.2304,13.008,12.2304,12.96,24792,0
20010228,12.9535,13.203,12.8,12.8,10318,0
20010301,12.5499,12.5499,12.31,12.31,1146,0
20010302,12.132,12.18,11.9976,12.18,3021,0
20010305,12.4224,12.4224,12,12,2083,0
20010306,11.9981,12.67,11.9981,12.67,3125,0
20010307,12.43,12.43,12.43,12.43,208,0
20010308,12.624,12.96,12.624,12.96,4583,0
20010309,12.96,12.96,12.96,12.96,208,0
20010312,12.96,12.96,12.48,12.48,2083,0
20010313,12.48,12.672,12.48,12.48,417,0
20010315,12.86,12.9656,12.716,12.86,1667,0
20010316,13.0964,13.0964,13.01,13.01,2604,0
20010319,13.2323,13.2323,13.05,13.05,938,0
20010320,13.6408,13.9,13.6408,13.9,938,0
20010321,13.92,13.92,13.92,13.92,833,0
20010322,13.92,13.92,12.48,12.48,5938,0
20010323,12.72,12.72,12.48,12.48,1979,0
20010326,12.2868,12.45,12.2388,12.45,938,0
20010327,12.2708,12.53,12.2708,12.53,4583,0
20010328,12.7043,12.8579,12.57,12.57,4169,0
20010329,12.7519,13.0014,11.85,11.85,11151,0
20010330,11.8301,12.0988,11.1969,11.36,5732,0
20010402,11.5327,11.5327,11.36,11.36,1042,0
20010403,11.3292,11.5212,11.1468,11.31,1666,0
20010404,11.378,11.5028,11.1956,11.33,14164,0
20010405,11.1648,11.1648,11.04,11.04,1458,0
20010406,11.04,11.04,10.56,10.56,2292,0
20010409,10.4048,10.5968,10.3184,10.52,1979,0
20010410,10.3684,11.0404,10.3684,10.81,9687,0
20010411,10.5964,10.5964,10.318,10.51,3959,0
20010412,10.51,10.51,10.51,10.51,104,0
20010417,10.1684,10.2356,10.0148,10.13,4270,0
20010418,9.9325,10.23,9.9325,10.23,3126,0
20010419,10.08,10.08,10.08,10.08,938,0
20010420,10.2289,10.2289,8.8951,9.49,18759,0
20010423,9.312,9.6,9.312,9.6,208,0
20010424,9.4176,9.6,9.4176,9.6,938,0
20010425,9.7113,10.0568,9.7113,9.98,2814,0
20010426,10.1376,10.1376,9.84,10.08,3646,0
20010427,10.2685,10.47,10.2685,10.47,1876,0
20010430,10.668,10.8312,10.4664,10.62,6873,0
20010502,10.4119,10.4119,10.22,10.22,1980,0
20010503,10.368,10.4256,10.32,10.32,9375,0
20010504,10.0788,10.0788,9.81,9.81,5313,0
20010508,9.9093,9.9093,9.506,9.65,3958,0
20010509,9.55,9.55,9.55,9.55,2605,0
20010511,9.6576,9.6576,9.504,9.6,1771,0
20010515,9.58,9.58,9.58,9.58,1667,0
20010517,9.576,9.5951,9.384,9.48,10526,0
20010518,9.5808,9.6,9.3312,9.6,20000,0
20010521,9.908,10.1,9.908,10.1,1979,0
20010523,9.98,9.98,9.98,9.98,417,0
20010524,10.17,10.17,10.17,10.17,730,0
20010529,9.84,10.032,9.84,9.84,21875,0
20010530,10.0128,10.32,10.0128,10.32,5833,0
20010531,10.32,10.32,10.32,10.32,2500,0
20010601,10.52,10.52,10.52,10.52,417,0
20010605,11.0884,11.0884,10.8484,11.05,4687,0
20010606,10.8304,10.8304,10.6,10.6,1562,0
20010607,10.56,10.56,10.56,10.56,208,0
20010608,10.41,10.41,10.41,10.41,1042,0
20010611,10.562,10.61,10.466,10.61,2500,0
20010612,10.56,10.56,10.56,10.56,417,0
20010613,10.368,10.368,10.32,10.32,1042,0
20010614,10.3735,10.3735,10.22,10.22,1980,0
20010618,10.174,10.27,10.174,10.27,10940,0
20010619,10.174,10.174,10.03,10.03,1354,0
20010620,10.0643,10.0739,9.8724,9.93,3856,0
20010621,9.8404,10.0804,9.6964,9.85,9166,0
20010622,10.032,10.08,9.888,10.08,625,0
20010625,9.89,9.89,9.89,9.89,521,0
20010626,9.7065,9.7065,8.9,8.9,4166,0
20010627,9.026,9.026,8.93,8.93,22495,0
20010628,8.7584,8.7584,8.72,8.72,1355,0
20010629,8.6053,8.73,8.6053,8.73,5525,0
20010702,8.7336,8.7336,8.58,8.58,417,0
20010703,8.4131,8.4131,8.1541,8.25,53476,0
20010704,8.11,8.11,8.11,8.11,1146,0
20010705,7.9656,8.1576,7.9656,8.1,2397,0
20010706,7.948,8.1496,7.948,8.14,1875,0
20010710,8.158,8.4172,8.158,8.35,56055,0
20010711,8.2348,8.35,8.2348,8.35,3959,0
20010712,8.352,8.4,8.16,8.16,119167,0
20010717,7.9488,7.9488,7.92,7.92,3646,0
20010718,7.916,7.916,7.82,7.82,6357,0
20010719,7.77,7.77,7.77,7.77,5629,0
20010720,7.6759,7.6759,7.58,7.58,4690,0
20010723,7.6972,7.87,7.6972,7.87,6981,0
20010724,7.922,8.066,7.922,7.97,3957,0
20010725,7.968,8.064,7.776,7.92,23229,0
20010726,7.9139,7.9139,7.77,7.77,2293,0
20010727,7.68,7.68,7.584,7.68,27396,0
20010730,7.582,7.63,7.5148,7.63,1875,0
20010801,7.5864,7.5864,7.5,7.5,10413,0
20010802,7.4001,7.9279,7.4001,7.64,9481,0
20010803,7.6645,7.77,7.6645,7.77,3023,0
20010806,7.7972,7.97,7.7972,7.97,2395,0
20010807,8.1669,8.33,8.1669,8.33,2813,0
20010808,8.2389,8.2389,7.97,7.97,2916,0
20010809,8.09,8.09,8.09,8.09,1563,0
20010810,8.24,8.24,8.24,8.24,104,0
20010813,8.25,8.25,8.25,8.25,208,0
20010816,8.2519,8.2999,7.964,8.06,10943,0
20010817,8.012,8.06,8.012,8.06,3648,0
20010821,7.774,7.774,7.63,7.63,1250,0
20010822,7.4856,7.4856,7.3512,7.38,5210,0
20010823,7.2864,7.2864,6.72,6.72,10313,0
20010824,6.6563,6.6563,6.3782,6.57,2815,0
20010828,6.5535,6.5535,6.4,6.4,2918,0
20010829,6.384,6.384,6.24,6.24,1563,0
20010830,6.238,6.286,6.19,6.19,6460,0
20010831,6.1079,6.1079,5.3204,5.33,39777,0
20010903,5.3233,5.4,5.3233,5.4,313,0
20010904,5.47,5.47,5.47,5.47,1042,0
20010905,5.52,5.52,5.52,5.52,1042,0
20010906,5.517,5.517,5.21,5.21,4690,0
20010910,5.1856,5.1856,4.9936,5.08,9789,0
20010911,4.9863,4.9863,4.65,4.65,14468,0
20010912,4.6076,4.6076,4.454,4.55,67298,0
20010913,4.4628,4.53,4.4628,4.53,313,0
20010914,4.4448,4.4448,4.32,4.32,5521,0
20010917,4.2437,4.2437,3.3604,3.61,42287,0
20010918,3.686,3.686,3.59,3.59,8334,0
20010919,3.66,3.66,3.66,3.66,312,0
20010920,3.7332,3.81,3.7332,3.81,1146,0
20010921,3.89,3.89,3.89,3.89,521,0
20010926,4.0841,4.0841,3.94,3.94,624,0
20011001,4.01,4.01,4.01,4.01,3753,0
20011002,4.2033,4.52,4.2033,4.52,8753,0
20011004,4.3697,4.3697,4.12,4.12,5102,0
20011005,4.3133,4.3229,3.8426,4.15,15823,0
20011008,4.32,4.32,4.32,4.32,9375,0
20011009,4.3625,4.42,4.3145,4.42,1982,0
20011010,4.5116,4.5116,3.9356,4.07,21877,0
20011011,4.176,4.464,4.176,4.32,2708,0
20011012,4.4189,5.3507,4.4189,4.88,12804,0
20011015,5.088,5.088,4.992,5.04,1667,0
20011017,5.664,6.24,5.664,6.24,30521,0
20011018,6.1395,6.4273,5.42,5.42,9903,0
20011019,5.424,5.424,4.4544,4.8,20417,0
20011022,4.8,4.8,4.656,4.8,1771,0
20011023,4.8004,4.8484,4.714,4.81,20832,0
20011024,4.8994,5.13,4.8994,5.13,2186,0
20011025,5.3608,5.5622,5.1786,5.38,13869,0
20011026,5.4724,5.53,5.1844,5.53,19686,0
20011029,5.37,5.37,5.2835,5.37,13324,0
20011030,5.28,5.28,5.28,5.28,4271,0
20011031,5.184,5.28,5.184,5.28,4479,0
20011101,5.4198,5.4198,5.18,5.18,2189,0
20011102,5.278,5.3739,5.23,5.23,10525,0
20011105,5.2804,5.386,5.2804,5.29,1146,0
20011106,5.28,5.28,5.28,5.28,1667,0
20011107,5.3719,5.3719,5.18,5.18,38988,0
20011108,4.9944,5.1864,4.9944,5.1,3852,0
20011109,5.0956,5.0956,4.9036,4.99,13339,0
20011112,4.948,4.948,4.8616,4.9,3331,0
20011113,4.98,4.98,4.98,4.98,208,0
20011114,4.8968,4.9064,4.8104,4.82,7082,0
20011115,4.898,4.898,4.85,4.85,2811,0
20011116,4.7959,4.7959,4.7,4.7,6881,0
20011119,4.802,4.85,4.7059,4.85,4373,0
20011120,4.798,4.798,4.7116,4.75,11567,0
20011121,4.75,4.75,4.75,4.75,8337,0
20011123,4.8,4.8576,4.8,4.8,2396,0
20011126,4.8453,4.97,4.7973,4.97,5524,0
20011127,5.0727,5.14,5.0727,5.14,312,0
20011128,5.23,5.326,5.23,5.23,9795,0
20011129,5.2303,5.4223,5,5,27509,0
20011130,5.038,5.038,4.942,4.99,4377,0
20011203,5.038,5.038,4.942,4.99,4377,0
20011204,4.8808,4.9,4.8039,4.9,2810,0
20011205,4.8923,4.8923,4.71,4.71,8027,0
20011206,4.7963,4.7963,4.71,4.71,3127,0
20011207,4.7959,4.7959,4.6808,4.7,3857,0
20011212,4.7,4.7,4.7,4.7,2085,0
20011214,4.7,4.7,4.7,4.7,313,0
20011219,4.6516,4.69,4.5749,4.69,3962,0
20011220,4.6885,4.698,4.1324,4.42,31707,0
20011221,4.4156,4.4156,3.6956,4.07,42504,0
20011227,4.2283,4.2283,3.94,3.94,16442,0
20011228,3.9318,3.9318,3.74,3.74,1773,0
20020102,3.8247,4.2091,3.8247,3.94,10302,0
20020103,4.034,4.13,3.9859,4.13,25508,0
20020104,4.126,4.126,4.03,4.03,2918,0
20020107,4.1108,4.13,3.9859,4.13,5102,0
20020108,4.03,4.03,4.03,4.03,417,0
20020109,4.078,4.078,4.03,4.03,2084,0
20020110,3.936,3.936,3.6672,3.84,42396,0
20020111,3.9072,3.9072,3.84,3.84,27188,0
20020114,3.8838,3.8838,3.74,3.74,5318,0
20020116,3.79,3.79,3.6941,3.79,10943,0
20020117,3.79,3.79,3.79,3.79,625,0
20020121,3.9284,3.938,3.842,3.89,8954,0
