Date,Open,High,Low,Close,Volume,OpenInt
20090406,18.468,22.008,18.339,18.339,325,0
20090407,18.477,27.509,18.339,21.549,344,0
20090409,21.824,22.466,19.256,19.724,616,0
20090414,19.595,23.199,18.339,22.016,174,0
20090416,28.426,28.426,18.339,24.025,517,0
20090417,24.098,28.243,22.924,23.841,349,0
20090420,23.731,25.217,22.924,22.924,59,0
20090427,21.769,25.675,20.283,25.675,40,0
20090428,26.4,27.601,20.293,22.008,572,0
20090429,22.144,26.592,22.008,22.016,1,0
20090430,22.117,26.592,22.008,22.026,203,0
20090505,22.044,26.592,22.044,25.217,44,0
20090506,25.125,26.418,22.924,25.226,141,0
20090507,25.281,26.592,22.924,25.4,304,0
20090508,25.666,26.592,22.924,25.4,109,0
20090511,25.363,29.343,24.758,26.455,570,0
20090512,26.29,28.417,22.924,26.455,187,0
20090513,26.803,28.426,22.924,28.426,331,0
20090514,25.308,26.592,21.641,21.641,24,0
20090515,21.677,27.509,21.677,24.557,2,0
20090518,24.401,28.417,22.924,24.758,138,0
20090519,25.015,30.26,22.924,26.592,664,0
20090520,24.456,27.509,23.841,23.851,437,0
20090521,23.676,25.675,22.924,24.025,53,0
20090525,24.391,26.134,22.924,24.309,182,0
20090526,24.218,26.592,23.851,23.988,2345,0
20090527,24.025,27.271,23.841,24.346,99,0
20090528,24.263,27.325,23.887,24.309,131,0
20090529,24.446,27.307,22.41,22.41,283,0
20090601,22.851,26.592,22.851,25.217,44,0
20090603,20.173,26.592,20.173,23.841,813,0
20090604,26.592,26.592,23.841,24.299,383,0
20090605,24.034,26.592,23.942,24.309,591,0
20090608,27.234,27.234,23.942,23.942,191,0
20090609,24.043,27.041,24.025,26.592,300,0
20090610,27.051,27.601,24.025,24.768,1780,0
20090611,24.997,27.051,23.951,25.675,109,0
20090612,25.611,27.051,23.951,24.758,157,0
20090615,24.693,28.334,23.942,23.951,195,0
20090616,23.997,27.051,23.951,27.051,273,0
20090617,24.639,27.509,23.96,23.96,6,0
20090618,23.96,27.509,23.951,26.501,727,0
20090619,23.942,27.417,23.942,27.417,11,0
20090622,24.107,27.417,24.107,26.134,133,0
20090624,24.062,27.417,24.062,27.417,12,0
20090625,24.062,27.399,24.062,25.034,11,0
20090626,24.015,27.408,24.015,26.592,188,0
20090629,23.768,27.051,23.768,26.408,13,0
20090702,26.262,26.408,23.942,23.942,164,0
20090703,26.611,26.611,24.391,24.391,71,0
20090707,24.318,26.482,24.318,24.401,87,0
20090708,24.162,26.482,24.162,24.483,33,0
20090710,24.153,25.675,24.153,24.401,415,0
20090713,24.07,24.483,23.887,23.887,1329,0
20090714,24.088,25.611,23.932,25.611,33,0
20090715,24.565,25.125,23.841,25.125,109,0
20090716,24.346,25.217,23.382,23.988,108,0
20090717,24.08,25.125,23.382,25.125,436,0
20090720,24.18,25.584,24.18,25.584,454,0
20090721,24.043,27.051,24.043,26.619,1630,0
20090722,25.684,27.051,25.666,25.666,327,0
20090723,24.877,26.134,24.776,24.987,136,0
20090724,24.951,26.583,24.758,26.583,343,0
20090727,26.583,26.583,25.547,25.795,110,0
20090728,24.07,25.785,24.07,25.125,109,0
20090729,23.988,26.867,23.988,26.867,182,0
20090730,25.941,26.867,25.125,26.867,55,0
20090803,25.822,26.84,24.85,25.675,310,0
20090805,25.675,25.904,25.675,25.684,428,0
20090807,25.217,26.134,25.217,25.492,172,0
20090810,26.179,26.225,23.869,25.217,240,0
20090811,25.217,26.225,24.74,25.666,985,0
20090812,24.758,26.024,24.143,24.143,558,0
20090813,26.024,26.024,23.942,25.455,120,0
20090814,24.758,24.758,23.932,24.758,55,0
20090817,24.859,24.987,24.299,24.987,293,0
20090818,24.318,24.859,23.932,24.299,2159,0
20090819,21.567,24.299,21.567,24.208,2113,0
20090820,22.154,23.887,22.154,23.887,206,0
20090821,22.558,24.364,22.558,24.364,865,0
20090824,22.558,25.647,22.558,25.647,458,0
20090825,24.309,26.501,22.566,26.501,595,0
20090826,24.768,26.501,23.851,25.217,2353,0
20090827,23.841,26.408,23.841,26.408,109,0
20090828,25.217,25.4,25.217,25.4,4,0
20090831,25.4,26.134,25.217,26.134,55,0
20090901,25.4,26.482,25.4,26.042,545,0
20090902,24.758,26.042,22.008,25.217,707,0
20090903,24.804,25.675,24.125,24.987,288,0
20090909,24.987,25.217,24.987,25.217,432,0
20090910,24.987,25.308,24.987,25.217,327,0
20090911,24.987,26.775,24.987,26.436,1870,0
20090914,24.987,26.501,24.987,26.455,327,0
20090915,24.997,26.501,24.987,25.767,67,0
20090916,24.987,26.436,24.987,26.436,77,0
20090917,24.987,26.509,23.392,26.115,2806,0
20090918,23.483,25.501,23.483,25.501,109,0
20090921,23.483,25.675,23.483,25.675,503,0
20090922,23.53,25.767,23.53,23.841,818,0
20090923,23.475,26.592,23.475,26.134,3286,0
20090924,23.859,27.234,23.859,27.051,1092,0
20090925,23.841,27.041,23.841,27.041,44,0
20090928,25.675,27.041,25.592,26.134,135,0
20090929,26.253,27.509,25.079,26.134,1010,0
20090930,27.372,27.372,26.822,27.051,168,0
20091001,26.958,28.298,24.859,28.151,360,0
20091002,27.693,27.693,25.675,27.142,44,0
20091005,27.051,27.509,26.592,26.592,382,0
20091006,27.051,27.509,25.785,27.051,376,0
20091007,25.18,27.967,25.18,26.592,295,0
20091008,26.152,27.967,26.142,26.152,65,0
20091009,26.142,27.967,26.142,27.967,190,0
20091012,26.152,27.628,26.142,26.142,365,0
20091013,26.152,30.351,26.152,29.068,2238,0
20091014,28.151,31.177,26.592,31.177,343,0
20091015,29.004,30.077,26.592,30.077,242,0
20091016,28.628,32.094,28.444,31.177,689,0
20091019,30.077,32.744,29.343,30.122,79,0
20091020,29.343,31.351,29.343,31.177,71,0
20091021,30.26,32.094,29.343,29.343,1054,0
20091022,29.343,30.232,29.16,29.343,33,0
20091023,28.426,31.177,28.426,31.177,11,0
20091026,29.004,30.406,29.004,29.343,39,0
20091027,28.426,29.59,28.426,28.426,322,0
20091028,28.426,30.416,28.426,29.389,58,0
20091030,29.343,29.343,26.913,28.435,107,0
20091102,28.426,29.343,27.509,27.601,273,0
20091103,26.455,28.206,26.142,27.408,481,0
20091105,27.509,30.25,26.592,29.343,109,0
20091106,27.967,29.215,27.509,29.178,382,0
20091109,27.967,30.425,27.601,28.976,337,0
20091110,27.83,30.636,27.83,30.214,1730,0
20091111,27.83,33.139,27.83,30.828,1843,0
20091112,30.828,33.46,29.022,31.131,2531,0
20091113,30.26,33.01,29.893,30.122,762,0
20091116,28.16,32.644,28.16,31.819,1075,0
20091117,29.6,33.424,29.6,30.333,404,0
20091118,30.453,34.386,30.453,34.386,579,0
20091119,31.177,34.386,29.848,30.718,2994,0
20091120,28.334,32.992,28.334,30.122,38,0
20091123,28.894,32.085,28.894,32.076,213,0
20091125,29.022,32.525,29.022,31.177,640,0
20091126,30.26,30.929,29.343,29.893,338,0
20091127,29.022,30.26,29.022,30.26,120,0
20091130,30.26,31.113,29.838,29.856,115,0
20091201,30.26,31.956,29.856,31.636,580,0
20091202,30.453,32.553,30.443,32.231,353,0
20091203,30.453,32.919,30.453,32.103,126,0
20091204,30.81,32.553,30.443,32.553,142,0
20091207,30.727,32.571,30.727,32.571,51,0
20091208,31.186,32.736,30.773,32.726,508,0
20091209,32.369,32.919,31.177,32.827,160,0
20091210,32.369,32.919,32.094,32.369,613,0
20091211,32.369,33.46,31.195,32.553,1924,0
20091214,32.103,32.369,32.094,32.369,1494,0
20091215,31.644,33.928,31.636,33.01,387,0
20091216,32.222,33.469,32.103,32.846,227,0
20091217,32.837,33.296,31.965,32.553,250,0
20091218,32.846,32.892,32.369,32.589,523,0
20091221,32.561,33.424,32.094,33.424,240,0
20091222,32.378,33.377,32.094,33.194,174,0
20091223,32.387,33.286,32.094,33.286,85,0
20091228,32.653,33.323,31.91,32.186,313,0
20091229,32.186,33.01,32.103,32.46,1769,0
20091230,33.01,33.01,32.094,32.369,731,0
20100104,32.094,33.01,32.094,33.01,638,0
20100105,32.553,32.919,31.177,32.901,253,0
20100106,33.002,33.002,31.636,31.819,676,0
20100107,31.636,32.094,31.636,32.094,208,0
20100108,31.636,32.277,30.526,31.177,203,0
20100111,31.636,33.002,29.696,31.727,867,0
20100112,31.186,31.636,31.177,31.636,540,0
20100113,32.094,32.644,31.488,32.553,267,0
20100114,30.003,32.919,30.003,31.649,601,0
20100118,31.636,32.892,29.434,32.113,206,0
20100119,31.177,35.853,31.177,34.845,15594,0
20100120,33.928,36.495,32.094,34.386,2831,0
20100121,34.845,35.762,33.125,35.303,574,0
20100122,33.928,35.762,28.733,35.762,1096,0
20100125,32.094,36.665,26.509,34.689,313,0
20100126,33.01,38.559,33.01,34.854,2314,0
20100127,33.01,36.22,23.859,36.22,1449,0
20100128,33.469,37.596,33.01,37.495,56,0
20100129,32.094,35.313,32.094,33.469,109,0
20100201,32.094,37.229,32.094,35.303,488,0
20100202,32.094,36.22,32.094,35.762,1484,0
20100203,32.094,35.486,32.094,34.863,3003,0
20100204,32.094,34.276,32.094,33.928,409,0
20100205,32.314,33.561,32.314,33.561,109,0
20100208,32.094,37.138,32.094,33.882,135,0
20100209,33.469,33.561,32.387,33.561,164,0
20100210,32.387,33.882,32.387,33.882,512,0
20100211,32.272,34.469,32.094,34.469,240,0
20100212,32.644,33.01,32.277,33.01,55,0
20100215,32.094,33.469,32.094,33.469,327,0
20100216,32.094,35.303,32.094,35.303,46,0
20100217,32.048,33.928,31.589,33.928,1588,0
20100218,32.094,34.386,32.094,34.386,11,0
20100219,33.341,34.798,32.493,34.798,218,0
20100222,35.074,35.579,32.387,33.487,360,0
20100224,33.928,34.826,33.469,34.826,119,0
20100225,33.928,34.68,33.713,34.68,109,0
20100226,34.936,34.936,32.048,33.286,63,0
20100301,31.704,34.386,31.704,33.607,16,0
20100302,33.561,33.561,32.424,33.515,536,0
20100303,32.048,34.836,32.048,33.286,1552,0
20100304,32.561,33.625,32.048,32.048,1982,0
20100305,32.126,33.731,32.126,33.263,872,0
20100308,32.094,33.698,32.094,33.698,186,0
20100309,32.139,33.323,32.094,33.323,39,0
20100310,32.837,34.075,32.648,34.075,1184,0
20100311,32.869,33.409,31.636,33.01,5139,0
20100312,32.139,33.332,32.139,33.332,1565,0
20100315,32.094,33.341,32.094,33.341,22,0
20100316,32.277,34.102,32.277,34.102,616,0
20100317,32.277,34.203,32.277,34.203,772,0
20100318,34.386,34.386,32.144,34.386,1419,0
20100319,32.277,33.469,32.094,33.469,25,0
20100323,32.277,33.928,32.277,33.928,239,0
20100324,32.736,33.158,32.502,32.736,1919,0
20100325,32.282,33.469,32.282,32.827,739,0
20100326,32.561,33.369,32.098,33.369,732,0
20100329,32.277,33.469,32.186,33.369,388,0
20100330,32.296,33.377,32.296,32.892,452,0
20100401,32.553,34.386,32.553,33.928,1469,0
20100406,33.928,33.928,32.561,33.01,222,0
20100407,32.571,33.928,32.553,33.928,111,0
20100408,32.561,33.928,32.553,33.653,872,0
20100409,33.057,33.744,33.01,33.744,131,0
20100412,33.401,34.019,33.01,34.019,459,0
20100413,33.01,33.836,33.01,33.753,105,0
20100414,33.928,33.928,32.621,33.744,349,0
20100415,33.01,33.79,33.01,33.79,186,0
20100416,33.01,34.386,33.01,33.79,1094,0
20100419,33.928,33.928,32.616,33.01,789,0
20100420,32.69,34.377,32.098,33.643,1440,0
20100421,33.46,33.836,32.098,33.763,735,0
20100422,33.735,33.836,33.01,33.827,185,0
20100423,33.928,33.928,33.01,33.818,862,0
20100426,33.698,33.928,32.653,33.928,676,0
20100427,33.698,34.798,33.025,34.798,1414,0
20100428,34.386,34.836,33.103,34.386,2167,0
20100429,33.029,34.386,33.029,34.386,77,0
20100430,33.01,34.065,32.658,33.469,109,0
20100503,31.443,34.386,31.443,33.882,1394,0
20100504,32.639,34.744,32.639,33.928,581,0
20100505,33.928,34.56,32.841,33.928,142,0
20100506,32.094,34.478,27.518,34.478,164,0
20100507,31.956,34.386,30.416,33.002,219,0
