Date,Open,High,Low,Close,Volume,OpenInt
20121128,68.21,68.21,68.21,68.21,760,0
20121129,72.5,72.5,72.5,72.5,334,0
20121130,69.56,69.56,69.56,69.56,973,0
20121203,69,69,69,69,461,0
20121204,69,69,69,69,748,0
20121205,67.2,67.2,67.2,67.2,1187,0
20121206,66.5,66.5,66.5,66.5,158,0
20121207,66.5,66.5,66.5,66.5,269,0
20121210,65.02,65.02,65.02,65.02,230,0
20121211,65.03,65.03,65.03,65.03,19,0
20121212,67.48,67.48,67.48,67.48,10,0
20121213,66.52,66.52,66.52,66.52,22,0
20121214,66.53,66.53,66.53,66.53,31,0
20121217,65.01,65.01,65.01,65.01,612,0
20121218,64.83,64.83,64.83,64.83,77,0
20121220,65,65,65,65,223,0
20121228,64.65,64.65,64.65,64.65,53,0
20130102,67,67,67,67,135,0
20130103,67.2,67.2,67.2,67.2,370,0
20130104,65.6,65.6,65.6,65.6,2088,0
20130107,68.9,68.9,68.9,68.9,308,0
20130108,66.5,66.5,66.5,66.5,305,0
20130109,65.7,65.7,65.7,65.7,1185,0
20130110,68.5,68.5,68.5,68.5,5840,0
20130111,67.45,67.45,67.45,67.45,2662,0
20130114,64.8,64.8,64.8,64.8,3387,0
20130115,64.9,64.9,64.9,64.9,2195,0
20130116,65.66,65.66,65.66,65.66,562,0
20130117,65,65,65,65,2796,0
20130118,69.5,69.5,69.5,69.5,3264,0
20130121,65,65,65,65,6025,0
20130122,65,65,65,65,1091,0
20130123,69.4,69.4,69.4,69.4,6358,0
20130124,66,66,66,66,2610,0
20130125,66.4,66.4,66.4,66.4,2832,0
20130128,66.2,66.2,66.2,66.2,6294,0
20130129,63.05,63.05,63.05,63.05,1070,0
20130130,66.5,66.5,66.5,66.5,1890,0
20130131,65,65,65,65,835,0
20130201,65.5,65.5,65.5,65.5,1095,0
20130204,63.99,63.99,63.99,63.99,2006,0
20130205,63.87,63.87,63.87,63.87,1643,0
20130206,63.2,63.2,63.2,63.2,707,0
20130207,64.1,64.1,64.1,64.1,1100,0
20130208,64,64,64,64,2661,0
20130211,64.3,64.3,64.3,64.3,1225,0
20130212,65.21,65.21,65.21,65.21,445,0
20130213,64.5,64.5,64.5,64.5,605,0
20130214,67,67,67,67,616,0
20130215,66.5,66.5,66.5,66.5,984,0
20130218,65.51,65.51,65.51,65.51,222,0
20130220,68,68,68,68,400,0
20130221,65.51,65.51,65.51,65.51,331,0
20130222,67.27,67.27,67.27,67.27,419,0
20130225,67.6,67.6,67.6,67.6,1428,0
20130226,66.71,66.71,66.71,66.71,744,0
20130227,66.5,66.5,66.5,66.5,1357,0
20130228,66,66,66,66,2412,0
20130301,65.5,65.5,65.5,65.5,3956,0
20130304,66.1,66.1,66.1,66.1,14030,0
20130305,65.7,65.7,65.7,65.7,2127,0
20130306,65.7,65.7,65.7,65.7,1161,0
20130307,65.5,65.5,65.5,65.5,337,0
20130308,66.5,66.5,66.5,66.5,740,0
20130311,65.5,65.5,65.5,65.5,522,0
20130312,66,66,66,66,408,0
20130313,65.35,65.35,65.35,65.35,347,0
20130314,65.8,65.8,65.8,65.8,201,0
20130315,66.99,66.99,66.99,66.99,1535,0
20130318,66,66,66,66,1439,0
20130319,65.5,65.5,65.5,65.5,288,0
20130320,65.5,65.5,65.5,65.5,101,0
20130321,65,65,65,65,450,0
20130322,65.78,65.78,65.78,65.78,103,0
20130325,64.8,64.8,64.8,64.8,586,0
20130326,60.5,60.5,60.5,60.5,7061,0
20130327,57.3,57.3,57.3,57.3,3308,0
20130328,60.8,60.8,60.8,60.8,3126,0
20130402,57,57,57,57,963,0
20130403,56.93,56.93,56.93,56.93,971,0
20130404,57.59,57.59,57.59,57.59,250,0
20130405,58.32,58.32,58.32,58.32,239,0
20130408,58.69,58.69,58.69,58.69,157,0
20130409,58.79,58.79,58.79,58.79,112,0
20130410,60.39,60.39,60.39,60.39,855,0
20130411,60.87,60.87,60.87,60.87,612,0
20130412,61.1,61.1,61.1,61.1,363,0
20130415,58.41,58.41,58.41,58.41,50,0
20130416,59.42,59.42,59.42,59.42,196,0
20130417,59.3,59.3,59.3,59.3,656,0
20130418,58.5,58.5,58.5,58.5,251,0
20130419,57.5,57.5,57.5,57.5,2699,0
20130422,56.69,56.69,56.69,56.69,184,0
20130423,56.85,56.85,56.85,56.85,118,0
20130424,56.1,56.1,56.1,56.1,483,0
20130425,59.5,59.5,59.5,59.5,2364,0
20130426,58.52,58.52,58.52,58.52,1580,0
20130429,56.95,56.95,56.95,56.95,1363,0
20130430,59.9,59.9,59.9,59.9,3149,0
20130502,56,56,56,56,1368,0
20130503,56.62,56.62,56.62,56.62,382,0
20130506,56.8,56.8,56.8,56.8,2301,0
20130507,56.6,56.6,56.6,56.6,151,0
20130508,56.59,56.59,56.59,56.59,103,0
20130510,57,57,57,57,180,0
20130513,56.5,56.5,56.5,56.5,435,0
20130514,56.51,56.51,56.51,56.51,869,0
20130515,56.52,56.52,56.52,56.52,844,0
20130516,56.5,56.5,56.5,56.5,179,0
20130517,57.3,57.3,57.3,57.3,785,0
20130520,57,57,57,57,265,0
20130521,57.4,57.4,57.4,57.4,50,0
20130522,57,57,57,57,210,0
20130523,59,59,59,59,476,0
20130524,59.49,59.49,59.49,59.49,1075,0
20130527,58.21,58.21,58.21,58.21,275,0
20130528,59,59,59,59,121,0
20130529,56.59,56.59,56.59,56.59,848,0
20130530,60.4,60.4,60.4,60.4,337,0
20130531,59,59,59,59,1413,0
20130603,56.25,56.25,56.25,56.25,150,0
20130604,58.2,58.2,58.2,58.2,1302,0
20130605,57.2,57.2,57.2,57.2,67,0
20130606,57.5,57.5,57.5,57.5,10,0
20130607,55.58,55.58,55.58,55.58,337,0
20130610,55.52,55.52,55.52,55.52,40,0
20130611,55.5,55.5,55.5,55.5,135,0
20130612,55.05,55.05,55.05,55.05,100,0
20130614,55,55,55,55,103,0
20130617,55.6,55.6,55.6,55.6,495,0
20130618,56,56,56,56,1152,0
20130619,55.51,55.51,55.51,55.51,433,0
20130620,55.51,55.51,55.51,55.51,120,0
20130621,55.67,55.67,55.67,55.67,710,0
20130624,55.3,55.3,55.3,55.3,1095,0
20130625,56.4,56.4,56.4,56.4,1910,0
20130626,56,56,56,56,382,0
20130627,54.9,54.9,54.9,54.9,1275,0
20130628,56.8,56.8,56.8,56.8,62,0
20130701,55.1,55.1,55.1,55.1,230,0
20130702,51.5,51.5,51.5,51.5,6751,0
20130703,51.5,51.5,51.5,51.5,935,0
20130704,49.75,49.75,49.75,49.75,634,0
20130705,50.5,50.5,50.5,50.5,123,0
20130708,50.2,50.2,50.2,50.2,419,0
20130709,52.8,52.8,52.8,52.8,1088,0
20130710,51.64,51.64,51.64,51.64,150,0
20130711,52.3,52.3,52.3,52.3,61,0
20130712,53.1,53.1,53.1,53.1,477,0
20130715,52,52,52,52,480,0
20130716,49.5,49.5,49.5,49.5,6062,0
20130717,48.6,48.6,48.6,48.6,3582,0
20130718,50.62,50.62,50.62,50.62,4587,0
20130719,51.01,51.01,51.01,51.01,4534,0
20130722,52.13,52.13,52.13,52.13,601,0
20130723,54.95,54.95,54.95,54.95,354,0
20130724,54,54,54,54,1233,0
20130725,52.2,52.2,52.2,52.2,376,0
20130726,52.3,52.3,52.3,52.3,655,0
20130729,55.1,55.1,55.1,55.1,728,0
20130730,54.2,54.2,54.2,54.2,337,0
20130731,55.49,55.49,55.49,55.49,2659,0
20130801,54.5,54.5,54.5,54.5,1147,0
20130802,54.98,54.98,54.98,54.98,3204,0
20130805,53.4,53.4,53.4,53.4,674,0
20130806,40.1,40.1,40.1,40.1,12610,0
20130807,39.82,39.82,39.82,39.82,13167,0
20130808,40,40,40,40,3649,0
20130809,39,39,39,39,3197,0
20130812,38.9,38.9,38.9,38.9,1764,0
20130813,38.28,38.28,38.28,38.28,2364,0
20130814,39.2,39.2,39.2,39.2,2392,0
20130815,39.01,39.01,39.01,39.01,933,0
20130816,41.5,41.5,41.5,41.5,714,0
20130819,41.71,41.71,41.71,41.71,702,0
20130820,41.1,41.1,41.1,41.1,1332,0
20130821,42,42,42,42,948,0
20130822,41.58,41.58,41.58,41.58,559,0
20130823,41.11,41.11,41.11,41.11,1018,0
20130826,41.39,41.39,41.39,41.39,1678,0
20130827,40.65,40.65,40.65,40.65,3299,0
20130828,42.01,42.01,42.01,42.01,1019,0
20130829,42.19,42.19,42.19,42.19,807,0
20130830,43.28,43.28,43.28,43.28,636,0
20130902,43,43,43,43,779,0
20130903,44.8,44.8,44.8,44.8,1662,0
20130904,43.01,43.01,43.01,43.01,1614,0
20130905,41.59,41.59,41.59,41.59,517,0
20130906,42.65,42.65,42.65,42.65,357,0
20130909,43.2,43.2,43.2,43.2,1404,0
20130910,44.2,44.2,44.2,44.2,845,0
20130911,42.86,42.86,42.86,42.86,539,0
20130912,43,43,43,43,228,0
20130913,42.13,42.13,42.13,42.13,241,0
20130916,42.33,42.33,42.33,42.33,363,0
20130917,42.51,42.51,42.51,42.51,160,0
20130918,42.52,42.52,42.52,42.52,351,0
20130919,43.68,43.68,43.68,43.68,665,0
20130920,43.68,43.68,43.68,43.68,309,0
20130923,44,44,44,44,1604,0
20130924,44.15,44.15,44.15,44.15,683,0
20130925,44.15,44.15,44.15,44.15,40,0
20130926,44.25,44.25,44.25,44.25,117,0
20130927,44.8,44.8,44.8,44.8,811,0
20130930,44.25,44.25,44.25,44.25,210,0
20131001,44.2,44.2,44.2,44.2,9,0
20131002,44.2,44.2,44.2,44.2,811,0
20131003,44.38,44.38,44.38,44.38,270,0
20131004,44.09,44.09,44.09,44.09,403,0
20131007,44.1,44.1,44.1,44.1,210,0
20131008,44.5,44.5,44.5,44.5,530,0
20131009,44.01,44.01,44.01,44.01,10,0
20131010,44,44,44,44,5,0
20131011,44.5,44.5,44.5,44.5,785,0
20131014,44,44,44,44,410,0
20131015,44.5,44.5,44.5,44.5,268,0
20131016,43.31,43.31,43.31,43.31,1287,0
20131017,45.7,45.7,45.7,45.7,2279,0
20131018,44.5,44.5,44.5,44.5,1512,0
20131021,45.8,45.8,45.8,45.8,1284,0
20131022,45.85,45.85,45.85,45.85,1290,0
20131023,46,46,46,46,1475,0
