Date,Open,High,Low,Close,Volume,OpenInt
20010530,5.8584,5.9235,5.6144,5.7689,425606,0
20010531,5.8202,5.8202,5.6899,5.7877,13882,0
20010601,5.7764,5.8253,5.7438,5.8253,11169,0
20010604,5.6994,5.8541,5.6994,5.7971,12528,0
20010605,5.7814,5.7814,5.7,5.7407,8228,0
20010606,5.7162,5.7407,5.6837,5.7407,15105,0
20010607,5.7031,5.7031,5.7031,5.7031,860,0
20010608,5.7113,5.7193,5.7031,5.7031,3682,0
20010611,5.7033,5.7033,5.3367,5.3367,39520,0
20010612,5.4514,5.5735,5.3781,5.5246,10938,0
20010613,5.4588,5.4588,5.4588,5.4588,1596,0
20010614,5.4964,5.4964,5.4964,5.4964,1597,0
20010618,5.4525,5.4525,5.4119,5.4119,738,0
20010619,5.4149,5.4149,5.2521,5.2521,11298,0
20010620,5.3711,5.3711,5.2897,5.2897,2581,0
20010621,5.3353,5.4576,5.3353,5.4494,20379,0
20010622,5.4557,5.4557,5.3743,5.3743,13018,0
20010625,5.418,5.4588,5.418,5.4588,1718,0
20010626,5.4557,5.4557,5.3743,5.3743,4543,0
20010627,5.4119,5.4119,5.4119,5.4119,8233,0
20010628,5.2896,5.2896,5.0455,5.1675,22364,0
20010629,5.1676,5.2897,5.1676,5.2897,3687,0
20010702,5.2231,5.5246,5.2149,5.5246,5891,0
20010703,5.4588,5.4996,5.4588,5.4588,6628,0
20010704,5.4588,5.4588,5.4588,5.4588,1964,0
20010705,5.4576,5.4576,5.3273,5.3273,11907,0
20010706,5.3711,5.3711,5.2897,5.2897,2090,0
20010710,5.2126,5.2126,5.1394,5.1394,6753,0
20010711,5.2084,5.2897,5.2084,5.2897,1844,0
20010712,5.2146,5.2146,5.2146,5.2146,2701,0
20010716,5.3058,5.3058,5.1675,5.1675,3072,0
20010717,5.2147,5.2147,5.0924,5.0924,6013,0
20010718,5.0519,5.0519,4.8481,4.8481,13132,0
20010719,4.7034,4.7034,4.679,4.679,2335,0
20010720,4.679,4.679,4.679,4.679,738,0
20010723,4.6008,4.6008,4.5192,4.5192,9457,0
20010724,4.4816,4.4816,4.4816,4.4816,246,0
20010725,4.3971,4.3971,4.3971,4.3971,246,0
20010726,4.3558,4.3558,4.2988,4.3314,15599,0
20010727,4.3188,4.6856,4.2374,4.2374,32397,0
20010730,4.3187,4.4816,4.3187,4.4816,13376,0
20010731,4.4786,4.6414,4.4786,4.6414,7000,0
20010801,4.5192,4.5192,4.5192,4.5192,3808,0
20010802,4.4822,4.4822,4.4253,4.4253,7006,0
20010806,4.5192,4.5192,4.5192,4.5192,1228,0
20010807,4.5557,4.5557,4.515,4.5475,2335,0
20010808,4.5756,4.5756,4.5756,4.5756,1351,0
20010809,4.5994,4.632,4.5994,4.632,2703,0
20010810,4.6302,4.679,4.6302,4.679,4915,0
20010813,4.6445,4.726,4.6445,4.726,4049,0
20010814,4.7198,4.8012,4.7198,4.8012,1966,0
20010815,4.793,4.8012,4.793,4.8012,2335,0
20010817,4.679,4.679,4.679,4.679,246,0
20010824,4.6039,4.6039,4.6039,4.6039,246,0
20010827,4.5663,4.5663,4.5663,4.5663,246,0
20010828,4.6039,4.6039,4.6039,4.6039,1350,0
20010829,4.726,4.726,4.726,4.726,614,0
20010830,4.6414,4.6414,4.6414,4.6414,122,0
20010831,4.6508,4.6508,4.6508,4.6508,122,0
20010904,4.5632,4.5632,4.4816,4.4816,4664,0
20010906,4.5568,4.5568,4.5568,4.5568,1352,0
20010907,4.5599,4.6414,4.5599,4.6414,368,0
20010910,4.5568,4.5568,4.5568,4.5568,122,0
20010911,4.6026,4.6026,4.4723,4.4723,4665,0
20010912,4.4002,4.4816,4.3187,4.4816,8468,0
20010913,4.5059,4.5059,4.3595,4.3595,4058,0
20010914,4.3125,4.3125,4.1905,4.1905,15608,0
20010917,4.156,4.2374,4.156,4.2374,368,0
20010919,4.1529,4.1529,4.1529,4.1529,1228,0
20010921,4.0671,4.0671,4.0589,4.0589,3197,0
20010925,4.1153,4.1153,4.1153,4.1153,1105,0
20010926,4.1139,4.228,4.1139,4.228,246,0
20010928,4.3044,4.3126,4.3044,4.3126,246,0
20011001,4.2374,4.2374,4.2374,4.2374,859,0
20011002,4.275,4.275,4.275,4.275,614,0
20011004,4.2374,4.2374,4.2374,4.2374,3681,0
20011005,4.2718,4.2718,4.1905,4.1905,492,0
20011010,4.275,4.275,4.275,4.275,983,0
20011011,4.3043,4.3043,4.1905,4.1905,246,0
20011015,4.275,4.275,4.275,4.275,492,0
20011017,4.1893,4.3031,4.1893,4.3031,5532,0
20011019,4.275,4.275,4.275,4.275,122,0
20011023,4.3187,4.3595,4.3187,4.3595,122,0
20011025,4.3596,4.3596,4.2374,4.2374,1964,0
20011026,4.3596,4.3596,4.2374,4.2374,491,0
20011029,4.236,4.3502,4.236,4.3502,368,0
20011030,4.3595,4.3595,4.3595,4.3595,246,0
20011101,4.275,4.275,4.275,4.275,492,0
20011102,4.3564,4.3564,4.275,4.275,368,0
20011105,4.275,4.275,4.275,4.275,122,0
20011106,4.2783,4.2783,4.1153,4.1153,14112,0
20011107,4.228,4.228,4.228,4.228,122,0
20011113,4.275,4.275,4.275,4.275,122,0
20011114,4.2718,4.2718,4.1905,4.1905,246,0
20011115,4.3594,4.4816,4.3594,4.4816,5031,0
20011116,4.3971,4.3971,4.3971,4.3971,246,0
20011119,4.5192,4.5599,4.4786,4.5192,5772,0
20011120,4.5628,5.7604,4.5628,5.2146,42098,0
20011121,5.5027,6.1866,5.5027,6.032,15847,0
20011122,6.0289,6.1104,5.8253,5.8253,22708,0
20011123,5.866,5.866,5.6217,5.7031,20620,0
20011126,5.6153,5.6153,5.3713,5.534,23223,0
20011127,5.7039,5.7039,5.5246,5.5246,10553,0
20011128,5.4964,5.4964,5.3743,5.3743,4175,0
20011129,5.3719,5.4776,5.3719,5.4776,2826,0
20011130,5.4588,5.4588,5.4588,5.4588,2578,0
20011203,5.4588,5.4588,5.4588,5.4588,2578,0
20011204,5.2897,5.2897,5.2897,5.2897,2458,0
20011205,5.2916,5.3649,5.2509,5.3649,2580,0
20011206,5.3693,5.3693,5.3367,5.3367,3682,0
