Date,Open,High,Low,Close,Volume,OpenInt
20090406,320.53,320.53,317.32,317.32,10,0
20090416,317.32,320.49,314.15,320.49,10,0
20090417,320.49,323.69,317.29,320.45,14,0
20090422,320.45,323.65,317.25,323.65,8,0
20090423,323.65,330,320.41,330,10,0
20090427,335,335,335,335,20,0
20090430,335,340,333,340,3,0
20090504,340,352,340,352,3,0
20090505,352,359.11,352,359.11,3,0
20090506,359.11,362.7,350,350,2,0
20090512,350,362,350,350,10,0
20090521,350,360,350,356.4,1,0
20090525,350,365.11,350,365.11,13,0
20090527,365.11,365.11,352.88,360,15,0
20090528,360,360,352.88,359,5,0
20090608,360,360,350,350,9,0
20090610,350,350,340,340,21,0
20090612,340,340,333.27,340,31,0
20090616,340,340,333.27,340,20,0
20090619,340,340,333.27,340,10,0
20090629,333.27,338,333,338,7,0
20090708,340.4,347.06,340.4,347.06,14,0
20090714,342.58,347.6,342.58,342.58,17,0
20090716,342,347,342,346,7,0
20090717,347,358.58,347,358.58,10,0
20090720,358.58,358.58,352.6,352.6,3,0
20090721,357.6,357.6,352,352,51,0
20090723,357,357,353.35,353.35,23,0
20090729,357.99,357.99,355.98,355.98,11,0
20090730,355.98,355.98,350,350,13,0
20090805,335,335.66,325.06,335.66,20,0
20090810,344.65,349.99,344.65,349.99,1,0
20090811,352.99,352.99,350,352.39,16,0
20090813,352.39,352.39,352.39,352.39,3,0
20090814,352.39,357.89,352.39,357.89,1,0
20090818,357.89,357.9,357.89,357.89,11,0
20090902,357.9,357.9,357.9,357.9,15,0
20090908,357.9,365,357.9,365,12,0
20090925,357.28,357.28,352,352,5,0
20091001,346.72,346.72,330,330,15,0
20091002,330,330,330,330,100,0
20091007,334.95,348,320,330,4,0
20091014,348,350,320,348,3,0
20091015,353.22,353.22,348,348,1,0
20091021,351.19,351.19,346,346,2,0
20091104,339.83,352,338,352,18,0
20091106,357.28,358,352,352,2,0
20091119,345.74,358,345.74,358,10,0
20091201,336.87,345,336.87,345,3,0
20091204,334.9,340,334.9,338,1,0
20091207,340,345,340,343,4,0
20091208,337.86,345,337.86,345,12,0
20091211,329.98,360,329.98,360,6,0
20091221,327.75,354,327.75,354,5,0
20091223,330.6,360,330.6,350,10,0
20091229,342,360,340,340,5,0
20100107,314.45,331,314.45,330,88,0
20100112,316.35,333,316.35,333,4,0
20100119,323,340,323,340,10,0
20100120,323,340,323,340,30,0
20100126,323,341,323,340,11,0
20100129,323,342,320,342,13,0
20100202,308.75,360,308.75,360,35,0
20100203,342,365,342,365,37,0
20100204,346.75,361,346.75,361,11,0
20100205,342.95,360,340.05,360,21,0
20100208,342,365,342,358.95,1,0
20100210,341.05,359,341.05,350,5,0
20100211,332.5,360,332.5,350,6,0
20100216,318.3,360,318.3,360,1,0
20100219,318.35,360,318.35,355,26,0
20100223,318.35,336.05,318.35,336.05,20,0
20100226,327.8,365,327.8,365,5,0
20100301,346.75,365,346,350,28,0
20100303,327.75,365,327.75,345,2,0
20100304,327.75,354.5,327.75,354.5,4,0
20100305,336.8,355,336.8,345,5,0
