Date,Open,High,Low,Close,Volume,OpenInt
20000114,18.633,19.367,18.633,19,68400,0
20000117,19.533,25.5,19.333,25.5,104100,0
20000118,24.867,26.333,19.333,21.167,219900,0
20000119,21,23.983,18.667,23.667,161400,0
20000120,24.267,24.6,23.167,23.233,60900,0
20000121,22.833,22.833,21.1,21.833,57300,0
20000124,22.083,25.667,21.667,23.003,75300,0
20000125,22.637,23.333,21.833,22,83100,0
20000126,25,25.667,23.333,25.663,174000,0
20000127,25.833,28.75,25.833,28.75,133500,0
20000128,30.767,31.5,27.833,27.833,168300,0
20000131,27.467,27.467,26,26,54300,0
20000201,26.667,29,26.667,26.833,245400,0
20000202,27.67,28.133,26.667,27.333,136800,0
20000203,27.983,28,25.9,25.9,77400,0
20000204,26.667,31.333,26.667,30.973,115200,0
20000207,40,45,38.067,39.333,285900,0
20000208,40.667,43.167,37.333,38,144600,0
20000209,38.667,39.167,35,35,56100,0
20000210,35,35.553,33.837,34.333,75900,0
20000211,34.667,40,34.667,36,94500,0
20000214,41.2,58,41.2,57.333,372300,0
20000215,61.667,66.667,50.533,55.333,214200,0
20000216,58.5,60.667,52.5,55.667,79200,0
20000217,56.307,68.333,54.667,65.233,218700,0
20000218,81.667,83,71.667,75.333,299400,0
20000221,96.667,148.15,90,120,768600,0
20000222,123.34,124.33,97,99.66,377700,0
20000223,106.67,118,105,108,321600,0
20000224,119.32,119.32,103.67,108.29,121200,0
20000225,103.67,115,99,115,133800,0
20000228,105.67,105.67,94,97.667,180900,0
20000229,99.5,105.67,99.5,101,67200,0
20000301,105.67,105.67,94.333,95.543,68100,0
20000302,92.667,94.933,85,92.667,133500,0
20000303,96.267,99.67,93.367,96.667,60900,0
20000306,105,106.67,101,105,77100,0
20000307,105,106,100,105,60300,0
20000308,99.333,105.67,94,100.67,81300,0
20000309,104.2,110,104,106.67,57900,0
20000310,110,113.33,107.33,112.33,86100,0
20000314,103.67,105,98,101.67,59400,0
20000315,93,98,88.333,93,102300,0
20000316,90,108.33,90,100,97200,0
20000317,109.33,110,103.33,106.5,71400,0
20000320,112.33,118.67,111.67,118.33,75000,0
20000321,110,114.33,107.33,110.66,65400,0
20000322,114,115,100,101.67,81600,0
20000323,104.67,104.67,95,100.18,90900,0
20000324,101,101.98,97.033,101.67,32400,0
20000327,101.67,101.67,98.457,100,21900,0
20000328,99.163,99.167,93.667,94.833,22800,0
20000329,92.33,98.333,87,94.333,48000,0
20000330,90.033,92.663,85.183,89,42900,0
20000331,84,98.33,71.667,95,126300,0
20000403,98.337,98.337,85.67,85.67,49200,0
20000404,83.333,88,77.333,79,51000,0
20000405,78.667,89.643,76,82.743,78600,0
20000406,88.633,101.5,87,100.67,114600,0
20000407,104.67,105.83,90,95.4,87600,0
20000410,100,100.67,91.067,92.667,21000,0
20000411,84,91.323,78.333,86.667,42900,0
20000412,86.7,90,86.7,89.167,12600,0
20000413,82.833,88.333,82.667,83.833,30600,0
20000414,82.343,85.333,80.017,80.017,22200,0
20000417,78.333,90.333,75,90.333,43800,0
20000418,90.667,94.333,88,88,51900,0
20000419,93.333,94.333,87,87,12300,0
20000420,88.667,89.62,85.6,87.333,11700,0
20000425,87.333,90,87.067,89.343,5700,0
20000426,92,93.333,90.367,91.667,9900,0
20000427,90.337,92.333,86.667,89.963,13500,0
20000428,91.087,94.993,91,91.333,16200,0
20000502,96.997,96.997,89.667,90.667,15600,0
20000503,87.333,88.83,85.003,85.167,18000,0
20000504,87.333,88.73,85,87.333,17100,0
20000505,90,90,87.667,88.4,18000,0
20000511,86.83,87.997,82,87.997,12000,0
20000512,88,89,83.333,83.753,11400,0
20000515,83.667,85.583,82,82.633,10500,0
20000516,84,84,82.67,83.333,8400,0
20000517,84,84,71.667,72,59100,0
20000518,73,73.333,60.333,66.3,221700,0
20000519,61.333,68.667,56.667,65.75,140700,0
20000522,67,68.333,64.167,66.567,32700,0
20000523,68.333,70.667,67.5,69.567,23700,0
20000524,64.333,68.013,64.333,65.5,38100,0
20000525,73.267,76.333,70.077,76,48600,0
20000526,74.8,75,68.667,73,22500,0
20000529,74.667,76.667,73.917,74.667,12000,0
20000530,76.317,76.317,71.663,72.833,22800,0
20000531,75,76,68.167,68.333,39300,0
20000601,69.87,71.633,68.85,71,5100,0
