Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.04,0.06,0.02,0.05,750,0
20090407,0.02,0.04,0.01,0.01,350,0
20090408,0.04,0.04,0.025,0.025,100,0
20090409,0.04,0.04,0.02,0.025,173,0
20090414,0.046,0.046,0.015,0.046,1875,0
20090415,0.046,0.046,0.025,0.03,5381,0
20090420,0.045,0.045,0.025,0.025,25,0
20090421,0.046,0.046,0.025,0.025,12031,0
20090422,0.046,0.046,0.025,0.046,2017,0
20090423,0.046,0.047,0.025,0.046,4085,0
20090424,0.047,0.047,0.025,0.047,10,0
20090427,0.025,0.05,0.025,0.026,45,0
20090428,0.025,0.025,0.025,0.025,1065,0
20090429,0.05,0.05,0.025,0.046,215,0
20090430,0.046,0.067,0.025,0.025,7000,0
20090504,0.01,0.065,0.01,0.065,200,0
20090505,0.065,0.065,0.065,0.065,12,0
20090507,0.065,0.065,0.026,0.026,335,0
20090508,0.026,0.026,0.025,0.025,41000,0
20090511,0.068,0.068,0.025,0.05,10856,0
20090512,0.05,0.06,0.025,0.06,317,0
20090513,0.05,0.06,0.05,0.06,100,0
20090514,0.05,0.05,0.05,0.05,27,0
20090515,0.05,0.08,0.025,0.08,7778,0
20090518,0.08,0.08,0.05,0.05,2570,0
20090519,0.05,0.05,0.026,0.026,11,0
20090520,0.05,0.05,0.026,0.045,1300,0
20090522,0.045,0.085,0.045,0.085,15120,0
20090525,0.085,0.085,0.02,0.02,17030,0
20090526,0.032,0.04,0.032,0.04,50,0
20090528,0.06,0.06,0.029,0.06,1015,0
20090529,0.06,0.06,0.036,0.036,1000,0
20090601,0.036,0.11,0.036,0.11,4000,0
20090604,0.08,0.08,0.03,0.03,30,0
20090605,0.077,0.079,0.04,0.079,9360,0
20090608,0.079,0.079,0.04,0.07,32,0
20090609,0.07,0.078,0.04,0.07,19943,0
20090611,0.07,0.07,0.041,0.041,20,0
20090612,0.06,0.06,0.041,0.043,45,0
20090615,0.043,0.043,0.026,0.026,155,0
20090616,0.043,0.044,0.043,0.044,101,0
20090617,0.044,0.06,0.043,0.06,494,0
20090618,0.05,0.05,0.043,0.044,101,0
20090619,0.044,0.044,0.043,0.043,3560,0
20090622,0.078,0.078,0.05,0.07,2020,0
20090624,0.07,0.07,0.05,0.06,61,0
20090630,0.07,0.07,0.06,0.06,28500,0
20090702,0.06,0.07,0.06,0.07,10000,0
20090703,0.07,0.07,0.05,0.07,20300,0
20090706,0.07,0.07,0.05,0.07,1,0
20090707,0.05,0.06,0.05,0.05,500,0
20090708,0.051,0.06,0.051,0.053,858,0
20090709,0.055,0.07,0.052,0.053,10300,0
20090710,0.053,0.053,0.052,0.053,100,0
20090714,0.052,0.053,0.052,0.053,80,0
20090716,0.052,0.069,0.052,0.069,5040,0
20090717,0.069,0.069,0.052,0.055,200,0
20090720,0.053,0.053,0.042,0.053,220,0
20090721,0.052,0.055,0.042,0.055,46800,0
20090722,0.055,0.07,0.045,0.07,117354,0
20090723,0.07,0.089,0.045,0.088,13130,0
20090724,0.088,0.09,0.07,0.07,40345,0
20090727,0.07,0.071,0.06,0.071,1280,0
20090728,0.071,0.09,0.055,0.066,2180,0
20090729,0.066,0.066,0.055,0.061,600,0
20090730,0.061,0.08,0.045,0.045,187,0
20090731,0.061,0.08,0.045,0.08,13585,0
20090803,0.08,0.09,0.05,0.09,17480,0
20090804,0.09,0.099,0.06,0.07,8000,0
20090805,0.071,0.071,0.065,0.065,70,0
20090806,0.07,0.09,0.065,0.09,61250,0
20090807,0.07,0.08,0.065,0.071,2130,0
20090811,0.065,0.075,0.055,0.055,595,0
20090812,0.071,0.079,0.065,0.079,954,0
20090813,0.079,0.079,0.065,0.071,320,0
20090814,0.071,0.071,0.055,0.071,4110,0
20090817,0.071,0.075,0.051,0.075,1700,0
20090818,0.051,0.075,0.051,0.06,20,0
20090819,0.07,0.07,0.06,0.07,14102,0
20090820,0.07,0.07,0.05,0.06,25,0
20090821,0.06,0.07,0.043,0.07,20050,0
20090824,0.061,0.061,0.043,0.06,19,0
20090826,0.06,0.084,0.043,0.043,1800,0
20090828,0.084,0.084,0.033,0.08,115,0
20090831,0.08,0.084,0.05,0.079,27250,0
20090901,0.079,0.079,0.059,0.059,4511,0
20090902,0.059,0.07,0.05,0.05,1065,0
20090904,0.06,0.061,0.06,0.06,220,0
20090907,0.061,0.08,0.04,0.061,3105,0
20090910,0.06,0.061,0.06,0.061,500,0
20090911,0.061,0.061,0.04,0.04,836,0
20090914,0.061,0.061,0.04,0.061,900,0
