Date,Open,High,Low,Close,Volume,OpenInt
20031201,1.14,1.14,1.14,1.14,947,0
20031202,1.22,1.22,1.22,1.22,238,0
20031208,1.14,1.14,1.14,1.14,2368,0
20031209,1.14,1.14,1.14,1.14,2368,0
20031216,1.3,1.3,1.3,1.3,4769,0
20031217,1.4321,1.4321,1.39,1.39,7004,0
20031219,1.5453,1.5453,1.52,1.52,5921,0
20031222,1.5178,1.56,1.5178,1.56,4744,0
20031223,1.6034,1.73,1.6034,1.73,5925,0
20031229,1.6689,1.77,1.6014,1.77,6407,0
20040106,1.7659,1.85,1.7239,1.85,7373,0
20040114,1.68,1.68,1.68,1.68,4762,0
20040115,1.77,1.77,1.77,1.77,119,0
20040116,1.77,1.77,1.77,1.77,4746,0
20040127,1.85,1.85,1.85,1.85,357,0
20040128,1.73,1.73,1.73,1.73,118,0
20040203,1.85,1.85,1.85,1.85,476,0
20040209,1.8521,1.97,1.8521,1.97,7127,0
20040211,2.2162,2.41,2.2162,2.41,593,0
20040212,2.5267,3.15,2.5267,3.15,9142,0
20040213,3.1187,4.2987,3.1187,3.97,12457,0
20040216,3.9134,4.25,3.9134,4.25,4991,0
20040217,4.25,4.25,4.25,4.25,4159,0
20040218,4.3431,4.3431,3.8717,4.2,7366,0
20040219,4.2,4.2,4.2,4.2,950,0
20040220,4.21,4.21,4.21,4.21,950,0
20040223,3.96,3.96,3.96,3.96,3205,0
20040225,4.13,4.13,4.13,4.13,4746,0
20040226,4.04,4.04,4.04,4.04,2376,0
20040227,4.0401,4.2,4.0401,4.2,5109,0
20040308,4.2075,4.46,4.2075,4.46,1426,0
20040309,4.2059,4.29,4.2059,4.29,2497,0
20040310,4.21,4.21,4.21,4.21,10214,0
20040312,4.2128,4.2128,3.96,3.96,593,0
20040317,3.9584,3.9584,3.2847,3.79,18997,0
20040318,3.9574,4.21,3.9574,4.21,3800,0
20040319,4.21,4.21,4.21,4.21,4751,0
20040322,4.04,4.04,4.04,4.04,1188,0
20040324,4.06,4.06,4.06,4.06,2374,0
20040326,4.21,4.21,4.21,4.21,594,0
20040329,4.29,4.29,4.29,4.29,2378,0
20040401,4.13,4.13,4.13,4.13,1542,0
20040405,3.835,4.13,3.835,4.13,5932,0
20040407,4.04,4.04,4.04,4.04,2376,0
20040414,4.17,4.17,4.17,4.17,475,0
20040415,4.1679,4.21,4.1679,4.21,1900,0
20040416,4.3741,4.3741,4.29,4.29,2140,0
20040420,4.4657,4.55,4.4657,4.55,7121,0
20040422,4.55,4.55,4.55,4.55,4747,0
20040423,4.5,4.5,4.5,4.5,4756,0
20040427,4.29,4.29,4.29,4.29,951,0
20040428,4.17,4.17,4.17,4.17,119,0
20040429,4.19,4.19,4.19,4.19,4754,0
20040430,4.19,4.19,4.19,4.19,14025,0
20040503,4.21,4.21,4.21,4.21,4632,0
20040504,4.5,4.5,4.5,4.5,4756,0
20040505,4.6301,4.79,4.6301,4.79,4276,0
20040506,4.7801,4.94,4.7801,4.94,4872,0
20040510,4.94,4.94,4.94,4.94,832,0
20040512,5.0469,5.0469,5.03,5.03,593,0
20040513,4.71,4.71,4.71,4.71,238,0
20040514,5.01,5.01,5.01,5.01,475,0
20040517,4.9532,4.97,4.9532,4.97,950,0
20040518,4.9616,4.97,4.9616,4.97,4274,0
20040521,4.7158,4.8,4.7158,4.8,1781,0
20040524,4.9116,4.92,4.9116,4.92,1427,0
20040525,4.97,4.97,4.97,4.97,1187,0
20040602,4.99,4.99,4.99,4.99,475,0
20040603,5.01,5.01,5.01,5.01,1544,0
20040604,5.2179,5.2937,5.2179,5.26,11169,0
20040607,5.24,5.24,5.24,5.24,2374,0
20040608,5.4347,5.46,5.4347,5.46,4273,0
20040611,5.64,5.64,5.64,5.64,356,0
20040614,5.7273,5.98,5.7273,5.98,712,0
20040615,6.01,6.01,6.01,6.01,2376,0
20040617,5.9779,6.02,5.9358,6.02,2019,0
20040618,6.15,6.15,6.15,6.15,712,0
20040621,6.2678,6.2678,6.15,6.15,2377,0
20040622,6.27,6.27,6.27,6.27,2495,0
20040624,6.1522,6.27,6.1522,6.27,2733,0
20040625,6.39,6.39,6.39,6.39,713,0
20040628,6.5258,6.61,6.5258,6.61,1306,0
20040629,6.7394,6.95,6.7394,6.95,2018,0
20040630,7.1589,7.58,7.1589,7.58,1306,0
20040701,7.7433,8.08,7.575,8.08,1426,0
20040702,8.0812,8.46,8.0812,8.46,950,0
20040705,8.7553,9.3447,8.7553,9.05,4157,0
20040706,9.2647,9.9806,9.2647,9.77,7599,0
20040707,9.6763,9.6763,8.33,8.33,4992,0
20040708,8.2455,8.2455,7.0676,7.32,6656,0
20040709,7.0716,7.24,7.0716,7.24,3920,0
20040712,7.4088,8.84,7.4088,8.84,4276,0
20040713,8.66,8.66,8.66,8.66,119,0
20040714,8.84,8.84,8.84,8.84,1307,0
20040715,8.5842,8.5842,8.5,8.5,594,0
20040716,8.54,8.54,8.54,8.54,1070,0
20040719,8.38,8.38,8.38,8.38,1069,0
20040727,8.42,8.42,8.1253,8.42,2375,0
20040728,8.5058,8.59,8.4216,8.59,2850,0
20040729,8.5863,8.5863,8.46,8.46,594,0
20040730,8.7558,8.84,8.7558,8.84,3920,0
20040802,8.8431,9.18,8.8431,9.18,1187,0
20040803,9.1674,9.26,9.1337,9.26,2376,0
20040804,9.1758,9.26,9.1758,9.26,594,0
20040805,9.2626,9.2626,9.01,9.01,2850,0
20040806,9.1304,9.1304,8.92,8.92,713,0
20040809,9.0042,9.0042,8.92,8.92,1070,0
20040810,8.76,8.76,8.76,8.76,2374,0
20040812,8.4221,8.4221,8.38,8.38,1425,0
20040813,8.2516,8.42,8.2095,8.42,2613,0
20040816,8.0783,8.0783,7.91,7.91,951,0
20040819,7.6145,7.9426,7.32,7.32,3566,0
20040820,7.3273,7.58,7.2431,7.58,7836,0
20040823,7.4479,7.5742,7.3974,7.49,9981,0
20040824,7.4568,7.4568,7.4316,7.44,9505,0
20040825,7.2821,7.4,7.2821,7.4,2019,0
20040826,7.2779,7.3621,7.0676,7.32,4160,0
20040827,7.2147,7.24,7.2147,7.24,6652,0
20040830,7.0764,7.0764,6.7394,6.95,3917,0
20040831,6.6931,6.6931,6.55,6.55,7364,0
20040901,6.3958,6.7325,6.3958,6.48,17586,0
20040902,6.52,6.52,6.52,6.52,2853,0
20040903,6.5416,6.55,6.3985,6.55,1900,0
20040906,6.4863,6.52,6.4863,6.52,4630,0
20040907,6.5614,6.5614,6.41,6.41,15335,0
20040908,6.4779,6.4779,6.36,6.36,3917,0
20040909,6.44,6.44,6.44,6.44,1188,0
20040910,6.4801,6.64,6.4801,6.64,5228,0
20040913,6.4936,6.78,6.4936,6.78,7361,0
20040914,6.7379,6.78,6.7379,6.78,3799,0
20040916,6.86,6.86,6.86,6.86,238,0
20040917,6.9037,7.2826,6.9037,7.03,7008,0
20040920,6.9027,7.1973,6.9027,7.13,4039,0
20040921,7.1332,7.15,7.1332,7.15,2969,0
20040922,7.1579,7.2,7.1579,7.2,1544,0
20040923,7.2432,7.26,7.2432,7.26,2256,0
20040924,7.3842,7.62,7.3842,7.62,6413,0
20040927,7.8604,8.5,7.8604,8.5,7011,0
20040928,8.8391,9.26,8.7549,9.26,5583,0
20040929,9.4241,9.8028,9.34,9.34,11171,0
20040930,9.5041,9.5041,9.26,9.26,3089,0
20041001,9.5115,9.5115,9.36,9.36,3802,0
20041004,9.5984,9.6826,9.0595,9.43,7007,0
20041005,9.6674,9.76,9.6674,9.76,1069,0
20041006,9.69,9.69,9.69,9.69,594,0
20041007,9.5079,9.55,9.3396,9.55,1545,0
20041008,9.2642,9.4327,9.0958,9.18,6768,0
20041012,9.1769,9.48,9.0927,9.48,6176,0
20041014,9.4263,9.46,9.4263,9.46,9030,0
20041015,9.3,9.3,9.3,9.3,1069,0
20041018,8.8387,9.47,8.8387,9.47,10335,0
20041019,9.1725,9.1725,8.92,8.92,1188,0
20041020,9.26,9.26,9.26,9.26,238,0
20041021,9.2583,9.3425,9.0479,9.09,3327,0
20041022,9.26,9.26,9.26,9.26,832,0
20041025,8.92,8.92,8.92,8.92,1070,0
20041026,8.9537,9.08,8.6757,9.08,2731,0
20041027,8.7726,8.8653,8.6295,8.84,713,0
20041028,8.54,8.5484,8.2455,8.54,12955,0
20041029,8.1669,8.63,7.9143,8.63,10689,0
20041102,8.5884,8.5884,8.42,8.42,4869,0
20041103,8.5442,8.62,8.5442,8.62,3564,0
20041104,8.6295,8.9663,8.6295,8.84,4870,0
20041105,8.7517,8.92,8.7517,8.92,357,0
20041108,8.8431,9.18,8.7589,9.18,4868,0
20041109,9.1784,9.1784,9.01,9.01,2256,0
20041110,9.1789,9.6,9.1789,9.6,4750,0
20041111,9.7658,9.85,9.3449,9.85,14848,0
20041112,9.81,9.81,9.81,9.81,238,0
20041115,9.8958,9.98,9.8537,9.98,356,0
20041116,10.0579,10.1,10.0579,10.1,475,0
20041117,10.2263,10.2263,9.8896,10.1,950,0
20041118,9.6816,10.2204,9.6311,9.85,1307,0
20041122,9.7196,9.93,9.7196,9.93,1782,0
20041123,10.0227,10.0227,9.77,9.77,1306,0
20041124,10.02,10.02,10.02,10.02,356,0
20041126,9.81,9.81,9.81,9.81,2375,0
20041129,9.8475,10.1,9.8054,10.1,1901,0
20041130,10.1,10.1,10.0158,10.1,2020,0
20041201,10.06,10.06,10.06,10.06,594,0
20041202,10.06,10.06,10.06,10.06,119,0
20041207,10.0411,10.1,10.0411,10.1,3327,0
20041208,10.1002,10.42,10.1002,10.42,1545,0
20041209,10.1042,10.1042,10.02,10.02,831,0
20041214,10.39,10.39,10.39,10.39,1188,0
20041215,10.4,10.4,10.4,10.4,713,0
20041216,10.1421,10.1421,10.1,10.1,832,0
20041217,10.4774,10.57,10.4774,10.57,237,0
20041220,10.191,10.57,10.191,10.57,475,0
20041221,10.52,10.52,10.52,10.52,2258,0
20041222,10.44,10.44,10.44,10.44,475,0
20041223,10.1032,10.44,10.1032,10.44,831,0
20041227,10.44,10.44,10.44,10.44,119,0
20041229,10.1,10.2683,10.1,10.1,475,0
20041230,10.056,10.3,10.0139,10.3,2971,0
20050104,10.1,10.1,10.1,10.1,119,0
20050110,9.8483,9.8483,9.5958,9.68,832,0
20050111,9.6455,10.1,9.6455,10.1,832,0
20050113,9.77,9.77,9.77,9.77,119,0
20050117,9.43,9.43,9.43,9.43,831,0
20050118,9.4721,9.4721,9.43,9.43,2494,0
20050119,9.2179,9.4705,9.2179,9.26,1069,0
20050120,8.9915,9.261,8.419,8.84,5107,0
20050121,8.9105,8.9105,8.3799,8.86,4631,0
20050124,8.5,8.5,8.096,8.5,2258,0
20050125,8.2526,8.32,8.2526,8.32,1188,0
20050126,8.2947,8.2947,7.7895,8,1663,0
20050127,7.951,8.17,7.5551,8.17,7836,0
20050128,7.789,8.21,7.6627,8.21,1900,0
20050131,7.791,8.17,7.791,8.17,4037,0
20050202,8.1295,8.18,8.1295,8.18,475,0
20050204,7.85,7.85,7.4041,7.85,27574,0
20050207,7.8763,7.9941,7.7838,7.91,1783,0
20050208,7.7148,7.8748,7.58,7.58,1781,0
20050209,7.8773,7.8773,7.5828,7.81,1307,0
20050210,7.5899,7.75,7.413,7.75,3561,0
20050211,7.5632,7.799,7.5042,7.58,2375,0
20050214,7.5754,7.87,7.4744,7.87,3564,0
20050215,7.8261,8.4151,7.8261,8.23,4753,0
20050216,8.1802,8.5,8.1297,8.5,2020,0
20050217,8.1791,8.44,8.1791,8.44,2258,0
20050218,8.1564,8.35,8.0554,8.35,5465,0
20050221,8.4924,9.09,8.4924,9.09,17822,0
20050222,9.0874,9.4913,9.0874,9.18,5467,0
20050223,9.1843,9.4284,9.1843,9.42,1544,0
20050224,9.2621,9.38,9.2621,9.38,475,0
20050225,9.3031,9.3031,8.6296,9,6295,0
20050228,8.8268,8.97,8.7342,8.97,3443,0
20050301,8.6742,8.7416,8.43,8.43,2256,0
20050302,8.2079,8.4184,7.9974,8.25,3088,0
20050303,7.9931,8.33,7.9594,8.33,1543,0
20050304,8.0015,8.33,8.0015,8.33,2968,0
20050307,8.0017,8.0017,7.53,7.53,2612,0
20050308,7.4541,7.909,7.4541,7.85,1781,0
20050309,7.5853,7.7368,7.5264,7.72,1544,0
20050310,7.5789,7.8568,7.5789,7.68,4156,0
20050311,7.59,7.59,7.59,7.59,594,0
20050314,7.85,7.85,7.6565,7.85,1307,0
20050315,7.8273,7.8273,7.5748,7.76,2020,0
20050316,7.5553,7.6816,7.3279,7.53,7836,0
20050317,7.5358,7.9484,7.5358,7.62,4394,0
20050318,7.5101,7.83,7.3838,7.83,1900,0
20050321,7.4958,7.58,7.1505,7.58,4749,0
20050322,7.2793,7.4055,7.01,7.01,2377,0
20050323,6.9152,7.2349,6.89,6.89,6419,0
20050324,6.5954,6.73,6.5197,6.73,1783,0
20050329,6.7317,6.9,6.5213,6.9,2377,0
20050330,6.6121,6.73,6.5026,6.73,2256,0
20050331,6.6937,6.82,6.559,6.82,2850,0
20050401,6.8159,6.9,6.6476,6.9,1426,0
20050404,6.345,6.9509,6.2692,6.69,5823,0
20050405,6.66,6.82,6.66,6.82,2969,0
20050406,6.5174,6.93,6.5174,6.93,5463,0
20050407,6.9479,7.0153,6.6952,6.99,2612,0
20050408,6.9494,7.16,6.9494,7.16,5817,0
20050411,7.1763,7.3953,7.1173,7.37,6292,0
20050412,7.3217,7.49,7.2207,7.49,4872,0
20050413,7.4907,7.8105,7.4907,7.76,5109,0
20050414,7.4957,8.54,7.4957,8.54,9380,0
20050415,8.2471,8.8362,8.2471,8.71,8793,0
20050418,8.541,9.13,8.3727,9.13,5585,0
20050419,8.8391,9.26,8.8391,9.26,5346,0
20050420,9.2555,9.8024,9.2555,9.55,2377,0
20050421,9.8952,10.2321,9.4321,10.19,6412,0
20050422,10.7806,11.2354,10.5279,10.57,10092,0
20050425,10.8221,11.2432,10.6116,10.78,5699,0
20050426,10.8053,10.8053,10.7379,10.78,4156,0
20050427,10.86,11.1967,10.86,10.86,1663,0
20050428,11.2383,11.3646,10.91,10.91,3445,0
20050429,11.1116,11.9534,11.1116,11.28,4871,0
20050502,11.8722,13.3878,11.8722,12.63,5819,0
20050503,12.8863,13.1303,12.7179,12.76,2495,0
20050504,12.2202,12.54,10.9409,12.54,6179,0
20050505,12.209,12.63,12.209,12.63,238,0
20050506,12.3734,13.03,12.3734,13.03,1901,0
20050509,12.6563,13.01,12.2606,13.01,7719,0
20050510,13.1616,13.5487,13.1616,13.17,2852,0
20050511,13.8953,13.8953,13.4995,13.55,831,0
20050512,13.9287,13.9287,13.55,13.55,1069,0
20050513,13.5843,13.8873,13.4328,13.82,2376,0
20050516,13.82,13.82,13.82,13.82,238,0
20050517,13.3721,14.61,13.2206,14.61,8907,0
20050518,15.1374,16.2066,14.4807,15.07,5345,0
20050519,15.1071,15.1071,13.6343,14.72,18536,0
20050520,14.3082,14.3923,13.82,13.82,4277,0
20050523,13.2205,13.8268,12.8416,13.81,7363,0
20050524,14.2492,14.2492,13.6096,13.82,1307,0
20050525,13.3848,13.6121,13.1659,13.57,3089,0
20050526,13.4574,13.55,13.4574,13.55,2495,0
20050527,13.4711,13.7321,12.907,13.69,18885,0
20050530,13.4616,13.47,13.1669,13.47,6414,0
20050531,13.1248,13.5542,12.7207,13.47,6533,0
20050601,13.1626,13.92,13.1626,13.92,6654,0
20050602,13.9873,13.9873,12.9185,13.92,6654,0
20050603,13.5102,13.99,13.3418,13.99,5584,0
20050606,14.2063,14.2063,13.2968,13.6,10806,0
20050607,13.8883,13.8883,12.9204,13.72,14494,0
20050608,13.5558,13.64,13.0506,13.64,7245,0
20050609,13.5963,14.0593,13.0491,13.47,12710,0
20050610,12.9059,13.6384,12.9059,13.47,12116,0
20050613,13.7546,13.7546,13.0475,13.3,12117,0
20050614,13.4668,13.5509,12.9702,13.29,13782,0
20050615,12.96,13.3808,12.8758,12.96,9269,0
20050616,12.9658,13.2942,12.8816,13.05,9977,0
20050617,13.383,14.09,12.3309,14.09,89343,0
20050620,14.5679,14.6521,13.5911,14.13,20069,0
20050621,14.0575,14.8992,13.9901,14.31,4396,0
20050622,14.5221,14.5221,14.48,14.48,475,0
20050623,14.3161,14.3161,13.6343,13.87,5822,0
20050624,14.0226,14.0478,13.6354,13.93,238,0
20050627,13.6484,13.6568,13.4716,13.64,8433,0
20050628,13.6384,13.9078,13.47,13.63,6414,0
20050629,13.6316,13.6821,13.4716,13.64,2019,0
20050630,13.64,13.64,13.64,13.64,713,0
20050701,13.64,13.6821,13.64,13.64,1782,0
20050704,13.5558,13.7242,13.4716,13.64,3682,0
20050705,13.4785,13.63,13.4027,13.63,2019,0
20050706,13.6316,14.3136,13.3958,13.64,5463,0
20050707,13.5542,13.6384,12.6366,13.63,9503,0
20050708,13.64,13.8505,13.64,13.64,3682,0
20050711,13.6347,13.8451,13.5,13.5,1069,0
20050712,13.7172,13.8855,13.49,13.49,2258,0
20050713,13.8042,14.225,13.3833,13.72,4039,0
20050714,13.4716,13.64,13.4295,13.64,1900,0
20050715,13.64,13.64,13.3285,13.64,2257,0
20050718,13.64,13.64,13.2864,13.64,3326,0
20050719,13.6416,13.81,13.6416,13.81,1425,0
20050720,13.6364,13.83,13.6364,13.83,1663,0
20050721,13.6069,14.23,13.6069,14.23,1425,0
20050722,13.8527,13.92,13.5497,13.92,2733,0
20050725,14.3105,14.3105,13.8391,14.26,4395,0
20050726,14.2342,14.31,13.8554,14.31,2732,0
20050727,14.31,18.5188,14.1416,14.31,24591,0
20050728,14.5296,14.9758,14.3107,14.9,3801,0
20050729,14.9874,15.5094,14.9874,15.24,5582,0
20050801,15.4768,15.6621,15.14,15.14,831,0
20050802,15.3179,15.36,15.1496,15.36,238,0
20050803,15.3605,15.3605,14.9397,15.31,1307,0
20050804,14.9396,15.2342,14.9396,15.15,238,0
20050805,15.1153,15.1153,14.7363,15.09,1425,0
20050808,14.7376,15.15,14.6029,15.15,1069,0
20050809,15.0737,15.4105,15.0737,15.36,9856,0
20050810,15.3637,15.532,15.1448,15.33,11404,0
20050811,15.2826,15.35,15.1563,15.35,1900,0
20050812,15.3405,15.3405,14.7511,15.13,2850,0
20050815,15.3473,15.3473,15.1116,15.28,1188,0
20050816,15.2547,15.28,15.2379,15.28,831,0
20050817,14.9769,15.28,14.9769,15.28,475,0
20050818,15.2758,15.36,15.2758,15.36,9980,0
20050819,15.3537,15.3537,14.9833,15.32,1069,0
20050822,15.1979,15.3242,15.1979,15.24,594,0
20050823,15.2758,15.36,15.0823,15.36,1307,0
20050824,15.36,15.36,15.3179,15.36,1069,0
20050825,15.3621,15.3621,15.2358,15.32,2020,0
20050826,15.2338,15.36,15.2338,15.36,1069,0
20050829,15.2358,15.362,14.9327,15.16,3802,0
20050830,15.1537,15.28,15.0695,15.28,1901,0
20050831,15.1527,15.3126,14.8159,15.22,1544,0
20050901,15.391,15.4331,14.8859,15.29,2257,0
20050902,14.7353,15.2152,14.6343,15.03,2375,0
20050905,15.1568,15.1568,14.5337,14.98,831,0
20050906,14.6524,15.3593,14.3494,15.09,2733,0
20050907,14.9769,15.2968,14.7917,15.28,2138,0
20050908,15.27,15.27,14.8154,15.27,1663,0
20050909,15.2338,15.36,14.9055,15.36,1545,0
20050912,15.36,15.36,15.1496,15.36,475,0
20050913,15.36,15.36,15.1496,15.36,832,0
20050914,15.3537,15.3537,15.2779,15.32,475,0
20050916,15.2758,15.3768,14.8129,15.36,2376,0
20050919,14.8129,15.36,14.4847,15.36,2614,0
20050920,14.9392,15.36,14.9392,15.36,475,0
20050921,15.1917,15.36,14.5099,15.36,3446,0
20050922,15.3636,17.0893,15.3551,16.66,21025,0
20050923,16.8378,16.9136,16.3326,16.4,19242,0
20050926,16.7503,17.6762,15.5719,16.22,14019,0
20050927,15.7393,15.7813,14.3505,15.31,56317,0
20050928,15.4858,15.57,15.1492,15.57,4277,0
20050929,15.6622,16.5463,15.6622,16.42,3088,0
20050930,9.7357,10.7379,9.0535,10.46,37996,0
20051003,10.6243,11.2136,10.2623,10.86,5345,0
20051004,11.2009,11.3019,10.494,10.94,13071,0
20051005,11.051,11.2193,10.3608,10.95,19248,0
20051006,11.1736,11.1736,10.4411,10.82,8313,0
20051007,10.8138,10.94,10.4351,10.94,7130,0
20051010,10.9354,11.23,10.9354,11.23,5702,0
20051011,10.9823,11.26,10.9402,11.26,2614,0
20051012,11.04,11.2,11.0063,11.2,2731,0
20051013,10.8986,11.21,10.8986,11.21,5822,0
20051014,11.0632,11.24,11.0127,11.24,1900,0
20051017,11.11,11.1353,11.11,11.11,1307,0
20051018,11.0952,11.0952,10.91,10.91,1307,0
20051019,10.9484,10.9484,10.5695,10.78,5224,0
20051020,10.5219,11.17,10.2357,11.17,11048,0
20051021,11.1132,11.45,11.1132,11.45,8552,0
20051024,11.4748,11.82,11.4748,11.82,2494,0
