Date,Open,High,Low,Close,Volume,OpenInt
20000222,54.5556,56.4698,49.1096,49.77,30717,0
20000223,50.7067,52.8027,48.046,52.64,74601,0
20000224,52.1615,53.5971,50.7258,52.64,67496,0
20000225,52.5398,53.181,49.1903,51.2,18391,0
20000228,50.7203,51.6964,46.4139,48.28,31557,0
20000229,49.1898,49.9076,46.1274,47.85,16719,0
20000301,47.8557,48.6214,43.5869,46.42,17239,0
20000302,48.5788,51.4499,46.8945,48.33,19749,0
20000303,48.7937,50.7271,47.8558,49.77,6791,0
20000306,50.1443,50.2495,46.2296,47.56,8254,0
20000307,46.487,47.8557,45.1758,46.42,14627,0
20000308,44.7392,45.6005,43.3899,44.5,8882,0
20000309,45.1032,45.9358,44.9788,45.62,1881,0
20000310,46.3627,51.11,46.3627,51.11,10553,0
20000314,47.8541,50.2468,47.8541,49.06,23404,0
20000315,47.1393,50.25,45.9429,50.25,10448,0
20000316,49.773,50.2516,46.04,46.04,3239,0
20000317,48.0486,48.7377,46.2204,46.23,2716,0
20000320,46.8904,46.9957,46.1247,46.9,6373,0
20000321,47.2662,49.0941,47.0748,47.85,5747,0
20000322,47.6561,48.2304,44.5071,46.23,5642,0
20000323,46.9449,47.3756,45.4615,45.94,11075,0
20000324,44.9785,45.1412,43.7823,44.5,7210,0
20000327,43.9302,45.2031,41.8246,42.15,5956,0
20000328,42.5944,42.5944,38.7656,40.68,5746,0
20000329,40.674,42.3967,40.5305,42.1,2299,0
20000330,40.2294,42.115,40.2294,41.11,9403,0
20000331,40.2751,41.1557,38.2843,39.72,7209,0
20000403,40.0023,40.1937,35.1216,36.27,8569,0
20000404,35.8883,36.4051,33.7733,34.07,14733,0
20000405,35.0272,35.41,33.8309,35.41,3866,0
20000406,35.9193,37.91,35.9193,37.91,1463,0
20000407,38.2864,38.6023,36.7933,37.76,2403,0
20000410,38.0105,39.4651,37.1206,37.8,11495,0
20000411,36.3643,36.8428,34.9576,36.46,3971,0
20000412,36.5626,36.5626,35.95,35.95,522,0
20000413,35.6493,36.367,35.41,35.41,1358,0
20000414,35.365,36.5327,35.0301,36.37,5224,0
20000417,34.9367,34.9367,33.97,33.97,1045,0
20000418,35.9475,37.2299,35.9475,36.56,3135,0
20000419,37.3289,37.8649,35.7017,36.41,4284,0
20000420,37.2866,37.2866,34.5399,36.32,3239,0
20000425,36.2929,36.58,34.9147,36.58,7836,0
20000426,36.8418,37.8469,36.3728,37.33,3866,0
20000427,37.3244,38.7696,37.3244,38.76,1567,0
20000428,39.2442,42.1828,39.2442,40.68,4283,0
20000502,44.2597,44.2597,42.1157,44.03,11179,0
20000503,42.8786,45.3001,42.6011,44.41,8776,0
20000504,44.9784,49.9547,44.9784,48.28,28527,0
20000505,48.3331,53.5875,47.8545,52.64,20479,0
20000510,58.3822,59.7221,57.4251,59.1,21942,0
20000511,57.4286,61.2571,55.9163,60.3,22985,0
20000512,61.2529,62.7842,60.3916,62.21,25808,0
20000515,62.6929,62.6929,59.3429,60.3,9821,0
20000516,61.2525,62.669,61.0611,62.2,14837,0
20000517,62.1959,62.1959,59.813,60.77,12539,0
20000518,60.8714,60.9192,58.6796,59.34,22150,0
20000519,59.3429,59.8214,54.0786,56.95,21836,0
20000522,52.6443,55.0277,50.73,50.73,31551,0
20000523,50.9137,52.2535,47.8034,49.66,9613,0
20000524,46.9,46.9191,44.7943,46.9,15149,0
20000525,47.8544,50.8214,47.8544,49.96,5538,0
20000526,48.81,49.2885,48.3315,48.81,2926,0
20000529,48.8086,49.2871,48.8086,49,1672,0
20000530,49.7685,49.7685,48.9072,49.29,1463,0
20000531,50.0571,50.7271,49.4829,49.77,1776,0
20000602,49.6677,50.2419,48.95,48.95,1463,0
20000605,49.7685,49.9982,49.1656,49.29,2194,0
20000606,49.2669,49.286,48.53,48.53,522,0
20000607,48.3329,49.7015,47.8544,49.29,2821,0
20000608,49.7731,52.5298,49.7731,50.96,4283,0
20000609,50.9603,51.9843,50.5775,51.19,2508,0
20000612,51.68,51.68,50.7804,51.68,522,0
20000613,50.5836,50.7271,50.2486,50.44,5120,0
20000614,50.5381,50.7296,50.0021,50.72,209,0
20000615,49.9901,49.9901,49.2723,49.77,313,0
20000616,49.7685,49.7685,49.29,49.29,522,0
20000619,49.287,49.3349,48.33,48.33,8882,0
20000620,48.3293,48.3293,48.09,48.09,5643,0
20000621,48.33,48.4257,48.33,48.33,731,0
20000622,48.8076,48.8076,47.64,47.64,2926,0
20000623,48.3233,48.3233,47.8543,47.95,940,0
20000626,47.9457,48.3285,47.85,47.85,12435,0
20000627,47.8505,48.329,47.5634,47.64,418,0
20000628,47.3715,47.85,47.3715,47.85,209,0
20000629,47.5048,48.1843,46.5,46.5,2403,0
20000630,45.9359,49.4768,45.9359,48.07,3762,0
20000703,48.2487,48.2487,46.4397,46.88,1567,0
20000704,46.2094,46.8507,46.2094,46.42,2299,0
20000705,46.9007,48.0589,46.6136,47.81,3657,0
20000706,49.4829,56.9484,49.4829,52.45,24762,0
20000710,52.1658,52.1658,50.73,50.73,6477,0
20000711,50.2442,50.7227,48.11,48.11,73352,0
20000712,48.3315,48.81,48.3315,48.81,2194,0
20000714,47.6189,47.6189,46.7,46.7,3448,0
20000717,47.8529,48.81,47.8529,48.81,627,0
20000718,48.8086,48.8086,48.11,48.11,313,0
20000719,48.1459,52.9318,48.1459,50.96,4597,0
20000720,50.7274,51.206,49.7703,50,6269,0
20000721,50.0107,51.2071,49.915,50.92,4284,0
20000724,50.7286,51.2071,50.25,50.25,4701,0
20000725,49.6286,50.49,49.6286,50.49,731,0
20000726,49.8179,50.44,49.77,50.44,1149,0
20000727,49.7687,49.7687,49.07,49.07,104,0
20000728,49.0493,49.7575,48.81,48.81,836,0
20000731,48.3827,48.3827,47.55,47.55,1985,0
20000801,47.8508,48.7408,46.31,46.31,1358,0
20000802,46.8986,46.8986,46.42,46.42,627,0
20000803,45.7595,45.7595,43.07,43.07,418,0
20000804,43.6921,44.0271,43.07,43.07,209,0
20000807,44.327,44.327,43.5517,43.59,627,0
20000808,43.0685,43.0685,42.59,42.59,104,0
20000809,42.5914,43.07,42.5914,43.07,104,0
20000810,43.0714,43.9233,43.0714,43.55,627,0
20000811,43.066,46.54,43.066,46.54,1567,0
20000814,45.9388,49.2885,45.9388,48.81,6896,0
20000815,49.5113,50.4397,49.5113,50.21,2403,0
20000816,49.5287,49.7679,48.1122,48.83,5015,0
20000817,48.9999,49.7655,48.1099,48.33,9091,0
20000818,49.9599,49.9599,47.8543,48.62,1358,0
20000821,46.9972,46.9972,44.03,44.03,19641,0
20000822,41.7205,44.0271,41.7205,43.07,24031,0
20000823,42.5885,42.6842,42.0717,42.11,13792,0
20000824,42.7173,42.7173,40.2,40.2,19537,0
20000825,40.1958,41.2581,40.1958,40.77,13584,0
20000828,41.845,41.9886,41.3951,41.51,836,0
20000829,41.6651,44.3452,41.6651,43.79,3448,0
20000830,43.1657,44.1707,43.07,43.07,3134,0
20000831,43.6921,43.6921,43.07,43.07,418,0
20000901,43.0678,43.91,43.0678,43.91,1254,0
20000904,43.8301,45.1699,43.2081,44.5,3448,0
20000905,45.1412,45.1412,44.5,44.5,1567,0
20000906,44.6029,44.8996,44.0286,44.89,3134,0
20000907,44.5011,45.6208,44.5011,44.97,731,0
20000908,44.6983,45.3396,44.6887,45.33,836,0
20000911,44.9788,45.62,44.8831,45.62,731,0
20000914,43.5514,44.7,43.5514,44.03,2612,0
20000915,44.0218,45.9358,44.0122,45.62,9091,0
20000918,45.2671,45.2671,44.1091,44.98,3866,0
20000919,44.98,45.6212,44.7886,44.98,3135,0
20000920,44.787,45.61,44.787,45.61,1149,0
20000921,44.98,47.6118,44.98,44.98,13479,0
20000922,44.7573,44.987,44.116,44.25,313,0
20000925,44.7943,44.7943,44.22,44.22,313,0
20000926,44.8483,46.1404,44.8483,45.48,1672,0
20000927,45.0769,45.4885,44.34,44.34,522,0
20000928,44.5043,44.9733,44.5043,44.6,313,0
20001002,44.5,44.9785,44.5,44.5,1463,0
20001004,43.8699,44.98,43.8699,44.98,731,0
20001005,45.1714,47.1237,44.98,44.98,2090,0
20001006,44.9829,46.4185,44.9829,45.94,4284,0
20001009,45.9412,45.9412,44.63,44.63,209,0
20001010,43.9832,44.5,43.9832,44.5,313,0
20001011,44.5,44.5957,44.0215,44.5,12017,0
20001012,44.0222,44.0222,43.18,43.18,313,0
20001013,42.5749,42.5749,40.9094,42.46,940,0
20001016,42.0158,42.5901,41.7,41.7,313,0
20001017,41.6334,41.6334,41.04,41.04,104,0
20001018,41.6372,41.6372,40.68,40.68,1881,0
20001019,40.193,41.15,40.193,41.15,209,0
20001020,40.5823,41.75,40.5727,41.75,731,0
20001023,41.6285,41.9539,40.5662,41.15,522,0
20001025,41.153,42.11,41.153,42.11,940,0
20001026,41.9671,41.9671,41.01,41.01,104,0
20001027,42.3478,42.3478,41.63,41.63,104,0
20001030,42.11,42.2057,41.5071,42.11,1254,0
20001101,41.6359,41.6359,41.32,41.32,209,0
20001103,41.2472,41.63,41.2472,41.63,418,0
20001108,40.4599,40.4599,40.01,40.01,104,0
20001109,39.4322,39.4322,38.59,38.59,940,0
20001110,38.2815,38.76,37.1522,38.76,10762,0
20001113,37.3298,37.55,36.8513,37.55,1881,0
20001115,37.2136,37.74,37.2136,37.74,522,0
20001116,38.0436,39.393,37.9,37.9,4388,0
20001117,37.3215,37.8,37.3215,37.8,418,0
20001120,37.8957,37.8957,37.0344,37.8,2717,0
20001121,36.85,38.2857,36.85,38.19,2821,0
20001122,38.7872,38.7872,37.8972,38.28,940,0
20001123,37.33,37.33,35.4156,37.33,3030,0
20001124,37.4187,39.3901,37.4187,38.28,1149,0
20001127,38.904,39.9855,38.3872,38.77,3448,0
20001128,39.33,39.33,39.33,39.33,522,0
20001130,39.3821,39.3821,38.5877,38.76,209,0
20001201,39.2374,41.85,38.6727,41.85,2090,0
20001204,42.2455,42.8771,42.1115,42.59,1149,0
20001205,42.5875,43.2,42.5875,43.2,1254,0
20001206,44.3267,45.6955,44.03,44.03,1881,0
20001207,43.0685,43.0685,42.3699,42.59,313,0
20001208,43.0619,44.0286,43.0619,43.55,2090,0
20001211,44.7163,46.7837,44.7163,46.42,4597,0
20001212,46.0367,47.0991,45.9506,46.41,2717,0
20001213,45.9386,46.13,45.9386,46.13,836,0
20001214,45.0856,45.0856,43.2577,44.32,3553,0
20001215,43.695,44.03,43.695,44.03,104,0
20001218,45.694,45.694,43.55,43.55,1881,0
20001219,44.0275,44.0275,43.08,43.08,418,0
20001220,43.0714,43.0714,39.7214,41.54,5851,0
20001221,41.1571,43.8276,41.1571,42.88,3448,0
20001222,43.064,43.82,42.8152,43.82,209,0
20001227,44.4538,47.8512,42.7216,43.87,2403,0
20001228,42.9824,44.0926,42.59,42.59,209,0
20001229,43.0662,46.99,41.334,46.99,2717,0
20010102,46.8977,46.8977,44.17,44.17,731,0
20010103,45.8424,45.8424,44.5791,45.45,836,0
20010104,46.2831,46.4171,45.46,45.46,522,0
20010108,44.0215,44.9785,44.0215,44.5,1776,0
20010109,45.0049,47.8571,44.5167,46.9,1567,0
20010110,45.3936,45.6712,44.226,44.36,2508,0
20010111,44.023,44.98,43.5445,44.98,1149,0
20010112,44.98,45.7648,44.98,44.98,1463,0
20010115,44.5015,44.98,44.5015,44.98,836,0
20010116,44.7006,44.7485,43.82,43.82,1463,0
20010117,43.1281,43.645,43.1281,43.31,2612,0
20010118,45.248,46.4155,44.023,44.98,8359,0
20010119,45.7986,45.99,44.6979,45.99,4911,0
20010122,47.8513,53.2106,46.9134,51.22,20376,0
20010123,50.6343,52.5199,49.8207,50.73,4179,0
20010124,51.6787,52.6357,49.7647,52.54,4702,0
20010125,51.6821,52.4478,51.06,51.06,6478,0
20010126,50.7216,52.0901,50.7216,51.87,2299,0
20010129,51.687,55.487,51.687,55.42,11910,0
20010130,54.5545,60.0674,54.5545,60.01,7523,0
20010131,59.3249,61.5356,59.3249,60.77,17555,0
20010201,60.3006,65.5649,60.3006,62.1,24761,0
20010202,61.7286,63.1641,61.2501,61.92,6478,0
20010205,60.8647,61.2571,59.3429,60.3,8672,0
20010206,60.2957,60.9656,59.53,59.53,1881,0
20010207,59.337,59.8156,58.38,58.38,7732,0
20010208,58.4771,58.6685,54.5531,58.19,8359,0
20010209,57.5201,58.86,57.5201,58.86,1881,0
20010212,57.4229,58.1885,57.2315,57.71,1776,0
20010213,56.5643,56.5643,55.99,55.99,209,0
20010214,54.5594,54.5594,52.6454,53.21,2194,0
20010216,57.6156,57.6156,55.51,55.51,1463,0
20010219,55.5089,59.3371,55.5089,59.05,10553,0
20010220,59.2862,59.2862,57.42,57.42,2090,0
20010221,57.4263,57.4263,55.5121,57.12,2403,0
20010222,55.5079,56.13,55.0294,56.13,2821,0
20010223,55.6017,58.176,55.6017,57.42,3762,0
20010226,57.4257,57.4257,56.66,56.66,1463,0
20010227,56.9486,57.6185,56.47,56.47,1045,0
20010228,56.001,57.4271,56.001,56.47,1358,0
20010301,55.5085,56.3699,55.03,55.03,3448,0
20010302,52.7017,54.08,51.5914,54.08,7627,0
20010305,53.3095,56.42,53.3095,56.42,522,0
20010306,57.1825,58.3788,55.5843,58.13,8986,0
20010307,57.9014,59.0881,57.4229,57.71,731,0
20010308,58.6016,59.8171,58.6016,58.86,2508,0
20010309,59.5314,59.8185,59.34,59.34,1567,0
20010312,59.3429,61.0657,59.1036,60.3,13896,0
20010313,60.3,61.0657,58.8643,60.3,4075,0
20010315,60.5651,60.5651,58.3829,58.67,2926,0
20010316,59.1514,61.2571,59.1514,60.3,836,0
20010319,60.2943,61.2513,60.2943,60.39,1358,0
20010320,61.2556,62.05,60.3942,62.05,1567,0
20010321,61.6695,63.7557,60.9804,61.88,8986,0
20010322,61.2571,61.2571,58.3857,60.3,10657,0
20010323,61.7504,61.7504,58.86,58.86,1358,0
20010326,59.4494,59.8035,55.028,58.1,3344,0
20010327,56.9484,58.231,56.69,56.69,2612,0
20010328,56.95,57.0457,56.95,56.95,1358,0
20010329,57.4199,57.8027,56.4629,56.75,1358,0
20010402,56.4685,56.4685,55.99,55.99,731,0
20010403,55.0305,55.0305,50.6281,51.7,1672,0
20010404,49.9847,55.1335,49.7646,54.32,4807,0
20010405,54.7882,57.4199,54.1278,56.75,5120,0
20010409,56.9433,56.9433,54.79,54.79,1985,0
20010410,54.5543,55.3965,54.5543,54.65,12329,0
20010411,56.9421,57.4207,56.4636,56.99,13062,0
20010412,55.9859,57.6128,54.646,57.23,5538,0
20010417,57.8056,57.8056,55.9968,57.04,1254,0
20010418,57.7159,60.08,57.4287,60.08,9716,0
20010419,58.4737,60.56,58.1866,60.56,20376,0
20010420,60.2915,65.0765,60.2915,60.77,5225,0
20010423,61.5371,62.3027,61.0586,61.25,6687,0
20010424,60.2934,61.26,59.0971,61.26,3135,0
20010425,60.7789,61.0181,60.3003,60.53,731,0
20010426,60.4873,62.21,59.8173,62.21,4284,0
20010427,62.4973,66.9956,62.2102,65.56,10866,0
20010430,66.04,66.71,65.0829,66.71,3970,0
20010502,65.1006,66.0385,65.091,65.56,3970,0
20010503,65.6121,65.6121,63.5543,64.32,2716,0
20010504,65.6517,67.47,65.6517,67.47,24451,0
20010508,66.8344,67.9542,65.571,66.04,1149,0
20010509,65.5555,65.5555,64.12,64.12,1776,0
20010510,63.6486,66.0414,62.2129,63.17,3761,0
20010511,64.3431,64.3431,61.2518,63.52,2612,0
20010514,64.1176,64.1176,62.7489,63.17,313,0
20010515,63.1714,63.65,62.6929,63.65,836,0
20010516,63.1682,64.02,63.1682,64.02,32808,0
20010517,63.1714,64.5114,62.9321,63.65,27791,0
20010518,63.5479,64.1221,63.2129,63.5,50572,0
20010521,64.51,66.52,64.1272,66.52,12329,0
20010522,66.8058,69.6293,66.8058,69.39,20061,0
20010523,69.39,70.5386,68.9115,70.06,12433,0
20010524,69.3886,70.3457,69.3886,70.25,2612,0
20010525,69.6278,69.9628,68.7186,68.91,6060,0
20010528,68.4793,69.1971,68.1443,68.91,1463,0
20010529,68.4315,68.91,68.4315,68.91,418,0
20010530,68.4357,68.7707,65.7557,67,13060,0
20010531,66.5131,68.9057,66.4079,68.81,4284,0
20010601,67.4753,68.04,66.9968,68.04,1672,0
