Date,Open,High,Low,Close,Volume,OpenInt
20090407,4.99,4.99,4.99,4.99,90,0
20090408,4.99,5,4.99,5,10000,0
20090414,5,5,4.75,4.75,200,0
20090416,5,5,4.9,4.9,3000,0
20090417,4.9,4.9,4.79,4.79,250,0
20090420,4.89,4.9,4.89,4.9,1000,0
20090421,4.9,4.9,4.79,4.89,259,0
20090422,4.89,4.99,4.89,4.99,100,0
20090429,5,5,4.99,4.99,100,0
20090430,5,5,4.71,4.71,200,0
20090504,5,5,4.88,4.88,205,0
20090507,4.88,4.9,4.49,4.49,1500,0
20090508,4.59,4.7,4.5,4.7,904,0
20090511,4.7,4.78,4.7,4.78,10,0
20090512,4.78,4.84,4.78,4.84,10,0
20090515,4.85,4.85,4.84,4.84,150,0
20090518,4.84,4.84,4.65,4.65,100,0
20090522,4.8,4.83,4.8,4.83,5,0
20090529,4.8,4.84,4.8,4.84,2140,0
20090601,4.84,4.9,4.84,4.9,81,0
20090602,4.98,4.98,4.49,4.63,4238,0
20090603,4.49,4.5,4.49,4.5,1278,0
20090604,4.5,4.5,4.49,4.5,5010,0
20090605,4.6,4.7,4.6,4.7,150,0
20090608,4.75,4.75,4.75,4.75,10,0
20090609,4.75,4.89,4.75,4.89,100,0
20090626,5.04,5.3,5,5.3,1100,0
20090629,5,5.5,5,5.15,378,0
20090630,5.15,5.3,5.15,5.3,189,0
20090703,5.3,5.3,4.8,5.2,549,0
20090706,5.2,5.2,5.2,5.2,195,0
20090708,5.15,5.15,4.96,4.96,28,0
20090713,4.85,5,4.85,5,300,0
20090714,4.95,4.95,4.5,4.5,8712,0
20090715,4.5,4.8,4.5,4.54,1005,0
20090716,4.49,4.5,4.49,4.5,1500,0
20090720,4.41,4.55,4.41,4.55,500,0
20090721,4.5,4.54,4.5,4.54,430,0
20090722,4.49,4.64,4.49,4.64,10,0
20090723,4.59,4.59,4.54,4.54,860,0
20090724,4.41,4.5,4.41,4.5,2000,0
20090730,4.5,4.5,4.5,4.5,476,0
20090731,4.5,4.65,4.5,4.65,1000,0
20090803,4.6,4.76,4.6,4.76,420,0
20090804,4.71,4.85,4.71,4.85,10,0
20090807,4.88,4.88,4.88,4.88,100,0
20090810,4.88,4.88,4.88,4.88,10,0
20090811,4.83,4.99,4.83,4.99,300,0
20090812,4.94,4.94,4.94,4.94,198,0
20090818,4.89,4.98,4.89,4.98,100,0
20090825,4.78,4.98,4.78,4.98,110,0
20090901,4.73,4.73,4.5,4.72,3350,0
20090904,4.57,4.79,4.57,4.79,300,0
20090907,4.74,4.98,4.74,4.98,110,0
20090909,4.88,4.98,4.88,4.98,100,0
20090915,4.83,4.83,4.83,4.83,548,0
20090917,4.73,4.73,4.6,4.6,2000,0
20090921,4.56,4.72,4.56,4.72,130,0
20090922,4.67,4.91,4.67,4.91,110,0
20090925,4.86,4.86,4.81,4.81,200,0
20091008,4.7,4.7,4.65,4.65,500,0
20091012,4.65,4.65,4.65,4.65,248,0
20091014,4.77,4.77,4.77,4.77,200,0
20091019,4.65,4.79,4.65,4.79,45,0
20091023,4.65,4.82,4.65,4.82,100,0
20091026,4.77,4.77,4.61,4.65,6200,0
20091030,4.6,4.77,4.6,4.77,100,0
