Date,Open,High,Low,Close,Volume,OpenInt
20050606,19.927,19.936,19.171,19.216,10564721,0
20050607,19.344,19.645,19.262,19.645,2653621,0
20050608,19.681,20.099,19.481,19.972,1878386,0
20050609,19.999,20.073,19.672,19.699,630340,0
20050610,19.717,19.826,19.58,19.662,445896,0
20050613,19.662,20.027,19.58,19.936,615180,0
20050614,19.953,20.372,19.872,20.144,895964,0
20050615,20.209,20.4,19.844,19.982,686254,0
20050616,19.927,20.456,19.853,20.2,640666,0
20050617,20.382,20.436,20.209,20.3,455233,0
20050620,20.345,20.345,19.59,19.762,313851,0
20050621,19.936,20.41,19.936,20.4,700316,0
20050622,20.391,20.754,20.255,20.709,481269,0
20050623,20.791,21.074,20.682,20.937,636382,0
20050624,20.846,20.892,20.472,20.819,250906,0
20050627,20.754,21.147,20.728,21.147,350541,0
20050628,21.074,22.429,21.028,21.983,1942430,0
20050629,22.066,23.031,21.565,22.894,1068986,0
20050630,22.849,23.257,22.703,22.967,581785,0
20050701,22.794,23.477,22.093,23.477,649565,0
20050704,23.486,23.569,23.031,23.569,220256,0
20050705,23.569,23.668,22.939,23.532,376139,0
20050706,23.486,23.532,23.167,23.303,250136,0
20050707,23.14,23.395,21.465,22.575,657473,0
20050708,22.985,23.076,22.53,23.076,169283,0
20050711,23.386,23.549,22.985,23.486,334064,0
20050712,23.569,23.569,22.502,22.748,274964,0
20050713,22.904,22.939,22.384,22.402,195978,0
20050714,22.485,22.575,21.848,22.23,473139,0
20050715,22.366,22.713,22.148,22.221,288365,0
20050718,22.439,22.54,22.302,22.394,298692,0
20050719,22.394,22.839,21.911,22.621,681202,0
20050720,22.476,22.758,22.457,22.676,210369,0
20050721,22.693,23.167,22.084,22.557,242776,0
20050722,22.648,22.648,22.348,22.384,142809,0
20050725,22.429,22.485,22.056,22.066,213665,0
20050726,22.23,22.394,21.757,21.856,429088,0
20050727,22.029,22.812,21.71,22.766,822583,0
20050728,22.812,23.577,22.812,23.432,489396,0
20050729,23.623,23.64,23.021,23.577,472700,0
20050801,23.659,23.714,22.785,23.167,253981,0
20050802,22.985,23.212,22.939,22.949,106338,0
20050803,23.031,23.031,22.421,22.776,175326,0
20050804,22.575,22.776,22.575,22.667,62947,0
20050805,22.485,23.031,22.357,22.904,106558,0
20050808,22.785,23.122,22.758,22.758,131825,0
20050809,22.758,22.849,22.667,22.758,244864,0
20050810,22.758,22.839,22.485,22.621,232120,0
20050811,22.713,22.849,22.667,22.667,119411,0
20050812,22.849,23.058,22.766,22.876,77776,0
20050815,22.904,23.222,22.758,23.04,97220,0
20050816,23.331,23.468,22.758,22.758,175985,0
20050817,22.758,22.976,21.928,22.575,238053,0
20050818,22.713,22.713,22.302,22.676,122817,0
20050819,22.639,22.703,22.029,22.348,173788,0
20050822,22.485,22.613,22.212,22.394,93156,0
20050823,22.575,22.575,22.093,22.285,243546,0
20050824,22.485,22.485,21.938,22.075,148193,0
20050825,21.983,22.311,21.983,22.193,124903,0
20050826,22.302,22.302,21.037,21.311,333954,0
20050829,21.128,21.256,20.8,21.211,290232,0
20050830,21.374,21.529,21.037,21.374,116335,0
20050831,21.565,21.838,21.438,21.757,106558,0
20050901,21.893,21.976,21.593,21.593,55476,0
20050902,21.593,21.848,21.147,21.319,276502,0
20050905,21.602,21.757,21.483,21.692,96122,0
20050906,21.893,22.348,21.757,22.302,298582,0
20050907,22.54,22.557,22.266,22.512,129516,0
20050908,22.658,22.658,22.174,22.174,88651,0
20050909,22.257,22.53,21.793,22.302,171921,0
20050912,22.575,22.658,22.12,22.339,128749,0
20050913,22.275,22.33,21.738,21.775,154455,0
20050914,21.802,22.302,21.802,22.075,266614,0
20050915,21.865,22.53,21.865,22.302,170053,0
20050916,22.302,22.621,22.257,22.384,280346,0
20050919,21.856,22.521,21.775,22.439,251783,0
20050920,22.53,22.53,22.221,22.375,134241,0
20050921,22.348,22.439,22.139,22.384,154344,0
20050922,22.311,22.394,21.938,22.212,186092,0
20050923,22.302,22.357,21.875,22.33,73493,0
20050926,22.302,23.122,22.302,22.849,349114,0
20050927,22.758,23.104,22.613,23.031,105790,0
20050928,22.894,23.604,22.849,23.504,288806,0
20050929,23.577,23.877,23.441,23.805,364385,0
20050930,23.777,24.106,23.495,23.668,337690,0
20051003,23.84,24.123,23.577,23.967,105240,0
20051004,24.032,24.123,23.423,23.85,288145,0
20051005,23.85,23.895,23.495,23.577,92827,0
20051006,23.486,23.486,22.849,23.122,237174,0
20051007,22.939,23.158,22.766,22.894,57233,0
20051010,23.122,23.322,22.812,22.931,137757,0
20051011,23.004,23.614,22.995,23.432,203998,0
20051012,23.532,23.577,23.012,23.303,114906,0
20051013,23.257,23.303,22.685,22.849,187629,0
20051014,22.713,22.985,22.713,22.776,303525,0
20051017,22.976,23.177,22.766,22.766,93047,0
20051018,22.967,23.122,22.676,22.758,83489,0
20051019,22.676,22.676,21.347,21.365,587498,0
20051020,21.784,21.865,21.483,21.702,176425,0
20051021,21.511,21.848,21.256,21.283,97769,0
20051024,21.665,21.938,21.156,21.738,192683,0
20051025,21.928,21.983,21.729,21.82,72393,0
20051026,21.802,21.848,21.574,21.638,78434,0
20051027,21.447,21.619,20.955,21.201,102933,0
20051028,21.211,21.474,21.165,21.301,42623,0
20051031,21.483,22.111,21.392,22.075,76017,0
20051101,22.257,22.676,22.257,22.476,198065,0
20051102,22.476,22.739,22.402,22.739,90741,0
20051103,22.748,22.931,22.693,22.894,150939,0
20051104,22.412,23.504,22.394,23.413,375041,0
20051107,23.167,23.85,23.113,23.486,370536,0
20051108,23.368,23.486,22.575,23.021,353179,0
20051109,22.931,23.586,22.931,23.267,144786,0
