Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.009,0.009,0.008,0.008,792,0
20090408,0.008,0.01,0.007,0.01,420,0
20090409,0.01,0.01,0.007,0.007,115,0
20090414,0.01,0.018,0.01,0.018,1040,0
20090416,0.019,0.019,0.006,0.006,4600,0
20090417,0.017,0.017,0.006,0.006,2000,0
20090420,0.018,0.018,0.018,0.018,3600,0
20090421,0.018,0.018,0.012,0.012,2200,0
20090422,0.016,0.016,0.015,0.016,770,0
20090423,0.016,0.017,0.015,0.015,350,0
20090424,0.017,0.018,0.015,0.016,10095,0
20090429,0.015,0.016,0.015,0.016,200,0
20090430,0.016,0.018,0.01,0.011,2000,0
20090505,0.014,0.016,0.014,0.016,10050,0
20090506,0.018,0.022,0.018,0.022,115050,0
20090507,0.022,0.022,0.013,0.013,84,0
20090508,0.013,0.016,0.013,0.014,230,0
20090511,0.014,0.017,0.01,0.017,1200,0
20090513,0.016,0.021,0.014,0.014,139625,0
20090514,0.014,0.02,0.012,0.02,6838,0
20090515,0.014,0.02,0.012,0.014,300,0
20090518,0.014,0.014,0.012,0.014,120,0
20090519,0.014,0.014,0.01,0.014,11270,0
20090520,0.014,0.014,0.011,0.014,580,0
20090522,0.013,0.014,0.007,0.007,600,0
20090525,0.014,0.014,0.014,0.014,6000,0
20090526,0.014,0.014,0.013,0.014,200,0
20090527,0.014,0.014,0.011,0.014,140,0
20090528,0.014,0.014,0.007,0.007,100,0
20090529,0.013,0.014,0.013,0.014,100,0
20090601,0.014,0.014,0.011,0.011,3500,0
20090602,0.013,0.014,0.011,0.014,4440,0
20090603,0.014,0.014,0.013,0.014,510,0
20090604,0.014,0.014,0.011,0.014,400,0
20090605,0.014,0.014,0.014,0.014,1000,0
20090608,0.014,0.015,0.013,0.015,10550,0
20090609,0.015,0.015,0.011,0.014,100,0
20090610,0.014,0.015,0.011,0.015,100,0
20090611,0.014,0.022,0.011,0.015,6215,0
20090612,0.022,0.022,0.011,0.014,35635,0
20090616,0.013,0.014,0.011,0.014,300,0
20090618,0.013,0.013,0.011,0.011,130,0
20090622,0.013,0.014,0.006,0.006,600,0
20090625,0.013,0.014,0.006,0.014,13300,0
20090630,0.013,0.014,0.013,0.014,85,0
20090701,0.014,0.014,0.009,0.009,20100,0
20090702,0.009,0.01,0.005,0.007,600,0
20090703,0.007,0.008,0.007,0.008,300,0
20090706,0.008,0.01,0.007,0.01,61160,0
20090708,0.01,0.011,0.007,0.011,500,0
20090713,0.01,0.01,0.007,0.007,500,0
20090714,0.01,0.01,0.007,0.007,20,0
20090715,0.01,0.011,0.01,0.011,380,0
20090716,0.011,0.011,0.011,0.011,1050,0
20090717,0.011,0.011,0.006,0.011,1400,0
20090720,0.011,0.011,0.011,0.011,220,0
20090722,0.011,0.011,0.011,0.011,190,0
20090724,0.011,0.012,0.011,0.012,5740,0
20090728,0.011,0.012,0.007,0.007,100,0
20090729,0.012,0.012,0.011,0.011,10120,0
20090730,0.011,0.011,0.008,0.008,50,0
20090731,0.008,0.01,0.005,0.009,570,0
20090803,0.009,0.017,0.009,0.017,1600,0
20090804,0.017,0.023,0.017,0.023,1030,0
20090805,0.009,0.03,0.009,0.01,51334,0
20090806,0.017,0.017,0.005,0.007,20000,0
20090807,0.008,0.01,0.006,0.009,41600,0
20090810,0.005,0.01,0.005,0.01,800,0
20090811,0.01,0.011,0.006,0.01,16080,0
20090812,0.009,0.01,0.008,0.009,800,0
20090813,0.009,0.011,0.007,0.007,500,0
20090814,0.011,0.011,0.007,0.009,1670,0
20090818,0.008,0.009,0.007,0.009,486,0
20090819,0.009,0.009,0.006,0.009,200,0
20090820,0.009,0.009,0.006,0.009,1420,0
20090821,0.009,0.009,0.006,0.009,350,0
20090824,0.009,0.018,0.006,0.018,100550,0
20090825,0.018,0.02,0.013,0.013,160570,0
20090826,0.013,0.013,0.007,0.007,150,0
20090827,0.013,0.014,0.008,0.014,700,0
20090831,0.014,0.014,0.007,0.012,3205,0
20090901,0.012,0.012,0.011,0.011,100,0
20090902,0.011,0.012,0.011,0.011,1510,0
20090903,0.011,0.012,0.011,0.011,3876,0
20090904,0.011,0.012,0.011,0.011,4000,0
20090907,0.011,0.012,0.01,0.01,128,0
20090908,0.01,0.012,0.005,0.011,268,0
20090909,0.011,0.012,0.011,0.011,220,0
20090910,0.011,0.012,0.006,0.012,36334,0
20090914,0.013,0.014,0.006,0.014,100,0
20090915,0.014,0.014,0.007,0.007,650,0
20090917,0.013,0.013,0.007,0.011,2420,0
20090918,0.013,0.013,0.007,0.011,2450,0
20090921,0.012,0.013,0.007,0.012,735,0
20090922,0.012,0.013,0.007,0.013,570,0
20090923,0.013,0.013,0.007,0.013,155,0
20090924,0.014,0.014,0.007,0.013,312,0
20090928,0.013,0.013,0.007,0.013,420,0
20090929,0.014,0.014,0.007,0.007,400,0
20090930,0.014,0.014,0.007,0.013,400,0
20091002,0.012,0.013,0.007,0.013,300,0
20091005,0.014,0.014,0.007,0.013,998,0
20091006,0.014,0.014,0.007,0.013,55,0
20091007,0.014,0.014,0.007,0.013,590,0
20091008,0.014,0.014,0.007,0.013,187,0
20091009,0.014,0.014,0.007,0.007,500,0
20091013,0.012,0.013,0.007,0.013,2000,0
20091014,0.012,0.012,0.007,0.007,150,0
20091015,0.013,0.013,0.007,0.013,25500,0
20091019,0.013,0.013,0.007,0.013,200,0
20091021,0.013,0.013,0.007,0.013,8470,0
20091022,0.014,0.014,0.007,0.013,1820,0
20091023,0.019,0.019,0.007,0.014,1030,0
20091027,0.013,0.013,0.007,0.013,200,0
20091028,0.014,0.014,0.007,0.013,18359,0
20091029,0.014,0.014,0.007,0.013,320,0
20091103,0.013,0.013,0.007,0.013,16209,0
20091104,0.013,0.013,0.007,0.013,150,0
20091105,0.014,0.014,0.007,0.013,5220,0
20091106,0.024,0.024,0.007,0.007,2052,0
20091109,0.012,0.012,0.007,0.007,150,0
20091110,0.013,0.021,0.007,0.021,8183,0
20091111,0.013,0.019,0.012,0.012,685,0
20091112,0.013,0.013,0.013,0.013,480,0
