Date,Open,High,Low,Close,Volume,OpenInt
20000214,11.117,11.117,11.117,11.117,1350,0
20000215,11.044,11.118,11.044,11.044,404,0
20000216,11.043,11.117,11.043,11.117,944,0
20000217,11.081,11.081,11.081,11.081,134,0
20000222,10.961,10.961,10.813,10.813,2835,0
20000223,10.669,10.669,10.372,10.379,1755,0
20000224,10.371,10.371,10.222,10.222,675,0
20000225,10.297,10.297,10.149,10.149,1621,0
20000228,10.075,10.075,10.075,10.075,1350,0
20000229,10.076,10.076,9.78,9.78,135,0
20000301,9.781,9.781,9.632,9.632,13497,0
20000302,9.634,9.634,9.1156,9.1156,6747,0
20000303,8.8932,9.1156,8.8932,9.1156,14438,0
20000306,8.8901,10.001,8.8901,10.001,3105,0
20000307,10.074,10.371,10.074,10.296,2969,0
20000308,10.296,10.445,10.296,10.371,4050,0
20000309,10.371,10.371,10.296,10.296,1215,0
20000310,10.229,10.444,10.229,10.444,1755,0
20000314,10.371,10.519,10.371,10.371,3106,0
20000315,10.554,10.739,10.554,10.739,8101,0
20000316,10.851,10.961,10.739,10.739,4996,0
20000317,11.116,11.561,11.116,11.487,5938,0
20000320,11.56,12.005,11.486,11.634,13224,0
20000321,11.487,11.487,11.487,11.487,2699,0
20000322,11.487,11.635,11.449,11.487,4318,0
20000323,11.486,11.634,11.486,11.634,2699,0
20000324,11.634,11.708,11.449,11.56,7152,0
20000327,11.413,11.413,11.265,11.413,4452,0
20000328,11.302,11.302,11.191,11.266,3509,0
20000329,11.191,11.487,11.191,11.487,134,0
20000330,11.265,11.487,11.265,11.487,1350,0
20000331,11.413,11.487,11.413,11.487,2699,0
20000403,11.345,11.487,11.345,11.487,2699,0
20000404,11.301,11.487,11.301,11.487,3373,0
20000405,11.347,11.347,11.191,11.191,3509,0
20000406,11.117,11.117,11.117,11.117,1080,0
20000410,10.961,11.11,10.739,10.739,2160,0
20000411,10.739,10.739,10.739,10.739,135,0
20000417,10.371,10.371,10.371,10.371,945,0
20000418,10.003,10.003,9.632,9.632,4184,0
20000419,9.633,9.633,9.0777,9.3003,2968,0
20000420,9.632,9.632,9.3359,9.632,4859,0
20000425,9.78,9.78,9.78,9.78,809,0
20000426,9.632,9.632,9.632,9.632,540,0
20000427,9.925,10.739,9.925,10.739,135,0
20000428,10.296,10.296,10.296,10.296,945,0
20000502,10.296,10.296,10.296,10.296,405,0
20000503,10.001,10.001,10.001,10.001,945,0
20000504,9.777,9.777,9.4802,9.614,3375,0
20000505,9.631,9.854,9.631,9.854,1755,0
20000508,9.855,9.855,9.4841,9.632,2699,0
20000512,10.001,10.001,10.001,10.001,675,0
20000515,10,10.222,9.853,10.222,135,0
20000516,10.222,10.222,10.222,10.222,135,0
20000519,10.075,10.075,10.075,10.075,135,0
20000526,9.855,9.855,9.558,9.632,4723,0
20000530,9.632,9.632,9.632,9.632,2564,0
20000531,9.41,9.632,9.41,9.632,135,0
20000602,9.4109,9.4109,9.4109,9.4109,540,0
20000605,9.2627,9.2627,9.2627,9.2627,405,0
20000606,9.3359,9.558,9.3359,9.558,4184,0
20000607,9.632,9.632,9.4851,9.4851,2159,0
20000608,9.706,9.706,9.706,9.706,1080,0
20000609,9.78,9.928,9.78,9.928,4185,0
20000613,9.926,10.445,9.926,10.371,9315,0
20000619,10.011,10.011,10.011,10.011,135,0
20000620,10.222,10.222,10.222,10.222,1350,0
20000621,10.371,10.444,10.296,10.444,1080,0
20000622,10.371,10.371,10.371,10.371,1755,0
20000626,10.519,10.519,10.296,10.296,270,0
20000627,10.519,10.519,10.371,10.371,135,0
20000629,10.371,10.371,10.371,10.371,945,0
20000630,10.371,10.371,10.371,10.371,1351,0
20000703,10.407,10.407,10.407,10.407,270,0
20000704,10.407,10.407,10.407,10.407,5400,0
20000705,10.393,10.393,10.371,10.371,9450,0
20000706,10.371,10.407,10.371,10.371,15390,0
20000711,10.371,10.371,10.371,10.371,270,0
20000712,10.519,10.519,10.371,10.371,1351,0
20000717,10.445,10.445,10.407,10.407,1621,0
20000718,10.444,10.444,10.444,10.444,270,0
20000720,10.444,10.836,10.406,10.666,5805,0
20000721,10.592,10.592,10.518,10.518,14852,0
20000724,10.518,10.555,10.518,10.518,20251,0
20000725,10.666,10.666,10.555,10.555,2969,0
20000726,10.555,10.555,10.555,10.555,675,0
20000727,10.481,10.629,10.444,10.444,4590,0
20000728,10.444,10.444,10.444,10.444,135,0
20000731,10.591,10.887,10.517,10.887,8102,0
20000801,10.74,10.74,10.666,10.666,1485,0
20000803,10.739,10.739,10.739,10.739,135,0
20000804,10.887,10.924,10.887,10.924,1621,0
20000807,10.961,10.961,10.85,10.924,2160,0
20000808,10.969,11.117,10.969,11.117,4722,0
20000809,11.117,11.117,11.117,11.117,270,0
20000810,11.007,11.007,11.007,11.007,134,0
20000814,11.117,11.191,11.117,11.191,134,0
20000815,11.34,11.34,11.191,11.191,134,0
20000816,11.191,11.191,11.191,11.191,540,0
20000817,11.191,11.191,11.191,11.191,1484,0
20000818,11.302,11.302,11.302,11.302,1484,0
20000821,11.302,11.45,11.302,11.339,3373,0
20000822,11.339,11.376,11.265,11.376,2699,0
20000823,11.302,11.302,11.302,11.302,1080,0
20000824,11.302,11.302,11.302,11.302,1214,0
20000825,11.302,11.376,11.302,11.376,540,0
