Date,Open,High,Low,Close,Volume,OpenInt
20000616,27.9663,30.2398,27.1102,28.87,145705,0
20000619,28.9628,33.2063,28.5441,32.35,33842,0
20000620,33.8698,36.02,33.5844,36.02,43830,0
20000621,35.0266,38.3276,33.847,34.96,21655,0
20000622,34.25,34.25,31.9667,34.25,10406,0
20000623,33.8176,34.6832,32.3431,33.77,18922,0
20000626,34.6064,34.7301,32.39,32.39,14507,0
20000627,33.2459,33.2459,29.9822,31.4,9669,0
20000628,30.8258,34.1558,30.8258,33.29,9775,0
20000629,32.3514,34.72,32.3514,34.72,15769,0
20000630,34.4419,34.9176,32.891,34.87,7252,0
20000703,34.3947,35.1083,32.92,32.92,1577,0
20000704,33.3446,33.3446,30.9187,31.87,3153,0
20000705,32.3415,32.3415,29.4878,30.81,6728,0
20000706,30.4413,30.4413,28.6624,29.49,5256,0
20000710,30.9169,30.9169,29.0144,29.49,5677,0
20000711,28.5527,29.39,28.4481,29.39,1366,0
20000712,28.7361,29.4973,27.3088,28.07,1576,0
20000714,26.9227,28.54,26.9227,28.54,4835,0
20000717,28.6354,29.1586,28.35,28.35,3679,0
20000718,28.4449,29.0157,28.3497,28.54,3784,0
20000719,29.0157,29.0157,26.3044,28.54,9145,0
20000720,29.0122,29.25,28.1561,29.25,841,0
20000721,28.0605,28.1556,27.0998,27.29,421,0
20000724,27.8285,28.3518,27.0103,27.8,841,0
20000725,28.79,28.79,28.79,28.79,526,0
20000726,28.9021,29.92,28.4454,29.92,420,0
20000727,29.0144,30.1559,29.0144,29.49,2208,0
20000728,29.6802,30.6505,29.4804,30.27,2838,0
20000731,30.2745,32.3486,29.7797,29.97,1577,0
20000801,30.4454,30.4454,29.8746,30.16,526,0
20000802,30.446,30.6363,29.78,29.78,526,0
20000803,29.7784,29.7784,27.5902,27.79,1997,0
20000804,28.54,28.54,28.54,28.54,420,0
20000807,28.0681,29.619,28.0681,29.6,4099,0
20000808,28.5377,30.4307,28.5377,30.25,3574,0
20000809,29.0322,30.44,29.0322,30.44,210,0
20000810,30.4413,30.4413,29.49,29.49,1787,0
20000811,29.0888,31.581,29.0888,30.82,4100,0
20000814,30.2413,31.3352,29.68,29.68,3679,0
20000815,29.6805,29.6805,29.2524,29.3,210,0
20000816,29.49,29.49,29.49,29.49,841,0
20000817,29.4885,30.63,29.4885,30.63,6728,0
20000818,30.4485,31.4,30.4485,31.4,1471,0
20000821,31.3817,31.3817,30.44,30.44,1682,0
20000822,30.2554,30.4457,29.97,29.97,210,0
20000823,30.9161,30.9161,30.06,30.06,631,0
20000824,30.9199,30.9199,29.8733,30.33,4310,0
20000825,29.873,30.1489,28.5411,29.54,4204,0
20000828,30.1603,30.4457,28.5429,29.97,18078,0
20000829,30.8246,31.2051,30.444,31.11,3153,0
20000830,30.8262,31.3495,30.8262,31.34,7252,0
20000831,31.3963,34.222,31.3963,33.87,8304,0
20000901,34.23,34.23,33.3928,34.23,1156,0
20000904,33.3017,37.06,33.0543,37.06,6411,0
20000905,36.4445,36.4445,34.6275,34.97,2313,0
20000906,33.8639,35.1956,33.8639,34.72,2418,0
20000907,35.1095,35.1095,34.7289,35.1,525,0
20000908,34.9146,35.2,34.6292,35.2,6202,0
20000911,34.7213,35.1969,33.77,33.77,631,0
20000912,32.2487,32.81,31.8682,32.81,105,0
20000914,33.412,33.7735,32.9553,33.06,315,0
20000918,33.7776,33.7776,32.4455,32.75,525,0
20000920,32.35,32.35,32.35,32.35,315,0
20000921,33.0954,33.0954,29.0144,29.49,2313,0
20000922,29.5839,31.7052,29.5839,30.44,946,0
20000925,31.714,31.714,30.7339,31.4,841,0
20000927,31.08,31.08,31.08,31.08,420,0
20000929,29.4943,29.97,29.4943,29.97,420,0
20001002,29.4913,29.5865,28.54,28.54,1892,0
20001004,29.4886,29.4886,27.5861,28.68,421,0
20001005,28.9205,29.5484,28.54,28.54,2628,0
20001006,29.0157,29.0157,28.54,28.54,1682,0
20001009,28.54,29.3962,28.54,28.54,1261,0
20001010,28.54,28.8254,28.54,28.54,2628,0
20001011,28.5449,30.4479,28.5449,30.21,4204,0
20001012,29.6008,30.4,29.6008,30.4,525,0
20001025,27.7507,28.35,27.7507,28.35,210,0
20001026,28.4364,28.4364,27.78,27.78,105,0
20001030,28.2923,28.2923,27.75,27.75,315,0
20001103,28.0641,28.73,28.0641,28.73,631,0
20001106,28.54,28.54,28.54,28.54,105,0
20001107,29.0157,29.0157,28.54,28.54,105,0
20001108,29.0154,29.3008,28.73,28.73,2943,0
20001109,27.4758,28.5414,27.4758,27.59,210,0
20001113,26.7858,27.0237,24.74,24.74,2312,0
20001115,25.6844,26.16,25.2087,26.16,841,0
20001116,26.023,26.0991,25.0715,25.69,2102,0
20001117,25.6906,25.6906,25.1958,25.31,210,0
20001120,24.8352,24.8352,24.74,24.74,210,0
20001121,24.7363,24.879,23.88,23.88,946,0
20001122,23.6982,23.6982,22.3663,22.49,420,0
20001124,23.45,23.45,23.45,23.45,105,0
20001127,24.988,25.6824,24.2556,24.56,2103,0
20001128,24.8529,24.8529,22.36,22.36,5465,0
20001129,22.8253,24.6616,22.8253,23.91,1156,0
20001130,24.263,24.7387,22.36,22.36,1261,0
20001201,21.7086,23.44,20.5005,23.44,3995,0
20001204,22.1464,22.9264,21.4519,21.88,1682,0
20001205,21.88,21.88,20.0725,21.88,946,0
20001206,21.8805,21.8805,19.35,19.35,6307,0
20001207,19.953,20.3145,17.4505,19.03,18077,0
20001208,19.0311,21.41,17.8892,21.41,3468,0
20001211,22.518,26.6373,22.518,25.02,15873,0
20001212,25.2102,25.6859,24.7346,25.41,3153,0
20001213,25.7808,25.7808,25.0768,25.21,3469,0
20001214,25.3062,26.6381,24.45,24.45,1682,0
20001215,24.6166,24.6166,24.55,24.55,105,0
20001218,25.69,25.69,25.69,25.69,420,0
20001220,24.64,25.2108,23.9741,24.64,3259,0
