Date,Open,High,Low,Close,Volume,OpenInt
20000103,8.7389,8.9099,8.7389,8.8328,13307,0
20000104,8.8932,8.8932,8.8245,8.8672,1050,0
20000105,8.8672,8.9358,8.8672,8.9099,21593,0
20000106,8.9099,8.9099,8.9099,8.9099,5720,0
20000107,8.9099,8.9099,8.7816,8.7816,34432,0
20000110,8.9099,9.1664,8.9099,8.9525,46338,0
20000111,8.8672,9.0388,8.8245,9.0388,6652,0
20000112,9.0208,9.1239,9.0208,9.1239,1050,0
20000113,9.1239,9.553,9.1239,9.553,17509,0
20000114,9.3385,9.4236,9.1664,9.1664,9921,0
20000117,9.2874,9.3649,9.1664,9.1664,9689,0
20000118,9.1664,9.1664,9.1239,9.1589,1284,0
20000119,8.9962,8.9962,8.9099,8.9099,2683,0
20000120,8.9099,9.0653,8.9099,8.9525,5603,0
20000121,8.9962,8.9962,8.8245,8.8245,5252,0
20000124,9.0388,9.0388,8.8245,8.9525,3036,0
20000125,8.9525,8.9962,8.7816,8.9525,7003,0
20000126,8.8245,8.9099,8.6961,8.7816,3736,0
20000127,8.8672,8.9275,8.7389,8.9275,1167,0
20000128,8.8245,8.9358,8.7389,8.8672,3619,0
20000131,8.9099,8.9099,8.6961,8.8413,4903,0
20000201,8.8245,8.8245,8.6531,8.6961,11089,0
20000202,8.7902,8.8245,8.6961,8.8245,3736,0
20000203,8.8245,8.8245,8.7474,8.7474,2919,0
20000207,8.8328,8.9099,8.7474,8.7816,4085,0
20000208,8.7816,9.0208,8.7816,9.0208,1402,0
20000209,8.8672,9.0813,8.7816,8.7816,13655,0
20000210,8.9962,9.1664,8.8672,8.9962,27313,0
20000211,9.1589,9.511,8.8672,9.1239,24512,0
20000214,9.0653,9.1664,8.9099,9.1239,8287,0
20000215,9.0388,9.0813,8.9099,9.0813,5137,0
20000216,9.0388,9.0388,9.0388,9.0388,118,0
20000217,8.9525,9.0813,8.9099,9.0813,3851,0
20000218,8.9962,9.1664,8.9962,9.1664,1050,0
20000221,9.1239,9.1664,8.9099,8.9962,16224,0
20000222,8.9525,9.0388,8.9099,9.0388,9921,0
20000223,8.9099,9.3727,8.8672,9.3385,26962,0
20000224,9.3297,9.3297,9.2099,9.2099,5020,0
20000225,8.9962,9.0208,8.8245,8.9525,5952,0
20000228,8.9785,8.9785,8.7987,8.9785,5952,0
20000229,8.9099,8.9962,8.7816,8.9099,1167,0
20000301,8.9868,8.9962,8.9868,8.9962,1050,0
20000302,8.9962,9.0388,8.9962,9.0388,3736,0
20000303,8.9525,9.2354,8.9525,9.2354,9106,0
20000306,9.2099,9.3297,9.1664,9.3297,6186,0
20000307,9.1759,9.3297,9.1163,9.3297,2101,0
20000308,9.0473,9.1664,9.0473,9.1664,701,0
20000309,9.0898,9.0898,9.0898,9.0898,118,0
20000310,9.3297,9.3297,9.1239,9.2534,2683,0
20000314,9.2354,9.4148,9.0813,9.2955,7121,0
20000315,9.4148,9.4236,9.4148,9.4236,3851,0
20000316,9.4148,9.4236,9.2534,9.3805,14940,0
20000317,9.3385,9.4236,9.2534,9.4236,15407,0
20000320,9.4236,9.553,9.4236,9.4236,5603,0
20000321,9.4236,9.4236,9.3385,9.3385,2919,0
20000322,9.3805,9.553,9.3805,9.511,21826,0
20000323,9.672,9.767,9.553,9.596,3502,0
20000324,9.733,9.733,9.596,9.638,15640,0
20000327,9.715,9.715,9.4666,9.638,16574,0
20000328,9.511,9.75,9.3385,9.596,21593,0
20000329,9.681,9.698,9.596,9.596,21826,0
20000330,9.681,9.724,9.596,9.681,21593,0
20000331,9.715,9.759,9.596,9.75,39686,0
20000403,9.759,9.759,9.596,9.596,34782,0
20000404,9.741,9.929,9.596,9.929,31981,0
20000405,9.0993,9.2534,8.9962,9.1664,31164,0
20000406,9.0813,9.4148,9.0813,9.3385,14590,0
20000407,9.2534,9.4148,9.1664,9.3297,10271,0
20000410,9.3385,9.3385,9.0813,9.0813,15524,0
20000411,9.2534,9.2534,9.0993,9.2354,5603,0
20000412,9.2354,9.2955,9.1664,9.2534,7470,0
20000413,9.1664,9.2955,9.1664,9.2099,17975,0
20000414,9.1664,9.2534,9.0813,9.0813,5369,0
