Date,Open,High,Low,Close,Volume,OpenInt
20050411,3.19,3.75,3.1,3.67,40400,0
20050412,3.55,4.2,3.54,3.84,80900,0
20050413,3.9,3.9,3.73,3.86,43100,0
20050414,3.83,3.95,3.77,3.86,69000,0
20050415,3.82,3.86,3.75,3.81,71000,0
20050418,3.7,3.7,3.35,3.4,28000,0
20050419,3.4,3.4,2.61,2.72,135900,0
20050420,2.7,2.9,1.94,2.01,105000,0
20050421,1.95,2.07,1.75,1.88,166600,0
20050422,1.98,1.98,1.64,1.69,142700,0
20050425,1.68,1.68,1.44,1.53,120500,0
20050426,1.51,1.73,1.51,1.7,120000,0
20050427,1.7,1.89,1.7,1.8,96900,0
20050428,1.8,1.9,1.61,1.7,59100,0
20050429,1.74,1.8,1.65,1.73,54800,0
20050502,1.72,1.76,1.62,1.62,30800,0
20050503,1.64,1.7,1.6,1.7,18600,0
20050504,1.72,1.72,1.63,1.68,19000,0
20050505,1.69,1.7,1.66,1.68,6400,0
20050506,1.67,1.67,1.64,1.66,22100,0
20050509,1.65,1.67,1.61,1.64,18800,0
20050510,1.63,1.64,1.62,1.62,7300,0
20050511,1.62,1.63,1.61,1.61,12300,0
20050512,1.61,1.63,1.61,1.61,15500,0
20050513,1.6,1.95,1.52,1.7,384000,0
20050516,1.73,1.76,1.73,1.75,19500,0
20050517,1.78,1.84,1.7,1.75,106300,0
20050518,1.75,1.77,1.73,1.77,36000,0
20050519,1.78,1.85,1.75,1.83,148600,0
20050520,1.86,1.86,1.75,1.8,61400,0
20050523,1.77,1.79,1.7,1.76,60300,0
20050524,1.73,1.88,1.72,1.88,104200,0
20050525,1.85,1.98,1.82,1.92,157800,0
20050526,1.94,2.2,1.94,2.12,124800,0
20050527,2.18,2.33,2.12,2.24,387000,0
20050530,2.25,2.29,2.14,2.14,144100,0
20050531,2.12,2.18,1.97,2.17,220100,0
20050601,2.2,2.25,2.14,2.2,54500,0
20050602,2.21,2.22,2.16,2.18,78700,0
20050603,2.2,2.4,2.2,2.4,176900,0
20050606,2.44,2.89,2.4,2.78,256900,0
20050607,2.89,3.18,2.79,3.07,296300,0
20050608,3.02,3.33,2.91,3.03,356400,0
20050609,2.98,2.98,2.83,2.88,146200,0
20050610,3.04,3.42,3.04,3.33,474900,0
20050613,3.35,3.55,3.35,3.41,309000,0
20050614,3.5,3.5,3.16,3.25,265200,0
20050615,3.25,3.25,3.04,3.05,88100,0
20050616,3.08,3.09,2.91,3,113600,0
20050617,2.97,2.97,2.76,2.93,150400,0
20050620,2.9,2.96,2.8,2.85,46100,0
20050621,2.88,2.89,2.68,2.8,110400,0
20050622,2.75,2.75,2.63,2.7,76300,0
20050623,2.65,2.94,2.51,2.87,243300,0
20050624,2.85,2.87,2.74,2.76,53000,0
20050627,2.75,2.83,2.71,2.76,16600,0
20050628,2.76,2.88,2.76,2.8,35300,0
20050629,2.85,2.85,2.69,2.77,88500,0
20050630,2.78,2.78,2.65,2.69,50200,0
20050701,2.68,2.69,2.62,2.65,7400,0
20050704,2.64,2.68,2.6,2.6,9600,0
20050705,2.62,2.91,2.6,2.85,58100,0
20050706,2.88,2.88,2.7,2.79,45200,0
20050707,2.7,2.77,2.6,2.72,44700,0
20050708,2.75,2.78,2.7,2.74,53300,0
20050711,2.79,2.83,2.74,2.83,21000,0
20050712,2.86,2.86,2.76,2.8,17500,0
20050713,2.76,2.82,2.72,2.73,23900,0
