Date,Open,High,Low,Close,Volume,OpenInt
20000114,13.498,14.034,13.284,13.927,81676,0
20000117,14.332,14.458,13.668,14.139,54614,0
20000118,13.989,14.246,13.604,13.646,42008,0
20000119,13.819,13.926,13.628,13.628,6535,0
20000120,13.833,13.833,13.175,13.175,20539,0
20000121,13.068,13.217,12.587,13.217,30803,0
20000124,13.444,13.498,12.856,12.963,38736,0
20000125,12.426,12.64,12.105,12.276,19602,0
20000126,12.533,13.058,12.533,12.855,29874,0
20000127,13.048,13.07,12.856,12.963,11665,0
20000128,12.856,13.177,12.856,13.048,19134,0
20000131,12.748,13.058,12.64,12.855,15870,0
20000201,12.876,13.175,12.876,13.175,8870,0
20000202,12.963,14.027,12.855,14.027,36405,0
20000203,13.733,14.034,13.284,13.391,11665,0
20000204,13.52,13.712,13.391,13.391,12602,0
20000207,13.389,13.604,12.854,13.09,33606,0
20000208,13.328,13.328,12.855,12.855,25673,0
20000209,13.07,13.07,12.534,12.534,12138,0
20000210,12.64,12.64,12.125,12.211,12138,0
20000211,12.361,13.283,12.361,13.197,35008,0
20000214,13.186,13.186,12.575,12.575,21468,0
20000215,12.961,13.175,12.747,13.068,18205,0
20000216,13.176,13.176,12.105,12.855,94283,0
20000217,12.941,13.969,12.749,13.969,56007,0
20000218,14.312,15.641,13.927,15.18,205364,0
20000221,15.211,16.476,14.633,15.79,384139,0
20000222,16.064,16.064,13.926,14.139,86822,0
20000223,14.387,15.161,14.355,14.998,45267,0
20000224,14.996,15.316,13.926,14.139,60216,0
20000225,14.439,14.782,14.033,14.567,40606,0
20000228,14.829,14.869,12.963,13.391,51811,0
20000229,13.604,13.86,13.497,13.604,19606,0
20000301,13.82,14.179,12.319,12.963,69543,0
20000302,13.057,13.219,12.414,12.618,33606,0
20000303,12.329,12.961,12.32,12.661,45279,0
20000306,12.975,13.177,12.812,12.963,45267,0
20000307,13.284,13.794,13.048,13.498,22866,0
20000308,14.162,14.676,14.14,14.354,179699,0
20000309,14.559,14.975,14.354,14.761,58346,0
20000310,14.482,14.888,14.357,14.567,66752,0
20000313,14.377,14.377,13.712,13.927,61610,0
20000314,14.098,14.56,13.712,13.925,55074,0
20000315,13.711,13.926,13.499,13.604,23807,0
20000316,13.845,13.927,13.563,13.623,14000,0
20000317,13.904,14.52,13.819,13.938,58811,0
20000320,14.311,14.567,14.033,14.567,42008,0
20000321,14.354,14.569,14.183,14.334,19138,0
20000322,14.568,14.568,14.246,14.246,14468,0
20000323,14.46,14.567,14.033,14.567,29405,0
20000324,14.562,14.955,14.354,14.783,35472,0
20000327,14.997,15.275,14.954,15.211,40606,0
20000328,15.104,15.726,14.997,15.424,47610,0
20000329,15.425,15.447,14.997,15.211,31275,0
20000330,14.955,15.316,14.783,14.998,57873,0
20000331,14.783,15.169,14.184,14.998,40602,0
20000403,15.318,15.444,14.567,14.567,18673,0
20000404,14.122,14.784,13.927,14.035,31271,0
20000405,14.246,14.246,13.09,13.283,20071,0
20000406,13.605,15.49,13.605,15.362,42941,0
20000407,15.06,15.06,14.139,14.567,31275,0
20000410,14.567,14.827,14.567,14.567,40145,0
20000411,14.461,14.568,14.071,14.288,33606,0
20000412,14.353,14.567,14.345,14.567,10736,0
20000413,14.353,14.435,13.839,14.118,32204,0
20000414,13.969,14.334,13.819,13.819,14937,0
20000417,13.498,13.979,13.229,13.979,17736,0
20000418,14.311,14.311,13.819,14.139,7000,0
20000419,14.353,14.353,13.753,14.139,14004,0
20000420,14.033,14.139,13.754,13.754,4205,0
20000425,14.14,14.14,13.712,13.884,13067,0
20000426,13.927,14.12,13.477,13.477,12602,0
20000427,13.496,13.496,13.05,13.068,26610,0
20000428,13.391,13.417,13.172,13.347,5602,0
20000502,13.284,14.14,13.284,13.927,26606,0
20000503,13.927,14.098,13.84,13.927,7468,0
20000504,13.712,13.927,13.627,13.862,3732,0
20000505,13.895,13.895,13.498,13.498,4205,0
20000508,13.476,13.755,13.393,13.393,15870,0
20000510,13.281,13.391,13.176,13.305,5602,0
20000511,13.07,13.07,12.458,12.855,21004,0
20000512,13.04,13.498,12.856,13.498,20071,0
20000515,13.496,13.496,12.962,13.283,933,0
20000516,13.283,13.283,13.069,13.281,933,0
20000517,13.113,13.344,13.006,13.006,5134,0
20000518,12.917,13.09,12.854,13.09,1866,0
20000519,12.854,12.953,12.64,12.953,32677,0
20000522,12.64,12.855,12.461,12.855,9335,0
20000523,12.961,13.173,12.639,13.171,20539,0
20000524,12.749,13.129,12.749,13.006,12602,0
20000525,13.07,13.177,12.924,12.924,3264,0
20000526,12.857,12.931,12.533,12.855,15401,0
20000529,12.855,12.855,12.608,12.855,1866,0
20000530,12.94,12.962,12.692,12.855,1402,0
20000531,12.963,13.07,12.819,13.006,6535,0
20000601,12.755,13.068,12.755,13.068,469,0
20000602,13.198,13.413,12.997,13.413,5134,0
20000605,13.498,13.498,13.198,13.283,4205,0
20000606,13.284,13.389,12.884,13.068,4665,0
20000607,13.176,13.176,12.64,12.747,7933,0
20000608,12.854,12.854,12.597,12.597,7472,0
20000609,12.776,12.855,12.533,12.855,5134,0
20000613,12.83,12.854,12.64,12.64,6535,0
20000614,12.533,12.713,12.426,12.604,5602,0
20000615,12.47,12.47,11.677,11.953,34539,0
20000616,11.891,12.105,11.784,11.848,7933,0
20000619,12.147,12.236,12.05,12.103,14468,0
20000620,11.997,12.298,11.997,12.276,4669,0
20000621,12.062,12.909,12.02,12.898,20071,0
20000622,12.855,12.855,12.777,12.791,469,0
20000623,12.447,12.908,12.426,12.725,29874,0
20000626,12.887,13.017,12.745,12.855,13535,0
20000627,12.963,13.07,12.492,12.779,14468,0
20000628,12.748,12.919,12.692,12.857,6067,0
20000629,12.672,12.821,12.532,12.821,3268,0
20000630,12.641,12.641,12.512,12.512,4205,0
20000703,12.512,12.605,12.319,12.426,2803,0
20000704,12.426,12.534,12.148,12.426,12602,0
20000705,12.248,12.725,12.104,12.64,6535,0
20000706,12.533,12.82,12.345,12.795,23803,0
20000710,12.919,13.048,12.855,12.855,4205,0
20000711,12.854,12.854,12.747,12.747,14937,0
20000712,12.748,12.963,12.414,12.963,22870,0
20000714,12.855,13.07,12.63,12.855,30803,0
20000717,12.856,13.151,12.856,13.151,7000,0
20000718,12.897,12.897,12.745,12.745,9335,0
20000719,12.64,12.64,12.426,12.604,8402,0
20000720,12.425,12.597,12.211,12.434,12606,0
20000721,12.426,12.48,12.19,12.211,27075,0
20000724,12.201,12.212,11.995,12.095,9803,0
20000725,12.169,12.169,11.676,11.784,14004,0
20000726,11.785,11.977,11.785,11.955,4205,0
20000727,11.89,11.89,11.568,11.733,9803,0
20000728,11.569,11.569,11.108,11.14,16334,0
20000731,11.141,11.678,11.141,11.463,44807,0
20000801,11.628,11.698,11.57,11.688,7000,0
20000802,11.571,11.571,11.355,11.451,19606,0
20000803,11.462,12.401,11.323,12.401,80279,0
20000804,12.353,12.353,12.126,12.319,7000,0
20000807,12.254,12.533,12.211,12.211,9335,0
20000808,12.389,12.639,12.255,12.426,7468,0
20000809,12.019,12.019,11.151,11.784,34075,0
20000810,11.783,12.211,11.783,12.147,21468,0
20000811,12.254,12.447,12.211,12.372,22405,0
20000814,12.469,12.49,12.383,12.458,5602,0
20000815,12.492,12.62,12.427,12.534,4665,0
20000816,12.615,12.747,12.425,12.575,8874,0
20000817,12.726,13.188,12.641,13.166,43878,0
20000818,13.069,13.069,12.855,13.039,5134,0
20000821,12.852,12.852,12.647,12.647,3732,0
20000822,12.642,13.028,12.426,12.747,15405,0
20000823,12.639,12.854,12.532,12.821,7000,0
