Date,Open,High,Low,Close,Volume,OpenInt
20090414,0.36,0.4,0.32,0.32,300,0
20090416,0.32,0.4,0.32,0.36,400,0
20090420,0.38,0.39,0.2,0.38,360,0
20090421,0.38,0.39,0.38,0.38,50,0
20090423,0.38,0.4,0.38,0.4,2000,0
20090424,0.38,0.44,0.38,0.44,400,0
20090429,0.38,0.39,0.38,0.39,100,0
20090430,0.38,0.44,0.38,0.44,3000,0
20090504,0.41,0.43,0.38,0.43,2500,0
20090506,0.43,0.5,0.43,0.5,240,0
20090508,0.45,0.51,0.45,0.51,2000,0
20090514,0.43,0.53,0.43,0.43,400,0
20090515,0.44,0.53,0.44,0.5,5000,0
20090518,0.43,0.5,0.43,0.481,50,0
20090520,0.45,0.46,0.43,0.44,2250,0
20090522,0.43,0.43,0.43,0.43,10000,0
20090525,0.43,0.43,0.41,0.41,500,0
20090526,0.41,0.41,0.39,0.401,200,0
20090527,0.4,0.4,0.38,0.38,150,0
20090528,0.38,0.46,0.38,0.46,1000,0
20090529,0.38,0.43,0.38,0.43,500,0
20090602,0.42,0.46,0.42,0.45,900,0
20090604,0.42,0.42,0.42,0.42,300,0
20090608,0.42,0.5,0.42,0.5,4,0
20090609,0.42,0.57,0.42,0.52,10801,0
20090616,0.45,0.45,0.4,0.4,4161,0
20090617,0.4,0.49,0.4,0.49,2000,0
20090618,0.43,0.49,0.4,0.49,5000,0
20090624,0.45,0.5,0.4,0.44,500,0
20090625,0.44,0.5,0.4,0.45,100,0
20090629,0.44,0.6,0.4,0.6,2,0
20090701,0.44,0.44,0.39,0.39,20,0
20090702,0.46,0.8,0.4,0.8,10,0
20090706,0.46,0.461,0.4,0.461,100,0
20090708,0.46,0.52,0.4,0.52,1010,0
20090716,0.52,0.55,0.52,0.55,3190,0
20090717,0.55,0.55,0.55,0.55,2000,0
20090720,0.53,0.53,0.48,0.48,1000,0
20090727,0.49,0.49,0.41,0.41,2400,0
20090803,0.44,0.49,0.44,0.49,2000,0
20090810,0.44,0.48,0.44,0.48,244,0
20090811,0.48,0.48,0.44,0.48,244,0
20090812,0.44,0.47,0.44,0.47,200,0
20090813,0.44,0.44,0.44,0.44,100,0
20090814,0.44,0.44,0.38,0.4,9145,0
20090820,0.36,0.4,0.36,0.4,150,0
20090824,0.39,0.4,0.37,0.391,8736,0
20090825,0.39,0.45,0.37,0.45,1000,0
20090826,0.39,0.45,0.37,0.4,1050,0
20090901,0.39,0.45,0.37,0.45,30,0
20090904,0.39,0.391,0.37,0.391,330,0
20090909,0.39,0.39,0.37,0.39,2000,0
20090910,0.38,0.42,0.38,0.39,2000,0
20090911,0.39,0.4,0.39,0.39,264,0
20090914,0.39,0.48,0.39,0.48,2093,0
20090916,0.4,0.4,0.39,0.39,250,0
20090918,0.4,0.4,0.39,0.39,100,0
20090921,0.4,0.48,0.39,0.48,1000,0
20090925,0.35,0.4,0.35,0.4,5083,0
20090928,0.35,0.4,0.35,0.39,349,0
20091001,0.35,0.35,0.35,0.35,2350,0
20091002,0.33,0.38,0.33,0.33,2020,0
20091005,0.33,0.38,0.33,0.38,2480,0
20091007,0.35,0.35,0.34,0.35,130,0
20091008,0.34,0.43,0.34,0.43,5000,0
20091012,0.37,0.44,0.37,0.44,350,0
20091013,0.37,0.45,0.37,0.4,100,0
20091014,0.37,0.45,0.37,0.37,1640,0
20091015,0.37,0.37,0.37,0.37,200,0
20091019,0.37,0.371,0.37,0.371,122,0
20091020,0.37,0.37,0.37,0.37,2500,0
20091021,0.34,0.41,0.34,0.41,10000,0
20091026,0.43,0.431,0.43,0.431,105,0
20091029,0.43,0.51,0.43,0.51,75,0
20091030,0.43,0.51,0.43,0.46,3200,0
20091102,0.46,0.46,0.42,0.44,1250,0
20091105,0.48,0.5,0.42,0.42,3000,0
20091106,0.42,0.44,0.38,0.44,4110,0
20091109,0.36,0.44,0.35,0.36,4500,0
20091110,0.3,0.38,0.3,0.38,2500,0
20091111,0.36,0.44,0.36,0.44,5000,0
20091113,0.39,0.39,0.39,0.39,2500,0
20091116,0.39,0.46,0.39,0.46,11000,0
20091120,0.44,0.52,0.44,0.44,474,0
20091202,0.44,0.44,0.37,0.37,3895,0
20091203,0.37,0.37,0.36,0.36,1600,0
20091207,0.32,0.44,0.32,0.36,1,0
20091214,0.32,0.42,0.32,0.36,15200,0
20091217,0.36,0.44,0.36,0.44,2500,0
20091221,0.38,0.45,0.38,0.38,335,0
20091228,0.4,0.44,0.4,0.44,300,0
20091230,0.4,0.4,0.4,0.4,1437,0
20100113,0.32,0.4,0.32,0.36,220,0
20100114,0.32,0.38,0.301,0.301,5571,0
20100115,0.3,0.35,0.3,0.331,4450,0
20100118,0.33,0.36,0.3,0.36,890,0
20100119,0.33,0.35,0.33,0.33,1010,0
20100120,0.33,0.35,0.33,0.331,440,0
20100121,0.33,0.377,0.33,0.35,6717,0
20100122,0.33,0.38,0.33,0.35,8550,0
20100125,0.33,0.38,0.33,0.37,1500,0
20100127,0.34,0.379,0.33,0.379,300,0
20100128,0.34,0.38,0.34,0.35,100,0
20100129,0.34,0.379,0.34,0.379,200,0
20100202,0.31,0.39,0.31,0.39,2300,0
20100208,0.32,0.4,0.32,0.32,450,0
20100209,0.34,0.39,0.33,0.39,1300,0
20100211,0.32,0.34,0.25,0.321,230,0
20100212,0.32,0.34,0.32,0.321,750,0
20100215,0.32,0.34,0.32,0.321,100,0
20100219,0.33,0.33,0.33,0.33,200,0
20100223,0.33,0.33,0.33,0.33,270,0
20100224,0.33,0.33,0.33,0.33,100,0
20100308,0.37,0.37,0.36,0.37,150,0
20100309,0.37,0.371,0.37,0.371,1100,0
20100310,0.37,0.371,0.37,0.371,900,0
20100311,0.37,0.37,0.37,0.37,2600,0
20100312,0.37,0.39,0.33,0.37,1500,0
20100315,0.33,0.399,0.33,0.35,3200,0
20100316,0.34,0.39,0.32,0.38,400,0
20100317,0.32,0.39,0.32,0.38,1500,0
20100323,0.32,0.39,0.32,0.32,410,0
20100401,0.32,0.32,0.32,0.32,150,0
20100406,0.32,0.32,0.32,0.32,200,0
20100408,0.32,0.32,0.32,0.32,500,0
20100409,0.32,0.39,0.31,0.31,3750,0
20100413,0.32,0.39,0.32,0.34,6000,0
20100415,0.34,0.351,0.32,0.351,6100,0
20100423,0.35,0.4,0.35,0.399,1500,0
20100426,0.35,0.399,0.35,0.399,300,0
20100427,0.35,0.4,0.35,0.4,17160,0
20100428,0.4,0.4,0.4,0.4,1000,0
20100503,0.36,0.36,0.35,0.36,100,0
20100504,0.36,0.36,0.36,0.36,100,0
20100505,0.36,0.44,0.36,0.401,2180,0
20100510,0.38,0.38,0.35,0.38,2750,0
20100511,0.38,0.39,0.38,0.39,100,0
20100512,0.39,0.395,0.39,0.39,1700,0
20100517,0.39,0.43,0.35,0.41,3150,0
20100518,0.41,0.41,0.41,0.41,300,0
20100520,0.4,0.401,0.4,0.401,100,0
20100526,0.4,0.401,0.35,0.401,210,0
20100531,0.4,0.419,0.35,0.35,4,0
20100602,0.35,0.42,0.35,0.42,2000,0
20100604,0.38,0.42,0.38,0.42,10,0
20100610,0.38,0.45,0.38,0.44,9120,0
20100614,0.35,0.43,0.35,0.43,2000,0
20100616,0.43,0.43,0.425,0.43,7240,0
20100617,0.4,0.421,0.4,0.42,1400,0
20100628,0.39,0.43,0.39,0.43,5000,0
20100707,0.36,0.38,0.36,0.36,1000,0
20100714,0.36,0.43,0.36,0.43,400,0
20100715,0.36,0.43,0.36,0.43,3400,0
20100716,0.37,0.429,0.37,0.429,1150,0
20100722,0.36,0.43,0.36,0.36,150,0
20100723,0.36,0.43,0.35,0.361,713,0
20100726,0.36,0.38,0.36,0.38,3000,0
20100728,0.36,0.38,0.36,0.37,100,0
20100810,0.36,0.38,0.35,0.35,120,0
20100811,0.36,0.38,0.36,0.361,120,0
20100816,0.36,0.391,0.36,0.391,163,0
20100817,0.36,0.42,0.35,0.42,3000,0
20100820,0.4,0.42,0.4,0.42,800,0
20100826,0.4,0.47,0.4,0.47,1000,0
20100831,0.35,0.45,0.35,0.45,1500,0
20100901,0.4,0.46,0.4,0.4,185,0
20100903,0.4,0.46,0.38,0.4,100,0
20100909,0.4,0.47,0.24,0.421,210,0
20100910,0.42,0.46,0.42,0.421,250,0
20100914,0.42,0.46,0.42,0.421,150,0
20100915,0.42,0.46,0.24,0.421,198,0
20100917,0.42,0.46,0.42,0.46,1,0
20100920,0.42,0.46,0.42,0.42,525,0
20100921,0.42,0.421,0.42,0.421,100,0
20100922,0.42,0.46,0.42,0.421,160,0
20100923,0.42,0.46,0.42,0.42,3000,0
20100927,0.39,0.4,0.22,0.22,175,0
20100928,0.39,0.401,0.39,0.401,100,0
20100930,0.39,0.4,0.39,0.4,2250,0
20101001,0.39,0.391,0.39,0.391,110,0
20101004,0.39,0.4,0.39,0.4,4465,0
20101005,0.33,0.35,0.33,0.341,957,0
20101006,0.33,0.332,0.33,0.332,500,0
20101008,0.331,0.4,0.33,0.4,3400,0
20101013,0.37,0.389,0.36,0.389,2750,0
20101014,0.37,0.37,0.351,0.37,4858,0
20101020,0.35,0.35,0.35,0.35,140,0
20101025,0.35,0.4,0.35,0.35,10,0
20101026,0.35,0.43,0.35,0.35,2,0
20101028,0.35,0.351,0.35,0.351,160,0
20101029,0.35,0.351,0.35,0.351,100,0
20101102,0.35,0.39,0.35,0.39,3400,0
20101104,0.38,0.38,0.29,0.38,200,0
20101105,0.38,0.41,0.38,0.38,7950,0
20101111,0.35,0.351,0.35,0.351,30,0
20101112,0.35,0.351,0.35,0.351,580,0
20101115,0.35,0.44,0.34,0.391,3162,0
20101117,0.375,0.38,0.35,0.376,215,0
20101123,0.375,0.38,0.35,0.375,150,0
20101126,0.375,0.38,0.35,0.376,200,0
20101129,0.375,0.391,0.375,0.38,540,0
20101130,0.39,0.39,0.39,0.39,5500,0
20101201,0.37,0.43,0.37,0.43,6100,0
20101207,0.37,0.43,0.37,0.399,400,0
20101209,0.37,0.391,0.37,0.391,200,0
20101213,0.37,0.37,0.35,0.37,100,0
20101215,0.37,0.37,0.35,0.37,150,0
20101216,0.37,0.37,0.35,0.37,340,0
20101217,0.37,0.37,0.35,0.36,350,0
20101221,0.37,0.37,0.37,0.37,100,0
20101223,0.37,0.37,0.37,0.37,451,0
20101227,0.37,0.37,0.37,0.37,100,0
20101230,0.37,0.37,0.37,0.37,2900,0
20110105,0.31,0.36,0.31,0.34,8100,0
20110106,0.34,0.35,0.33,0.35,9000,0
20110110,0.35,0.4,0.35,0.35,600,0
20110111,0.35,0.42,0.35,0.42,150,0
20110112,0.35,0.48,0.35,0.4,6100,0
20110113,0.38,0.45,0.38,0.43,3600,0
20110114,0.35,0.35,0.34,0.34,400,0
20110117,0.35,0.37,0.331,0.35,11604,0
20110118,0.35,0.43,0.35,0.43,247,0
20110120,0.35,0.41,0.35,0.41,147,0
20110128,0.35,0.351,0.35,0.351,1500,0
20110203,0.35,0.51,0.35,0.51,21400,0
20110204,0.45,0.56,0.45,0.56,17100,0
20110207,0.5,0.56,0.5,0.5,200,0
20110208,0.5,0.58,0.5,0.56,2650,0
20110209,0.5,0.53,0.48,0.53,4560,0
20110210,0.5,0.5,0.47,0.47,250,0
20110214,0.45,0.53,0.45,0.45,1000,0
20110221,0.45,0.451,0.29,0.29,150,0
20110222,0.45,0.451,0.45,0.451,200,0
20110224,0.45,0.451,0.45,0.451,200,0
20110301,0.45,0.53,0.45,0.451,1150,0
20110307,0.45,0.451,0.45,0.451,300,0
20110309,0.45,0.5,0.45,0.5,4400,0
20110315,0.48,0.48,0.45,0.45,29050,0
20110318,0.4,0.44,0.4,0.44,75,0
20110321,0.45,0.451,0.44,0.451,800,0
20110322,0.45,0.45,0.29,0.29,80,0
20110323,0.45,0.451,0.45,0.451,15079,0
