Date,Open,High,Low,Close,Volume,OpenInt
20000724,8.6506,9.516,8.4967,8.9389,170938,0
20000725,8.8644,8.8644,7.653,8.2202,103700,0
20000726,7.8712,7.8712,7.4965,7.6887,73875,0
20000727,7.8299,7.878,7.4936,7.5705,17383,0
20000728,7.5012,7.5012,6.8376,7.0684,19861,0
20000731,7.0601,7.0601,6.5318,6.7239,42580,0
20000801,6.8246,7.8821,6.7286,7.7378,46504,0
20000802,7.5954,7.7876,7.2685,7.4031,33283,0
20000803,7.5012,7.5012,6.9242,7.0684,25164,0
20000804,7.3076,7.3076,7.0192,7.0192,10816,0
20000807,7.1598,7.1598,6.8715,6.8715,6660,0
20000808,6.9148,7.0107,6.6747,6.6747,31237,0
20000809,6.7264,6.9186,6.7264,6.8322,10198,0
20000810,6.8283,6.9628,6.6747,6.6747,22804,0
20000811,6.7731,6.8212,6.677,6.7731,1561,0
20000814,6.677,6.8692,6.677,6.7731,2811,0
20000815,6.8692,6.9172,6.7251,6.7731,4684,0
20000816,6.8187,6.8187,6.6747,6.6747,2291,0
20000817,6.7742,6.8223,6.6781,6.8223,7701,0
20000818,6.7239,6.82,6.7239,6.7239,2082,0
20000821,6.6278,6.7239,6.5318,6.7239,6246,0
20000822,6.538,6.7302,6.4898,6.586,8737,0
20000823,6.5825,6.5825,6.3422,6.4383,6868,0
20000824,6.3898,6.4283,6.2937,6.4187,8742,0
20000825,6.3409,6.3793,6.2448,6.3793,3539,0
20000828,6.3395,6.3395,5.7631,5.9265,33731,0
20000829,6.0129,6.0129,5.5327,5.5327,23840,0
20000830,5.5312,5.6177,5.3776,5.4735,24889,0
20000831,5.4246,5.5208,5.4246,5.4342,7693,0
20000901,5.4737,5.5122,4.9936,5.0896,25721,0
20000904,5.0955,5.3838,5.0955,5.3358,20283,0
20000905,5.2674,5.3826,5.2674,5.2865,937,0
20000906,5.3635,5.3826,5.2865,5.2865,19767,0
20000907,5.2861,5.3822,5.2669,5.2669,5098,0
20000908,5.2829,6.4836,5.2829,5.9265,156373,0
20000911,5.8721,6.391,5.8624,6.0642,53690,0
20000912,6.1985,6.2466,5.9295,6.0544,27366,0
20000914,5.993,6.3675,5.993,6.2907,36234,0
20000915,6.368,6.4353,6.1952,6.3104,16033,0
20000918,6.2176,6.5827,6.2176,6.4483,25494,0
20000919,6.3395,6.3586,6.1474,6.3202,46537,0
20000920,6.4418,6.4418,6.1725,6.1725,22361,0
20000921,6.1531,6.1531,5.7493,5.7493,12586,0
20000922,5.7978,5.7978,5.7689,5.7689,3641,0
20000925,5.8629,5.8629,5.6803,5.6803,6243,0
20000926,5.6789,5.7654,5.6212,5.6212,3538,0
20000927,5.6728,5.7689,5.5767,5.7689,937,0
20000928,5.6681,5.6873,5.572,5.572,6245,0
20000929,5.5228,5.5228,5.5228,5.5228,416,0
20001002,5.6047,5.9122,5.6047,5.7295,25381,0
20001004,5.8653,5.8653,5.6731,5.7788,22880,0
20001005,5.8592,6.2242,5.84,5.9265,24258,0
20001006,5.9086,6.0527,5.8606,5.9855,6037,0
20001009,6.0581,6.0581,5.76,5.7985,14351,0
20001010,5.7698,5.9045,5.7218,5.8083,3431,0
20001011,5.7185,5.7185,5.6705,5.6705,1665,0
20001012,5.5937,5.5937,5.2669,5.2669,16128,0
20001013,5.191,5.191,4.9026,4.9026,23613,0
20001016,4.9815,4.9913,4.8373,4.9913,520,0
20001017,4.9936,5.1856,4.9456,5.0896,15412,0
20001018,4.8042,4.9963,4.8042,4.8042,4579,0
20001019,4.9965,4.9965,4.814,4.814,2498,0
20001020,4.953,5.0973,4.9049,5.0011,5199,0
20001023,4.9502,4.9502,4.883,4.883,3122,0
20001025,4.9789,4.9789,4.873,4.873,10404,0
20001026,4.8037,4.871,4.7845,4.7845,3956,0
20001027,4.8522,4.8522,4.8042,4.8042,833,0
20001030,4.893,5.1238,4.8065,4.9026,24863,0
20001101,4.8335,4.8335,4.7661,4.8238,1144,0
20001102,4.7648,4.7648,4.7648,4.7648,520,0
20001103,4.8337,4.9009,4.8337,4.8337,8846,0
20001106,4.6575,4.8015,4.6575,4.6959,24368,0
20001107,4.6352,4.6352,4.5005,4.5679,4368,0
20001108,4.495,4.495,4.3124,4.3316,26029,0
20001109,4.3218,4.485,4.3026,4.3218,23844,0
20001110,4.3913,4.4202,4.353,4.4202,5308,0
20001113,4.3492,4.3492,4.2627,4.2627,1771,0
20001115,4.4309,4.4695,4.4309,4.4695,3745,0
20001116,4.4707,4.5187,4.3745,4.5187,12690,0
20001117,4.4479,4.5151,4.371,4.371,15926,0
20001120,4.3729,4.4498,4.3729,4.4498,520,0
20001121,4.4491,4.4491,4.3818,4.4202,7597,0
20001122,4.4249,4.4249,4.0882,4.2036,27341,0
20001123,4.1807,4.1807,4.0461,4.0461,9677,0
20001124,4.1276,4.1276,3.8396,3.8492,20627,0
20001127,3.9049,3.9049,3.6933,3.7607,18300,0
20001128,3.6054,3.7016,3.6054,3.7016,4473,0
20001129,3.7089,3.7089,3.6031,3.6031,8014,0
20001130,3.7018,3.7114,3.6057,3.7114,13416,0
20001201,3.746,3.746,3.5059,3.5539,21550,0
20001204,3.609,3.609,3.4554,3.4554,12085,0
20001205,3.4098,3.602,3.4098,3.5539,18635,0
20001206,3.5525,3.5525,3.1109,3.1109,32495,0
20001207,3.0811,3.1196,3.0715,3.0715,6772,0
20001208,3.1219,3.17,3.0739,3.17,8536,0
20001211,3.1744,3.463,3.1744,3.3668,36073,0
20001212,3.4075,3.4939,3.4075,3.4554,24066,0
20001213,3.416,3.4642,3.3199,3.416,14653,0
20001214,3.5042,3.6577,3.437,3.485,28853,0
20001215,3.4249,3.4825,3.3767,3.3767,17982,0
20001218,3.3668,3.3668,3.3668,3.3668,209,0
20001219,3.3655,3.4617,3.3078,3.3078,5096,0
20001220,3.3627,3.3627,2.7959,2.7959,40696,0
20001221,2.8744,2.884,2.7879,2.8648,9050,0
20001222,2.8629,2.8821,2.7091,2.7861,22172,0
20001227,2.7452,2.822,2.6876,2.6876,16982,0
20001228,2.6653,2.694,2.3092,2.5497,56747,0
20001229,2.4631,2.694,2.4054,2.5497,13199,0
20010102,2.5712,2.6671,2.5712,2.6384,21159,0
20010103,2.5967,2.5967,2.4043,2.5005,39928,0
20010104,2.7229,2.7229,2.5016,2.5497,38039,0
20010108,2.6394,2.7833,2.5434,2.6778,27298,0
20010109,2.6461,2.9829,2.6461,2.9829,20785,0
20010110,3.072,3.36,3.024,3.0912,34375,0
20010111,3.1746,3.8481,3.1746,3.8,50830,0
20010112,3.8463,4.2886,3.8463,4.1348,39103,0
20010115,4.2836,4.418,4.1683,4.3316,23219,0
20010116,4.2092,4.3631,4.0363,4.0363,12591,0
20010117,4.1768,4.6954,4.1768,4.6762,18642,0
20010118,4.6984,4.9002,4.5448,4.8042,21752,0
20010119,4.9016,5.2861,4.9016,5.2669,21746,0
20010122,5.1881,5.3322,5.092,5.1881,21129,0
20010123,5.2361,5.2842,5.0824,5.1881,2811,0
20010124,5.2835,5.2835,4.8991,5.1586,7182,0
20010125,4.9744,5.0896,4.8976,5.0896,5102,0
20010126,5.0943,5.2865,5.0943,5.2865,5827,0
20010129,5.2863,5.2863,5.0941,5.2767,5827,0
20010130,5.1879,5.2359,5.1783,5.1783,1458,0
20010131,5.2361,5.2842,5.1881,5.1881,1873,0
20010201,5.0174,5.3826,5.0174,5.2865,22681,0
20010202,5.2865,5.2865,5.2865,5.2865,2289,0
20010205,5.2847,5.2847,5.2078,5.2078,3955,0
20010206,5.1905,5.2865,5.1616,5.2865,5202,0
20010207,5.0924,5.0924,4.7561,4.8042,10616,0
20010208,4.8613,4.8613,4.6884,4.7845,10825,0
20010209,4.7943,4.7943,4.7943,4.7943,3227,0
20010212,4.6648,4.6648,4.5974,4.5974,4471,0
20010213,4.5679,4.7026,4.5679,4.5679,28285,0
20010214,4.566,4.566,4.4218,4.4891,16436,0
20010216,4.0377,4.0954,4.0377,4.0954,8529,0
20010219,4.0326,4.0326,3.8886,3.8886,6249,0
20010220,3.9387,4.371,3.8907,4.371,22173,0
20010221,4.3685,4.3685,4.1766,4.2725,4791,0
20010222,4.1334,4.1334,4.0757,4.0757,2497,0
20010223,4.184,4.184,4.184,4.184,3951,0
20010226,4.1748,4.2036,4.1748,4.2036,415,0
20010227,4.185,4.2813,4.1273,4.2331,5821,0
20010228,4.1336,4.1816,4.0855,4.0855,10507,0
20010301,4.0829,4.0829,3.9772,3.9772,4788,0
20010302,3.9366,3.9366,3.8886,3.8886,5103,0
20010305,3.9378,3.9378,3.9378,3.9378,105,0
20010306,4.0363,4.0363,4.0363,4.0363,833,0
20010308,4.1348,4.1348,4.1348,4.1348,1041,0
20010309,4.279,4.279,4.1348,4.1348,312,0
20010312,4.327,4.327,4.1348,4.1348,2080,0
20010313,4.274,4.322,3.9378,3.9378,9370,0
20010315,3.9378,3.9378,3.9378,3.9378,4894,0
20010319,3.9378,3.9378,3.9378,3.9378,833,0
20010320,3.9859,3.9954,3.9378,3.9378,1874,0
20010321,3.8423,3.9575,3.8423,3.9575,209,0
20010322,3.939,3.9871,3.939,3.9871,1561,0
20010323,3.9883,4.0363,3.9883,4.0363,5723,0
20010326,4.0363,4.0555,3.9402,4.0363,1353,0
20010327,3.9378,3.9378,3.9378,3.9378,521,0
20010328,3.8874,3.8874,3.8394,3.8394,5625,0
20010329,3.8073,3.8073,3.7016,3.7016,3536,0
20010330,3.7008,4.0757,3.6528,4.0757,10611,0
20010402,3.8898,3.9378,3.8898,3.9378,5518,0
20010403,3.8778,3.8778,3.8394,3.8394,3855,0
20010404,3.7916,3.8492,3.7916,3.8492,1145,0
20010405,3.7472,3.9969,3.7472,3.9969,5309,0
20010406,3.9392,3.9969,3.8817,3.9969,5413,0
20010409,4.0074,4.0363,4.0074,4.0363,1665,0
20010410,3.9497,4.0363,3.9497,4.0363,5099,0
20010411,4.0104,4.1642,4.0104,4.1642,4367,0
20010412,4.1348,4.1348,4.1348,4.1348,1664,0
20010418,4.1324,4.2285,4.0363,4.0363,2810,0
20010419,4.0843,4.0843,4.0363,4.0363,520,0
20010420,3.9871,3.9871,3.9871,3.9871,104,0
20010423,3.8886,3.9559,3.8886,3.8886,2292,0
20010424,3.9587,4.0067,3.9587,4.0067,3434,0
20010425,3.8969,3.8969,3.8394,3.8394,1250,0
20010427,3.8423,3.9575,3.8423,3.9575,4268,0
20010430,3.939,3.9871,3.891,3.9871,1770,0
20010502,3.9905,4.1348,3.9905,4.1348,1456,0
20010503,4.1369,4.2331,4.0407,4.2331,1559,0
20010504,4.2813,4.3294,4.0407,4.2331,17254,0
20010508,4.0817,4.3218,4.0817,4.3218,2291,0
20010509,4.3241,4.4202,4.3241,4.4202,7284,0
20010510,4.5207,4.5687,4.1359,4.184,15803,0
20010511,4.7391,5.191,4.7391,4.9026,67201,0
20010514,5.1462,5.1462,4.6172,4.6172,26406,0
20010515,4.6149,4.7975,4.5187,4.5187,4160,0
20010516,4.7453,4.7549,4.5628,4.7549,8536,0
20010517,4.6588,4.7549,4.6588,4.7549,3228,0
20010518,4.7072,4.7648,4.7072,4.7648,625,0
20010521,4.7909,4.8005,4.6565,4.6565,6353,0
20010522,4.7093,4.8534,4.6708,4.8534,3746,0
20010523,4.8018,4.9938,4.7057,4.7057,1562,0
