Date,Open,High,Low,Close,Volume,OpenInt
20061206,25.715,25.715,25.715,25.715,0,0
20061207,25.715,26.136,25.715,25.758,252801,0
20061208,25.826,26.563,25.628,25.955,222270,0
20061211,25.836,26.53,25.758,26.435,34430,0
20061212,26.401,28.44,26.143,27.635,58366,0
20061213,28.38,28.955,27.643,28.054,26346,0
20061214,28.287,28.715,27.78,27.848,19664,0
20061215,27.78,28.287,26.572,27.499,11604,0
20061218,27.815,27.815,26.143,26.967,19883,0
20061219,26.581,27.172,25.715,26.246,4607,0
20061220,26.152,27.431,26.152,26.581,4052,0
20061221,26.563,27.257,26.228,26.572,11252,0
20061222,26.572,27.035,26.383,26.581,6198,0
20061227,27.001,27.001,26.152,26.572,2992,0
20061228,26.152,27.232,25.707,26.495,16235,0
20061229,26.152,27.431,26.143,26.623,15257,0
20070102,26.228,27.001,26.228,26.752,6219,0
20070103,27.001,27.257,26.324,26.668,6002,0
20070104,27.001,27.001,26.572,26.581,3925,0
20070105,26.572,26.914,26.486,26.668,11275,0
20070108,26.572,26.957,26.228,26.486,4760,0
20070109,26.367,26.991,25.886,26.067,3698,0
20070110,26.228,26.649,25.946,26.195,2812,0
20070111,26.143,26.572,25.5,26.152,8150,0
20070112,26.357,26.581,24.952,26.581,3741,0
20070115,25.869,26.307,25.766,25.938,3079,0
20070116,25.973,26.572,25.766,26.032,4878,0
20070117,26.058,26.735,25.817,26.289,3151,0
20070118,26.614,27.12,26.289,26.409,12250,0
20070119,25.886,26.538,25.723,26.452,2240,0
20070122,25.758,27.421,25.715,26.589,11157,0
20070123,26.923,27.73,26.589,27.224,8749,0
20070124,27.215,29.315,27.13,27.866,17758,0
20070125,28.963,28.963,27.431,27.866,15241,0
20070126,28.784,28.793,27.875,27.875,34001,0
20070129,28.603,28.758,27.686,28.552,8410,0
20070130,28.715,28.715,27.686,28.63,1883,0
20070131,28.459,28.885,27.944,28.715,5263,0
20070201,28.715,29.571,28.502,29.1,15348,0
20070202,28.715,28.885,27.695,28.578,3696,0
20070205,28.543,29.135,28.08,28.33,711,0
20070206,28.33,28.363,27.431,28.038,974,0
20070207,28.038,28.287,27.232,27.617,92,0
20070208,28.287,28.295,27.266,28.038,97,0
20070209,28.372,28.372,27.317,27.79,1923,0
20070212,28.038,28.372,27.3,28.038,1437,0
20070213,28.244,28.287,27.224,28.038,767,0
20070214,28.038,28.116,27.224,27.79,43,0
20070215,28.038,28.038,27.224,27.643,242,0
20070216,28.03,28.03,27.386,27.858,2997,0
20070219,27.978,28.072,27.215,28.072,1803,0
20070220,28.03,28.03,27.308,27.377,2201,0
20070221,27.431,28.287,27.215,27.514,3474,0
20070222,27.514,28.046,26.143,26.504,14344,0
20070223,27.677,27.677,25.715,26.374,15315,0
20070226,26.136,26.444,24.789,26.212,13521,0
20070227,26.53,26.53,24.464,24.669,19064,0
20070228,24.754,26.572,23.743,26.118,7289,0
20070301,25.286,26.143,24.258,24.258,11046,0
20070302,24.13,25.073,23.616,24.429,11518,0
20070305,24.533,24.533,22.715,23.435,6314,0
20070306,24,24.447,23.315,24.172,9660,0
20070307,24.61,24.61,23.829,24.344,6868,0
20070308,24.258,24.344,22.748,23.176,12701,0
