Date,Open,High,Low,Close,Volume,OpenInt
20121030,4.0125,4.2109,4.0125,4.1873,63228443,0
20121031,4.1964,4.2616,4.1393,4.2408,16874810,0
20121101,4.2824,4.2824,4.1982,4.2362,7271427,0
20121102,4.2534,4.267,4.1828,4.2435,6659704,0
20121105,4.2453,4.2824,4.21,4.2679,5848686,0
20121106,4.2824,4.2824,4.1403,4.2072,7507360,0
20121107,4.1973,4.2752,4.1765,4.2235,3051811,0
20121108,4.2272,4.2399,4.1891,4.2326,4307311,0
20121109,4.229,4.2616,4.1891,4.2072,2196963,0
20121112,4.2181,4.2181,4.1548,4.2072,2297958,0
20121113,4.1982,4.2036,4.1484,4.1792,1862616,0
20121114,4.1855,4.1855,4.0832,4.1212,1860265,0
20121115,4.1393,4.1429,4.0478,4.1121,2516228,0
20121116,4.1121,4.153,4.0252,4.0515,3436487,0
20121119,4.0515,4.1022,3.8559,3.9256,2756748,0
20121120,3.9528,3.9962,3.9039,3.9565,2615061,0
20121121,3.9356,4.1502,3.922,4.076,1841625,0
20121122,4.0768,4.104,4.0089,4.0252,1401688,0
20121123,4.0081,4.0452,4.0035,4.018,617209,0
20121126,4.018,4.1466,3.9773,4.0623,1265557,0
20121127,4.075,4.104,4.0035,4.046,607109,0
20121128,4.046,4.0742,3.9835,4.0415,1415416,0
20121129,4.028,4.1176,3.9944,4.0905,1226228,0
20121130,4.0623,4.1068,4.046,4.0869,732110,0
20121203,4.0968,4.2118,4.075,4.1548,1701625,0
20121204,4.1357,4.1891,4.104,4.1212,1057672,0
20121205,4.1004,4.153,4.0968,4.1248,1597151,0
20121206,4.1104,4.1393,4.0823,4.1004,1220209,0
20121207,4.0823,4.1538,4.0642,4.0895,1347012,0
20121210,4.1538,4.1891,4.0895,4.1584,1958156,0
20121211,4.1176,4.2498,4.1176,4.1828,1898914,0
20121212,4.2254,4.2254,4.1538,4.2109,1444739,0
20121213,4.1756,4.2235,4.1538,4.1828,1224329,0
20121214,4.1828,4.2163,4.1719,4.2036,636971,0
20121217,4.2036,4.2064,4.0742,4.0742,991688,0
20121218,4.066,4.1185,4.0107,4.0895,1737508,0
20121219,4.1357,4.1393,4.0642,4.1032,845885,0
20121220,4.0732,4.1176,4.0678,4.1077,1697149,0
20121221,4.095,4.1801,4.0605,4.1466,1393164,0
20121227,4.1683,4.2245,4.0832,4.1095,453450,0
20121228,4.1095,4.1828,4.0678,4.1348,509001,0
20130102,4.1891,4.1937,4.0823,4.104,1099540,0
20130103,4.0651,4.1991,4.0651,4.1448,858960,0
20130104,4.1176,4.1891,4.1068,4.1891,776955,0
20130107,4.1828,4.1828,4.0968,4.1004,1126833,0
20130108,4.1176,4.1393,4.0252,4.1004,980033,0
20130109,4.104,4.1891,4.0642,4.1792,987895,0
20130110,4.1891,4.2399,4.1357,4.2072,2075798,0
20130111,4.2109,4.2399,4.1665,4.2217,451334,0
20130114,4.2372,4.2372,4.1891,4.2272,538934,0
20130115,4.1783,4.2354,4.1312,4.2344,892632,0
20130116,4.209,4.2344,4.1828,4.2263,679436,0
20130117,4.2399,4.2969,4.1783,4.2752,423375,0
20130118,4.2616,4.3332,4.21,4.2326,557965,0
20130121,4.2326,4.2987,4.2254,4.2534,281326,0
20130122,4.239,4.2969,4.1891,4.2707,794231,0
20130123,4.2824,4.3042,4.2145,4.2507,492177,0
20130124,4.229,4.2969,4.229,4.2408,491586,0
20130125,4.2507,4.2733,4.2254,4.2733,682909,0
20130128,4.2507,4.2779,4.2254,4.2689,316337,0
20130129,4.2362,4.3023,4.2362,4.2969,500813,0
20130130,4.2743,4.4762,4.2616,4.4545,1813545,0
20130131,4.44,4.5758,4.4001,4.5206,2009751,0
20130201,4.5188,4.6483,4.498,4.6121,1174899,0
20130204,4.6048,4.6619,4.526,4.5333,1032901,0
20130205,4.5695,4.5695,4.2933,4.3114,3265830,0
20130206,4.3177,4.3177,4.1837,4.2426,2450596,0
20130207,4.2336,4.2951,4.2028,4.2752,1314319,0
20130208,4.2362,4.3313,4.2362,4.2942,906315,0
20130211,4.2761,4.3141,4.1891,4.2326,1006239,0
20130212,4.2254,4.2824,4.2,4.2399,478398,0
20130213,4.2679,4.2897,4.1901,4.2254,729117,0
20130214,4.2199,4.2489,4.1828,4.2254,673433,0
20130215,4.209,4.2471,4.1538,4.1982,617968,0
20130218,4.1964,4.2181,4.0977,4.1203,1318679,0
20130219,4.1348,4.1502,4.0389,4.066,1119626,0
20130220,4.0796,4.1502,4.0497,4.075,669295,0
20130221,4.0714,4.0796,4.0035,4.0389,391192,0
20130222,4.0216,4.1448,4.0216,4.1448,397934,0
20130225,4.1611,4.2191,4.1176,4.1855,585699,0
20130226,4.1738,4.1738,4.0605,4.1321,885691,0
20130227,4.1502,4.2399,3.9112,4.0524,3261993,0
20130228,4.0343,4.0968,3.922,4.028,1953684,0
20130301,4.0968,4.0968,3.922,3.9691,1182498,0
20130304,4.0533,4.0533,3.9283,4.0044,1378031,0
20130305,3.9745,4.1393,3.9573,4.1176,1824864,0
20130306,4.085,4.2145,4.0524,4.1828,1807211,0
20130307,4.1611,4.2254,4.0823,4.1756,2143011,0
20130308,4.1774,4.2181,4.1095,4.1991,948726,0
20130311,4.1927,4.2652,4.1891,4.1891,1707054,0
20130312,4.1719,4.3259,4.1647,4.2888,1231125,0
20130313,4.2707,4.3874,4.2444,4.2616,1948672,0
20130314,4.2643,4.497,4.2588,4.4617,2517162,0
20130315,4.4291,4.4799,4.3404,4.4563,5554396,0
20130318,4.4255,4.44,4.2616,4.2942,1413587,0
20130319,4.3332,4.4319,4.2616,4.2779,961556,0
20130320,4.2915,4.4019,4.2652,4.3748,647545,0
20130321,4.3404,4.3684,4.2534,4.3241,1251575,0
20130322,4.3404,4.4001,4.2897,4.3277,865794,0
20130325,4.3404,4.5043,4.3404,4.3884,1107293,0
20130326,4.4101,4.4599,4.3187,4.3449,982444,0
20130327,4.3404,4.3404,4.1538,4.2036,1588308,0
20130328,4.1964,4.3187,4.1611,4.3187,1531643,0
20130402,4.3332,4.4482,4.2733,4.4065,1278996,0
20130403,4.4273,4.5333,4.392,4.4835,1504200,0
20130404,4.4916,4.5115,4.3223,4.3322,1452794,0
20130405,4.363,4.4037,4.2824,4.3539,1072759,0
20130408,4.3739,4.4074,4.3467,4.3856,793542,0
20130409,4.3956,4.4446,4.3531,4.4047,1044743,0
20130410,4.4047,4.4617,4.3974,4.4201,1169084,0
20130411,4.4273,4.5297,4.4119,4.5043,2076318,0
20130412,4.5089,4.5423,4.4835,4.498,1178693,0
20130415,4.4944,4.5831,4.4762,4.5278,1282208,0
20130416,4.5333,4.5333,4.4617,4.488,1807070,0
20130417,4.5224,4.5568,4.4545,4.4898,1867833,0
20130418,4.4762,4.5613,4.4563,4.5224,1443454,0
20130419,4.498,4.5523,4.44,4.4944,701605,0
20130422,4.4871,4.5732,4.4635,4.5043,2126152,0
20130423,4.4871,4.4871,4.3231,4.3757,2618323,0
20130424,4.3902,4.4364,4.3404,4.3947,1647420,0
20130425,4.3902,4.4807,4.2824,4.4164,2839010,0
20130426,4.3902,4.4255,4.2471,4.3096,1256175,0
20130429,4.3259,4.4472,4.2987,4.3684,1422426,0
20130430,4.3902,4.4291,4.3005,4.3259,1936554,0
20130502,4.3539,4.3974,4.229,4.3259,2697420,0
20130503,4.335,4.4735,4.2254,4.4047,4707839,0
20130506,4.4545,4.4762,4.3757,4.4527,1511623,0
20130507,4.4047,4.4482,4.3956,4.4255,2344279,0
20130508,4.2254,4.2969,4.0823,4.2064,3618880,0
20130509,4.1538,4.2036,4.0551,4.1104,1549294,0
20130510,4.0823,4.1222,4.0642,4.0895,2579047,0
20130513,4.1321,4.1321,3.9754,4.0189,2320723,0
20130514,4.046,4.0887,3.9962,4.0605,1437299,0
20130515,4.046,4.1321,4.0353,4.1104,2999890,0
20130516,4.1321,4.1756,4.0895,4.1248,3652898,0
20130517,4.1393,4.1393,4.046,4.046,4146741,0
