Date,Open,High,Low,Close,Volume,OpenInt
20090406,38.415,40.171,38.022,38.303,2660,0
20090407,38.723,39.05,36.434,36.901,8525,0
20090408,37.808,37.808,36.901,37.518,107,0
20090414,37.369,37.518,36.528,36.901,1314,0
20090415,36.817,37.369,36.817,37.145,222,0
20090416,36.901,37.845,36.901,37.331,545,0
20090420,36.901,36.911,36.901,36.911,140,0
20090421,36.901,36.911,36.901,36.911,274,0
20090422,36.901,37.369,36.901,37.369,1534,0
20090424,36.901,37.191,36.901,37.191,248,0
20090427,37.089,37.369,36.995,37.191,1170,0
20090428,36.995,37.369,36.92,36.92,1791,0
20090429,37.061,37.369,36.715,37.275,4799,0
20090430,36.855,37.369,36.621,36.621,4443,0
20090505,36.855,37.378,35.977,37.285,7921,0
20090506,36.855,37.369,36.398,37.369,1087,0
20090507,36.855,36.855,35.986,36.724,1129,0
20090508,36.686,37.369,36.668,36.817,612,0
20090512,36.715,38.032,36.715,37.061,56,0
20090513,36.743,37.089,36.621,36.78,798,0
20090514,36.78,37.322,36.715,37.181,1847,0
20090515,36.715,37.369,36.715,37.369,4581,0
20090518,36.715,37.369,36.715,37.369,2790,0
20090519,36.715,37.462,36.444,37.369,39229,0
20090520,37.331,37.369,35.967,37.369,15942,0
20090521,36.528,37.369,36.528,36.995,536,0
20090522,36.696,37.369,36.696,37.369,7415,0
20090525,37.369,38.303,36.864,37.415,1355,0
20090526,37.649,38.172,37.191,37.369,183,0
20090527,38.172,38.172,36.434,37.481,1308,0
20090528,37.481,37.481,36.248,36.454,632,0
20090529,36.454,36.808,36.164,36.444,812,0
20090601,36.444,36.444,35.967,35.986,536,0
20090602,36.434,36.434,35.407,35.407,1659,0
20090603,36.434,36.434,32.698,32.698,2717,0
20090604,36.061,36.061,31.306,32.464,3505,0
20090605,32.053,33.913,31.894,33.164,5237,0
20090608,33.352,33.482,32.66,32.707,666,0
20090609,32.866,32.866,32.147,32.147,583,0
20090611,32.323,32.576,31.857,32.417,197,0
20090612,32.576,32.698,31.773,32.698,113,0
20090615,32.323,32.323,29.428,29.895,3048,0
20090616,30.035,31.735,28.961,29.334,2421,0
20090617,30.082,30.082,28.494,29.428,1215,0
20090618,29.521,29.521,27.111,28.026,2471,0
20090619,28.092,28.494,27.746,28.494,3274,0
20090622,27.092,28.4,27.092,28.26,492,0
20090623,28.194,28.194,27.195,27.289,538,0
