Date,Open,High,Low,Close,Volume,OpenInt
20000925,10.771,10.899,9.4412,10.899,91000,0
20000926,11.07,11.07,9.783,9.989,26102,0
20000927,9.999,9.999,8.7541,9.0974,27848,0
20000928,9.0965,9.526,8.4958,9.2683,29714,0
20000929,9.4393,9.525,9.2674,9.3538,5710,0
20001002,9.3557,9.3557,8.712,8.9266,8621,0
20001004,8.5876,8.6306,7.9864,8.1582,12693,0
20001005,7.8935,7.9792,7.7218,7.7218,31586,0
20001006,7.7284,8.5871,7.7284,8.2436,13858,0
20001009,8.4169,8.5458,7.8157,7.9875,14904,0
20001010,7.9792,8.065,7.4645,7.7218,32518,0
20001011,7.5796,7.6739,7.3821,7.5796,12932,0
20001012,7.4723,7.498,7.1287,7.1716,18978,0
20001013,6.9544,6.9544,6.6538,6.7827,10250,0
20001016,6.8949,6.9549,6.6974,6.6974,9201,0
20001017,6.8696,6.8696,6.5261,6.612,8036,0
20001018,6.6846,6.6846,6.2041,6.2041,13052,0
20001019,6.1384,7.2115,6.1384,6.868,25393,0
20001020,6.869,6.9549,6.6543,6.6974,6522,0
20001023,6.8262,6.869,6.6974,6.6974,5940,0
20001025,6.611,6.8685,6.4564,6.7827,7338,0
20001026,6.8711,7.7299,6.8711,7.1716,43196,0
20001027,7.2848,7.2848,6.6242,6.6499,11888,0
20001030,6.8609,6.8695,6.6977,6.7922,13974,0
20001101,6.6499,6.7787,6.6499,6.6499,1399,0
20001102,6.5208,6.7782,6.5208,6.7352,4429,0
20001103,6.6656,6.7944,6.2704,6.2704,3609,0
20001106,6.2641,6.3843,6.1783,6.2041,5828,0
20001107,6.1935,6.1935,5.9191,6.0048,2681,0
20001108,6.0041,6.1756,6.0041,6.1756,2449,0
20001109,6.287,6.287,6.1756,6.1756,466,0
20001110,6.0552,6.0552,5.4033,5.6348,14342,0
20001113,5.4962,5.9599,5.4962,5.5305,36099,0
20001115,5.5274,5.5789,5.4072,5.4072,7340,0
20001116,5.2364,5.2364,5.2364,5.2364,117,0
20001117,5.3177,5.3177,5.189,5.189,1749,0
20001120,5.1546,5.4123,4.6821,4.7336,32825,0
20001121,4.8615,5.0847,4.8615,4.9044,1630,0
20001122,4.9925,5.0183,4.9925,5.0183,3731,0
20001123,5.0377,5.0377,4.7631,4.9518,7574,0
20001124,4.7631,4.9776,4.7631,4.9518,21673,0
20001127,5.0824,5.1682,4.9794,5.1511,3029,0
20001128,5.2558,5.3503,5.1528,5.3503,1630,0
20001129,5.1533,5.2649,5.1533,5.2649,466,0
20001130,5.0695,5.0695,4.468,4.468,17458,0
20001201,4.554,4.64,4.468,4.468,5470,0
20001204,4.554,4.554,4.3907,4.468,1280,0
20001206,4.554,4.64,4.468,4.468,9543,0
20001207,4.3787,4.4646,4.2499,4.2499,3610,0
20001208,4.2875,4.4932,4.2875,4.3731,19009,0
20001211,4.2957,4.5534,4.2957,4.5534,12338,0
