Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.442,0.65,0.442,0.55,3050,0
20090414,0.44,0.6,0.44,0.5,16320,0
20090415,0.5,0.55,0.5,0.53,3188,0
20090416,0.502,0.54,0.5,0.54,76,0
20090417,0.502,0.54,0.5,0.54,990,0
20090420,0.5,0.54,0.5,0.54,450,0
20090424,0.5,0.601,0.5,0.601,6533,0
20090507,0.601,0.72,0.6,0.72,9000,0
20090508,0.61,0.72,0.6,0.64,10,0
20090511,0.6,0.651,0.6,0.64,3050,0
20090514,0.6,0.65,0.6,0.625,300,0
20090515,0.61,0.639,0.6,0.625,646,0
20090518,0.61,0.65,0.61,0.65,4000,0
20090520,0.61,0.65,0.61,0.63,1430,0
20090522,0.611,0.611,0.61,0.61,18,0
20090526,0.61,0.611,0.61,0.611,18,0
20090529,0.613,0.665,0.61,0.665,5000,0
20090602,0.63,0.7,0.625,0.7,695,0
20090605,0.63,0.7,0.625,0.625,3500,0
20090608,0.621,0.65,0.61,0.63,100,0
20090609,0.613,0.7,0.6,0.65,500,0
20090610,0.604,0.74,0.6,0.64,81,0
20090619,0.6,0.64,0.6,0.64,1500,0
20090624,0.602,0.63,0.6,0.6,1449,0
20090626,0.6,0.69,0.6,0.6,165,0
20090708,0.56,0.75,0.56,0.65,11000,0
20090709,0.57,0.75,0.561,0.75,14000,0
20090713,0.743,0.75,0.561,0.75,10000,0
20090714,0.752,0.8,0.561,0.701,2510,0
20090715,0.756,0.89,0.67,0.7,22000,0
20090717,0.753,0.89,0.67,0.89,800,0
20090721,0.753,0.885,0.67,0.885,120,0
20090728,0.754,0.85,0.67,0.78,7220,0
20090804,0.78,0.85,0.67,0.8,5000,0
20090810,0.84,0.84,0.84,0.84,5000,0
20090811,0.803,0.849,0.77,0.8,2721,0
20090814,1,1,0.71,0.79,2600,0
20090817,0.714,0.8,0.714,0.799,434,0
20090818,0.79,0.79,0.78,0.78,2000,0
20090824,0.72,0.79,0.71,0.71,500,0
20090825,0.68,0.77,0.68,0.69,165,0
20090908,0.611,0.69,0.61,0.61,1001,0
20090909,0.564,0.645,0.564,0.645,1700,0
20090910,0.61,0.645,0.605,0.63,100,0
20090911,0.55,0.63,0.55,0.63,1800,0
20090914,0.595,0.63,0.595,0.6,660,0
20090917,0.611,0.611,0.6,0.6,500,0
20090918,0.601,0.61,0.59,0.6,465,0
20090921,0.59,0.689,0.57,0.689,3700,0
20090922,0.613,0.69,0.613,0.689,8000,0
20090923,0.61,0.69,0.61,0.69,3000,0
20090929,0.7,0.8,0.62,0.62,3,0
20090930,0.62,0.8,0.61,0.61,330,0
20091001,0.62,0.65,0.52,0.571,2497,0
20091008,0.56,0.68,0.55,0.68,1500,0
20091009,0.55,0.7,0.55,0.603,839,0
20091013,0.6,0.68,0.6,0.68,1500,0
20091016,0.602,0.61,0.6,0.61,300,0
20091019,0.561,0.62,0.56,0.58,330,0
20091020,0.65,0.65,0.56,0.62,800,0
20091021,0.56,0.7,0.56,0.7,100,0
20091103,0.473,0.6,0.44,0.443,5000,0
20091106,0.381,0.78,0.381,0.78,30000,0
20091109,0.75,0.98,0.5,0.98,2300,0
20091111,0.75,0.75,0.5,0.75,854,0
20091112,0.75,0.75,0.5,0.75,10146,0
20091113,0.7,0.75,0.5,0.75,729,0
20091116,0.65,0.7,0.6,0.7,114,0
20091124,0.661,0.76,0.66,0.7,165,0
20091125,0.71,0.9,0.71,0.9,1000,0
20091127,0.71,0.84,0.71,0.84,3300,0
20091130,0.77,0.84,0.71,0.84,100,0
20091201,0.77,0.77,0.5,0.59,330,0
20091202,0.66,0.9,0.6,0.9,830,0
20091207,0.7,0.75,0.67,0.75,1,0
20091208,0.7,0.71,0.67,0.69,100,0
20091211,0.7,0.71,0.66,0.671,625,0
20091214,0.7,0.71,0.67,0.7,6864,0
20091218,0.683,0.71,0.683,0.701,1000,0
20091221,0.701,0.711,0.7,0.711,660,0
20091222,0.711,0.711,0.7,0.701,213,0
20091223,0.703,0.78,0.7,0.78,1500,0
20091228,0.72,0.72,0.7,0.701,330,0
20091229,0.702,0.77,0.7,0.77,3000,0
20100107,0.66,0.71,0.66,0.66,660,0
20100108,0.663,0.8,0.66,0.8,165,0
20100111,0.665,0.71,0.66,0.67,2060,0
20100113,0.601,0.71,0.601,0.63,60,0
20100118,0.623,0.83,0.623,0.82,5632,0
20100119,0.72,0.75,0.65,0.66,21000,0
20100122,0.65,0.67,0.64,0.64,18900,0
20100125,0.65,0.75,0.64,0.75,10033,0
20100201,0.64,0.718,0.64,0.718,250,0
20100202,0.64,0.7,0.64,0.649,1500,0
20100203,0.641,0.65,0.64,0.64,12000,0
20100205,0.6,0.65,0.59,0.59,1990,0
20100208,0.61,0.65,0.57,0.649,712,0
20100215,0.572,0.6,0.52,0.52,132,0
20100219,0.52,0.62,0.52,0.62,23310,0
20100301,0.49,0.6,0.47,0.59,181,0
20100305,0.493,0.749,0.49,0.719,1450,0
20100308,0.492,0.9,0.492,0.9,9950,0
20100309,0.9,0.9,0.79,0.9,3800,0
20100310,0.85,0.851,0.85,0.85,8465,0
20100319,0.811,0.86,0.811,0.86,500,0
20100322,0.88,0.881,0.87,0.881,825,0
20100323,0.86,1.2,0.86,1.2,9787,0
20100325,1.27,1.27,1.2,1.2,19035,0
20100326,0.882,1.2,0.882,1.15,26754,0
20100329,0.905,1.2,0.901,0.901,1248,0
20100330,0.908,1.2,0.908,0.911,548,0
20100331,1.15,1.15,0.93,0.95,5813,0
20100406,0.926,1.15,0.92,1,11100,0
20100407,0.922,1.15,0.92,0.92,2398,0
20100408,0.926,1.15,0.926,1.1,5581,0
20100412,0.941,1.149,0.93,1.149,2020,0
20100415,1.002,1.002,0.97,1.001,10,0
20100421,0.955,1,0.95,0.952,84,0
20100422,0.996,1.389,0.95,1.02,2300,0
20100426,1.039,1.338,1,1.031,594,0
20100427,1.048,1.135,1.048,1.135,800,0
20100428,1.108,1.279,1.1,1.268,2805,0
20100429,1.193,1.193,1.03,1.03,3566,0
20100430,1.049,1.13,0.9,0.95,32300,0
20100503,0.981,1.05,0.951,0.951,11700,0
20100505,0.95,1.02,0.901,0.901,6065,0
20100506,0.91,0.97,0.899,0.899,12410,0
20100507,0.837,0.92,0.8,0.85,6000,0
20100510,0.869,0.92,0.79,0.849,3500,0
20100512,0.763,0.92,0.76,0.82,5100,0
20100513,0.727,0.81,0.727,0.8,1495,0
20100514,0.737,0.8,0.737,0.74,270,0
20100517,0.74,0.8,0.74,0.8,5000,0
20100518,0.757,0.82,0.75,0.82,27830,0
20100519,0.805,0.82,0.78,0.82,472,0
20100521,0.775,0.86,0.775,0.86,4002,0
20100525,0.75,0.83,0.75,0.83,200,0
20100527,0.78,0.8,0.75,0.8,8000,0
20100531,0.792,0.83,0.77,0.77,10,0
20100609,0.776,0.81,0.77,0.81,1700,0
20100610,0.778,0.78,0.778,0.78,60,0
20100616,0.781,0.781,0.78,0.78,99,0
20100617,0.8,0.82,0.78,0.82,7515,0
20100621,0.793,0.85,0.78,0.85,2186,0
20100622,0.83,0.85,0.75,0.75,14456,0
20100623,0.716,0.795,0.716,0.77,25818,0
20100625,0.718,0.78,0.71,0.78,10205,0
20100628,0.72,0.78,0.72,0.723,500,0
20100707,0.72,0.75,0.71,0.71,330,0
20100712,0.72,0.75,0.72,0.75,10760,0
20100713,0.718,0.72,0.718,0.72,81,0
20100714,0.726,0.726,0.72,0.722,330,0
20100719,0.726,0.8,0.66,0.76,5977,0
20100722,0.705,0.8,0.705,0.8,12000,0
20100723,0.791,0.869,0.79,0.869,1499,0
20100726,0.794,0.868,0.79,0.866,2600,0
20100728,0.793,1.02,0.79,0.994,9640,0
20100729,0.922,0.922,0.92,0.92,2060,0
20100730,0.858,0.88,0.858,0.88,2200,0
20100802,0.851,0.889,0.82,0.889,2070,0
20100805,0.858,0.935,0.85,0.935,200,0
20100809,0.86,0.86,0.801,0.801,3250,0
20100811,0.819,0.83,0.819,0.822,7700,0
20100818,0.818,0.851,0.818,0.851,30,0
20100820,0.852,0.87,0.85,0.851,900,0
20100824,0.844,0.9,0.844,0.9,2590,0
20100831,0.84,0.9,0.84,0.9,300,0
20100901,0.844,0.97,0.7,0.91,33632,0
20100902,0.889,0.89,0.88,0.88,1000,0
20100903,0.831,0.9,0.83,0.9,16727,0
20100906,0.903,0.903,0.87,0.87,18000,0
20100920,0.86,0.86,0.84,0.84,396,0
20100921,0.86,0.93,0.85,0.85,496,0
20100922,0.86,0.87,0.85,0.87,15500,0
20100923,0.84,0.84,0.8,0.8,10000,0
20100927,0.81,0.88,0.8,0.88,3000,0
20100928,0.85,0.85,0.69,0.85,1215,0
20100929,0.822,0.822,0.82,0.82,300,0
20100930,0.822,0.9,0.822,0.9,1500,0
20101001,0.9,0.9,0.75,0.85,29100,0
20101005,0.85,0.851,0.85,0.851,81,0
20101007,0.85,0.851,0.85,0.85,29000,0
20101008,0.81,0.81,0.8,0.8,165,0
20101013,0.82,0.821,0.69,0.69,495,0
20101018,0.82,0.821,0.82,0.82,297,0
20101020,0.82,0.821,0.82,0.821,660,0
20101021,0.82,0.85,0.82,0.85,15000,0
20101026,0.82,0.85,0.82,0.849,4706,0
20101027,0.82,0.821,0.82,0.821,990,0
20101102,0.82,0.82,0.82,0.82,500,0
20101105,0.801,0.801,0.8,0.8,5000,0
20101108,0.82,0.85,0.82,0.85,5668,0
20101109,0.85,0.89,0.85,0.851,550,0
20101110,0.85,0.9,0.85,0.9,8355,0
20101111,0.9,0.9,0.85,0.851,4096,0
20101112,0.85,0.91,0.85,0.91,17355,0
20101117,0.87,0.879,0.85,0.85,440,0
20101118,0.87,0.88,0.85,0.87,4283,0
20101122,0.87,0.87,0.87,0.87,50,0
20101123,0.87,0.871,0.87,0.871,100,0
20101124,0.87,0.87,0.85,0.85,20000,0
20101125,0.85,0.95,0.85,0.95,200,0
20101126,0.87,0.949,0.87,0.871,365,0
20101129,0.87,0.921,0.87,0.921,264,0
20101130,0.92,0.921,0.92,0.92,3750,0
20101201,0.92,0.921,0.92,0.921,165,0
20101202,0.9,0.94,0.9,0.94,5500,0
20101203,0.92,1.25,0.92,1.25,87630,0
20101206,1.26,1.46,1.26,1.3,19290,0
20101207,1.15,1.3,1.15,1.28,6205,0
20101208,1.2,1.251,1.189,1.189,11400,0
20101209,1.12,1.19,1.12,1.12,15498,0
20101210,1.12,1.201,0.966,1.2,51455,0
20101213,1.14,1.14,1.13,1.13,10000,0
20101214,1.12,1.195,1.07,1.1,11844,0
20101215,1.06,1.1,1.06,1.1,14000,0
20101216,1.09,1.091,1.09,1.091,550,0
20101217,1.09,1.09,1.02,1.05,40000,0
20101220,1.01,1.13,1.01,1.13,6210,0
20101221,1.07,1.18,1.05,1.05,19416,0
20101222,1.1,1.168,1.08,1.149,95314,0
20101223,1.101,1.139,1.1,1.125,49163,0
20101227,1.122,1.161,1.12,1.161,5165,0
20101228,1.15,1.15,1.15,1.15,100,0
20101230,1.15,1.23,1.15,1.15,19830,0
20110103,1.12,1.148,1,1,11053,0
20110104,1.01,1.07,0.98,1.011,2750,0
20110105,1.01,1.01,0.96,0.98,14000,0
20110106,0.962,1,0.93,0.95,4665,0
20110107,0.9,0.9,0.83,0.86,40100,0
20110110,0.85,0.895,0.84,0.895,2880,0
20110111,0.852,0.895,0.85,0.85,10208,0
20110113,0.85,0.861,0.831,0.861,735,0
20110114,0.85,0.9,0.85,0.88,5000,0
20110117,0.83,0.87,0.83,0.86,16900,0
20110118,0.83,0.889,0.83,0.861,51052,0
20110119,0.88,0.931,0.88,0.93,3500,0
20110120,0.9,0.97,0.9,0.97,1000,0
20110125,0.91,0.91,0.86,0.86,30150,0
20110128,0.86,0.861,0.855,0.861,66,0
20110202,0.86,0.86,0.86,0.86,330,0
20110207,0.86,0.93,0.86,0.93,140,0
20110208,0.86,0.91,0.85,0.9,30066,0
20110209,0.86,0.93,0.86,0.93,20079,0
20110210,0.861,0.929,0.86,0.929,13,0
20110214,0.882,0.9,0.88,0.9,3500,0
20110215,0.882,0.882,0.872,0.881,11374,0
20110218,0.882,0.882,0.88,0.882,79,0
20110221,0.882,0.883,0.88,0.883,1279,0
20110222,0.882,0.885,0.88,0.885,23000,0
20110223,0.901,0.901,0.88,0.886,990,0
20110224,0.885,0.95,0.88,0.95,15464,0
20110225,0.895,0.93,0.895,0.93,1500,0
20110301,0.9,0.97,0.9,0.97,10,0
20110307,0.905,0.95,0.9,0.906,2365,0
20110309,0.905,0.91,0.905,0.905,50,0
20110310,0.905,0.91,0.9,0.906,990,0
20110311,0.905,0.91,0.85,0.85,50,0
20110314,0.905,0.91,0.9,0.905,5000,0
20110315,0.86,0.861,0.86,0.86,1500,0
20110316,0.86,0.861,0.85,0.86,9800,0
20110317,0.85,0.851,0.85,0.851,330,0
20110318,0.85,0.861,0.85,0.861,5400,0
20110321,0.86,0.86,0.86,0.86,5000,0
20110322,0.86,0.94,0.86,0.94,1000,0
20110323,0.93,0.93,0.93,0.93,825,0
20110328,0.87,0.915,0.86,0.915,30125,0
20110401,0.87,0.89,0.87,0.87,700,0
20110404,0.87,0.91,0.87,0.87,2500,0
20110405,0.87,0.94,0.87,0.94,3030,0
20110406,0.92,0.92,0.901,0.901,1803,0
20110407,0.9,0.901,0.9,0.901,1117,0
20110408,0.9,0.901,0.9,0.901,1000,0
20110411,0.9,0.92,0.9,0.9,6166,0
20110412,0.9,0.901,0.87,0.901,2510,0
20110414,0.9,0.901,0.9,0.901,2300,0
20110418,0.9,0.901,0.89,0.89,9000,0
20110428,0.88,0.91,0.88,0.9,6380,0
20110429,0.89,0.9,0.87,0.899,9500,0
20110502,0.89,0.93,0.885,0.921,8850,0
20110503,0.92,0.989,0.92,0.989,3290,0
20110505,0.941,0.941,0.94,0.941,1485,0
20110509,0.94,1.14,0.94,1.14,7000,0
20110510,1.14,1.29,1.02,1.26,90732,0
20110511,1.25,1.26,1.18,1.25,60100,0
20110512,1.22,1.28,1.22,1.251,14831,0
20110513,1.25,1.29,1.21,1.28,3871,0
20110516,1.25,1.3,1.25,1.3,24765,0
20110517,1.25,1.3,1.25,1.281,10300,0
20110518,1.28,1.32,1.279,1.3,82722,0
20110519,1.28,1.31,1.28,1.3,15047,0
20110520,1.3,1.31,1.29,1.29,1071,0
20110523,1.3,1.33,1.3,1.3,6250,0
20110524,1.3,1.309,1.3,1.301,6316,0
