Date,Open,High,Low,Close,Volume,OpenInt
20010313,8.6085,8.8314,7.4596,8.2312,270696,0
20010315,7.8056,8.0453,7.497,7.7797,29178,0
20010316,7.7911,7.8854,7.5855,7.8854,20301,0
20010319,7.7217,8.116,7.5418,8.116,37805,0
20010320,8.3346,8.3346,8.0775,8.0775,18561,0
20010321,7.7382,7.764,6.8727,7.1555,51111,0
20010322,6.9027,6.9027,5.995,6.1662,50677,0
20010323,6.4242,6.7669,6.1758,6.1758,13309,0
20010326,6.3819,6.4248,5.9964,6.339,18327,0
20010327,6.1662,6.1662,5.995,6.1662,15763,0
20010328,6.1792,6.2563,5.9993,6.1278,7934,0
20010329,6.0458,6.0458,6.0029,6.0029,10145,0
20010330,6.0018,6.0018,5.4103,5.9933,11896,0
20010402,5.9047,5.9047,5.6475,5.6475,9918,0
20010403,5.6415,5.6415,3.9379,3.9379,67167,0
20010404,4.2869,4.887,3.7724,4.5526,41173,0
20010405,4.5219,5.1385,4.5219,5.1385,43787,0
20010406,5.2285,5.34,4.8514,4.86,38966,0
20010409,4.8812,4.8812,4.5215,4.5814,15414,0
20010410,4.7216,5.4843,4.5845,5.4843,26140,0
20010411,5.4815,5.7641,5.3101,5.6956,31291,0
20010412,5.7392,5.8848,5.6621,5.7821,18328,0
20010417,5.5104,5.6475,5.4162,5.6475,25321,0
20010418,5.6942,6.0544,5.6942,6.0029,19591,0
20010419,6.1672,6.2614,5.8418,5.8589,12258,0
20010420,6.2519,6.466,6.0805,6.1662,18215,0
20010423,6.2577,6.2577,6.0006,6.0606,10149,0
20010424,6.0887,6.1658,6.0029,6.0029,4548,0
20010425,6.0029,6.1572,6.0029,6.0029,933,0
20010426,6.1795,6.1795,6.0081,6.051,3967,0
20010427,6.0378,6.1662,6.0378,6.1662,1051,0
20010430,6.0458,6.0801,5.7543,6.0029,22156,0
20010502,5.8295,5.9925,5.0838,5.4267,66488,0
20010503,5.2233,5.3946,5.0007,5.0521,6657,0
20010504,5.1278,5.1278,4.8877,5.1193,9680,0
20010508,5.165,5.345,5.165,5.225,14711,0
20010509,5.296,5.4075,5.1503,5.4075,16570,0
20010510,5.3792,5.9959,5.2935,5.5419,41795,0
20010511,5.6578,5.6578,5.4863,5.5035,16565,0
20010514,5.4827,5.4827,5.0116,5.3114,24513,0
20010515,5.0529,5.1556,5.0186,5.1385,2920,0
20010516,5.0611,5.0611,4.8041,4.8984,24289,0
20010517,4.9872,5.0301,4.9186,4.9272,20772,0
20010518,4.7172,4.9402,4.7172,4.8888,3964,0
20010521,4.8442,5.0329,4.8442,5.0329,5132,0
20010522,4.8808,5.0521,4.7951,5.0521,43794,0
20010523,4.8813,4.9327,4.7527,4.8984,10042,0
20010525,4.8957,5.0329,4.8871,5.0329,10497,0
20010528,5.0586,5.4701,5.0586,5.2729,60182,0
20010529,5.2224,5.2224,4.9656,4.9656,20557,0
20010530,4.9668,4.9668,4.71,4.8984,25107,0
20010531,4.8634,5.1289,4.6837,5.1289,27679,0
20010601,5.051,5.5227,5.051,5.5227,30668,0
20010604,5.4407,5.5092,5.3893,5.3978,8636,0
20010605,5.3106,5.3277,4.9338,5.225,9340,0
20010606,5.1464,5.1464,4.8978,5.0521,10959,0
20010607,4.9116,5.1001,4.6715,5.1001,31150,0
20010608,5.0447,5.0447,4.9077,4.9849,14127,0
20010611,5.0084,5.0084,4.7943,4.9656,13198,0
20010612,4.9732,4.9817,4.8445,4.956,1983,0
20010613,4.7943,4.9656,4.7943,4.9656,6307,0
20010614,4.9395,4.9395,4.8024,4.8024,1750,0
20010618,4.5798,4.6311,4.2545,4.4086,26868,0
20010619,4.2449,4.2878,3.7304,4.082,61804,0
20010620,3.9702,4.1589,3.8587,4.1589,12361,0
20010621,4.1989,4.2845,4.0532,4.0532,4318,0
20010622,4.0249,4.1876,4.0249,4.1876,10042,0
20010625,4.1149,4.1492,4.0291,4.1492,2217,0
20010626,4.0313,4.0313,3.6025,3.6882,12475,0
20010627,3.6882,3.6882,3.5853,3.6882,22502,0
20010628,3.6397,3.7939,3.5969,3.7939,11677,0
20010629,3.9379,4.1348,3.9379,3.9379,10747,0
20010702,3.9437,4.0123,3.7294,3.8322,9564,0
20010703,3.8775,4.0147,3.7745,4.0147,6994,0
20010704,4.0085,4.1113,3.9571,3.9571,14010,0
20010705,4.0273,4.0445,3.7273,3.8131,19489,0
20010706,3.4347,3.683,3.1776,3.6402,5721,0
20010709,3.5157,3.6786,3.5157,3.6786,5715,0
20010710,3.6882,3.7312,3.5252,3.6882,4663,0
20010711,3.5853,4.0313,3.5853,3.6882,29730,0
20010712,3.7742,4.0915,3.7742,4.0915,10259,0
20010716,3.946,4.0147,3.9033,4.0147,3148,0
