Date,Open,High,Low,Close,Volume,OpenInt
20090407,405,405,380,401,90,0
20090408,401,405,390,390,20,0
20090416,390,401.85,386.1,401.85,5,0
20090417,393.9,424,393.9,416.59,31,0
20090420,424,424,401.85,401.85,16,0
20090421,401.85,401.85,397.83,401.81,8,0
20090424,401.81,406.02,397.79,406.02,3,0
20090428,406,406,401.94,405,13,0
20090429,405,409.09,405,409.09,48,0
20090430,405,415,405,410.89,17,0
20090504,414.99,415,405,410.76,43,0
20090506,408,410.71,406.6,410.71,1,0
20090507,408,425,406.6,422,36,0
20090508,421,421,410,419.81,51,0
20090511,420,420,406.79,419.19,25,0
20090512,415,425,415,425,12,0
20090513,415,424,415,424,51,0
20090514,424,424,419.76,424,3,0
20090518,400,404,400,404,35,0
20090519,400,408,400,404.04,9,0
20090525,403.92,410,400,404.04,50,0
20090526,400,404.04,400,404.04,10,0
20090602,400,404.04,400,404.04,17,0
20090603,400,408.08,400,408.08,3,0
20090608,408,410,403.92,408,3,0
20090609,408,415,403.92,404.04,26,0
20090610,403.92,415.1,400,415.1,11,0
20090622,405.95,410,401.89,410,23,0
20090623,410,414.1,405.9,406.94,1,0
20090624,414.1,448.5,406.94,406.94,18,0
20090629,406.94,408,400,400,4,0
20090707,402.88,410,402.88,410,5,0
20090710,402.88,410,402.88,407.53,13,0
20090713,402.88,410.52,402.88,410.52,7,0
20090717,410.52,420,410.52,418.3,8,0
20090720,418.3,418.3,418.3,418.3,10,0
20090727,418.3,418.3,412,413.31,10,0
20090803,418.3,418.3,413,418,3,0
20090804,418.3,418.3,418,418.3,2,0
20090805,418.3,423,418,423,111,0
20090824,405,409.88,403,409.88,7,0
20090901,399.88,404.66,397.88,404.66,10,0
20090903,404.66,431,404.66,411.52,60,0
20090904,411.52,431,411.52,431,30,0
20090908,418.5,427.5,418.5,427.5,25,0
20090911,420,427,420,427,10,0
20090915,427,433,427,427,24,0
20090917,427,427,427,427,3,0
20090918,427,427,427,427,6,0
20090921,427,427.01,427,427.01,5,0
20090923,417.9,420,415,415,5,0
20090929,421.23,422.04,415,422.04,1,0
20090930,421.23,422.04,415,415,5,0
20091008,421.23,422.04,415,422.04,10,0
20091012,428.37,428.37,422.04,427.2,20,0
20091013,420.79,427.36,420.79,427.36,23,0
20091016,433.41,433.41,427,427,19,0
20091020,434.92,434.92,426.8,426.8,15,0
20091021,433.2,433.2,423.8,427,30,0
20091022,433.41,433.41,424,424,6,0
20091030,402.87,412.94,402.87,412.94,10,0
20091103,416.08,416.08,406.94,406.94,10,0
20091109,397.94,404.7,397.94,397.94,5,0
20091110,391.97,403.74,391.97,403.74,20,0
20091111,409.79,409.79,394.74,400.74,25,0
20091117,394,400.74,394,400,309,0
20091119,389.08,400,389.08,399.99,20,0
20091120,393.99,400,375,375,50,0
20091127,400,400,390,400,6,0
20091201,394,402.5,385,402.5,10,0
20091204,394,400,385,392.5,25,0
20091207,392.5,400,380,395,1,0
20091208,384.16,410,366,410,1,0
20091211,384.15,408,384.15,408,5,0
20091215,392,397,382.57,394,12,0
20091217,370.5,397.5,370.5,397.5,7,0
20091218,377.63,400,377.63,400,45,0
20091223,380,400,380,400,175,0
20091230,380,412,380,412,11,0
20100104,410.1,430,400,430,5,0
20100107,413.25,433,400,400,1,0
