Date,Open,High,Low,Close,Volume,OpenInt
20040901,4.7514,4.7514,4.7514,4.7514,663,0
20040903,4.7546,4.9055,4.6187,4.9055,1060,0
20040907,4.8653,4.9181,4.6164,4.6164,6628,0
20040908,4.5221,4.5975,4.5221,4.5296,3052,0
20040909,4.5296,4.5975,4.5296,4.5296,8227,0
20040910,4.5368,4.5971,4.5292,4.5971,11677,0
20040913,4.5971,4.5971,4.5595,4.5971,3980,0
20040914,4.5682,4.606,4.5682,4.5682,2781,0
20040915,4.5975,4.5975,4.5296,4.5296,1857,0
20040916,4.5988,4.6742,4.5988,4.6742,13928,0
20040917,4.8066,4.8669,4.6179,4.8669,2783,0
20040920,4.8276,4.8728,4.7898,4.7898,4110,0
20040921,4.8761,4.9969,4.8761,4.944,11923,0
20040922,4.9943,5.0547,4.9792,5.0019,8483,0
20040923,4.9221,4.9448,4.8091,4.8091,4245,0
20040924,4.8284,4.8284,4.7756,4.8284,4639,0
20040927,4.7886,4.8187,4.7358,4.8187,2122,0
20040928,4.7412,4.8091,4.7412,4.8091,2388,0
20040929,4.7412,4.8091,4.7338,4.8091,3449,0
20040930,4.8104,4.8707,4.7802,4.7802,4244,0
20041001,4.8284,4.8284,4.7756,4.8284,1988,0
20041004,4.7747,4.7898,4.7747,4.7898,132,0
20041005,4.8464,4.8766,4.8313,4.8766,1457,0
20041007,4.7982,4.8284,4.7982,4.8284,795,0
20041008,4.8691,4.8766,4.8087,4.8766,1327,0
20041011,4.8087,4.8766,4.7937,4.8766,1592,0
20041012,4.8862,4.8938,4.8259,4.8862,1856,0
20041013,4.8904,4.9055,4.8904,4.9055,2651,0
20041014,4.8133,4.9039,4.7907,4.8284,4374,0
20041018,4.846,4.9064,4.7706,4.7706,5299,0
20041019,4.8925,4.9152,4.8925,4.9152,1990,0
20041022,4.8661,4.8661,4.8133,4.8284,397,0
20041025,4.807,4.8296,4.7995,4.7995,397,0
20041027,4.7995,4.7995,4.7995,4.7995,265,0
20041028,4.8318,4.9223,4.8016,4.8091,1590,0
20041029,4.8091,4.8091,4.8091,4.8091,132,0
20041101,4.8657,5.0693,4.8657,5.0693,16172,0
20041102,5.1296,5.3484,5.1296,5.2428,38045,0
20041103,5.1468,5.2978,5.1468,5.2525,12191,0
20041104,5.208,5.359,5.1551,5.291,22921,0
20041105,5.3041,5.3342,5.2437,5.2814,18291,0
20041108,5.3433,5.4339,5.3132,5.3585,15768,0
20041109,5.3597,5.473,5.3296,5.3296,27288,0
20041110,5.3299,5.4356,5.3223,5.4356,18015,0
20041111,5.4268,5.4644,5.3816,5.4644,9552,0
