Date,Open,High,Low,Close,Volume,OpenInt
20130708,21.119,23.038,21.119,22.91,21813639,0
20130709,23.158,27.588,23.028,27.118,10212188,0
20130710,27.262,27.454,25.938,26.479,2781454,0
20130711,26.782,27.07,26.153,26.724,1288103,0
20130712,26.772,26.974,25.544,25.942,1851342,0
20130715,25.928,26.389,25.727,26.264,888418,0
20130716,26.283,27.2,26.014,27.117,1040847,0
20130717,27.31,27.358,26.187,26.264,1111260,0
20130718,26.148,28.256,26.101,27.511,965366,0
20130719,27.55,27.742,26.782,27.588,897235,0
20130722,27.166,28.414,27.166,28.265,601467,0
20130723,28.03,28.327,27.214,27.939,596309,0
20130724,27.646,28.016,27.15,27.214,605424,0
20130725,27.262,27.353,26.341,26.744,623119,0
20130726,26.887,27.118,26.499,26.836,334649,0
20130729,26.908,27.104,26.451,26.509,364448,0
20130730,26.705,26.854,26.063,26.254,474317,0
20130731,26.772,28.606,26.595,27.891,1207704,0
20130801,28.112,28.391,27.473,28.232,531033,0
20130802,27.886,29.086,27.583,27.951,531868,0
20130805,27.742,28.087,27.555,28.087,352598,0
20130806,27.848,27.896,27.128,27.128,503360,0
20130807,27.314,28.212,27.032,28.087,430141,0
20130808,28.194,29.182,28.044,28.98,669401,0
20130809,29.182,30.42,28.937,30.223,562081,0
20130812,30.43,30.862,30.118,30.781,538951,0
20130813,30.665,31.15,29,29.667,537603,0
20130814,29.091,30.022,28.663,29.828,444773,0
20130815,29.815,29.902,29.066,29.326,270559,0
20130816,29.186,29.932,29.182,29.844,308402,0
20130819,29.955,29.969,28.846,29.614,338102,0
20130820,29.403,29.753,29.009,29.614,245111,0
20130821,29.691,30.765,28.885,30.738,317100,0
20130822,30.574,30.852,30.075,30.621,425417,0
20130823,30.44,30.812,30.046,30.766,244123,0
20130826,30.737,30.996,29.652,29.787,252816,0
20130827,29.753,30.244,29.47,29.71,469315,0
20130828,29.734,29.823,29.422,29.598,384443,0
20130829,29.479,29.838,28.894,29.06,450875,0
20130830,28.898,29.187,28.712,29.163,539715,0
20130902,29.23,29.739,29.163,29.374,278219,0
20130903,29.038,29.83,29.004,29.512,240608,0
20130904,29.729,29.935,29.479,29.869,293806,0
20130905,29.758,30.54,29.619,30.333,373203,0
20130906,30.305,30.526,29.907,30.028,309588,0
20130909,30.233,30.794,29.892,30.718,261618,0
20130910,31.159,31.481,30.694,31.365,365676,0
20130911,31.365,31.87,30.656,30.839,345721,0
20130912,30.886,31.293,30.728,31.184,283437,0
20130913,30.934,31.357,30.766,31.153,138447,0
20130916,31.606,31.625,30.958,31.294,306144,0
20130917,31.337,32.142,31.102,31.951,313395,0
20130918,32.109,32.489,31.788,32.441,312896,0
20130919,32.446,32.825,32.061,32.614,553654,0
20130920,32.805,33.439,32.264,32.349,2114897,0
20130923,32.777,32.825,31.197,31.768,530880,0
20130924,31.808,32.695,31.49,32.594,442601,0
20130925,32.349,33.208,32.287,33.045,264121,0
20130926,33.118,34.452,32.642,33.881,373991,0
20130927,34.001,34.318,33.617,33.694,449400,0
20130930,33.396,33.837,33.036,33.396,250761,0
20131001,33.425,33.771,33.2,33.43,336309,0
20131002,33.492,34.332,33.261,33.775,473151,0
20131003,34.222,34.27,33.281,33.406,257128,0
20131004,33.549,34.481,33.248,34.034,415062,0
20131007,34.077,34.207,33.319,33.348,313984,0
20131008,33.363,33.593,32.95,32.95,225696,0
20131009,33.075,33.31,32.254,32.805,378962,0
20131010,32.753,33.218,32.345,32.83,382095,0
20131011,32.479,33.05,31.773,32.552,333038,0
20131014,32.469,33.238,32.177,32.8,286179,0
20131015,32.83,33.751,32.71,33.597,297856,0
20131016,33.641,33.751,32.878,33.218,216708,0
20131017,33.406,34.174,33.137,33.516,399429,0
20131018,33.886,34.558,33.559,34.426,365852,0
20131021,35.384,36.521,34.365,36.132,531337,0
20131022,36.075,37.14,35.998,36.664,479103,0
20131023,36.526,36.832,35.196,35.494,475452,0
20131024,35.517,35.902,35.069,35.397,265533,0
20131025,35.46,36.363,35.229,36.065,241430,0
20131028,35.787,36.717,35.738,36.348,467838,0
20131029,36.286,36.446,36.04,36.132,258482,0
20131030,36.161,36.712,35.878,36.358,229444,0
20131031,36.19,36.669,36.19,36.592,369192,0
20131101,36.737,37.375,36.406,37.313,211764,0
20131104,37.438,38.172,37.115,37.678,277677,0
20131105,37.639,38.042,36.72,36.823,326797,0
20131106,37.39,37.39,36.434,36.77,353485,0
20131107,36.391,37.288,36.391,36.707,216050,0
20131108,36.765,36.799,35.887,36.592,250764,0
20131111,36.809,37.015,36.376,36.592,199359,0
20131112,38.397,38.968,36.784,38.397,705729,0
20131113,38.397,38.565,37.553,37.979,394967,0
20131114,38.397,39.549,38.095,38.781,466350,0
20131115,38.925,40.629,38.637,40.629,521712,0
20131118,41.661,43.178,40.692,42.909,831153,0
20131119,42.309,43.005,41.095,41.45,465323,0
20131120,41.829,42.083,40.433,40.701,404621,0
20131121,40.797,41.507,40.558,41.21,322304,0
20131122,41.685,41.853,41.157,41.853,287783,0
20131125,41.834,42.117,41.58,41.958,248497,0
20131126,41.901,42.439,41.512,41.978,370453,0
20131127,42.108,42.323,41.608,42.141,322668,0
