Date,Open,High,Low,Close,Volume,OpenInt
20060331,19.545,20.909,18.982,20.909,7074430,0
20060403,21.545,21.818,20.636,20.636,970530,0
20060404,20.727,20.727,20.1,20.227,773960,0
20060405,20.091,20.718,19.727,20.091,480920,0
20060406,20.264,21.136,20,20.991,335500,0
20060407,21.173,22.527,21.064,21.545,742610,0
20060410,21.764,21.8,20.8,21,258280,0
20060411,21.091,21.318,20.636,20.727,338580,0
20060412,20.636,20.709,19.727,19.864,399520,0
20060413,19.982,20.909,19.982,20.545,191840,0
20060418,20.918,21.727,20.918,21.445,122870,0
20060419,21.445,21.455,21.091,21.273,77990,0
20060420,21.255,21.273,21,21.273,76230,0
20060421,21.182,21.273,20.545,21.091,110440,0
20060424,20.818,21.273,20.591,20.664,16830,0
20060425,20.5,20.727,20.182,20.436,99000,0
20060426,20.482,20.591,20.182,20.318,24860,0
20060427,20.236,20.455,19.545,20,69520,0
20060428,19.909,20.091,19.364,19.491,173800,0
20060502,19.091,19.909,18.909,19.9,159610,0
20060503,20.045,21.236,19.818,20.582,111430,0
20060504,20.373,20.636,20.273,20.527,62920,0
20060505,20.273,21.773,20.273,21.673,295900,0
20060508,21.818,23.045,21.727,22.955,215930,0
20060509,23.045,23.164,22.364,22.545,176220,0
20060510,22.727,22.955,22.545,22.909,119460,0
20060511,22.927,24.064,22.773,23.473,138270,0
20060512,23.727,23.727,22.836,22.836,167970,0
20060515,22.745,23,21.591,22.455,167420,0
20060516,22.445,22.545,21.591,21.909,41690,0
20060517,21.909,22.091,21.636,21.8,51590,0
20060518,21.636,21.982,20.264,20.818,221430,0
20060519,20.455,20.455,19.545,19.909,105380,0
20060522,20,20,18.927,18.927,31680,0
20060523,18.945,19.036,18,19.027,243980,0
20060524,18.964,19.082,18.2,18.636,81510,0
20060525,18.973,18.973,18.282,18.727,59290,0
20060526,18.864,18.909,18.591,18.818,95590,0
20060529,18.645,19.364,18.645,19.091,65120,0
20060530,18.773,19.427,18.773,19.318,80850,0
20060531,19.182,19.955,19.091,19.955,85580,0
20060601,19.909,19.909,19.336,19.455,82940,0
20060602,19.727,19.773,19.545,19.636,51480,0
20060605,19.545,19.636,19.182,19.545,20130,0
20060606,19.318,19.545,19.136,19.145,109120,0
20060607,19.182,19.182,17.991,18.309,117260,0
20060608,17.891,18.091,17.373,18.009,199540,0
20060609,18.182,18.855,18.182,18.636,52800,0
20060612,18.355,18.636,18.355,18.536,55990,0
20060613,18.182,18.409,17.5,17.727,79090,0
20060614,17.636,18.555,17.591,17.818,48730,0
20060619,17.818,17.818,17.064,17.364,56650,0
20060620,17.636,17.636,17.273,17.573,16170,0
20060621,17.455,17.682,16.818,17.082,44220,0
20060622,16.827,17.155,16.727,16.955,88000,0
20060623,17.009,17.345,16.727,16.909,67540,0
20060626,16.818,17.045,16.773,16.909,80740,0
20060627,16.909,17,16.773,16.818,70400,0
20060628,16.664,17.045,16.364,17.045,55110,0
20060629,16.955,17.609,16.955,17.5,78320,0
20060630,17.655,17.655,17.155,17.4,67430,0
20060703,17.555,17.591,17.136,17.591,71060,0
20060704,17.727,17.973,17.318,17.455,97790,0
20060705,17.545,17.545,16.818,16.909,128040,0
20060706,17.273,17.455,17.118,17.427,404140,0
20060707,17.445,18.018,17.445,17.727,195800,0
20060710,17.8,17.8,17.482,17.764,44110,0
20060711,18,18.164,17.755,18,62040,0
20060712,18,18.3,17.927,18.045,19690,0
20060713,17.882,17.955,17.636,17.927,63800,0
20060714,17.764,17.909,17.682,17.818,26840,0
20060717,17.664,17.764,17.136,17.436,101750,0
20060718,17.318,17.418,17.182,17.418,77990,0
20060719,17.264,17.718,17.182,17.545,42900,0
20060720,17.655,17.8,17.355,17.545,19470,0
20060721,17.391,17.545,17.264,17.273,19030,0
20060724,17.191,17.364,17.182,17.273,46530,0
20060725,17.418,17.418,17.227,17.273,48180,0
20060726,17.355,17.355,17.227,17.273,4950,0
20060727,17.318,17.409,17.273,17.345,41690,0
20060728,17.327,17.445,17.318,17.445,42460,0
20060731,17.545,17.7,17.4,17.7,79860,0
20060801,17.545,17.727,17.5,17.627,57750,0
20060802,17.718,18.091,17.627,18.073,121990,0
20060803,18.182,18.364,18.018,18.209,95040,0
20060804,18.318,18.573,18.073,18.418,61160,0
20060807,18.545,18.864,18.409,18.636,61270,0
20060808,18.8,19.309,18.373,19.209,65230,0
20060809,19.373,19.727,18.827,19.527,140580,0
20060810,19.273,20.164,19.2,19.2,70730,0
20060811,19.364,19.527,19.182,19.318,23430,0
20060814,19.364,19.364,19.145,19.291,9130,0
20060815,19.455,19.545,19.364,19.455,74800,0
20060816,19.455,19.545,19.364,19.455,14080,0
20060817,19.545,19.545,19.364,19.445,30910,0
20060818,19.318,19.455,18.709,19.273,134310,0
20060821,19.1,19.455,18.927,19.309,16720,0
20060822,19.364,19.455,18.918,19.273,17930,0
20060823,19.273,19.409,19.182,19.2,20460,0
20060824,19.227,19.336,19.182,19.273,76890,0
20060825,19.336,19.455,19.273,19.391,60720,0
20060828,19.364,19.455,19.227,19.455,20680,0
20060829,19.455,19.545,18.745,18.909,90420,0
20060830,18.736,19.273,18.736,19.091,44110,0
20060831,19.091,19.273,19.082,19.255,28600,0
20060901,19.191,19.455,19.182,19.291,44660,0
20060904,19.455,19.455,19.182,19.182,13530,0
20060905,19.345,19.345,19.091,19.118,86350,0
20060906,19.1,19.264,19.1,19.227,157960,0
20060907,19.091,19.227,19,19.227,39710,0
20060908,19.227,19.227,18.909,19.127,12870,0
20060911,19.118,19.355,18.927,19.218,173910,0
20060912,19.545,19.936,19.273,19.291,311300,0
20060913,19.364,19.364,19.118,19.309,55110,0
20060914,19.364,19.427,19.1,19.1,59290,0
20060915,19.2,19.2,18.464,18.464,324390,0
20060918,18.545,18.636,17.882,18.618,159940,0
20060919,18.727,19.018,18.727,18.945,70180,0
20060920,19.009,19.118,18.645,18.809,49500,0
20060921,18.636,18.864,18.418,18.827,90090,0
20060922,18.727,18.818,18.273,18.609,58410,0
20060925,18.445,18.636,18.445,18.573,53900,0
20060926,18.591,18.673,18.545,18.609,79640,0
20060927,18.636,19,18.5,18.909,70950,0
20060928,18.991,19.236,18.418,19.045,180070,0
20060929,18.936,19.209,18.918,19.164,172810,0
20061002,19.173,19.364,19.155,19.227,193380,0
20061003,19.218,19.764,18.818,19.345,183370,0
20061004,19.4,19.409,18.818,19.091,66770,0
20061005,19.091,19.218,18.773,18.945,186010,0
20061006,19.082,19.082,18.818,18.964,36520,0
20061009,18.955,19.091,18.818,19.073,41690,0
20061010,19.182,19.182,18.773,18.909,88000,0
20061011,18.991,18.991,18.627,18.8,65450,0
20061012,18.873,18.873,18.545,18.627,83380,0
20061013,18.755,18.882,18.673,18.809,57420,0
20061016,18.645,18.773,17.845,18.091,347600,0
20061017,18.091,18.427,17.909,18.055,240240,0
20061018,18.182,18.273,17.745,17.8,148280,0
20061019,17.955,18.145,17.727,17.873,221870,0
20061020,17.873,18.327,17.873,18.245,98670,0
20061023,18.1,18.409,18.091,18.145,85470,0
20061024,18.273,18.409,18.182,18.291,68750,0
20061025,18.273,18.591,18.227,18.5,58190,0
20061026,18.591,18.682,18.3,18.364,78760,0
20061027,18.427,18.636,18.2,18.291,160050,0
20061030,18.273,18.364,17.918,18.255,97790,0
20061031,18.182,18.282,18.091,18.164,127050,0
20061101,18.091,18.273,18.055,18.082,114620,0
20061102,18.182,18.245,17.909,17.909,132660,0
20061103,18.064,18.273,17.855,18.236,50050,0
20061106,18.273,18.273,18.091,18.173,35860,0
20061107,16.982,17.591,16.909,17.409,908380,0
20061108,17.436,17.436,17,17.164,293260,0
20061109,17.136,17.218,17.045,17.091,124300,0
20061110,17.182,17.227,17.091,17.173,63140,0
20061113,17.118,17.227,16.545,16.818,207240,0
20061114,16.818,17.218,16.582,17.136,338360,0
20061115,17.309,17.6,16.464,16.5,648340,0
20061116,16.536,17,16.145,16.591,438460,0
20061117,16.727,16.864,16.418,16.536,227480,0
20061120,16.664,17.182,16.636,17.118,134200,0
20061121,16.964,17.545,16.964,17.336,112310,0
20061122,17.491,17.536,16.8,16.909,152240,0
20061123,17,17.136,16.791,16.818,44220,0
20061124,16.909,16.909,16.391,16.736,165110,0
20061127,16.882,16.882,16.473,16.818,113740,0
20061128,16.664,16.964,16.527,16.655,140690,0
20061129,17.545,17.609,16.636,17.091,312180,0
20061130,17.164,17.7,17.045,17.364,168190,0
20061201,17.518,18.136,17.482,18.036,344080,0
20061204,18.155,18.273,18,18.236,259600,0
20061205,18.291,18.873,18.245,18.645,313390,0
20061206,18.818,19.227,17.882,18.027,351230,0
20061207,18,18.409,17.927,18.3,250140,0
20061208,18.273,18.536,18.273,18.364,132550,0
20061211,18.318,18.7,18.318,18.582,92620,0
20061212,18.745,18.745,18.591,18.7,75460,0
20061213,18.809,18.818,18.591,18.727,128370,0
20061214,18.891,19.091,18.809,18.955,103950,0
20061215,19.091,20.445,18.736,19.818,890780,0
20061218,19.645,19.973,19.645,19.727,166870,0
20061219,19.727,19.755,19.364,19.5,164230,0
20061220,19.518,19.518,19,19.227,189200,0
20061221,19.318,19.5,19.064,19.455,238370,0
20061222,19.618,20.309,19.6,19.736,58300,0
20061227,19.773,20.164,19.727,20.091,63910,0
20061228,19.945,20.182,19.818,20.082,55660,0
20061229,19.927,20.727,19.927,20.509,96580,0
20070102,20.545,20.636,20.373,20.509,72930,0
20070103,20.509,20.982,20.418,20.818,97130,0
20070104,20.909,21.536,20.091,20.882,229130,0
20070105,21.055,21.109,20.545,21.091,83050,0
20070108,21.164,21.364,21.045,21.091,448580,0
20070109,21.273,21.364,21,21.045,164780,0
20070110,20.318,20.318,19.627,20.045,1084490,0
20070111,20.218,20.455,20,20.364,183260,0
20070112,20.364,20.482,19.682,20.009,192720,0
20070115,19.909,20.336,19.909,20.064,128260,0
20070116,20.218,20.218,19.873,20,108900,0
20070117,20.127,20.173,19.9,20.009,104720,0
20070118,20.182,20.509,20.182,20.273,396110,0
20070119,20.336,20.455,20.045,20.182,120230,0
20070122,20.1,20.1,19.618,19.691,286330,0
20070123,19.727,20.227,19.727,20.091,321200,0
20070124,20.264,20.682,20.182,20.318,89320,0
20070125,19.636,20.009,19.464,19.564,315700,0
20070126,19.455,19.536,19.209,19.482,176440,0
20070129,19.318,19.682,19.318,19.318,194040,0
20070130,19.318,19.627,19.118,19.436,138050,0
20070131,19.564,19.682,19.391,19.545,125290,0
20070201,19.636,19.818,19.518,19.818,131450,0
20070202,19.809,20.273,19.791,19.909,207350,0
20070205,19.955,19.955,19.845,19.955,165000,0
20070206,19.955,20.145,19.864,20,110440,0
20070207,19.864,20.173,19.864,20.018,84700,0
20070208,20.4,21.4,20.218,20.673,375980,0
20070209,20.636,21.182,20.636,21.136,220880,0
20070212,20.955,21.1,20.455,20.909,62700,0
20070213,20.909,21.227,20.909,21.045,79200,0
20070214,21.027,21.318,21.018,21.227,121660,0
20070215,21.045,21.145,21.018,21.018,60610,0
20070216,20.9,21.045,20.545,20.855,121220,0
20070219,20.909,21.109,20.727,20.909,115610,0
20070220,20.918,20.955,20.609,20.936,116600,0
20070221,20.764,20.955,20.764,20.809,108020,0
20070222,20.964,20.964,20.555,20.782,71390,0
20070223,20.591,21.082,20.318,20.364,211860,0
20070226,20.355,20.364,20.109,20.182,150590,0
20070227,20.345,20.345,19.355,19.409,213180,0
20070228,19.236,19.545,18.373,19.155,468160,0
20070301,19.091,19.709,18.236,18.664,261140,0
20070302,18.618,19.091,18.273,18.573,178090,0
20070305,18.236,18.445,17.636,18.364,273570,0
20070306,18.545,18.545,17.891,18.055,188870,0
20070307,18.173,18.355,18.018,18.282,172150,0
20070308,18.173,18.727,18.173,18.409,106810,0
20070309,18.245,18.436,18.036,18.318,126170,0
20070312,18.545,18.564,18.155,18.182,118140,0
20070313,18.191,18.409,17.5,17.5,95150,0
20070314,17.218,17.291,16.818,17.218,157190,0
20070315,17.364,17.891,17.291,17.382,99660,0
20070316,17.364,18.136,17.118,17.845,335280,0
20070319,18,18.536,18,18.509,94380,0
20070320,18.636,18.636,17.909,18.391,100320,0
20070321,18.527,18.527,17.373,17.909,217250,0
20070322,18.182,18.182,16.927,16.973,517880,0
20070323,17.045,17.045,15.7,16.091,1054790,0
20070326,16.264,16.264,15.427,15.455,350680,0
20070327,15.609,15.609,15.282,15.327,226050,0
20070328,15.318,15.318,14.682,14.818,179300,0
20070329,14.945,14.955,14.464,14.864,422400,0
20070330,14.827,15.473,14.727,15.2,446380,0
20070402,15.491,15.491,15.073,15.3,224840,0
20070403,15.464,15.573,15.036,15.127,376530,0
20070404,15.136,15.218,14.227,14.545,970090,0
20070405,14.718,14.955,14.436,14.636,175340,0
20070410,14.773,14.773,14.455,14.509,248710,0
20070411,14.627,14.627,13.909,13.955,373450,0
20070412,13.991,14.373,13.727,13.936,502590,0
20070413,14,14.073,13.545,13.727,478280,0
20070416,13.909,13.909,13.682,13.773,198000,0
20070417,13.845,13.864,13.609,13.727,494450,0
20070418,13.736,13.736,13.464,13.591,651640,0
20070419,13.609,14.155,13.609,14,494670,0
20070420,14.091,14.318,13.909,14.136,521400,0
20070423,14.236,14.736,14.182,14.7,880990,0
20070424,14.691,14.709,14.391,14.536,517000,0
20070425,14.536,14.536,14.209,14.464,213840,0
20070426,14.464,14.655,14.255,14.364,205590,0
20070427,14.455,14.545,14.045,14.3,105160,0
20070430,14.282,14.282,13.955,14.136,246510,0
20070502,14.264,14.545,14.036,14.245,279510,0
20070503,14.364,14.364,13.873,13.936,215160,0
20070504,14.091,14.127,13.782,14.009,294140,0
20070507,14.018,14.273,14,14,180950,0
20070508,14.164,14.164,13.545,13.773,330770,0
20070509,13.627,13.909,13.545,13.864,406670,0
20070510,13.909,13.909,13.636,13.655,286990,0
20070511,13.555,13.955,13.327,13.818,201740,0
20070514,13.818,13.818,13.6,13.627,98230,0
20070515,13.682,13.845,13.436,13.709,215820,0
20070516,13.791,13.791,12.973,13.482,227810,0
20070517,13.482,13.509,13.255,13.282,72050,0
20070518,13.291,13.309,12.745,13,372020,0
20070521,13.091,13.318,12.918,13.182,196570,0
20070522,13.182,13.291,13.173,13.182,137720,0
20070523,13.318,13.536,13.218,13.336,194480,0
