Date,Open,High,Low,Close,Volume,OpenInt
20090406,0.821,0.821,0.768,0.805,38338,0
20090407,0.794,0.803,0.777,0.787,8262,0
20090408,0.786,0.803,0.764,0.764,1413,0
20090409,0.786,0.801,0.733,0.764,64523,0
20090414,0.777,0.829,0.742,0.821,45317,0
20090415,0.821,0.873,0.821,0.862,33713,0
20090416,0.864,0.934,0.829,0.925,18840,0
20090417,0.934,0.934,0.89,0.89,29445,0
20090420,0.925,0.943,0.873,0.899,37279,0
20090421,0.89,0.899,0.803,0.862,25283,0
20090422,0.873,0.873,0.786,0.836,66389,0
20090423,0.873,0.873,0.812,0.837,22413,0
20090424,0.847,0.864,0.821,0.847,3324,0
20090427,0.864,0.917,0.829,0.882,29761,0
20090428,0.864,0.89,0.821,0.862,22344,0
20090429,0.864,0.917,0.862,0.862,16730,0
20090430,0.864,0.934,0.864,0.89,35427,0
20090504,0.899,0.96,0.882,0.943,19618,0
20090505,0.934,0.943,0.873,0.925,14687,0
20090506,0.917,0.96,0.89,0.943,32907,0
20090507,0.925,0.951,0.908,0.917,45151,0
20090508,0.917,0.986,0.899,0.925,30335,0
20090511,0.908,0.995,0.873,0.917,56070,0
20090512,0.917,0.96,0.882,0.917,22497,0
20090513,0.899,1.013,0.899,0.917,115144,0
20090514,0.925,0.951,0.829,0.873,64056,0
20090515,0.864,0.89,0.838,0.882,35311,0
20090518,0.882,0.917,0.829,0.855,44709,0
20090519,0.847,0.943,0.847,0.899,58322,0
20090520,0.899,0.908,0.847,0.899,34688,0
20090521,0.899,0.908,0.847,0.871,2520,0
20090522,0.89,0.917,0.856,0.89,9769,0
20090525,0.855,0.934,0.855,0.908,18657,0
20090526,0.908,0.934,0.864,0.934,46106,0
20090527,0.925,0.943,0.873,0.908,23910,0
20090528,0.917,0.917,0.857,0.882,27852,0
20090529,0.873,0.925,0.864,0.882,15503,0
20090601,0.882,0.89,0.855,0.86,12486,0
20090602,0.873,0.908,0.847,0.871,30094,0
20090603,0.873,0.917,0.855,0.871,8940,0
20090604,0.873,0.917,0.855,0.89,54971,0
20090605,0.855,0.925,0.855,0.925,45736,0
20090608,0.917,0.934,0.855,0.89,47273,0
