Date,Open,High,Low,Close,Volume,OpenInt
20150720,11.329,11.339,11.067,11.134,650387,0
20150721,11.124,11.248,11.057,11.167,569339,0
20150722,11.119,11.234,11.029,11.1,532714,0
20150723,11.205,11.224,10.905,11.024,607083,0
20150724,10.967,11.162,10.795,11.024,309191,0
20150727,11.072,11.072,10.26,10.709,580058,0
20150728,10.814,10.967,10.709,10.728,261684,0
20150729,10.857,11.563,10.79,10.995,655372,0
20150730,11.067,11.181,10.986,11.138,573341,0
20150731,11.186,11.453,11.153,11.31,543841,0
20150803,11.41,11.453,11.253,11.32,140292,0
20150804,11.267,11.358,11.105,11.296,145858,0
20150805,11.31,11.444,11.234,11.434,247198,0
20150806,11.406,11.453,11.325,11.406,165706,0
20150807,11.42,11.721,11.262,11.415,178378,0
20150810,11.673,11.787,11.372,11.482,142092,0
20150811,11.482,11.644,11.339,11.406,326466,0
20150812,11.262,11.358,11.072,11.105,142968,0
20150813,11.129,11.258,11.024,11.091,124126,0
20150814,11.167,11.539,11.124,11.31,741935,0
20150817,11.463,11.463,11.167,11.262,200283,0
20150818,11.234,11.587,11.196,11.396,153256,0
20150819,11.262,11.453,11.262,11.43,87071,0
20150820,11.272,11.43,11.181,11.262,89590,0
20150821,11.119,11.215,10.986,11.072,160086,0
20150824,10.976,10.995,10.265,10.933,597189,0
20150825,11.129,11.262,10.862,11.167,196744,0
20150826,11.301,11.301,10.919,11.167,240041,0
20150827,11.167,11.391,10.847,11.358,381937,0
20150828,11.353,11.353,11.124,11.22,83846,0
20150831,11.2,11.358,11.072,11.339,365627,0
20150901,11.329,11.329,10.747,10.881,288189,0
20150902,10.957,10.976,10.804,10.833,94496,0
20150903,10.967,11.205,10.814,11.196,223072,0
20150904,11.31,11.334,11.038,11.119,265785,0
20150907,11.1,11.229,11.1,11.177,33611,0
20150908,11.167,11.267,11.053,11.196,94539,0
20150909,11.177,11.358,11.162,11.167,152053,0
20150910,11.067,11.22,11.067,11.148,82222,0
20150911,11.167,11.167,11.062,11.081,43529,0
20150914,11.153,11.153,10.981,11.062,89948,0
20150915,10.976,11.095,10.976,11.048,42409,0
20150916,11.167,11.167,11.005,11.053,49369,0
20150917,11.053,11.119,10.785,10.785,118386,0
20150918,10.957,10.986,10.451,10.451,2055333,0
20150921,10.461,10.613,10.308,10.547,371985,0
20150922,10.642,10.68,10.403,10.513,292011,0
20150923,10.537,10.656,10.48,10.656,122752,0
20150924,10.594,10.642,10.308,10.356,321306,0
20150925,10.542,10.547,10.337,10.375,386519,0
20150928,10.356,10.394,9.783,9.84,447679,0
20150929,9.826,9.926,9.754,9.821,249536,0
20150930,9.998,10.098,9.855,9.926,222921,0
20151001,9.974,10.127,9.936,9.984,123436,0
20151002,10.089,10.117,9.96,10.05,158345,0
20151005,10.146,10.432,10.022,10.432,119700,0
20151006,10.337,10.475,10.313,10.418,64121,0
20151007,10.604,10.604,10.403,10.47,139641,0
20151008,10.489,10.656,10.408,10.423,60090,0
20151009,10.609,10.609,10.318,10.413,121836,0
20151012,10.418,10.585,10.384,10.437,93685,0
20151013,10.456,10.456,10.036,10.117,123868,0
20151014,10.06,10.117,9.85,9.902,203905,0
20151015,9.926,10.155,9.926,10.026,67565,0
20151016,10.041,10.213,10.036,10.079,55694,0
20151019,10.093,10.155,9.974,10.026,40997,0
20151020,9.95,10.084,9.869,9.888,59713,0
20151021,9.879,10.069,9.764,9.917,203199,0
20151022,10.022,10.246,9.96,10.246,187024,0
20151023,10.26,10.451,10.184,10.241,322963,0
20151026,10.384,10.451,10.346,10.451,175057,0
20151027,10.508,10.528,10.394,10.47,209328,0
20151028,10.585,10.814,10.528,10.633,162070,0
20151029,10.776,10.776,10.551,10.747,108709,0
20151030,10.776,10.776,10.652,10.69,183420,0
20151102,10.69,10.709,10.633,10.685,111566,0
20151103,10.69,10.69,10.618,10.633,139482,0
20151104,10.69,10.709,10.494,10.59,130373,0
20151105,10.633,10.68,10.499,10.613,199972,0
20151106,10.652,10.661,10.585,10.637,70295,0
20151109,10.738,10.738,10.332,10.332,204104,0
20151110,10.461,10.461,10.098,10.136,232431,0
20151111,10.284,10.294,10.122,10.194,155490,0
20151112,10.499,10.499,9.874,9.95,384080,0
20151113,10.127,10.652,10.06,10.451,475978,0
20151116,10.499,10.556,10.403,10.518,235836,0
20151117,10.571,10.642,10.403,10.499,308518,0
20151118,10.504,10.542,10.403,10.499,128145,0
20151119,10.594,10.594,10.332,10.403,173298,0
20151120,10.489,10.489,10.275,10.308,188432,0
20151123,10.356,10.423,10.246,10.299,151458,0
20151124,10.303,10.308,10.174,10.251,209135,0
20151125,10.308,10.308,10.089,10.112,158129,0
20151126,10.151,10.227,10.098,10.112,157715,0
20151127,10.17,10.189,10.069,10.127,140919,0
20151130,10.16,10.451,10.079,10.451,2112682,0
20151201,10.365,10.566,10.365,10.508,332578,0
20151202,10.594,10.594,10.423,10.47,166094,0
