Date,Open,High,Low,Close,Volume,OpenInt
20161223,13.5,13.5,13.5,13.5,64,0
20161227,13.36,13.36,13.33,13.33,1304,0
20161228,13.695,14.99,13.695,14.99,2968,0
20161229,16.06,16.4,15.4,15.75,3149,0
20161230,15.75,15.9,15.405,15.9,691,0
20170102,16.145,17.7,16.145,17.7,1167,0
20170103,17.45,18.25,17.45,18.25,784,0
20170104,18.255,18.255,18.25,18.25,566,0
20170105,17.805,18.25,17.75,18.25,1029,0
20170109,17.845,18,17.845,18,293,0
20170110,17.855,17.855,17.855,17.855,50,0
20170111,17.755,17.755,17.755,17.755,73,0
20170112,17.75,17.75,17.7,17.7,626,0
20170113,17.38,17.38,17.38,17.38,74,0
20170116,17.255,17.6,17.255,17.6,178,0
20170117,17.285,17.575,17.21,17.575,323,0
20170118,17.205,17.205,17.005,17.005,565,0
20170119,17,17,16.01,16.01,1224,0
20170120,16.29,16.695,16.29,16.695,1003,0
20170123,17.095,17.45,17.095,17.45,870,0
20170124,17.155,17.155,17.155,17.155,76,0
20170125,17.59,17.59,17.59,17.59,25,0
20170126,17.305,17.305,17.305,17.305,48,0
20170127,17.055,17.055,17.055,17.055,25,0
20170130,17,17,16.815,16.815,55,0
20170131,16.625,16.625,16.625,16.625,20,0
20170201,16.505,16.505,16.5,16.5,126,0
20170202,16.355,16.355,16.35,16.35,115,0
20170203,16.2,16.2,16.2,16.2,100,0
20170206,16.1,16.765,16.1,16.765,1138,0
20170207,16.505,17.05,16.505,17.05,285,0
20170208,17.05,17.05,17.05,17.05,231,0
20170209,17.05,17.05,17.05,17.05,69,0
20170210,17.36,17.6,17.36,17.6,200,0
20170213,17.6,19.57,17.6,19.4,4568,0
20170214,19.5,22.5,19.5,22.5,5166,0
20170215,22.095,22.095,18.75,18.815,5797,0
20170216,19.135,19.14,17.9,17.9,7392,0
20170217,17.35,18.065,16.62,17.7,11840,0
20170220,17.585,17.585,17,17,938,0
20170221,16.7,16.7,16.2,16.2,3000,0
20170222,16.35,16.5,15.99,16,3040,0
20170223,16.25,16.38,16,16.1,2089,0
20170224,15.85,15.85,15.81,15.81,300,0
20170227,15.75,15.75,15.43,15.43,1349,0
20170228,15.4,15.4,14.42,14.745,2754,0
20170301,14.885,14.885,14.185,14.185,650,0
20170302,14.48,14.485,14,14,1076,0
20170303,14.41,14.71,14.41,14.71,650,0
20170306,15.17,15.17,13.62,13.9,4363,0
20170307,13.95,13.95,13.68,13.68,88,0
20170308,13.9,13.9,13.9,13.9,6,0
20170309,13.51,13.51,13.295,13.35,827,0
20170310,13.3,13.3,13.3,13.3,250,0
20170314,13.485,13.485,13.485,13.485,92,0
20170320,13.655,13.655,13.655,13.655,10,0
20170322,13.015,13.215,12.85,13.215,2825,0
20170323,13.15,13.15,13.15,13.15,170,0
