Date,Open,High,Low,Close,Volume,OpenInt
20000114,21.292,21.917,21.292,21.876,41639,0
20000117,22.084,25.501,22.084,25.417,29518,0
20000118,25.25,26.501,23.334,24.335,31080,0
20000119,24.168,24.168,23.334,23.751,7439,0
20000120,24.667,26.251,24.667,25.834,49678,0
20000121,25.667,26.268,25.168,26.251,31679,0
20000124,26.608,28.918,26.608,28.334,41398,0
20000125,27.5,27.668,26.418,27.668,45598,0
20000126,27.5,29.167,27.209,29.167,49318,0
20000127,27.5,28.96,27.5,27.835,15240,0
20000128,27.584,27.584,27.001,27.551,21960,0
20000131,26.668,26.692,26.002,26.668,14041,0
20000201,26.726,26.726,26.501,26.583,5880,0
20000202,26.251,26.668,26.008,26.583,6599,0
20000203,26.092,26.167,25.25,25.584,27839,0
20000204,25.667,25.825,23.834,24.917,19799,0
20000207,25.751,26.484,25.25,25.25,56519,0
20000208,25.667,25.834,25.168,25.626,25200,0
20000209,25.834,27.5,25.667,27.168,45120,0
20000210,27.792,32.001,27.5,32.001,56638,0
20000211,32.502,33.334,31.668,32.427,62398,0
20000214,31.417,32.502,30.668,31.834,30721,0
20000215,31.668,32.585,31.251,32.502,36599,0
20000216,32.75,32.75,31.167,32.001,25559,0
20000217,31.668,33.667,30.835,33.667,28319,0
20000218,33.334,36.501,33.334,36.134,106797,0
20000221,33.459,37.668,33.459,37.501,74758,0
20000222,39.993,40.418,35.834,37.059,83518,0
20000223,37.084,40.002,35.475,39.984,93358,0
20000224,39.334,40.002,38.001,39.568,41520,0
20000225,38.626,41.585,36.668,38.5,61079,0
20000228,37.742,37.742,32.502,36.168,46198,0
20000229,36.484,38.317,36.251,36.868,29039,0
20000301,36.668,36.668,35,35.667,4560,0
20000302,35,37.751,35,36.085,18719,0
20000303,37.084,37.084,33.502,35,10440,0
20000306,35.834,35.834,34.419,35.418,7679,0
20000307,35.085,36.526,34.168,36.526,23039,0
20000308,34.168,34.935,33.75,34.851,11159,0
20000309,34.518,35,34.168,34.168,14400,0
20000310,34.168,34.168,32.834,33.418,27479,0
20000314,31.876,32.617,29.667,31.668,43559,0
20000315,30.334,30.418,29.167,29.585,15599,0
20000316,30.001,30.001,28.417,29.585,8879,0
20000317,29.585,31.585,28.334,31.585,56638,0
20000320,32.334,32.334,30.167,30.418,17638,0
20000321,30.167,30.167,29.084,29.585,11040,0
20000322,30.051,32.668,30.001,31.251,22320,0
20000323,32.334,32.376,31.251,31.668,30838,0
20000324,32.001,33.502,32.001,33.168,26639,0
20000327,33.334,34.168,32.917,33.418,34080,0
20000328,34.084,34.168,33.334,34.001,33119,0
20000329,34.126,34.917,33.502,34.584,25080,0
20000330,34.419,34.909,33.343,33.584,26158,0
20000331,33.334,35,31.259,34.168,36599,0
20000403,35.418,35.834,34.168,34.168,14639,0
20000404,34.419,34.584,33.334,33.334,13079,0
20000405,33.667,33.667,31.676,32.234,9240,0
20000406,33.334,35.385,32.535,34.584,34799,0
20000407,35.776,37.501,35.776,36.501,26280,0
20000410,37.501,37.501,36.168,37.418,22560,0
20000411,37.493,37.493,34.868,35.409,17279,0
20000412,35.834,36.651,35.793,35.834,2760,0
20000413,35.277,35.418,35,35.334,5399,0
20000414,35.418,35.834,34.143,34.168,7198,0
20000417,32.917,35.418,31.917,34.935,26280,0
20000418,35.834,36.668,34.876,35.793,15359,0
20000419,36.251,36.251,35.085,35.834,3719,0
20000420,35.834,36.227,35.277,35.418,2039,0
20000425,36.334,36.676,35.418,35.676,11521,0
20000426,36.251,36.668,35.843,35.843,2280,0
20000427,36.576,36.66,35.609,35.834,5281,0
20000428,36.392,36.668,35.568,36.251,2161,0
20000502,36.459,36.668,35.584,35.584,2520,0
20000503,36.051,36.051,35,35.534,3601,0
20000504,35.334,35.917,35,35.409,2280,0
