Date,Open,High,Low,Close,Volume,OpenInt
20001129,7.5891,7.9212,7.2097,7.3899,58083,0
20001130,7.2301,7.3912,7.1923,7.2017,7071,0
20001201,7.3912,7.4101,7.2017,7.2017,4643,0
20001204,7.2075,7.3971,7.1126,7.1126,5799,0
20001205,7.1548,7.297,7.1548,7.2117,3271,0
20001206,7.2017,7.3912,7.2017,7.2017,11398,0
20001207,7.2017,7.2965,7.2017,7.2017,105,0
20001208,7.287,7.2965,7.2017,7.2017,2745,0
20001211,7.2038,7.2987,7.2038,7.2512,3165,0
20001212,7.3007,7.3007,7.3007,7.3007,211,0
20001213,7.2523,7.9633,7.1954,7.7169,101369,0
20001214,7.9157,7.9157,7.3943,7.489,35233,0
20001215,7.4774,7.4774,7.4395,7.4395,2322,0
20001218,7.5838,7.6786,7.489,7.489,5485,0
20001219,7.5881,7.5881,7.5027,7.5881,1581,0
20001220,7.5388,7.5388,7.3206,7.3206,4113,0
20001221,7.2703,7.2703,7.2512,7.2512,1793,0
20001222,7.3007,7.3672,7.2155,7.3007,3163,0
20001227,7.4016,7.4395,7.3447,7.4395,4643,0
20001228,7.4395,7.4584,7.3447,7.4395,3587,0
20001229,7.5582,7.7763,7.5108,7.7763,8330,0
20010102,7.7268,7.7268,7.7268,7.7268,2743,0
20010103,7.6846,7.6846,7.305,7.3998,20133,0
20010104,7.6038,7.6038,7.2909,7.2909,10231,0
20010108,7.1316,7.1316,7.1126,7.1126,2847,0
20010109,7.1146,7.1621,7.0673,7.1621,8011,0
20010110,7.1621,7.1621,7.1621,7.1621,422,0
20010116,7.489,7.489,7.3373,7.489,11498,0
20010117,7.6211,8.0097,7.6211,7.915,42515,0
20010118,7.915,7.915,7.8676,7.915,3797,0
20010119,7.9618,8.2936,7.9618,8.1231,26165,0
20010122,7.9648,8.1923,7.9648,8.1923,1054,0
20010123,8.3153,8.8652,8.3153,8.6283,42820,0
20010124,8.7934,9.675,8.2052,8.2716,65677,0
20010125,8.4863,8.5336,8.0311,8.1923,21621,0
20010126,7.8684,8.1528,7.7262,8.1528,13397,0
20010129,8.225,8.2914,8.0545,8.2914,5382,0
20010130,8.1576,8.7741,8.1102,8.4895,26355,0
20010131,8.4818,8.605,8.3397,8.5292,8231,0
20010201,8.2883,8.44,8.2503,8.44,9386,0
20010202,8.5348,8.5348,8.165,8.44,13604,0
20010205,8.0629,8.2906,8.0345,8.2716,3795,0
20010206,8.2861,8.6085,8.0586,8.6085,18880,0
20010207,8.534,9.3781,8.534,8.8659,43449,0
20010208,9.1782,9.2824,8.3153,8.6283,43980,0
20010209,8.6997,8.8135,8.3871,8.5292,16250,0
20010212,8.4047,8.7174,8.4047,8.7174,7598,0
20010213,8.6627,8.7669,8.6531,8.7669,950,0
20010214,8.6226,8.7742,8.4994,8.4994,2955,0
20010216,8.3722,8.6283,8.3438,8.6283,10758,0
20010219,8.3586,8.4818,8.3113,8.3113,3271,0
20010220,8.1483,8.3758,7.8358,7.8358,10765,0
20010221,7.9252,7.9252,7.3658,7.489,14452,0
20010222,7.697,7.697,7.697,7.697,5275,0
20010223,7.7742,7.8216,7.7268,7.7268,6012,0
20010228,7.8659,7.9986,7.4395,7.4395,16883,0
20010301,7.3099,7.3099,7.2909,7.2909,4114,0
20010305,7.4795,7.489,7.4795,7.489,5590,0
20010306,7.6077,7.8259,7.6077,7.8259,3373,0
20010307,7.7422,7.8654,7.7422,7.8654,1688,0
20010308,7.8259,7.8259,7.8259,7.8259,211,0
20010309,7.884,7.884,7.6376,7.6376,6543,0
20010312,7.4882,7.4882,7.2512,7.2512,13505,0
20010313,7.1331,7.209,6.9244,6.9244,15813,0
20010315,6.4489,6.4489,6.4015,6.4489,527,0
20010316,6.4441,6.4441,6.34,6.34,7914,0
20010319,6.3214,6.3214,5.9139,5.9139,19309,0
20010320,5.9023,5.9023,5.4476,5.6465,16361,0
20010321,5.4992,5.4992,5.2054,5.3096,18985,0
20010322,5.2467,5.2467,4.9432,4.9432,12648,0
20010323,5.0702,5.4682,4.947,5.4682,31023,0
20010326,5.4777,5.4777,5.3261,5.4682,17728,0
20010327,5.4817,5.7852,5.4817,5.7852,8224,0
20010328,5.7669,5.7669,5.5771,5.5771,7696,0
20010329,5.7335,5.7335,5.5725,5.6861,8231,0
20010330,5.7293,5.7293,5.5871,5.5871,1581,0
20010402,5.5965,5.5965,5.5871,5.5871,3901,0
20010403,5.5078,5.5933,5.2899,5.2899,5064,0
20010404,5.2123,5.2123,5.0323,5.0323,5698,0
20010405,5.0719,5.1194,5.0719,5.0719,4114,0
20010406,5.0918,5.0918,5.0918,5.0918,422,0
20010409,5.0224,5.0224,5.0224,5.0224,845,0
20010410,5.1456,5.2404,5.1456,5.2404,1689,0
20010411,5.3722,5.9123,5.3722,5.8743,18469,0
20010412,5.9403,6.1866,5.9403,6.0824,12244,0
20010417,6.0223,6.0223,5.7852,5.7852,8435,0
20010418,5.9301,6.0724,5.9301,6.0724,8326,0
20010419,5.9776,6.0724,5.9301,6.0724,1476,0
20010420,6.0639,6.0922,5.9312,6.0922,3271,0
20010423,6.119,6.4984,6.024,6.4984,15074,0
20010424,6.4924,6.644,6.189,6.3598,26272,0
20010425,6.1652,6.1652,6.023,6.023,10121,0
20010426,6.1133,6.1418,6.1133,6.1418,3270,0
20010427,6.1768,6.1768,6.0724,6.0724,527,0
20010430,6.0668,6.2091,6.0668,6.1616,738,0
20010502,6.3382,6.3382,6.1772,6.3002,3588,0
20010503,6.2111,6.2111,6.2111,6.2111,3585,0
20010504,6.2431,6.2431,6.063,6.0724,3694,0
20010509,6.3015,7.5808,6.3015,7.2017,21634,0
20010510,7.4581,7.4581,6.5673,6.7757,29335,0
20010511,6.6427,6.7659,6.6332,6.7659,1160,0
20010514,6.4924,6.4924,6.3598,6.3598,4642,0
20010515,6.3801,6.3801,6.1715,6.1715,3692,0
20010516,6.2917,6.3201,6.1116,6.3201,634,0
20010517,6.3002,6.3002,6.1772,6.3002,1160,0
20010518,6.1608,6.3029,6.1418,6.1418,2216,0
20010521,6.0329,6.232,6.0329,6.0329,2109,0
20010522,6.2083,6.2083,5.9239,5.9239,4326,0
20010523,5.9755,6.023,5.928,6.023,633,0
20010524,5.9239,5.9334,5.9239,5.9239,845,0
20010525,6.0155,6.0724,5.9491,6.0724,6324,0
20010528,5.985,6.023,5.985,6.023,105,0
20010529,5.923,6.122,5.923,6.122,1266,0
20010530,6.0697,6.2594,6.0697,6.2309,10544,0
20010531,6.3059,6.3059,6.2111,6.2111,5378,0
20010605,6.2986,6.3365,6.2607,6.2607,2847,0
20010606,6.3535,6.3535,6.2111,6.2111,1687,0
20010607,6.2111,6.2111,6.2111,6.2111,3585,0
20010608,6.3002,6.3382,6.3002,6.3002,528,0
20010612,6.4029,6.441,6.2607,6.2607,1581,0
20010613,6.3498,6.3498,6.3498,6.3498,316,0
20010614,6.4445,6.4445,6.3498,6.3498,845,0
20010618,6.352,6.3993,6.3046,6.3993,4114,0
20010619,6.3498,6.3498,6.3498,6.3498,1056,0
20010620,6.2538,6.2538,5.8843,5.8843,9076,0
20010621,6.023,6.023,6.023,6.023,844,0
20010626,5.9114,5.9114,5.8545,5.8545,5278,0
20010627,5.6934,5.6934,5.6367,5.6367,1794,0
20010628,5.6438,5.6438,5.1601,5.3592,17712,0
20010629,5.2799,5.2799,5.2799,5.2799,2110,0
20010702,5.3817,5.3817,5.2205,5.2205,1583,0
20010703,5.2601,5.2601,5.2601,5.2601,3798,0
20010704,5.3592,5.3592,5.3592,5.3592,105,0
20010705,5.3096,5.3096,5.3096,5.3096,316,0
20010706,5.2571,5.2571,4.9729,4.9729,7812,0
20010709,4.9182,5.0224,4.9182,5.0224,211,0
20010710,5.0728,5.0918,5.0728,5.0918,422,0
20010711,5.0723,5.0818,5.0723,5.0818,4958,0
20010716,5.0792,5.0792,5.0224,5.0224,1056,0
20010717,4.9729,4.9729,4.9729,4.9729,105,0
20010718,4.8837,4.8837,4.8837,4.8837,3796,0
20010720,4.8342,4.8342,4.8342,4.8342,1477,0
20010723,4.8118,4.8118,4.7549,4.7549,7812,0
20010725,4.6,4.6,4.4578,4.4578,13496,0
20010726,4.3884,4.3884,4.3884,4.3884,1266,0
20010727,4.4578,4.4578,4.4578,4.4578,2320,0
20010730,4.4578,4.4578,4.3628,4.4578,1581,0
20010731,4.4293,4.4578,4.4293,4.4578,1476,0
20010801,4.3785,4.3785,4.3785,4.3785,634,0
20010803,4.4332,4.547,4.4332,4.547,3377,0
20010806,4.6175,4.646,4.5606,4.646,1159,0
20010807,4.7385,4.8144,4.7385,4.8144,105,0
20010808,4.7451,4.8399,4.7451,4.7451,633,0
20010809,4.7363,4.7363,4.329,4.329,27976,0
20010810,4.4041,4.4041,4.2902,4.3091,16752,0
20010813,4.3612,4.6361,4.3612,4.6361,6223,0
20010814,4.6944,4.6944,4.4479,4.4479,11915,0
20010815,4.3727,4.3727,3.7941,3.7941,26779,0
20010816,3.7411,3.8832,3.7411,3.8832,1583,0
20010817,4.0219,4.0219,4.0219,4.0219,527,0
20010820,3.903,3.903,3.903,3.903,528,0
20010822,3.7419,3.7419,3.6851,3.6851,105,0
20010824,3.7941,3.7941,3.7941,3.7941,211,0
20010827,3.8406,3.8976,3.7743,3.7743,12126,0
20010828,3.6158,3.8437,3.5684,3.8437,2635,0
20010829,3.7845,3.7941,3.7845,3.7941,633,0
20010830,3.6058,3.6058,3.5869,3.6058,6534,0
20010831,3.6554,3.6554,3.6554,3.6554,1057,0
20010906,3.5563,3.5563,3.5563,3.5563,5272,0
20010907,3.5072,3.5072,3.2988,3.2988,7279,0
20010910,3.3448,3.3448,3.269,3.269,1900,0
20010913,3.4077,3.4077,3.4077,3.4077,105,0
