Date,Open,High,Low,Close,Volume,OpenInt
20051122,13.261,13.7147,13.1286,13.45,5563454,0
20051123,13.578,14.0602,13.4456,13.89,951519,0
20051124,14.043,14.043,13.75,13.75,562635,0
20051125,13.7322,14.1578,13.7322,14.12,341952,0
20051128,14.1981,14.217,13.7727,13.82,297478,0
20051129,13.6493,13.8384,13.5737,13.81,411005,0
20051130,13.8089,13.8845,13.7522,13.79,270322,0
20051201,13.7184,13.8035,13.5765,13.69,275638,0
20051202,13.6249,13.7573,13.5965,13.71,77206,0
20051205,13.6204,13.8,13.6204,13.8,51417,0
20051206,13.7553,14.02,13.6702,14.02,54158,0
20051207,13.992,14.3796,13.9069,14.2,338267,0
20051208,14.3373,14.4508,14.29,14.29,119379,0
20051209,14.2805,14.3089,14.1955,14.29,100200,0
20051212,14.2441,14.5088,13.97,13.97,239315,0
20051213,13.8917,14.2889,13.8917,14.27,102257,0
20051214,14.2522,14.29,14.186,14.29,57627,0
20051215,14.3273,14.3367,14.2516,14.28,57735,0
20051216,14.4147,14.4147,14.0649,14.15,78288,0
20051219,14.2418,14.2418,13.8826,14.1,51850,0
20051220,14.1823,14.1823,13.9839,14.05,64666,0
20051221,14.197,14.197,13.5732,13.8,114367,0
20051222,13.8144,13.89,13.7103,13.89,56476,0
20051223,14.1308,14.5562,13.8,13.8,154464,0
20051227,14.0919,14.0919,13.5437,13.78,376668,0
20051228,13.7878,13.7878,13.6177,13.75,19894,0
20051229,13.6249,13.71,13.5871,13.71,13643,0
20051230,13.7023,13.9669,13.57,13.57,25820,0
20060102,13.7954,14.1167,13.7954,14.06,3598,0
20060103,13.8007,14.4623,13.8007,14.33,18831,0
20060104,14.6446,15.7507,14.3799,15.59,269086,0
20060105,15.6697,15.6697,15.3576,15.49,299260,0
20060106,15.4032,16.292,15.4032,15.98,344874,0
20060109,16.0204,16.5497,15.9354,16.2,422998,0
20060110,16.1502,16.4622,15.8476,15.98,238059,0
