Date,Open,High,Low,Close,Volume,OpenInt
20000103,17.198,17.198,16.755,16.755,12719,0
20000104,16.706,16.745,16.066,16.264,4682,0
20000105,16.214,16.264,15.478,16.018,15876,0
20000106,16.214,16.706,16.214,16.214,9363,0
20000107,16.687,17.198,16.687,17.198,9871,0
20000110,17.198,18.179,17.198,18.081,23507,0
20000111,18.081,18.081,17.591,17.591,13840,0
20000112,17.689,17.689,17.001,17.541,9158,0
20000113,17.492,17.492,16.706,17.246,7936,0
20000114,17.049,17.198,16.706,16.981,7936,0
20000117,16.687,16.765,15.97,16.056,7225,0
20000118,15.92,15.92,15.134,15.527,19641,0
20000119,15.231,15.428,15.134,15.134,25542,0
20000120,15.182,15.527,15.134,15.231,14042,0
20000121,15.428,15.478,15.134,15.33,10278,0
20000124,15.527,16.175,15.527,15.94,12111,0
20000125,16.115,16.214,15.722,15.93,21166,0
20000126,15.674,15.772,15.33,15.674,6919,0
20000127,15.722,16.214,15.33,16.115,27475,0
20000128,15.821,16.46,15.624,15.97,13229,0
20000131,16.214,16.214,15.577,15.821,7429,0
20000201,15.821,15.881,15.624,15.871,5800,0
20000202,15.674,15.881,15.527,15.851,9666,0
20000203,15.654,16.706,15.527,16.706,28289,0
20000204,16.687,17.689,16.214,17.344,35820,0
20000207,17.246,17.984,17.246,17.679,39483,0
20000208,17.581,17.689,17.001,17.198,25440,0
20000209,17.393,18.671,17.393,18.622,55460,0
20000210,18.573,19.016,18.229,18.72,75711,0
20000211,18.72,18.967,17.689,18.179,69707,0
20000214,18.769,19.654,18.524,19.113,64211,0
20000215,19.163,19.654,18.917,18.917,27068,0
20000216,19.163,19.163,18.179,18.661,13534,0
20000217,18.278,19.163,18.278,18.867,18520,0
20000218,18.867,19.163,18.573,18.967,26153,0
20000221,18.671,18.967,18.179,18.671,26153,0
20000222,18.967,18.967,18.179,18.524,9566,0
20000223,18.622,18.671,17.689,18.288,20759,0
20000224,18.189,18.474,17.689,17.875,13840,0
20000225,17.679,17.786,16.951,17.198,23609,0
20000228,17.492,17.689,16.902,17.198,13025,0
20000229,17.591,17.689,17.099,17.198,10787,0
20000301,17.492,18.573,17.393,18.179,36228,0
20000302,17.984,19.163,17.984,18.867,28595,0
20000303,18.671,19.899,18.671,19.506,26865,0
20000306,19.458,20.125,19.261,19.654,65840,0
20000307,19.851,20.125,18.671,19.163,36635,0
20000308,18.691,20.637,18.377,20.244,89449,0
20000309,20.294,21.001,20.145,20.832,53324,0
20000310,20.832,21.186,19.881,20.047,69401,0
20000314,18.229,19.211,18.229,18.72,18724,0
20000315,18.425,18.967,17.689,18.189,47116,0
20000316,18.179,18.957,18.179,18.957,22184,0
20000317,18.967,19.163,18.268,18.278,24118,0
20000320,18.671,18.671,18.229,18.377,10481,0
20000321,18.278,18.671,18.179,18.278,22184,0
20000322,18.711,18.711,17.64,17.885,38873,0
20000323,18.003,18.131,17.591,18.101,28494,0
20000324,18.179,18.73,18.179,18.464,18825,0
20000327,18.17,18.593,17.198,17.649,11194,0
20000328,17.64,17.689,16.902,17.64,7936,0
20000329,17.344,17.492,16.804,17.001,9973,0
20000330,17.198,17.198,16.706,17.001,7936,0
20000331,17.001,17.246,16.804,17.099,5597,0
20000403,16.804,17.198,16.115,17.001,19436,0
20000404,17.001,17.591,17.001,17.541,7022,0
20000405,17.246,17.296,16.755,17.001,13840,0
20000406,17.393,17.492,17.001,17.344,9058,0
20000407,17.198,17.541,17.099,17.541,6919,0
20000410,17.591,18.101,17.099,17.835,14754,0
20000411,18.179,18.179,17.591,18.179,31140,0
20000412,18.081,18.377,17.591,17.835,17300,0
20000413,17.935,18.179,17.689,17.935,22489,0
20000414,17.689,18.033,17.689,17.689,8955,0
20000417,17.198,17.492,16.508,16.608,29817,0
20000418,16.785,17.236,16.785,17.236,19234,0
20000419,17.198,17.649,17.001,17.649,17095,0
20000420,17.786,17.806,17.393,17.64,12211,0
20000425,17.935,17.935,17.296,17.591,4987,0
20000426,17.492,17.984,17.492,17.935,10380,0
20000427,17.689,17.835,17.591,17.786,12518,0
20000428,17.689,17.885,17.492,17.885,10990,0
20000502,17.393,17.845,17.344,17.344,5495,0
20000503,17.442,17.737,17.393,17.689,6106,0
20000504,17.148,17.296,16.706,16.951,12618,0
20000505,17.198,17.492,17.049,17.246,16587,0
20000508,17.649,17.649,17.148,17.296,2442,0
20000510,17.198,17.393,16.833,16.833,4069,0
20000511,17.119,17.236,16.755,17.148,3155,0
20000512,17.148,17.198,17.049,17.049,2035,0
20000515,17.236,17.393,16.804,16.804,11601,0
20000516,17.001,17.089,16.508,16.706,4275,0
20000517,16.951,16.951,16.018,16.313,3765,0
20000518,16.224,16.687,16.214,16.214,4682,0
20000519,16.214,16.214,15.92,16.115,7429,0
20000522,16.479,16.706,16.185,16.185,13635,0
20000523,16.508,16.833,16.264,16.558,13332,0
20000524,16.706,16.706,15.92,15.92,1933,0
20000525,15.821,16.284,15.478,15.722,8040,0
20000526,15.98,15.98,15.428,15.722,6411,0
20000529,15.722,16.971,15.722,16.588,9363,0
20000530,16.588,16.735,16.362,16.706,3561,0
20000531,16.902,16.902,16.706,16.863,1425,0
20000601,16.568,16.568,16.214,16.214,1832,0
20000602,16.479,16.479,16.115,16.115,1425,0
20000605,16.333,16.508,16.115,16.175,1018,0
20000606,16.135,16.41,16.046,16.284,6512,0
20000607,16.046,16.214,16.046,16.214,508,0
20000608,16.036,16.214,16.018,16.018,2136,0
20000609,15.94,16.214,15.742,16.165,7735,0
20000612,16.402,16.402,15.871,15.871,508,0
20000613,15.92,16.018,15.478,16.018,8142,0
20000614,16.018,16.214,15.527,15.712,4682,0
20000615,15.722,15.722,15.497,15.722,1323,0
20000616,15.497,15.497,15.33,15.497,204,0
20000619,15.722,15.95,15.527,15.722,1222,0
20000620,15.497,15.557,15.3,15.33,1933,0
20000621,15.114,15.33,15.114,15.33,407,0
20000623,15.134,15.134,14.838,14.838,1323,0
20000626,14.838,14.838,14.416,14.741,1222,0
20000627,14.544,14.544,14.131,14.337,3358,0
20000628,14.25,14.25,14.042,14.042,1119,0
20000629,14.101,14.25,13.856,13.856,1628,0
20000630,13.856,14.406,13.856,14.141,4476,0
20000703,14.289,14.917,14.289,14.741,4579,0
20000704,14.741,14.741,14.593,14.593,1018,0
20000705,14.544,14.927,14.101,14.711,3969,0
20000706,14.504,14.504,14.141,14.25,2240,0
20000710,14.494,14.653,14.141,14.435,6004,0
20000711,14.445,14.937,14.445,14.741,9058,0
20000712,14.838,14.957,14.534,14.741,4783,0
20000714,14.534,14.741,14.534,14.741,1526,0
20000717,14.741,14.741,14.544,14.691,5902,0
20000718,14.937,15.231,14.937,15.231,3561,0
20000719,14.917,14.937,14.731,14.731,9973,0
20000720,14.643,14.868,14.544,14.603,4275,0
20000721,14.809,14.809,14.544,14.544,2646,0
20000724,14.396,14.455,14.151,14.455,3460,0
20000725,14.663,14.663,14.328,14.328,3257,0
20000726,14.121,14.455,14.023,14.25,4579,0
20000727,14.042,14.151,13.955,14.151,2748,0
20000728,14.052,14.101,13.757,13.955,5292,0
20000731,13.856,13.856,13.512,13.757,5190,0
20000801,13.757,13.757,12.883,13.296,10176,0
20000802,13.601,13.601,12.579,12.775,15976,0
20000803,12.962,13.266,12.676,12.676,6818,0
20000804,12.785,12.863,12.579,12.775,6106,0
20000807,12.962,13.641,12.962,13.168,32361,0
20000808,13.238,13.856,13.238,13.266,6919,0
20000809,13.463,13.463,13.266,13.444,7123,0
20000810,13.266,13.512,13.266,13.266,12111,0
20000811,13.658,14.052,13.658,13.757,5190,0
20000814,13.955,14.643,13.955,14.445,6106,0
20000815,14.643,14.653,14.445,14.653,1222,0
20000816,14.534,14.838,14.534,14.741,29002,0
20000817,14.957,15.202,14.741,15.202,3663,0
20000818,15.644,15.644,15.202,15.281,1832,0
20000821,15.231,15.231,14.937,14.937,12925,0
20000822,14.514,14.514,14.25,14.25,1730,0
20000823,14.299,14.299,14.299,14.299,1730,0
20000824,14.504,14.504,14.042,14.25,4579,0
20000825,14.25,14.544,14.25,14.544,2951,0
20000828,14.337,14.544,14.25,14.445,4476,0
20000829,14.25,14.494,14.25,14.494,2240,0
20000830,14.042,14.25,14.042,14.052,2543,0
20000831,13.905,13.905,13.708,13.856,4682,0
20000901,14.052,14.25,13.905,14.052,13433,0
20000904,13.856,14.544,13.856,14.052,5800,0
20000905,14.26,14.643,14.151,14.25,4682,0
20000906,14.25,14.554,14.25,14.396,4275,0
20000907,14.347,14.357,13.757,14.2,16078,0
20000908,14.455,14.455,14.042,14.25,2543,0
20000911,14.455,14.455,14.25,14.25,1526,0
20000912,14.042,14.151,13.955,14.151,1832,0
20000914,13.896,14.25,13.847,13.955,2341,0
20000915,13.757,14.151,13.757,13.757,7327,0
20000918,13.757,13.757,13.561,13.561,3663,0
20000919,13.757,13.856,13.561,13.856,1119,0
20000920,13.658,13.955,13.266,13.364,18622,0
20000921,13.688,13.688,12.834,12.834,6004,0
20000922,12.656,13.757,12.47,13.364,26356,0
20000925,13.561,13.561,13.178,13.178,814,0
20000926,12.991,13.178,12.991,13.079,508,0
20000927,12.923,12.923,12.234,12.775,7530,0
20000928,12.962,12.972,12.5,12.5,4987,0
20000929,12.775,12.972,12.775,12.972,1832,0
20001002,12.609,12.982,12.589,12.775,6310,0
20001004,12.775,12.873,12.589,12.618,4783,0
20001005,12.696,12.775,12.52,12.676,7836,0
20001006,12.676,13.238,12.402,12.569,10176,0
20001009,12.392,12.569,12.038,12.392,5190,0
20001010,12.382,12.559,12.382,12.392,306,0
20001011,12.569,12.569,12.284,12.284,5902,0
20001012,12.186,13.021,12.186,13.021,13229,0
20001023,13.561,13.856,13.561,13.856,8650,0
20001025,13.955,13.955,13.561,13.658,3867,0
20001026,13.797,14.052,13.561,13.757,4987,0
20001027,13.757,13.856,13.658,13.757,6818,0
20001030,13.581,13.856,13.581,13.856,2951,0
20001101,13.955,13.955,13.463,13.561,11093,0
20001102,13.364,13.649,13.188,13.649,9465,0
20001103,13.856,14.957,13.856,14.741,23507,0
20001106,14.957,15.418,14.957,15.241,11703,0
20001107,15.134,15.281,14.937,14.986,8650,0
20001108,14.937,15.134,14.838,14.838,5292,0
20001109,14.751,14.751,14.544,14.544,2341,0
20001110,14.347,14.554,14.347,14.347,6512,0
20001113,14.494,14.554,13.856,13.856,5190,0
20001115,13.955,14.003,13.807,14.003,2543,0
20001116,13.856,13.856,13.561,13.757,6818,0
20001117,13.561,13.561,13.364,13.561,5597,0
20001120,13.414,13.591,13.414,13.414,1018,0
20001121,13.266,13.463,12.893,13.463,7836,0
20001122,13.658,13.955,13.463,13.463,8344,0
20001123,13.658,14.052,13.658,13.856,14042,0
20001124,14.052,14.052,13.757,13.757,14857,0
20001127,13.856,13.955,13.757,13.955,3969,0
20001128,13.856,13.856,13.757,13.757,508,0
20001129,13.757,14.151,13.757,14.052,9973,0
20001130,14.25,14.464,14.042,14.042,7735,0
20001201,14.25,14.455,14.042,14.101,4783,0
20001204,13.856,13.896,13.807,13.807,2136,0
20001205,13.767,13.955,13.757,13.955,4275,0
20001206,13.896,13.896,13.757,13.856,306,0
20001207,13.757,13.896,13.757,13.767,6106,0
20001208,13.757,13.896,13.757,13.757,712,0
20001211,13.757,13.896,13.757,13.757,916,0
20001212,13.757,13.757,13.463,13.708,37958,0
20001213,13.757,13.757,13.757,13.757,3155,0
20001214,13.561,14.003,13.325,13.757,9058,0
20001215,13.658,13.658,13.364,13.364,16689,0
20001218,13.414,14.25,13.414,13.994,24017,0
20001219,13.797,13.945,13.757,13.757,9770,0
20001220,13.658,13.757,13.561,13.658,3358,0
20001221,13.463,13.463,13.079,13.256,3460,0
20001222,13.059,13.266,13.059,13.069,2951,0
20001227,13.168,13.256,12.579,12.765,9465,0
20001228,12.579,12.579,12.107,12.107,8650,0
20001229,12.332,12.559,12.038,12.48,7327,0
20010102,12.656,12.962,12.656,12.863,3460,0
20010103,13.049,13.049,11.704,12.234,8751,0
20010104,12.412,12.775,12.412,12.589,1425,0
20010108,12.589,12.775,12.589,12.775,1628,0
20010109,12.962,13.059,12.431,12.628,11398,0
20010110,12.815,13.306,12.775,13.306,14553,0
20010111,13.109,13.109,12.735,12.913,3155,0
20010112,12.775,13.188,12.628,12.972,3969,0
20010115,13.158,13.807,13.069,13.807,25949,0
20010116,13.757,13.856,13.512,13.718,4376,0
20010117,13.807,14.309,13.807,14.003,13229,0
20010118,13.807,13.955,13.757,13.757,2240,0
20010119,13.757,13.757,13.424,13.424,5190,0
20010122,13.611,13.757,13.463,13.463,6614,0
20010123,13.463,13.757,13.463,13.649,6411,0
