Date,Open,High,Low,Close,Volume,OpenInt
20090407,0.185,0.21,0.18,0.2,26000,0
20090409,0.16,0.2,0.16,0.2,9930,0
20090414,0.16,0.188,0.11,0.16,11999,0
20090415,0.13,0.17,0.13,0.165,5500,0
20090416,0.125,0.18,0.125,0.17,3200,0
20090417,0.13,0.21,0.11,0.18,3000,0
20090420,0.14,0.21,0.14,0.18,2000,0
20090422,0.14,0.22,0.12,0.2,6500,0
20090427,0.16,0.2,0.11,0.2,26300,0
20090428,0.14,0.2,0.11,0.18,6300,0
20090429,0.14,0.18,0.11,0.15,5000,0
20090430,0.11,0.22,0.11,0.22,36429,0
20090504,0.18,0.27,0.18,0.27,24980,0
20090505,0.249,0.37,0.22,0.25,8679,0
20090506,0.21,0.29,0.18,0.23,40050,0
20090507,0.19,0.27,0.18,0.24,29728,0
20090508,0.2,0.24,0.18,0.24,18600,0
20090511,0.189,0.24,0.189,0.21,6001,0
20090512,0.17,0.21,0.17,0.196,4496,0
20090513,0.181,0.22,0.17,0.206,10000,0
20090514,0.181,0.228,0.17,0.209,8055,0
20090515,0.188,0.24,0.18,0.215,41000,0
20090519,0.18,0.27,0.18,0.25,22000,0
20090520,0.205,0.26,0.19,0.221,3500,0
20090522,0.18,0.26,0.18,0.2,23000,0
20090525,0.182,0.26,0.181,0.217,66580,0
20090526,0.184,0.21,0.18,0.205,17100,0
20090527,0.18,0.195,0.17,0.195,2700,0
20090528,0.17,0.195,0.17,0.195,230,0
20090529,0.17,0.195,0.17,0.195,36710,0
20090602,0.15,0.21,0.15,0.19,11200,0
20090603,0.17,0.21,0.17,0.19,100,0
20090604,0.17,0.21,0.17,0.195,28000,0
20090605,0.17,0.22,0.17,0.205,12000,0
20090608,0.18,0.23,0.18,0.21,11500,0
20090610,0.182,0.23,0.182,0.225,4146,0
20090612,0.21,0.225,0.21,0.21,11738,0
20090615,0.18,0.28,0.18,0.21,61673,0
20090616,0.18,0.21,0.18,0.2,1502,0
20090617,0.18,0.21,0.18,0.206,42500,0
20090622,0.18,0.206,0.18,0.2,1500,0
20090626,0.18,0.238,0.18,0.205,12800,0
20090629,0.18,0.23,0.172,0.204,2500,0
20090703,0.18,0.21,0.18,0.198,7600,0
20090706,0.18,0.2,0.18,0.196,4200,0
20090707,0.18,0.2,0.18,0.2,1800,0
20090713,0.18,0.196,0.17,0.195,7000,0
20090717,0.18,0.195,0.18,0.195,7000,0
20090721,0.18,0.195,0.17,0.195,5000,0
20090727,0.18,0.2,0.17,0.175,24500,0
20090728,0.14,0.2,0.14,0.175,500,0
20090729,0.16,0.18,0.14,0.14,10108,0
20090730,0.113,0.2,0.1,0.18,3515,0
20090803,0.15,0.175,0.103,0.151,32,0
20090804,0.12,0.175,0.103,0.17,52,0
20090805,0.15,0.2,0.103,0.155,6000,0
20090806,0.12,0.17,0.103,0.15,52,0
20090807,0.11,0.18,0.107,0.16,19552,0
20090810,0.13,0.187,0.13,0.169,20000,0
20090812,0.14,0.198,0.14,0.165,2630,0
20090813,0.16,0.189,0.15,0.15,51420,0
20090814,0.189,0.19,0.127,0.179,3000,0
20090817,0.139,0.189,0.139,0.179,12000,0
20090818,0.165,0.19,0.16,0.185,22400,0
20090819,0.15,0.21,0.149,0.175,5600,0
20090821,0.15,0.21,0.15,0.175,4000,0
20090824,0.15,0.2,0.15,0.198,46500,0
20090825,0.158,0.2,0.14,0.174,41179,0
20090826,0.15,0.174,0.132,0.159,3779,0
20090827,0.128,0.21,0.128,0.165,56625,0
20090828,0.13,0.175,0.13,0.161,121284,0
20090831,0.133,0.165,0.133,0.165,40000,0
20090901,0.125,0.17,0.11,0.17,2000,0
20090902,0.17,0.17,0.11,0.141,380,0
20090903,0.12,0.155,0.12,0.155,190,0
20090904,0.14,0.155,0.111,0.14,144604,0
20090907,0.12,0.18,0.12,0.16,19700,0
20090908,0.13,0.16,0.121,0.155,6750,0
20090909,0.13,0.16,0.13,0.153,10000,0
20090910,0.126,0.156,0.125,0.155,23921,0
20090911,0.13,0.145,0.112,0.14,100,0
20090914,0.14,0.155,0.13,0.155,7099,0
20090915,0.14,0.17,0.13,0.157,17270,0
20090916,0.14,0.165,0.14,0.165,24250,0
20090917,0.15,0.179,0.15,0.165,19000,0
20090918,0.15,0.18,0.145,0.165,14500,0
20090921,0.15,0.18,0.145,0.165,500,0
20090922,0.15,0.17,0.144,0.17,22400,0
20090923,0.16,0.179,0.144,0.16,113300,0
20090924,0.139,0.175,0.132,0.155,10900,0
20090925,0.135,0.18,0.135,0.163,13297,0
20090928,0.15,0.166,0.139,0.166,428,0
20090930,0.15,0.165,0.139,0.165,5750,0
20091001,0.15,0.165,0.13,0.165,2500,0
20091002,0.15,0.165,0.139,0.165,11800,0
20091006,0.15,0.16,0.15,0.15,20000,0
20091008,0.14,0.16,0.14,0.16,900,0
20091013,0.14,0.18,0.14,0.16,5000,0
20091014,0.14,0.165,0.14,0.165,800,0
20091016,0.14,0.17,0.14,0.16,1500,0
20091019,0.14,0.17,0.14,0.163,1300,0
20091020,0.163,0.165,0.14,0.16,500,0
20091021,0.16,0.17,0.14,0.163,6771,0
20091022,0.163,0.163,0.14,0.16,200,0
20091023,0.14,0.163,0.14,0.163,354,0
20091026,0.14,0.163,0.14,0.163,1000,0
20091028,0.16,0.163,0.139,0.163,13600,0
20091029,0.14,0.163,0.14,0.163,10900,0
20091030,0.14,0.17,0.14,0.16,43029,0
20091102,0.155,0.18,0.125,0.16,500,0
20091103,0.155,0.163,0.123,0.163,175,0
20091104,0.155,0.18,0.138,0.163,6300,0
20091110,0.137,0.158,0.13,0.13,3000,0
20091111,0.13,0.132,0.13,0.132,110,0
20091112,0.13,0.132,0.13,0.132,1500,0
20091113,0.13,0.144,0.13,0.144,3000,0
20091116,0.13,0.158,0.13,0.158,5000,0
