Date,Open,High,Low,Close,Volume,OpenInt
20000306,34.53,34.53,32.081,32.462,10306,0
20000307,32.081,32.081,29.549,30.393,8054,0
20000308,28.704,29.126,28.704,28.704,6514,0
20000309,28.704,29.558,28.704,29.558,18833,0
20000310,29.549,29.549,29.549,29.549,1422,0
20000314,30.393,31.238,29.971,31.238,4856,0
20000315,29.971,29.971,29.126,29.549,11372,0
20000316,29.971,30.393,29.971,30.393,592,0
20000317,29.549,32.081,29.549,32.081,5093,0
20000320,31.238,32.504,31.238,31.828,2488,0
20000321,31.238,32.081,31.238,31.238,4620,0
20000322,31.828,32.081,31.828,31.828,1659,0
20000323,31.238,31.828,31.238,31.828,711,0
20000324,30.393,31.828,30.393,31.828,1304,0
20000327,32.081,32.925,31.828,32.925,1422,0
20000328,31.238,33.686,31.238,32.081,5210,0
20000329,27.86,28.704,27.86,28.704,118,0
20000330,32.081,32.081,30.401,32.081,473,0
20000331,30.393,30.393,30.393,30.393,3791,0
20000403,31.997,32.42,31.322,32.42,4620,0
20000404,30.393,32.42,30.393,32.081,2843,0
20000405,32.292,32.925,32.292,32.925,829,0
20000406,32.081,32.925,32.081,32.925,237,0
20000407,33.347,33.769,32.081,33.769,5685,0
20000410,33.347,33.769,32.925,33.347,592,0
20000411,32.925,33.769,32.925,33.769,1422,0
20000412,33.769,33.769,33.769,33.769,11963,0
20000413,32.925,33.347,32.925,33.347,355,0
20000414,33.769,33.769,32.925,32.925,15042,0
20000417,32.081,32.081,32.081,32.081,118,0
20000418,32.925,32.925,30.393,31.238,6395,0
20000419,31.238,32.081,30.815,31.238,5210,0
20000420,31.997,31.997,30.815,30.941,3554,0
20000425,32.081,32.462,32.081,32.462,592,0
20000426,32.081,33.347,31.997,33.347,4028,0
20000427,32.925,32.925,32.925,32.925,237,0
20000428,33.769,34.614,33.769,34.614,1540,0
20000503,37.146,41.807,37.146,41.79,6041,0
20000504,41.368,41.368,41.368,41.368,2962,0
20000505,40.524,40.524,39.139,40.077,1185,0
20000508,40.101,40.186,40.101,40.186,118,0
20000510,41.79,41.79,40.946,40.946,2488,0
20000511,41.925,45.142,41.9,44.745,5922,0
20000512,43.673,43.673,42.635,42.635,118,0
20000516,44.643,45.396,44.643,45.396,829,0
20000517,44.56,44.56,43.731,43.901,1777,0
20000518,43.251,43.774,41.672,41.672,6277,0
20000519,41.199,41.199,39.156,39.156,1895,0
20000522,39.561,39.561,37.265,37.265,1540,0
20000523,37.73,37.991,36.716,36.716,1185,0
20000524,37.173,39.51,37.173,39.257,3316,0
20000525,39.257,39.68,38.835,39.096,2962,0
20000526,39.68,39.68,38.261,38.261,1185,0
20000529,37.349,38.244,37.349,38.244,949,0
